,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.177,0.228,10,-20.808,1,0.0406,0.348,0.891,0.0877,0.104,77.083,audio_features,36dl5Q21lhpFNFIuir8Pvn,spotify:track:36dl5Q21lhpFNFIuir8Pvn,https://api.spotify.com/v1/tracks/36dl5Q21lhpFNFIuir8Pvn,https://api.spotify.com/v1/audio-analysis/36dl5Q21lhpFNFIuir8Pvn,114813,3,Don't Break The Silence - Instrumental Selections,spotify:track:36dl5Q21lhpFNFIuir8Pvn,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
1,0.722,0.621,0,-8.866,1,0.0343,0.0223,0.908,0.115,0.243,100.0,audio_features,6iq6Cr8RgFs5ji9lczNASA,spotify:track:6iq6Cr8RgFs5ji9lczNASA,https://api.spotify.com/v1/tracks/6iq6Cr8RgFs5ji9lczNASA,https://api.spotify.com/v1/audio-analysis/6iq6Cr8RgFs5ji9lczNASA,252127,4,Morrow - Instrumental Selections,spotify:track:6iq6Cr8RgFs5ji9lczNASA,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
2,0.514,0.288,4,-9.672,1,0.0342,0.0537,0.858,0.285,0.106,164.108,audio_features,4A3hboAAuVcomWCTBRJ9hR,spotify:track:4A3hboAAuVcomWCTBRJ9hR,https://api.spotify.com/v1/tracks/4A3hboAAuVcomWCTBRJ9hR,https://api.spotify.com/v1/audio-analysis/4A3hboAAuVcomWCTBRJ9hR,218147,4,The Pines - Instrumental Selections,spotify:track:4A3hboAAuVcomWCTBRJ9hR,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
3,0.582,0.306,7,-17.256,1,0.064,0.0024,0.935,0.118,0.0557,179.849,audio_features,1bXEi0I96tMuQNRa7XWKrs,spotify:track:1bXEi0I96tMuQNRa7XWKrs,https://api.spotify.com/v1/tracks/1bXEi0I96tMuQNRa7XWKrs,https://api.spotify.com/v1/audio-analysis/1bXEi0I96tMuQNRa7XWKrs,216422,4,Guilty Conscience - Instrumental Selections,spotify:track:1bXEi0I96tMuQNRa7XWKrs,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
4,0.494,0.241,5,-16.901,1,0.0282,0.636,0.00105,0.622,0.0,97.739,audio_features,4Da7fDDDuhfd5zMlT4kp0m,spotify:track:4Da7fDDDuhfd5zMlT4kp0m,https://api.spotify.com/v1/tracks/4Da7fDDDuhfd5zMlT4kp0m,https://api.spotify.com/v1/audio-analysis/4Da7fDDDuhfd5zMlT4kp0m,17049,4,It's Forever - Instrumental Selections,spotify:track:4Da7fDDDuhfd5zMlT4kp0m,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
5,0.428,0.41,0,-7.677,1,0.0479,0.0332,0.563,0.107,0.144,185.977,audio_features,65EUNDR7xr7NxWPC0tNO7O,spotify:track:65EUNDR7xr7NxWPC0tNO7O,https://api.spotify.com/v1/tracks/65EUNDR7xr7NxWPC0tNO7O,https://api.spotify.com/v1/audio-analysis/65EUNDR7xr7NxWPC0tNO7O,230094,4,Microdosing - Instrumental Selections,spotify:track:65EUNDR7xr7NxWPC0tNO7O,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
6,0.741,0.289,0,-10.135,1,0.0868,0.0895,0.923,0.0972,0.06,78.549,audio_features,0PX6u2oCD2pDJgRtxA8e4A,spotify:track:0PX6u2oCD2pDJgRtxA8e4A,https://api.spotify.com/v1/tracks/0PX6u2oCD2pDJgRtxA8e4A,https://api.spotify.com/v1/audio-analysis/0PX6u2oCD2pDJgRtxA8e4A,236297,4,Nice To Have - Instrumental Selections,spotify:track:0PX6u2oCD2pDJgRtxA8e4A,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
7,0.644,0.638,6,-7.856,0,0.0612,0.00337,0.922,0.0618,0.255,189.949,audio_features,5fdo3Xy793xQDhFGJBVzmV,spotify:track:5fdo3Xy793xQDhFGJBVzmV,https://api.spotify.com/v1/tracks/5fdo3Xy793xQDhFGJBVzmV,https://api.spotify.com/v1/audio-analysis/5fdo3Xy793xQDhFGJBVzmV,213928,4,Under The Moon - Instrumental Selections,spotify:track:5fdo3Xy793xQDhFGJBVzmV,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
8,0.64,0.535,2,-9.73,0,0.411,0.245,0.852,0.0443,0.204,180.033,audio_features,6UESYBOQxsUvxpDdBNVDPO,spotify:track:6UESYBOQxsUvxpDdBNVDPO,https://api.spotify.com/v1/tracks/6UESYBOQxsUvxpDdBNVDPO,https://api.spotify.com/v1/audio-analysis/6UESYBOQxsUvxpDdBNVDPO,174124,4,Daydreamin - Instrumental Selections,spotify:track:6UESYBOQxsUvxpDdBNVDPO,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
9,0.703,0.393,9,-11.191,0,0.0374,0.0755,0.819,0.0876,0.153,135.009,audio_features,5S53SWJRG2eLjFeRu8JkE5,spotify:track:5S53SWJRG2eLjFeRu8JkE5,https://api.spotify.com/v1/tracks/5S53SWJRG2eLjFeRu8JkE5,https://api.spotify.com/v1/audio-analysis/5S53SWJRG2eLjFeRu8JkE5,341333,4,Terminal B - Instrumental Selections,spotify:track:5S53SWJRG2eLjFeRu8JkE5,070 Shake,12Zk1DFhCbHY6v3xep2ZjI
