,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,audio_features,20on25jryn53hWghthWWW3,spotify:track:20on25jryn53hWghthWWW3,https://api.spotify.com/v1/tracks/20on25jryn53hWghthWWW3,https://api.spotify.com/v1/audio-analysis/20on25jryn53hWghthWWW3,157890,4,Do It To It,spotify:track:20on25jryn53hWghthWWW3,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
1,0.832,0.904,0,-5.556,1,0.0493,0.00311,0.749,0.311,0.636,124.978,audio_features,1fKnpml7V0VImOFQA7XXyj,spotify:track:1fKnpml7V0VImOFQA7XXyj,https://api.spotify.com/v1/tracks/1fKnpml7V0VImOFQA7XXyj,https://api.spotify.com/v1/audio-analysis/1fKnpml7V0VImOFQA7XXyj,157465,4,Funky Town,spotify:track:1fKnpml7V0VImOFQA7XXyj,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
2,0.607,0.751,1,-5.838,1,0.596,0.2,0.0,0.0757,0.568,112.045,audio_features,2FSzVvVfdSi48rHXK7i8O6,spotify:track:2FSzVvVfdSi48rHXK7i8O6,https://api.spotify.com/v1/tracks/2FSzVvVfdSi48rHXK7i8O6,https://api.spotify.com/v1/audio-analysis/2FSzVvVfdSi48rHXK7i8O6,149107,3,Black Lives Matter!,spotify:track:2FSzVvVfdSi48rHXK7i8O6,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
3,0.668,0.711,9,-4.726,0,0.0475,0.0047,1.15e-05,0.119,0.309,154.759,audio_features,4xDFXt9dvJUxoyty2ahDHP,spotify:track:4xDFXt9dvJUxoyty2ahDHP,https://api.spotify.com/v1/tracks/4xDFXt9dvJUxoyty2ahDHP,https://api.spotify.com/v1/audio-analysis/4xDFXt9dvJUxoyty2ahDHP,127045,4,Face Down,spotify:track:4xDFXt9dvJUxoyty2ahDHP,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
4,0.811,0.941,9,-2.947,1,0.144,0.0327,0.808,0.868,0.41,150.053,audio_features,1qQt85owTaCya2rQPb52Lv,spotify:track:1qQt85owTaCya2rQPb52Lv,https://api.spotify.com/v1/tracks/1qQt85owTaCya2rQPb52Lv,https://api.spotify.com/v1/audio-analysis/1qQt85owTaCya2rQPb52Lv,148800,4,Bang Bang,spotify:track:1qQt85owTaCya2rQPb52Lv,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
5,0.395,0.903,9,-2.17,1,0.522,0.0644,3.21e-05,0.191,0.261,75.274,audio_features,6FxOwcowgcRz6G4ikQzKED,spotify:track:6FxOwcowgcRz6G4ikQzKED,https://api.spotify.com/v1/tracks/6FxOwcowgcRz6G4ikQzKED,https://api.spotify.com/v1/audio-analysis/6FxOwcowgcRz6G4ikQzKED,219375,4,Bodies Hit The Floor,spotify:track:6FxOwcowgcRz6G4ikQzKED,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
6,0.658,0.958,11,-3.017,0,0.0434,0.000475,0.453,0.108,0.463,150.004,audio_features,1AOEl8c1HZLcqFI7S3ruar,spotify:track:1AOEl8c1HZLcqFI7S3ruar,https://api.spotify.com/v1/tracks/1AOEl8c1HZLcqFI7S3ruar,https://api.spotify.com/v1/audio-analysis/1AOEl8c1HZLcqFI7S3ruar,178413,4,Pull Up,spotify:track:1AOEl8c1HZLcqFI7S3ruar,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
7,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,audio_features,3PmnImcacywnH3irT8eB9G,spotify:track:3PmnImcacywnH3irT8eB9G,https://api.spotify.com/v1/tracks/3PmnImcacywnH3irT8eB9G,https://api.spotify.com/v1/audio-analysis/3PmnImcacywnH3irT8eB9G,157890,4,Do It To It,spotify:track:3PmnImcacywnH3irT8eB9G,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
8,0.622,0.796,0,-2.999,0,0.172,0.667,0.0,0.106,0.62,197.704,audio_features,7K8IT40jWyefuxhEwdbDIR,spotify:track:7K8IT40jWyefuxhEwdbDIR,https://api.spotify.com/v1/tracks/7K8IT40jWyefuxhEwdbDIR,https://api.spotify.com/v1/audio-analysis/7K8IT40jWyefuxhEwdbDIR,169813,4,Mad Love,spotify:track:7K8IT40jWyefuxhEwdbDIR,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
9,0.798,0.86,10,-4.381,0,0.0414,0.0312,0.012,0.334,0.191,124.037,audio_features,7acFUINwH46wNcxXrBqDvx,spotify:track:7acFUINwH46wNcxXrBqDvx,https://api.spotify.com/v1/tracks/7acFUINwH46wNcxXrBqDvx,https://api.spotify.com/v1/audio-analysis/7acFUINwH46wNcxXrBqDvx,166452,4,Piece Of Your Heart - Alok Remix,spotify:track:7acFUINwH46wNcxXrBqDvx,ACRAZE,4pnp4w9g30yLfVIAFnZMRd
