,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.578,0.724,1,-5.0,1,0.303,0.0671,0.0,0.104,0.185,90.137,audio_features,21jOVQVdbAEpUq8zrTH2d8,spotify:track:21jOVQVdbAEpUq8zrTH2d8,https://api.spotify.com/v1/tracks/21jOVQVdbAEpUq8zrTH2d8,https://api.spotify.com/v1/audio-analysis/21jOVQVdbAEpUq8zrTH2d8,157234,4,136er,spotify:track:21jOVQVdbAEpUq8zrTH2d8,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
1,0.568,0.511,1,-6.591,1,0.271,0.153,3.07e-05,0.114,0.148,84.098,audio_features,1As8f8iPGCx0evpgY0xrka,spotify:track:1As8f8iPGCx0evpgY0xrka,https://api.spotify.com/v1/tracks/1As8f8iPGCx0evpgY0xrka,https://api.spotify.com/v1/audio-analysis/1As8f8iPGCx0evpgY0xrka,164980,4,Easy,spotify:track:1As8f8iPGCx0evpgY0xrka,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
2,0.699,0.593,1,-5.109,1,0.107,0.248,0.000247,0.138,0.113,187.843,audio_features,4jdlr0mYocj2urBzkB3Ppi,spotify:track:4jdlr0mYocj2urBzkB3Ppi,https://api.spotify.com/v1/tracks/4jdlr0mYocj2urBzkB3Ppi,https://api.spotify.com/v1/audio-analysis/4jdlr0mYocj2urBzkB3Ppi,112740,4,Lau Lau Lau,spotify:track:4jdlr0mYocj2urBzkB3Ppi,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
3,0.822,0.635,1,-6.991,1,0.317,0.0538,0.00102,0.111,0.553,96.122,audio_features,63M95y0DbPfsXNYbs8nzOU,spotify:track:63M95y0DbPfsXNYbs8nzOU,https://api.spotify.com/v1/tracks/63M95y0DbPfsXNYbs8nzOU,https://api.spotify.com/v1/audio-analysis/63M95y0DbPfsXNYbs8nzOU,182866,4,Kristall 2,spotify:track:63M95y0DbPfsXNYbs8nzOU,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
4,0.872,0.439,10,-8.716,0,0.405,0.0305,0.0,0.313,0.589,122.07,audio_features,5OnoiFsVFWRu6mrtZkDjR3,spotify:track:5OnoiFsVFWRu6mrtZkDjR3,https://api.spotify.com/v1/tracks/5OnoiFsVFWRu6mrtZkDjR3,https://api.spotify.com/v1/audio-analysis/5OnoiFsVFWRu6mrtZkDjR3,198411,4,Hood,spotify:track:5OnoiFsVFWRu6mrtZkDjR3,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
5,0.846,0.712,9,-7.934,0,0.26,0.198,5.9e-06,0.12,0.501,99.994,audio_features,5sFGq3PZgzW0uNsNE32YQG,spotify:track:5sFGq3PZgzW0uNsNE32YQG,https://api.spotify.com/v1/tracks/5sFGq3PZgzW0uNsNE32YQG,https://api.spotify.com/v1/audio-analysis/5sFGq3PZgzW0uNsNE32YQG,154000,4,Gangster Hustler,spotify:track:5sFGq3PZgzW0uNsNE32YQG,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
6,0.942,0.59,0,-6.538,1,0.256,0.0226,0.00813,0.0568,0.924,115.967,audio_features,2immYCdHEUsU7yomneFMcr,spotify:track:2immYCdHEUsU7yomneFMcr,https://api.spotify.com/v1/tracks/2immYCdHEUsU7yomneFMcr,https://api.spotify.com/v1/audio-analysis/2immYCdHEUsU7yomneFMcr,182442,4,Reich oder tot,spotify:track:2immYCdHEUsU7yomneFMcr,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
7,0.705,0.525,6,-7.341,0,0.352,0.0172,2.77e-05,0.154,0.319,108.087,audio_features,1qHaUkOtJ0VlDG8kJPvY5l,spotify:track:1qHaUkOtJ0VlDG8kJPvY5l,https://api.spotify.com/v1/tracks/1qHaUkOtJ0VlDG8kJPvY5l,https://api.spotify.com/v1/audio-analysis/1qHaUkOtJ0VlDG8kJPvY5l,153465,4,Gangster Queen,spotify:track:1qHaUkOtJ0VlDG8kJPvY5l,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
8,0.869,0.628,9,-6.675,1,0.371,0.0313,1.2e-06,0.0991,0.163,102.026,audio_features,3dZe6uKBOJl3VsbEFYH1sZ,spotify:track:3dZe6uKBOJl3VsbEFYH1sZ,https://api.spotify.com/v1/tracks/3dZe6uKBOJl3VsbEFYH1sZ,https://api.spotify.com/v1/audio-analysis/3dZe6uKBOJl3VsbEFYH1sZ,166322,4,Das ist für die Diebe,spotify:track:3dZe6uKBOJl3VsbEFYH1sZ,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
9,0.784,0.668,6,-5.237,1,0.551,0.158,0.0,0.252,0.737,154.911,audio_features,3dy7SaVShdnjwtx9IXhtzg,spotify:track:3dy7SaVShdnjwtx9IXhtzg,https://api.spotify.com/v1/tracks/3dy7SaVShdnjwtx9IXhtzg,https://api.spotify.com/v1/audio-analysis/3dy7SaVShdnjwtx9IXhtzg,164203,4,In meinem Benz,spotify:track:3dy7SaVShdnjwtx9IXhtzg,AK AUSSERKONTROLLE,07SFzTMeYf5P8Rd32a9Zzw
