,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.53,0.826,11,-5.895,0,0.0581,0.394,0.0935,0.307,0.582,113.704,audio_features,2LrmjKVCaDovglWk8tvhiV,spotify:track:2LrmjKVCaDovglWk8tvhiV,https://api.spotify.com/v1/tracks/2LrmjKVCaDovglWk8tvhiV,https://api.spotify.com/v1/audio-analysis/2LrmjKVCaDovglWk8tvhiV,184600,4,Somnambulismus,spotify:track:2LrmjKVCaDovglWk8tvhiV,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
1,0.438,0.957,6,-7.388,0,0.0878,0.31,0.00965,0.269,0.11,100.386,audio_features,4ec7pruyITUjCmjXUoQDnW,spotify:track:4ec7pruyITUjCmjXUoQDnW,https://api.spotify.com/v1/tracks/4ec7pruyITUjCmjXUoQDnW,https://api.spotify.com/v1/audio-analysis/4ec7pruyITUjCmjXUoQDnW,58587,4,Hallo,spotify:track:4ec7pruyITUjCmjXUoQDnW,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
2,0.476,0.914,11,-5.323,1,0.0355,0.113,0.000575,0.135,0.914,119.77,audio_features,0bKCtryFjLg2lbSn7Ra7Ct,spotify:track:0bKCtryFjLg2lbSn7Ra7Ct,https://api.spotify.com/v1/tracks/0bKCtryFjLg2lbSn7Ra7Ct,https://api.spotify.com/v1/audio-analysis/0bKCtryFjLg2lbSn7Ra7Ct,117699,4,Immer schlimmer,spotify:track:0bKCtryFjLg2lbSn7Ra7Ct,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
3,0.701,0.743,5,-6.154,0,0.0558,0.0517,0.0039,0.0379,0.932,141.019,audio_features,6YBccq9e1jV5RIbdZ4GCbX,spotify:track:6YBccq9e1jV5RIbdZ4GCbX,https://api.spotify.com/v1/tracks/6YBccq9e1jV5RIbdZ4GCbX,https://api.spotify.com/v1/audio-analysis/6YBccq9e1jV5RIbdZ4GCbX,180426,4,Quittenbrause,spotify:track:6YBccq9e1jV5RIbdZ4GCbX,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
4,0.408,0.901,0,-5.939,1,0.0438,0.105,7.19e-05,0.178,0.872,146.807,audio_features,4JzjYw87PcpY5XYzmWFAuD,spotify:track:4JzjYw87PcpY5XYzmWFAuD,https://api.spotify.com/v1/tracks/4JzjYw87PcpY5XYzmWFAuD,https://api.spotify.com/v1/audio-analysis/4JzjYw87PcpY5XYzmWFAuD,156513,4,Gesellschaftstanz,spotify:track:4JzjYw87PcpY5XYzmWFAuD,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
5,0.258,0.118,8,-26.002,1,0.0461,0.982,0.846,0.426,0.0,101.234,audio_features,5rcJya1AX6KHOHhHruWsPd,spotify:track:5rcJya1AX6KHOHhHruWsPd,https://api.spotify.com/v1/tracks/5rcJya1AX6KHOHhHruWsPd,https://api.spotify.com/v1/audio-analysis/5rcJya1AX6KHOHhHruWsPd,16877,3,Interlude (Nach unten),spotify:track:5rcJya1AX6KHOHhHruWsPd,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
6,0.744,0.759,11,-6.447,0,0.0413,0.244,1.34e-06,0.0778,0.756,119.293,audio_features,66yPzbR0Kbzh1Qc5eOczv2,spotify:track:66yPzbR0Kbzh1Qc5eOczv2,https://api.spotify.com/v1/tracks/66yPzbR0Kbzh1Qc5eOczv2,https://api.spotify.com/v1/audio-analysis/66yPzbR0Kbzh1Qc5eOczv2,171995,4,Wüstenplanet,spotify:track:66yPzbR0Kbzh1Qc5eOczv2,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
7,0.574,0.918,2,-5.946,1,0.0281,0.0454,0.116,0.0806,0.769,90.283,audio_features,556SIZLUrFBqj4gtylwgX9,spotify:track:556SIZLUrFBqj4gtylwgX9,https://api.spotify.com/v1/tracks/556SIZLUrFBqj4gtylwgX9,https://api.spotify.com/v1/audio-analysis/556SIZLUrFBqj4gtylwgX9,178173,4,Zahlen,spotify:track:556SIZLUrFBqj4gtylwgX9,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
8,0.535,0.866,1,-5.934,0,0.0572,0.173,0.00523,0.0613,0.559,122.723,audio_features,1bF0Ei8sfSzNB4UWvB1uMj,spotify:track:1bF0Ei8sfSzNB4UWvB1uMj,https://api.spotify.com/v1/tracks/1bF0Ei8sfSzNB4UWvB1uMj,https://api.spotify.com/v1/audio-analysis/1bF0Ei8sfSzNB4UWvB1uMj,95507,4,Kozmic Schlüsseldienst,spotify:track:1bF0Ei8sfSzNB4UWvB1uMj,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
9,0.511,0.914,8,-5.636,1,0.042,0.142,0.000187,0.0814,0.885,124.526,audio_features,0ACyrUUXZApsnKQeqm1isN,spotify:track:0ACyrUUXZApsnKQeqm1isN,https://api.spotify.com/v1/tracks/0ACyrUUXZApsnKQeqm1isN,https://api.spotify.com/v1/audio-analysis/0ACyrUUXZApsnKQeqm1isN,175973,4,Polenböller,spotify:track:0ACyrUUXZApsnKQeqm1isN,Acht Eimer Hühnerherzen,5Y2hHmvlOM6n0YP5wfe64i
