,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.476,0.895,4,-6.23,0,0.07,0.00288,0.00787,0.07,0.556,92.607,audio_features,554r8bWP7TQnhBUVyGFr7s,spotify:track:554r8bWP7TQnhBUVyGFr7s,https://api.spotify.com/v1/tracks/554r8bWP7TQnhBUVyGFr7s,https://api.spotify.com/v1/audio-analysis/554r8bWP7TQnhBUVyGFr7s,158995,4,Adam's Apple,spotify:track:554r8bWP7TQnhBUVyGFr7s,Adore Delano,3tdsh4B7GuigHI4vPtUs87
1,0.659,0.575,4,-6.571,0,0.0328,0.115,0.000934,0.222,0.354,125.019,audio_features,4r2EFrrF8rnT474a0WyZA6,spotify:track:4r2EFrrF8rnT474a0WyZA6,https://api.spotify.com/v1/tracks/4r2EFrrF8rnT474a0WyZA6,https://api.spotify.com/v1/audio-analysis/4r2EFrrF8rnT474a0WyZA6,256413,4,27 Club,spotify:track:4r2EFrrF8rnT474a0WyZA6,Adore Delano,3tdsh4B7GuigHI4vPtUs87
2,0.397,0.986,7,-5.009,1,0.272,0.0133,9.54e-05,0.91,0.201,159.999,audio_features,5PLUR2R6M9Gk5vY8gx04n0,spotify:track:5PLUR2R6M9Gk5vY8gx04n0,https://api.spotify.com/v1/tracks/5PLUR2R6M9Gk5vY8gx04n0,https://api.spotify.com/v1/audio-analysis/5PLUR2R6M9Gk5vY8gx04n0,211141,4,Butterfly,spotify:track:5PLUR2R6M9Gk5vY8gx04n0,Adore Delano,3tdsh4B7GuigHI4vPtUs87
3,0.544,0.899,7,-5.936,0,0.109,0.0148,7.49e-06,0.091,0.481,140.097,audio_features,3fzgbzsRnOYmdHsOna1U57,spotify:track:3fzgbzsRnOYmdHsOna1U57,https://api.spotify.com/v1/tracks/3fzgbzsRnOYmdHsOna1U57,https://api.spotify.com/v1/audio-analysis/3fzgbzsRnOYmdHsOna1U57,256000,4,No School,spotify:track:3fzgbzsRnOYmdHsOna1U57,Adore Delano,3tdsh4B7GuigHI4vPtUs87
4,0.405,0.85,9,-5.974,0,0.041,1.4e-05,0.000951,0.309,0.596,140.022,audio_features,52MNhcesujMAAy5fHGNp5T,spotify:track:52MNhcesujMAAy5fHGNp5T,https://api.spotify.com/v1/tracks/52MNhcesujMAAy5fHGNp5T,https://api.spotify.com/v1/audio-analysis/52MNhcesujMAAy5fHGNp5T,208286,4,Whole 9 Yards,spotify:track:52MNhcesujMAAy5fHGNp5T,Adore Delano,3tdsh4B7GuigHI4vPtUs87
5,0.56,0.689,9,-6.893,0,0.0426,0.433,1.87e-05,0.1,0.19,114.991,audio_features,42MmCd0KPwarjL78COS0gv,spotify:track:42MmCd0KPwarjL78COS0gv,https://api.spotify.com/v1/tracks/42MmCd0KPwarjL78COS0gv,https://api.spotify.com/v1/audio-analysis/42MmCd0KPwarjL78COS0gv,231903,4,Pretty Boys Cry,spotify:track:42MmCd0KPwarjL78COS0gv,Adore Delano,3tdsh4B7GuigHI4vPtUs87
6,0.441,0.954,9,-4.461,0,0.193,0.0002,0.0,0.49,0.377,170.025,audio_features,4HheguzMvKnZGd9y55Xvbt,spotify:track:4HheguzMvKnZGd9y55Xvbt,https://api.spotify.com/v1/tracks/4HheguzMvKnZGd9y55Xvbt,https://api.spotify.com/v1/audio-analysis/4HheguzMvKnZGd9y55Xvbt,227647,4,Negative Nancy,spotify:track:4HheguzMvKnZGd9y55Xvbt,Adore Delano,3tdsh4B7GuigHI4vPtUs87
7,0.479,0.751,7,-7.55,1,0.0488,0.000673,0.000391,0.123,0.538,160.007,audio_features,6zlDs0WDMbpAPoEOctrY2a,spotify:track:6zlDs0WDMbpAPoEOctrY2a,https://api.spotify.com/v1/tracks/6zlDs0WDMbpAPoEOctrY2a,https://api.spotify.com/v1/audio-analysis/6zlDs0WDMbpAPoEOctrY2a,214875,4,Princess Cut,spotify:track:6zlDs0WDMbpAPoEOctrY2a,Adore Delano,3tdsh4B7GuigHI4vPtUs87
8,0.455,0.724,11,-6.037,1,0.034,0.0172,0.000533,0.166,0.258,109.882,audio_features,20oEizrujYV4N8EH02l1IX,spotify:track:20oEizrujYV4N8EH02l1IX,https://api.spotify.com/v1/tracks/20oEizrujYV4N8EH02l1IX,https://api.spotify.com/v1/audio-analysis/20oEizrujYV4N8EH02l1IX,300545,4,Witch Hunt,spotify:track:20oEizrujYV4N8EH02l1IX,Adore Delano,3tdsh4B7GuigHI4vPtUs87
9,0.568,0.921,4,-5.446,0,0.115,0.108,2.36e-05,0.213,0.791,175.111,audio_features,6MjYpi0EWTZo472yfi9KRu,spotify:track:6MjYpi0EWTZo472yfi9KRu,https://api.spotify.com/v1/tracks/6MjYpi0EWTZo472yfi9KRu,https://api.spotify.com/v1/audio-analysis/6MjYpi0EWTZo472yfi9KRu,213950,4,But Her Fly,spotify:track:6MjYpi0EWTZo472yfi9KRu,Adore Delano,3tdsh4B7GuigHI4vPtUs87
10,0.693,0.787,7,-8.066,1,0.112,0.00865,0.0297,0.148,0.527,129.99,audio_features,0O7zOtMcDiCkFgj5QhAeZP,spotify:track:0O7zOtMcDiCkFgj5QhAeZP,https://api.spotify.com/v1/tracks/0O7zOtMcDiCkFgj5QhAeZP,https://api.spotify.com/v1/audio-analysis/0O7zOtMcDiCkFgj5QhAeZP,288697,4,Hole Nine Yards,spotify:track:0O7zOtMcDiCkFgj5QhAeZP,Adore Delano,3tdsh4B7GuigHI4vPtUs87
11,0.467,0.555,2,-7.784,0,0.0397,0.0112,0.0,0.571,0.236,87.835,audio_features,7cVzOpg9lFCunHQoOSSC1T,spotify:track:7cVzOpg9lFCunHQoOSSC1T,https://api.spotify.com/v1/tracks/7cVzOpg9lFCunHQoOSSC1T,https://api.spotify.com/v1/audio-analysis/7cVzOpg9lFCunHQoOSSC1T,182832,4,I.C.U.,spotify:track:7cVzOpg9lFCunHQoOSSC1T,Adore Delano,3tdsh4B7GuigHI4vPtUs87
12,0.647,0.79,6,-4.059,0,0.0377,0.00487,0.0,0.384,0.434,133.031,audio_features,662ZC6aVquAgtpWjDr5irI,spotify:track:662ZC6aVquAgtpWjDr5irI,https://api.spotify.com/v1/tracks/662ZC6aVquAgtpWjDr5irI,https://api.spotify.com/v1/audio-analysis/662ZC6aVquAgtpWjDr5irI,163423,4,Dynamite,spotify:track:662ZC6aVquAgtpWjDr5irI,Adore Delano,3tdsh4B7GuigHI4vPtUs87
13,0.6,0.843,1,-3.399,1,0.0388,0.000906,0.0,0.164,0.332,125.029,audio_features,73j20sbFUR1cSRtPZhagYY,spotify:track:73j20sbFUR1cSRtPZhagYY,https://api.spotify.com/v1/tracks/73j20sbFUR1cSRtPZhagYY,https://api.spotify.com/v1/audio-analysis/73j20sbFUR1cSRtPZhagYY,196050,4,Take Me There,spotify:track:73j20sbFUR1cSRtPZhagYY,Adore Delano,3tdsh4B7GuigHI4vPtUs87
14,0.595,0.632,0,-7.648,1,0.0356,0.00366,0.0,0.0662,0.399,137.994,audio_features,3i6859ZLBzjAbnw4jA4JjR,spotify:track:3i6859ZLBzjAbnw4jA4JjR,https://api.spotify.com/v1/tracks/3i6859ZLBzjAbnw4jA4JjR,https://api.spotify.com/v1/audio-analysis/3i6859ZLBzjAbnw4jA4JjR,187482,4,Better Than the Movies,spotify:track:3i6859ZLBzjAbnw4jA4JjR,Adore Delano,3tdsh4B7GuigHI4vPtUs87
15,0.633,0.837,8,-6.042,0,0.0526,0.00243,0.000245,0.266,0.683,127.851,audio_features,68DGqvOUU6mkILQOe1rfa3,spotify:track:68DGqvOUU6mkILQOe1rfa3,https://api.spotify.com/v1/tracks/68DGqvOUU6mkILQOe1rfa3,https://api.spotify.com/v1/audio-analysis/68DGqvOUU6mkILQOe1rfa3,214884,4,Foreign Lover,spotify:track:68DGqvOUU6mkILQOe1rfa3,Adore Delano,3tdsh4B7GuigHI4vPtUs87
16,0.562,0.884,9,-5.195,1,0.0532,0.00239,0.0,0.197,0.35,130.035,audio_features,2CfcTr3EV9VNcmq3RQdMz1,spotify:track:2CfcTr3EV9VNcmq3RQdMz1,https://api.spotify.com/v1/tracks/2CfcTr3EV9VNcmq3RQdMz1,https://api.spotify.com/v1/audio-analysis/2CfcTr3EV9VNcmq3RQdMz1,212115,4,Bold as Love,spotify:track:2CfcTr3EV9VNcmq3RQdMz1,Adore Delano,3tdsh4B7GuigHI4vPtUs87
17,0.675,0.875,9,-5.423,0,0.0518,0.124,1.32e-06,0.646,0.741,110.021,audio_features,5mKCXJOQPbRZ9Kqql9poMV,spotify:track:5mKCXJOQPbRZ9Kqql9poMV,https://api.spotify.com/v1/tracks/5mKCXJOQPbRZ9Kqql9poMV,https://api.spotify.com/v1/audio-analysis/5mKCXJOQPbRZ9Kqql9poMV,249601,4,After Party,spotify:track:5mKCXJOQPbRZ9Kqql9poMV,Adore Delano,3tdsh4B7GuigHI4vPtUs87
18,0.788,0.672,5,-5.665,1,0.0536,0.00261,0.0,0.0468,0.978,118.028,audio_features,3d7Vays9hQjNIrY6lkUgnK,spotify:track:3d7Vays9hQjNIrY6lkUgnK,https://api.spotify.com/v1/tracks/3d7Vays9hQjNIrY6lkUgnK,https://api.spotify.com/v1/audio-analysis/3d7Vays9hQjNIrY6lkUgnK,150336,4,I Really Like It,spotify:track:3d7Vays9hQjNIrY6lkUgnK,Adore Delano,3tdsh4B7GuigHI4vPtUs87
19,0.691,0.852,9,-6.181,0,0.0604,0.00961,0.0,0.449,0.167,107.025,audio_features,4SyPWKPcPbTcMpkdiIKEls,spotify:track:4SyPWKPcPbTcMpkdiIKEls,https://api.spotify.com/v1/tracks/4SyPWKPcPbTcMpkdiIKEls,https://api.spotify.com/v1/audio-analysis/4SyPWKPcPbTcMpkdiIKEls,265379,4,Out of the Blue,spotify:track:4SyPWKPcPbTcMpkdiIKEls,Adore Delano,3tdsh4B7GuigHI4vPtUs87
20,0.553,0.687,9,-5.22,0,0.0786,0.397,0.0,0.0917,0.207,78.462,audio_features,2JtSrdpQyNkHEkMlVLRuF5,spotify:track:2JtSrdpQyNkHEkMlVLRuF5,https://api.spotify.com/v1/tracks/2JtSrdpQyNkHEkMlVLRuF5,https://api.spotify.com/v1/audio-analysis/2JtSrdpQyNkHEkMlVLRuF5,196990,4,I Can't Love You,spotify:track:2JtSrdpQyNkHEkMlVLRuF5,Adore Delano,3tdsh4B7GuigHI4vPtUs87
21,0.596,0.632,3,-5.165,1,0.03,0.0161,0.0,0.154,0.0926,98.079,audio_features,5W7JzlA3an8okKZvASyeXc,spotify:track:5W7JzlA3an8okKZvASyeXc,https://api.spotify.com/v1/tracks/5W7JzlA3an8okKZvASyeXc,https://api.spotify.com/v1/audio-analysis/5W7JzlA3an8okKZvASyeXc,211384,4,Save Your Breath,spotify:track:5W7JzlA3an8okKZvASyeXc,Adore Delano,3tdsh4B7GuigHI4vPtUs87
22,0.508,0.642,0,-7.08,1,0.169,0.00791,0.0,0.109,0.338,143.749,audio_features,5JKsz9I5r6MlCu0lZqaWfz,spotify:track:5JKsz9I5r6MlCu0lZqaWfz,https://api.spotify.com/v1/tracks/5JKsz9I5r6MlCu0lZqaWfz,https://api.spotify.com/v1/audio-analysis/5JKsz9I5r6MlCu0lZqaWfz,205924,4,Constellations,spotify:track:5JKsz9I5r6MlCu0lZqaWfz,Adore Delano,3tdsh4B7GuigHI4vPtUs87
23,0.698,0.617,5,-7.245,1,0.0559,0.326,7.82e-05,0.095,0.26,127.021,audio_features,4i4glTyv6ivs6FBkt4IjUc,spotify:track:4i4glTyv6ivs6FBkt4IjUc,https://api.spotify.com/v1/tracks/4i4glTyv6ivs6FBkt4IjUc,https://api.spotify.com/v1/audio-analysis/4i4glTyv6ivs6FBkt4IjUc,245657,4,4am,spotify:track:4i4glTyv6ivs6FBkt4IjUc,Adore Delano,3tdsh4B7GuigHI4vPtUs87
24,0.698,0.936,4,-4.6,0,0.164,0.007,0.0,0.279,0.729,138.06,audio_features,71bNzGbi9z1YBiz7kWxVOw,spotify:track:71bNzGbi9z1YBiz7kWxVOw,https://api.spotify.com/v1/tracks/71bNzGbi9z1YBiz7kWxVOw,https://api.spotify.com/v1/audio-analysis/71bNzGbi9z1YBiz7kWxVOw,172983,4,Speak My Sex,spotify:track:71bNzGbi9z1YBiz7kWxVOw,Adore Delano,3tdsh4B7GuigHI4vPtUs87
25,0.718,0.845,11,-4.585,1,0.0931,0.0697,0.0,0.0908,0.741,139.946,audio_features,02APzMtlTbyqFQEcDBbRbF,spotify:track:02APzMtlTbyqFQEcDBbRbF,https://api.spotify.com/v1/tracks/02APzMtlTbyqFQEcDBbRbF,https://api.spotify.com/v1/audio-analysis/02APzMtlTbyqFQEcDBbRbF,237479,4,D T F,spotify:track:02APzMtlTbyqFQEcDBbRbF,Adore Delano,3tdsh4B7GuigHI4vPtUs87
26,0.588,0.67,5,-5.788,1,0.0323,0.000331,0.0,0.0841,0.565,127.877,audio_features,6VmUvNG56nv8fZyGvsEa5b,spotify:track:6VmUvNG56nv8fZyGvsEa5b,https://api.spotify.com/v1/tracks/6VmUvNG56nv8fZyGvsEa5b,https://api.spotify.com/v1/audio-analysis/6VmUvNG56nv8fZyGvsEa5b,191504,4,Party,spotify:track:6VmUvNG56nv8fZyGvsEa5b,Adore Delano,3tdsh4B7GuigHI4vPtUs87
27,0.684,0.846,8,-4.745,0,0.113,0.397,0.0,0.11,0.16,143.018,audio_features,1mdK1wlUOVZ05yZ0wox7Dc,spotify:track:1mdK1wlUOVZ05yZ0wox7Dc,https://api.spotify.com/v1/tracks/1mdK1wlUOVZ05yZ0wox7Dc,https://api.spotify.com/v1/audio-analysis/1mdK1wlUOVZ05yZ0wox7Dc,222877,4,I Adore You,spotify:track:1mdK1wlUOVZ05yZ0wox7Dc,Adore Delano,3tdsh4B7GuigHI4vPtUs87
