,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.273,0.183,6,-17.962,0,0.0389,0.986,0.676,0.127,0.184,122.835,audio_features,1DxRCoKAKUejHETNMsJrsj,spotify:track:1DxRCoKAKUejHETNMsJrsj,https://api.spotify.com/v1/tracks/1DxRCoKAKUejHETNMsJrsj,https://api.spotify.com/v1/audio-analysis/1DxRCoKAKUejHETNMsJrsj,283774,4,Camera's Rolling,spotify:track:1DxRCoKAKUejHETNMsJrsj,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
1,0.567,0.267,4,-14.718,0,0.0326,0.946,0.0326,0.0993,0.203,126.837,audio_features,6ilOjlJMBMSAWolY3xHZ1i,spotify:track:6ilOjlJMBMSAWolY3xHZ1i,https://api.spotify.com/v1/tracks/6ilOjlJMBMSAWolY3xHZ1i,https://api.spotify.com/v1/audio-analysis/6ilOjlJMBMSAWolY3xHZ1i,295967,4,Broken Sleep,spotify:track:6ilOjlJMBMSAWolY3xHZ1i,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
2,0.432,0.246,0,-14.492,1,0.0354,0.969,0.0126,0.121,0.126,120.103,audio_features,2xvlhh8v0iXjPUZQ0QWghu,spotify:track:2xvlhh8v0iXjPUZQ0QWghu,https://api.spotify.com/v1/tracks/2xvlhh8v0iXjPUZQ0QWghu,https://api.spotify.com/v1/audio-analysis/2xvlhh8v0iXjPUZQ0QWghu,329456,4,Island Of Doom,spotify:track:2xvlhh8v0iXjPUZQ0QWghu,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
3,0.409,0.189,5,-25.884,1,0.0295,0.989,0.936,0.104,0.176,143.754,audio_features,3wFDDOshV5OWzHMLIdwWPk,spotify:track:3wFDDOshV5OWzHMLIdwWPk,https://api.spotify.com/v1/tracks/3wFDDOshV5OWzHMLIdwWPk,https://api.spotify.com/v1/audio-analysis/3wFDDOshV5OWzHMLIdwWPk,137186,3,Roscian,spotify:track:3wFDDOshV5OWzHMLIdwWPk,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
4,0.631,0.425,4,-13.162,1,0.0229,0.927,0.663,0.0716,0.695,97.994,audio_features,0jbgt7psXDq3cOQK7s0THz,spotify:track:0jbgt7psXDq3cOQK7s0THz,https://api.spotify.com/v1/tracks/0jbgt7psXDq3cOQK7s0THz,https://api.spotify.com/v1/audio-analysis/0jbgt7psXDq3cOQK7s0THz,316548,3,Myopia,spotify:track:0jbgt7psXDq3cOQK7s0THz,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
5,0.634,0.248,8,-17.011,1,0.0355,0.93,0.931,0.0841,0.463,186.251,audio_features,0iamUYXRWQMuWR7AFf7pTW,spotify:track:0iamUYXRWQMuWR7AFf7pTW,https://api.spotify.com/v1/tracks/0iamUYXRWQMuWR7AFf7pTW,https://api.spotify.com/v1/audio-analysis/0iamUYXRWQMuWR7AFf7pTW,147648,5,Drosera,spotify:track:0iamUYXRWQMuWR7AFf7pTW,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
6,0.553,0.273,11,-16.231,0,0.035,0.935,0.0029,0.106,0.0834,126.681,audio_features,3NH92QJm6Yez7GAlHgbxfB,spotify:track:3NH92QJm6Yez7GAlHgbxfB,https://api.spotify.com/v1/tracks/3NH92QJm6Yez7GAlHgbxfB,https://api.spotify.com/v1/audio-analysis/3NH92QJm6Yez7GAlHgbxfB,206199,4,Can't Be,spotify:track:3NH92QJm6Yez7GAlHgbxfB,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
7,0.212,0.239,11,-17.042,0,0.0365,0.919,0.942,0.149,0.117,119.345,audio_features,3NoTSP54RBUKGE0CK0wLis,spotify:track:3NoTSP54RBUKGE0CK0wLis,https://api.spotify.com/v1/tracks/3NoTSP54RBUKGE0CK0wLis,https://api.spotify.com/v1/audio-analysis/3NoTSP54RBUKGE0CK0wLis,149752,3,Parliament Of Owls,spotify:track:3NoTSP54RBUKGE0CK0wLis,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
8,0.236,0.182,6,-16.323,0,0.0334,0.983,0.00648,0.0835,0.148,145.522,audio_features,0hRwDoDHfILeRoZynr4cPe,spotify:track:0hRwDoDHfILeRoZynr4cPe,https://api.spotify.com/v1/tracks/0hRwDoDHfILeRoZynr4cPe,https://api.spotify.com/v1/audio-analysis/0hRwDoDHfILeRoZynr4cPe,269026,4,Promise Keeper,spotify:track:0hRwDoDHfILeRoZynr4cPe,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
9,0.136,0.0611,0,-21.855,1,0.0341,0.944,0.163,0.0745,0.107,63.402,audio_features,1j2LwxkXPVM9YRu2YZW06a,spotify:track:1j2LwxkXPVM9YRu2YZW06a,https://api.spotify.com/v1/tracks/1j2LwxkXPVM9YRu2YZW06a,https://api.spotify.com/v1/audio-analysis/1j2LwxkXPVM9YRu2YZW06a,256813,3,Won't You Call Me,spotify:track:1j2LwxkXPVM9YRu2YZW06a,Agnes Obel,1rKrEdI6GKirxWHxIUPYms
