,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.236,0.562,1,-9.403,1,0.0672,0.159,0.414,0.714,0.175,78.814,audio_features,15sXVnx4cXB3tWZIIsDf7q,spotify:track:15sXVnx4cXB3tWZIIsDf7q,https://api.spotify.com/v1/tracks/15sXVnx4cXB3tWZIIsDf7q,https://api.spotify.com/v1/audio-analysis/15sXVnx4cXB3tWZIIsDf7q,140040,5,Profondo,spotify:track:15sXVnx4cXB3tWZIIsDf7q,Alesso,4AVFqumd2ogHFlRbKIjp1t
1,0.567,0.931,6,-5.385,0,0.0734,0.022,0.726,0.276,0.18,126.016,audio_features,0XYN45tcA6ChGBf4UQZc0j,spotify:track:0XYN45tcA6ChGBf4UQZc0j,https://api.spotify.com/v1/tracks/0XYN45tcA6ChGBf4UQZc0j,https://api.spotify.com/v1/audio-analysis/0XYN45tcA6ChGBf4UQZc0j,197427,4,PAYDAY,spotify:track:0XYN45tcA6ChGBf4UQZc0j,Alesso,4AVFqumd2ogHFlRbKIjp1t
2,0.503,0.748,5,-4.124,1,0.0619,0.0305,0.0,0.343,0.356,125.896,audio_features,05XtssRLI22p8wLFIr7Vrl,spotify:track:05XtssRLI22p8wLFIr7Vrl,https://api.spotify.com/v1/tracks/05XtssRLI22p8wLFIr7Vrl,https://api.spotify.com/v1/audio-analysis/05XtssRLI22p8wLFIr7Vrl,210013,4,Heroes (we could be),spotify:track:05XtssRLI22p8wLFIr7Vrl,Alesso,4AVFqumd2ogHFlRbKIjp1t
3,0.684,0.954,7,-3.406,1,0.0553,0.0233,0.305,0.0608,0.416,126.023,audio_features,0pCZDWqLfwEtVWFmhWUibR,spotify:track:0pCZDWqLfwEtVWFmhWUibR,https://api.spotify.com/v1/tracks/0pCZDWqLfwEtVWFmhWUibR,https://api.spotify.com/v1/audio-analysis/0pCZDWqLfwEtVWFmhWUibR,195787,4,Tear The Roof Up - Radio Edit,spotify:track:0pCZDWqLfwEtVWFmhWUibR,Alesso,4AVFqumd2ogHFlRbKIjp1t
4,0.708,0.793,6,-4.265,1,0.0298,0.632,9.26e-05,0.133,0.338,125.025,audio_features,4oWFnpL0i7tz1xNdGaevUq,spotify:track:4oWFnpL0i7tz1xNdGaevUq,https://api.spotify.com/v1/tracks/4oWFnpL0i7tz1xNdGaevUq,https://api.spotify.com/v1/audio-analysis/4oWFnpL0i7tz1xNdGaevUq,215293,4,Cool,spotify:track:4oWFnpL0i7tz1xNdGaevUq,Alesso,4AVFqumd2ogHFlRbKIjp1t
5,0.526,0.81,4,-2.299,1,0.0337,0.0597,2.11e-05,0.303,0.519,126.003,audio_features,2rd4MCZrbOzbgAc7zzho4W,spotify:track:2rd4MCZrbOzbgAc7zzho4W,https://api.spotify.com/v1/tracks/2rd4MCZrbOzbgAc7zzho4W,https://api.spotify.com/v1/audio-analysis/2rd4MCZrbOzbgAc7zzho4W,198240,4,Scars,spotify:track:2rd4MCZrbOzbgAc7zzho4W,Alesso,4AVFqumd2ogHFlRbKIjp1t
6,0.572,0.839,2,-3.865,1,0.0397,0.0721,1.74e-06,0.197,0.516,126.029,audio_features,1kuRcAqHTwpRLzy8rPWkdg,spotify:track:1kuRcAqHTwpRLzy8rPWkdg,https://api.spotify.com/v1/tracks/1kuRcAqHTwpRLzy8rPWkdg,https://api.spotify.com/v1/audio-analysis/1kuRcAqHTwpRLzy8rPWkdg,232533,4,Sweet Escape,spotify:track:1kuRcAqHTwpRLzy8rPWkdg,Alesso,4AVFqumd2ogHFlRbKIjp1t
7,0.614,0.601,2,-6.392,1,0.0386,0.774,0.841,0.117,0.514,122.999,audio_features,31bFScdagROA4K43odDYhX,spotify:track:31bFScdagROA4K43odDYhX,https://api.spotify.com/v1/tracks/31bFScdagROA4K43odDYhX,https://api.spotify.com/v1/audio-analysis/31bFScdagROA4K43odDYhX,329413,4,Destinations,spotify:track:31bFScdagROA4K43odDYhX,Alesso,4AVFqumd2ogHFlRbKIjp1t
8,0.52,0.717,9,-4.695,0,0.0505,0.0432,0.0,0.146,0.239,125.899,audio_features,4V8HKPeEBCxi3r0nWD6cdo,spotify:track:4V8HKPeEBCxi3r0nWD6cdo,https://api.spotify.com/v1/tracks/4V8HKPeEBCxi3r0nWD6cdo,https://api.spotify.com/v1/audio-analysis/4V8HKPeEBCxi3r0nWD6cdo,232480,4,If It Wasn't For You,spotify:track:4V8HKPeEBCxi3r0nWD6cdo,Alesso,4AVFqumd2ogHFlRbKIjp1t
9,0.507,0.794,9,-2.486,0,0.0549,0.0715,0.0,0.2,0.34,125.975,audio_features,52NGxVw7aqCxJ3odn8ZPtT,spotify:track:52NGxVw7aqCxJ3odn8ZPtT,https://api.spotify.com/v1/tracks/52NGxVw7aqCxJ3odn8ZPtT,https://api.spotify.com/v1/audio-analysis/52NGxVw7aqCxJ3odn8ZPtT,183000,4,In My Blood,spotify:track:52NGxVw7aqCxJ3odn8ZPtT,Alesso,4AVFqumd2ogHFlRbKIjp1t
10,0.549,0.919,8,-3.412,1,0.08,0.147,0.000857,0.119,0.513,126.036,audio_features,6z0cQ93wqOlpMOEqRoIbco,spotify:track:6z0cQ93wqOlpMOEqRoIbco,https://api.spotify.com/v1/tracks/6z0cQ93wqOlpMOEqRoIbco,https://api.spotify.com/v1/audio-analysis/6z0cQ93wqOlpMOEqRoIbco,183307,4,Under Control - Radio Edit,spotify:track:6z0cQ93wqOlpMOEqRoIbco,Alesso,4AVFqumd2ogHFlRbKIjp1t
