,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.682,0.912,8,-6.001,0,0.114,0.00595,0.0092,0.0587,0.601,124.969,audio_features,1TW16p0GOu37mBZ9L4k5vp,spotify:track:1TW16p0GOu37mBZ9L4k5vp,https://api.spotify.com/v1/tracks/1TW16p0GOu37mBZ9L4k5vp,https://api.spotify.com/v1/audio-analysis/1TW16p0GOu37mBZ9L4k5vp,194880,4,Need U Like The Sun,spotify:track:1TW16p0GOu37mBZ9L4k5vp,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
1,0.642,0.984,11,-4.834,0,0.106,0.00297,0.284,0.296,0.384,122.009,audio_features,3d02IAJfVNhLsbiDOc5z5N,spotify:track:3d02IAJfVNhLsbiDOc5z5N,https://api.spotify.com/v1/tracks/3d02IAJfVNhLsbiDOc5z5N,https://api.spotify.com/v1/audio-analysis/3d02IAJfVNhLsbiDOc5z5N,185902,4,All I Need,spotify:track:3d02IAJfVNhLsbiDOc5z5N,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
2,0.689,0.963,9,-4.91,1,0.104,0.000813,0.57,0.0327,0.392,122.008,audio_features,5oPU0d7HhbSjeNds8uObYo,spotify:track:5oPU0d7HhbSjeNds8uObYo,https://api.spotify.com/v1/tracks/5oPU0d7HhbSjeNds8uObYo,https://api.spotify.com/v1/audio-analysis/5oPU0d7HhbSjeNds8uObYo,380164,4,All I Need - Extended Mix,spotify:track:5oPU0d7HhbSjeNds8uObYo,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
3,0.746,0.931,0,-5.897,1,0.118,0.00147,0.11,0.0267,0.73,127.017,audio_features,448TN6KBwnlJtP1flBV2ql,spotify:track:448TN6KBwnlJtP1flBV2ql,https://api.spotify.com/v1/tracks/448TN6KBwnlJtP1flBV2ql,https://api.spotify.com/v1/audio-analysis/448TN6KBwnlJtP1flBV2ql,213543,4,Save Me,spotify:track:448TN6KBwnlJtP1flBV2ql,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
4,0.835,0.889,1,-6.517,1,0.0619,0.000236,0.149,0.0217,0.807,127.008,audio_features,3ZBSJNeh7GvK4lDJ8gHPo4,spotify:track:3ZBSJNeh7GvK4lDJ8gHPo4,https://api.spotify.com/v1/tracks/3ZBSJNeh7GvK4lDJ8gHPo4,https://api.spotify.com/v1/audio-analysis/3ZBSJNeh7GvK4lDJ8gHPo4,411750,4,Save Me - Extended Mix,spotify:track:3ZBSJNeh7GvK4lDJ8gHPo4,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
5,0.742,0.936,7,-5.143,1,0.209,0.0487,0.0677,0.083,0.611,124.985,audio_features,0DlLLaliuECL8YOLxc87rZ,spotify:track:0DlLLaliuECL8YOLxc87rZ,https://api.spotify.com/v1/tracks/0DlLLaliuECL8YOLxc87rZ,https://api.spotify.com/v1/audio-analysis/0DlLLaliuECL8YOLxc87rZ,160250,4,Light Up My Life - Alex Preston Remix,spotify:track:0DlLLaliuECL8YOLxc87rZ,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
6,0.808,0.869,0,-6.144,0,0.136,0.0279,0.00187,0.0949,0.778,124.997,audio_features,2SLpKr5Mufx3sm7WlUDjXU,spotify:track:2SLpKr5Mufx3sm7WlUDjXU,https://api.spotify.com/v1/tracks/2SLpKr5Mufx3sm7WlUDjXU,https://api.spotify.com/v1/audio-analysis/2SLpKr5Mufx3sm7WlUDjXU,222720,4,Lots Of Soulful Vocals,spotify:track:2SLpKr5Mufx3sm7WlUDjXU,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
7,0.796,0.963,8,-5.766,1,0.209,0.0635,0.0375,0.104,0.715,124.007,audio_features,48Q0Go5uGXcT6VMCYFicBr,spotify:track:48Q0Go5uGXcT6VMCYFicBr,https://api.spotify.com/v1/tracks/48Q0Go5uGXcT6VMCYFicBr,https://api.spotify.com/v1/audio-analysis/48Q0Go5uGXcT6VMCYFicBr,202250,4,Nothing Can Hurt You,spotify:track:48Q0Go5uGXcT6VMCYFicBr,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
8,0.897,0.932,8,-6.292,1,0.305,0.0182,0.302,0.0471,0.667,123.994,audio_features,7vdR4v1uOuthEfs8TaCM4N,spotify:track:7vdR4v1uOuthEfs8TaCM4N,https://api.spotify.com/v1/tracks/7vdR4v1uOuthEfs8TaCM4N,https://api.spotify.com/v1/audio-analysis/7vdR4v1uOuthEfs8TaCM4N,357000,4,Nothing Can Hurt You - Extended Mix,spotify:track:7vdR4v1uOuthEfs8TaCM4N,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
9,0.758,0.929,0,-5.892,0,0.0447,0.00256,0.605,0.0481,0.554,124.999,audio_features,3HHjh2PfayANYTxbrFOaM0,spotify:track:3HHjh2PfayANYTxbrFOaM0,https://api.spotify.com/v1/tracks/3HHjh2PfayANYTxbrFOaM0,https://api.spotify.com/v1/audio-analysis/3HHjh2PfayANYTxbrFOaM0,211112,4,Shake Me,spotify:track:3HHjh2PfayANYTxbrFOaM0,Alex Preston,0f8HuVIxsHG6bnEZsz0RuD
