,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.443,0.992,2,-2.495,1,0.116,0.00014,0.0,0.125,0.242,147.952,audio_features,7JmBGyKscbUBlf1ae4TKJs,spotify:track:7JmBGyKscbUBlf1ae4TKJs,https://api.spotify.com/v1/tracks/7JmBGyKscbUBlf1ae4TKJs,https://api.spotify.com/v1/audio-analysis/7JmBGyKscbUBlf1ae4TKJs,219191,4,So it begins,spotify:track:7JmBGyKscbUBlf1ae4TKJs,All Faces Down,0IohuWvOYtIiMCLsIXal8m
1,0.493,0.986,6,-2.208,0,0.0584,0.000274,0.0,0.296,0.36,95.005,audio_features,4vT2pESRbC2Oelhi7fjwBy,spotify:track:4vT2pESRbC2Oelhi7fjwBy,https://api.spotify.com/v1/tracks/4vT2pESRbC2Oelhi7fjwBy,https://api.spotify.com/v1/audio-analysis/4vT2pESRbC2Oelhi7fjwBy,208107,4,I hope you know,spotify:track:4vT2pESRbC2Oelhi7fjwBy,All Faces Down,0IohuWvOYtIiMCLsIXal8m
2,0.242,0.995,4,-1.935,1,0.148,0.000263,0.0,0.382,0.397,92.796,audio_features,4nmlAqDR41WeW4HA4NQ1Pm,spotify:track:4nmlAqDR41WeW4HA4NQ1Pm,https://api.spotify.com/v1/tracks/4nmlAqDR41WeW4HA4NQ1Pm,https://api.spotify.com/v1/audio-analysis/4nmlAqDR41WeW4HA4NQ1Pm,197989,4,Sink or swim,spotify:track:4nmlAqDR41WeW4HA4NQ1Pm,All Faces Down,0IohuWvOYtIiMCLsIXal8m
3,0.446,0.986,11,-2.607,0,0.124,0.0006,0.0,0.0961,0.377,147.503,audio_features,1KS4Fgm9yHXC6YYDOamwnF,spotify:track:1KS4Fgm9yHXC6YYDOamwnF,https://api.spotify.com/v1/tracks/1KS4Fgm9yHXC6YYDOamwnF,https://api.spotify.com/v1/audio-analysis/1KS4Fgm9yHXC6YYDOamwnF,223935,4,Letters,spotify:track:1KS4Fgm9yHXC6YYDOamwnF,All Faces Down,0IohuWvOYtIiMCLsIXal8m
4,0.486,0.994,11,-1.937,0,0.147,0.00265,0.0,0.328,0.344,93.465,audio_features,6AgxJtpEnxi2RabvOvLrkE,spotify:track:6AgxJtpEnxi2RabvOvLrkE,https://api.spotify.com/v1/tracks/6AgxJtpEnxi2RabvOvLrkE,https://api.spotify.com/v1/audio-analysis/6AgxJtpEnxi2RabvOvLrkE,224879,4,Running,spotify:track:6AgxJtpEnxi2RabvOvLrkE,All Faces Down,0IohuWvOYtIiMCLsIXal8m
5,0.396,0.992,11,-2.04,0,0.148,0.000681,0.0,0.257,0.239,147.904,audio_features,140A5NpdfI5BQaBoQkqJvG,spotify:track:140A5NpdfI5BQaBoQkqJvG,https://api.spotify.com/v1/tracks/140A5NpdfI5BQaBoQkqJvG,https://api.spotify.com/v1/audio-analysis/140A5NpdfI5BQaBoQkqJvG,205556,4,We believe,spotify:track:140A5NpdfI5BQaBoQkqJvG,All Faces Down,0IohuWvOYtIiMCLsIXal8m
6,0.466,0.993,1,-1.883,1,0.0825,0.00102,0.0,0.222,0.464,157.041,audio_features,3DNysKZv4xHcdAbeFfemJ3,spotify:track:3DNysKZv4xHcdAbeFfemJ3,https://api.spotify.com/v1/tracks/3DNysKZv4xHcdAbeFfemJ3,https://api.spotify.com/v1/audio-analysis/3DNysKZv4xHcdAbeFfemJ3,204322,4,Young,spotify:track:3DNysKZv4xHcdAbeFfemJ3,All Faces Down,0IohuWvOYtIiMCLsIXal8m
7,0.444,0.98,1,-2.381,1,0.0947,0.0101,0.0,0.238,0.375,157.012,audio_features,119IvxS8hk3AAGTJFUg4Mm,spotify:track:119IvxS8hk3AAGTJFUg4Mm,https://api.spotify.com/v1/tracks/119IvxS8hk3AAGTJFUg4Mm,https://api.spotify.com/v1/audio-analysis/119IvxS8hk3AAGTJFUg4Mm,187761,4,Stay blind,spotify:track:119IvxS8hk3AAGTJFUg4Mm,All Faces Down,0IohuWvOYtIiMCLsIXal8m
8,0.274,0.996,6,-2.126,1,0.0938,0.000932,0.0,0.152,0.549,83.713,audio_features,2ooIxAU5cAvkeel7InmoXm,spotify:track:2ooIxAU5cAvkeel7InmoXm,https://api.spotify.com/v1/tracks/2ooIxAU5cAvkeel7InmoXm,https://api.spotify.com/v1/audio-analysis/2ooIxAU5cAvkeel7InmoXm,200505,4,Moments,spotify:track:2ooIxAU5cAvkeel7InmoXm,All Faces Down,0IohuWvOYtIiMCLsIXal8m
9,0.531,0.971,1,-2.231,0,0.0575,0.00316,0.0,0.621,0.354,96.022,audio_features,1fx3L9vU6T4vkSwnoo0GEE,spotify:track:1fx3L9vU6T4vkSwnoo0GEE,https://api.spotify.com/v1/tracks/1fx3L9vU6T4vkSwnoo0GEE,https://api.spotify.com/v1/audio-analysis/1fx3L9vU6T4vkSwnoo0GEE,225278,4,One honest book,spotify:track:1fx3L9vU6T4vkSwnoo0GEE,All Faces Down,0IohuWvOYtIiMCLsIXal8m
