,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.815,0.784,11,-5.502,1,0.146,0.00158,2.3e-05,0.216,0.8,156.042,audio_features,1AzcYMcgBhOL6jV5XThXIf,spotify:track:1AzcYMcgBhOL6jV5XThXIf,https://api.spotify.com/v1/tracks/1AzcYMcgBhOL6jV5XThXIf,https://api.spotify.com/v1/audio-analysis/1AzcYMcgBhOL6jV5XThXIf,160000,4,Atención,spotify:track:1AzcYMcgBhOL6jV5XThXIf,Anitta,7FNnA9vBm6EKceENgCGRMb
1,0.752,0.681,11,-6.684,0,0.299,0.0195,0.0,0.0353,0.648,73.233,audio_features,7eeLYvJsK5QiDeX1loY9rW,spotify:track:7eeLYvJsK5QiDeX1loY9rW,https://api.spotify.com/v1/tracks/7eeLYvJsK5QiDeX1loY9rW,https://api.spotify.com/v1/audio-analysis/7eeLYvJsK5QiDeX1loY9rW,195619,4,Banana,spotify:track:7eeLYvJsK5QiDeX1loY9rW,Anitta,7FNnA9vBm6EKceENgCGRMb
2,0.705,0.721,1,-5.545,0,0.514,0.333,0.0,0.101,0.574,75.132,audio_features,4112C7r91ej3QaXiw7pJKc,spotify:track:4112C7r91ej3QaXiw7pJKc,https://api.spotify.com/v1/tracks/4112C7r91ej3QaXiw7pJKc,https://api.spotify.com/v1/audio-analysis/4112C7r91ej3QaXiw7pJKc,160900,4,Onda diferente (feat. Papatinho),spotify:track:4112C7r91ej3QaXiw7pJKc,Anitta,7FNnA9vBm6EKceENgCGRMb
3,0.82,0.772,6,-1.781,1,0.0663,0.324,0.0,0.0878,0.764,99.961,audio_features,0ftP0HrE7xbo81SAwq9HXu,spotify:track:0ftP0HrE7xbo81SAwq9HXu,https://api.spotify.com/v1/tracks/0ftP0HrE7xbo81SAwq9HXu,https://api.spotify.com/v1/audio-analysis/0ftP0HrE7xbo81SAwq9HXu,191362,4,Sin miedo,spotify:track:0ftP0HrE7xbo81SAwq9HXu,Anitta,7FNnA9vBm6EKceENgCGRMb
4,0.701,0.852,0,-4.03,1,0.126,0.509,0.0,0.309,0.607,144.837,audio_features,3ZjmloY4fJkfs9qYH82Oau,spotify:track:3ZjmloY4fJkfs9qYH82Oau,https://api.spotify.com/v1/tracks/3ZjmloY4fJkfs9qYH82Oau,https://api.spotify.com/v1/audio-analysis/3ZjmloY4fJkfs9qYH82Oau,175671,4,Poquito,spotify:track:3ZjmloY4fJkfs9qYH82Oau,Anitta,7FNnA9vBm6EKceENgCGRMb
5,0.427,0.65,5,-6.007,0,0.0514,0.376,0.0,0.218,0.716,84.159,audio_features,15PeomP6vDX3EFToJxgZRF,spotify:track:15PeomP6vDX3EFToJxgZRF,https://api.spotify.com/v1/tracks/15PeomP6vDX3EFToJxgZRF,https://api.spotify.com/v1/audio-analysis/15PeomP6vDX3EFToJxgZRF,206702,4,Tu y yo,spotify:track:15PeomP6vDX3EFToJxgZRF,Anitta,7FNnA9vBm6EKceENgCGRMb
6,0.634,0.84,5,-3.554,1,0.042,0.251,0.0,0.623,0.799,170.007,audio_features,6G3fjiU4oDaEKdOR5fzsMB,spotify:track:6G3fjiU4oDaEKdOR5fzsMB,https://api.spotify.com/v1/tracks/6G3fjiU4oDaEKdOR5fzsMB,https://api.spotify.com/v1/audio-analysis/6G3fjiU4oDaEKdOR5fzsMB,162139,4,Get To Know Me,spotify:track:6G3fjiU4oDaEKdOR5fzsMB,Anitta,7FNnA9vBm6EKceENgCGRMb
7,0.687,0.673,1,-4.078,0,0.0771,0.449,0.0,0.0746,0.551,87.932,audio_features,3MdFCGpaAbBGgohbKAnlpF,spotify:track:3MdFCGpaAbBGgohbKAnlpF,https://api.spotify.com/v1/tracks/3MdFCGpaAbBGgohbKAnlpF,https://api.spotify.com/v1/audio-analysis/3MdFCGpaAbBGgohbKAnlpF,166156,4,Rosa,spotify:track:3MdFCGpaAbBGgohbKAnlpF,Anitta,7FNnA9vBm6EKceENgCGRMb
8,0.815,0.828,10,-3.278,0,0.163,0.0827,2.2e-06,0.134,0.882,176.086,audio_features,3Aj45ui1fLUaDLwzYGZ9MP,spotify:track:3Aj45ui1fLUaDLwzYGZ9MP,https://api.spotify.com/v1/tracks/3Aj45ui1fLUaDLwzYGZ9MP,https://api.spotify.com/v1/audio-analysis/3Aj45ui1fLUaDLwzYGZ9MP,192324,4,Juego,spotify:track:3Aj45ui1fLUaDLwzYGZ9MP,Anitta,7FNnA9vBm6EKceENgCGRMb
9,0.809,0.328,8,-11.966,1,0.0351,0.648,1.51e-05,0.107,0.304,82.01,audio_features,51RD9ZadNXepSPBdDrAmNa,spotify:track:51RD9ZadNXepSPBdDrAmNa,https://api.spotify.com/v1/tracks/51RD9ZadNXepSPBdDrAmNa,https://api.spotify.com/v1/audio-analysis/51RD9ZadNXepSPBdDrAmNa,179268,4,Você mentiu,spotify:track:51RD9ZadNXepSPBdDrAmNa,Anitta,7FNnA9vBm6EKceENgCGRMb
10,0.896,0.847,11,-4.005,0,0.0414,0.18,0.019,0.0679,0.805,104.996,audio_features,1Cml3fnCNLZUC1EEtkcgVb,spotify:track:1Cml3fnCNLZUC1EEtkcgVb,https://api.spotify.com/v1/tracks/1Cml3fnCNLZUC1EEtkcgVb,https://api.spotify.com/v1/audio-analysis/1Cml3fnCNLZUC1EEtkcgVb,190280,4,Bang,spotify:track:1Cml3fnCNLZUC1EEtkcgVb,Anitta,7FNnA9vBm6EKceENgCGRMb
11,0.682,0.724,8,-4.449,0,0.101,0.0508,1.37e-06,0.0795,0.422,194.026,audio_features,5UE8e9VTMmv5fjGXLETjCf,spotify:track:5UE8e9VTMmv5fjGXLETjCf,https://api.spotify.com/v1/tracks/5UE8e9VTMmv5fjGXLETjCf,https://api.spotify.com/v1/audio-analysis/5UE8e9VTMmv5fjGXLETjCf,171547,4,Deixa ele sofrer,spotify:track:5UE8e9VTMmv5fjGXLETjCf,Anitta,7FNnA9vBm6EKceENgCGRMb
12,0.658,0.777,3,-6.596,0,0.0526,0.273,0.0,0.0906,0.654,155.909,audio_features,3hjBYlefZoLMMvziRtYZuM,spotify:track:3hjBYlefZoLMMvziRtYZuM,https://api.spotify.com/v1/tracks/3hjBYlefZoLMMvziRtYZuM,https://api.spotify.com/v1/audio-analysis/3hjBYlefZoLMMvziRtYZuM,200507,4,Cravo e canela (Participação especial de Vitin),spotify:track:3hjBYlefZoLMMvziRtYZuM,Anitta,7FNnA9vBm6EKceENgCGRMb
13,0.843,0.943,5,-2.174,1,0.0553,0.26,1.43e-05,0.0806,0.83,133.053,audio_features,3yVhHc4iM8zbahpTI782Ei,spotify:track:3yVhHc4iM8zbahpTI782Ei,https://api.spotify.com/v1/tracks/3yVhHc4iM8zbahpTI782Ei,https://api.spotify.com/v1/audio-analysis/3yVhHc4iM8zbahpTI782Ei,153587,4,Parei,spotify:track:3yVhHc4iM8zbahpTI782Ei,Anitta,7FNnA9vBm6EKceENgCGRMb
14,0.645,0.806,6,-4.543,1,0.0844,0.386,0.0,0.118,0.904,189.887,audio_features,5Bn6W4bwH7Bw5nMvn8V4xF,spotify:track:5Bn6W4bwH7Bw5nMvn8V4xF,https://api.spotify.com/v1/tracks/5Bn6W4bwH7Bw5nMvn8V4xF,https://api.spotify.com/v1/audio-analysis/5Bn6W4bwH7Bw5nMvn8V4xF,160893,4,Essa mina é louca (Participação especial de Jhama),spotify:track:5Bn6W4bwH7Bw5nMvn8V4xF,Anitta,7FNnA9vBm6EKceENgCGRMb
15,0.811,0.902,0,-4.133,0,0.13,0.282,0.0,0.0779,0.67,132.948,audio_features,77UBpuAOvgi3iTljWuswz2,spotify:track:77UBpuAOvgi3iTljWuswz2,https://api.spotify.com/v1/tracks/77UBpuAOvgi3iTljWuswz2,https://api.spotify.com/v1/audio-analysis/77UBpuAOvgi3iTljWuswz2,176133,4,Atenção,spotify:track:77UBpuAOvgi3iTljWuswz2,Anitta,7FNnA9vBm6EKceENgCGRMb
16,0.777,0.712,1,-5.682,1,0.229,0.352,0.0,0.0719,0.687,143.977,audio_features,7CeIxIEh5rGM7iOqfxWcrN,spotify:track:7CeIxIEh5rGM7iOqfxWcrN,https://api.spotify.com/v1/tracks/7CeIxIEh5rGM7iOqfxWcrN,https://api.spotify.com/v1/audio-analysis/7CeIxIEh5rGM7iOqfxWcrN,198720,4,Gosto assim - Participação especial de Dubeat,spotify:track:7CeIxIEh5rGM7iOqfxWcrN,Anitta,7FNnA9vBm6EKceENgCGRMb
