,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.865,0.578,6,-7.594,0,0.0553,0.0958,1.19e-06,0.147,0.241,110.025,audio_features,0k79twDYBMpqqjVLuEnYkh,spotify:track:0k79twDYBMpqqjVLuEnYkh,https://api.spotify.com/v1/tracks/0k79twDYBMpqqjVLuEnYkh,https://api.spotify.com/v1/audio-analysis/0k79twDYBMpqqjVLuEnYkh,162040,4,x2,spotify:track:0k79twDYBMpqqjVLuEnYkh,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
1,0.695,0.784,6,-6.564,0,0.0402,0.0889,0.0,0.0843,0.52,128.031,audio_features,2j7WMNAPSknc94Id7Ciuas,spotify:track:2j7WMNAPSknc94Id7Ciuas,https://api.spotify.com/v1/tracks/2j7WMNAPSknc94Id7Ciuas,https://api.spotify.com/v1/audio-analysis/2j7WMNAPSknc94Id7Ciuas,188581,4,Don't Play,spotify:track:2j7WMNAPSknc94Id7Ciuas,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
2,0.638,0.878,5,-3.639,0,0.0484,0.0151,0.000223,0.308,0.481,103.948,audio_features,0MWiSBKm8Avs8iDIxcertp,spotify:track:0MWiSBKm8Avs8iDIxcertp,https://api.spotify.com/v1/tracks/0MWiSBKm8Avs8iDIxcertp,https://api.spotify.com/v1/audio-analysis/0MWiSBKm8Avs8iDIxcertp,176800,4,Kiss My (Uh Oh),spotify:track:0MWiSBKm8Avs8iDIxcertp,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
3,0.694,0.806,0,-5.597,1,0.0599,0.0542,0.0,0.0927,0.664,98.077,audio_features,1o8kO8YyMWRAeb9bE2AIxO,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,https://api.spotify.com/v1/tracks/1o8kO8YyMWRAeb9bE2AIxO,https://api.spotify.com/v1/audio-analysis/1o8kO8YyMWRAeb9bE2AIxO,152493,4,Who I Am,spotify:track:1o8kO8YyMWRAeb9bE2AIxO,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
4,0.572,0.759,2,-4.312,1,0.0506,0.127,0.0,0.224,0.519,80.95,audio_features,3fGW43fnu3OHEw6ohTC2Bw,spotify:track:3fGW43fnu3OHEw6ohTC2Bw,https://api.spotify.com/v1/tracks/3fGW43fnu3OHEw6ohTC2Bw,https://api.spotify.com/v1/audio-analysis/3fGW43fnu3OHEw6ohTC2Bw,163733,4,Our Song,spotify:track:3fGW43fnu3OHEw6ohTC2Bw,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
5,0.555,0.728,2,-3.54,0,0.0644,0.024,2.35e-06,0.169,0.723,63.458,audio_features,7fstlS6QMUp3rHA4Ne0C2k,spotify:track:7fstlS6QMUp3rHA4Ne0C2k,https://api.spotify.com/v1/tracks/7fstlS6QMUp3rHA4Ne0C2k,https://api.spotify.com/v1/audio-analysis/7fstlS6QMUp3rHA4Ne0C2k,150262,4,Way Too Long,spotify:track:7fstlS6QMUp3rHA4Ne0C2k,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
6,0.667,0.422,1,-8.102,1,0.0527,0.726,0.0,0.128,0.243,120.075,audio_features,4bhe0XXBRo4EAPKgy4M2xz,spotify:track:4bhe0XXBRo4EAPKgy4M2xz,https://api.spotify.com/v1/tracks/4bhe0XXBRo4EAPKgy4M2xz,https://api.spotify.com/v1/audio-analysis/4bhe0XXBRo4EAPKgy4M2xz,204333,4,Breathing,spotify:track:4bhe0XXBRo4EAPKgy4M2xz,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
7,0.71,0.752,9,-5.503,0,0.0349,0.0225,0.000205,0.354,0.289,124.043,audio_features,3zmxLLhTpgdLTAPPVbVRqe,spotify:track:3zmxLLhTpgdLTAPPVbVRqe,https://api.spotify.com/v1/tracks/3zmxLLhTpgdLTAPPVbVRqe,https://api.spotify.com/v1/audio-analysis/3zmxLLhTpgdLTAPPVbVRqe,142720,4,Unlovable (feat. Rudimental),spotify:track:3zmxLLhTpgdLTAPPVbVRqe,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
8,0.493,0.597,2,-6.944,1,0.305,0.337,0.0,0.0711,0.66,90.096,audio_features,3RjL8AnKslWWPmlNLTJsAU,spotify:track:3RjL8AnKslWWPmlNLTJsAU,https://api.spotify.com/v1/tracks/3RjL8AnKslWWPmlNLTJsAU,https://api.spotify.com/v1/audio-analysis/3RjL8AnKslWWPmlNLTJsAU,194680,4,Beautiful,spotify:track:3RjL8AnKslWWPmlNLTJsAU,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
9,0.747,0.536,5,-5.536,0,0.0798,0.175,0.0,0.0423,0.82,95.489,audio_features,0Kryggxs2gZqnkujFYEH1D,spotify:track:0Kryggxs2gZqnkujFYEH1D,https://api.spotify.com/v1/tracks/0Kryggxs2gZqnkujFYEH1D,https://api.spotify.com/v1/audio-analysis/0Kryggxs2gZqnkujFYEH1D,134893,4,Tell Your Girlfriend,spotify:track:0Kryggxs2gZqnkujFYEH1D,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX
