,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.507,0.154,5,-21.901,0,0.0339,0.948,0.505,0.0962,0.0392,139.772,audio_features,52tnsq1cOpCDdT9n7Ur3IO,spotify:track:52tnsq1cOpCDdT9n7Ur3IO,https://api.spotify.com/v1/tracks/52tnsq1cOpCDdT9n7Ur3IO,https://api.spotify.com/v1/audio-analysis/52tnsq1cOpCDdT9n7Ur3IO,94390,3,Intro,spotify:track:52tnsq1cOpCDdT9n7Ur3IO,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
1,0.446,0.109,7,-23.322,0,0.095,0.955,0.0621,0.123,0.506,118.232,audio_features,6xbWxJdawXShqu0bp7ZDvN,spotify:track:6xbWxJdawXShqu0bp7ZDvN,https://api.spotify.com/v1/tracks/6xbWxJdawXShqu0bp7ZDvN,https://api.spotify.com/v1/audio-analysis/6xbWxJdawXShqu0bp7ZDvN,47110,5,So wies war,spotify:track:6xbWxJdawXShqu0bp7ZDvN,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
2,0.66,0.35,11,-11.387,0,0.0366,0.425,2.08e-05,0.341,0.494,120.125,audio_features,53OqSW7w4KCkwkq5JdwAgS,spotify:track:53OqSW7w4KCkwkq5JdwAgS,https://api.spotify.com/v1/tracks/53OqSW7w4KCkwkq5JdwAgS,https://api.spotify.com/v1/audio-analysis/53OqSW7w4KCkwkq5JdwAgS,160559,4,Gegenwart,spotify:track:53OqSW7w4KCkwkq5JdwAgS,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
3,0.474,0.161,11,-12.701,0,0.0345,0.956,0.0748,0.0921,0.266,133.754,audio_features,3pFFs3khqvN9axmyFl8coO,spotify:track:3pFFs3khqvN9axmyFl8coO,https://api.spotify.com/v1/tracks/3pFFs3khqvN9axmyFl8coO,https://api.spotify.com/v1/audio-analysis/3pFFs3khqvN9axmyFl8coO,104735,3,Gegenwartsbewältigung,spotify:track:3pFFs3khqvN9axmyFl8coO,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
4,0.756,0.573,3,-10.396,0,0.0399,0.154,0.0035,0.221,0.449,93.026,audio_features,2yI3NNFLbKskIBpGuiANjV,spotify:track:2yI3NNFLbKskIBpGuiANjV,https://api.spotify.com/v1/tracks/2yI3NNFLbKskIBpGuiANjV,https://api.spotify.com/v1/audio-analysis/2yI3NNFLbKskIBpGuiANjV,191507,4,Zukunft,spotify:track:2yI3NNFLbKskIBpGuiANjV,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
5,0.621,0.425,6,-11.893,1,0.0792,0.857,0.0,0.25,0.61,114.764,audio_features,4IrQGARu10Lwdke1L39Ry4,spotify:track:4IrQGARu10Lwdke1L39Ry4,https://api.spotify.com/v1/tracks/4IrQGARu10Lwdke1L39Ry4,https://api.spotify.com/v1/audio-analysis/4IrQGARu10Lwdke1L39Ry4,116785,4,Vergangenheit,spotify:track:4IrQGARu10Lwdke1L39Ry4,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
6,0.747,0.628,5,-11.823,1,0.0407,0.218,0.351,0.0742,0.573,123.977,audio_features,5emKGy4hZXx4pkdd6Qi3te,spotify:track:5emKGy4hZXx4pkdd6Qi3te,https://api.spotify.com/v1/tracks/5emKGy4hZXx4pkdd6Qi3te,https://api.spotify.com/v1/audio-analysis/5emKGy4hZXx4pkdd6Qi3te,227392,4,Spätsommerregen,spotify:track:5emKGy4hZXx4pkdd6Qi3te,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
7,0.663,0.59,9,-10.634,0,0.0408,0.145,0.0154,0.0876,0.38,121.967,audio_features,31yIOqJfQD7H3jidxB9jPM,spotify:track:31yIOqJfQD7H3jidxB9jPM,https://api.spotify.com/v1/tracks/31yIOqJfQD7H3jidxB9jPM,https://api.spotify.com/v1/audio-analysis/31yIOqJfQD7H3jidxB9jPM,166035,4,Warte auf mich [Padaschdi],spotify:track:31yIOqJfQD7H3jidxB9jPM,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
8,0.618,0.383,5,-10.707,1,0.0479,0.717,0.0286,0.104,0.277,75.026,audio_features,6amgD51gkda9exSko6JLKU,spotify:track:6amgD51gkda9exSko6JLKU,https://api.spotify.com/v1/tracks/6amgD51gkda9exSko6JLKU,https://api.spotify.com/v1/audio-analysis/6amgD51gkda9exSko6JLKU,146310,4,Paloma,spotify:track:6amgD51gkda9exSko6JLKU,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
9,0.746,0.248,0,-11.845,1,0.0697,0.678,2.8e-06,0.126,0.609,135.426,audio_features,1pvQ15QUgaa4oweGZGy1H6,spotify:track:1pvQ15QUgaa4oweGZGy1H6,https://api.spotify.com/v1/tracks/1pvQ15QUgaa4oweGZGy1H6,https://api.spotify.com/v1/audio-analysis/1pvQ15QUgaa4oweGZGy1H6,130896,4,Ganz egal,spotify:track:1pvQ15QUgaa4oweGZGy1H6,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m
