,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.639,0.765,10,-6.094,0,0.0566,0.108,0.0,0.112,0.526,86.538,audio_features,154p8jskWDYPjxLLKnbBRd,spotify:track:154p8jskWDYPjxLLKnbBRd,https://api.spotify.com/v1/tracks/154p8jskWDYPjxLLKnbBRd,https://api.spotify.com/v1/audio-analysis/154p8jskWDYPjxLLKnbBRd,122150,4,C U L8R,spotify:track:154p8jskWDYPjxLLKnbBRd,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
1,0.605,0.573,0,-6.228,1,0.0304,0.133,0.0,0.0764,0.568,169.934,audio_features,7D3W0U3V5Oy23pfqYeZvKn,spotify:track:7D3W0U3V5Oy23pfqYeZvKn,https://api.spotify.com/v1/tracks/7D3W0U3V5Oy23pfqYeZvKn,https://api.spotify.com/v1/audio-analysis/7D3W0U3V5Oy23pfqYeZvKn,180107,4,STILL BREATHING,spotify:track:7D3W0U3V5Oy23pfqYeZvKn,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
2,0.678,0.746,1,-4.249,0,0.0362,0.00648,0.0,0.334,0.373,160.002,audio_features,45WI9y5C9naK6IMtWLoqQp,spotify:track:45WI9y5C9naK6IMtWLoqQp,https://api.spotify.com/v1/tracks/45WI9y5C9naK6IMtWLoqQp,https://api.spotify.com/v1/audio-analysis/45WI9y5C9naK6IMtWLoqQp,174051,4,RIP,spotify:track:45WI9y5C9naK6IMtWLoqQp,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
3,0.629,0.87,0,-2.345,0,0.0623,0.132,0.0,0.0902,0.81,145.952,audio_features,1opzxbS4McNdrSoQCyz3dU,spotify:track:1opzxbS4McNdrSoQCyz3dU,https://api.spotify.com/v1/tracks/1opzxbS4McNdrSoQCyz3dU,https://api.spotify.com/v1/audio-analysis/1opzxbS4McNdrSoQCyz3dU,157013,4,NIGHTRIDER,spotify:track:1opzxbS4McNdrSoQCyz3dU,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
4,0.724,0.772,0,-3.625,1,0.248,0.153,0.0,0.136,0.432,74.021,audio_features,53nk1xq7H8CbcaVW6fz7Gz,spotify:track:53nk1xq7H8CbcaVW6fz7Gz,https://api.spotify.com/v1/tracks/53nk1xq7H8CbcaVW6fz7Gz,https://api.spotify.com/v1/audio-analysis/53nk1xq7H8CbcaVW6fz7Gz,124010,4,24,spotify:track:53nk1xq7H8CbcaVW6fz7Gz,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
5,0.845,0.575,2,-6.088,0,0.117,0.0701,0.0,0.105,0.537,100.089,audio_features,2DM24vOHKlLRaAcyCqw2tU,spotify:track:2DM24vOHKlLRaAcyCqw2tU,https://api.spotify.com/v1/tracks/2DM24vOHKlLRaAcyCqw2tU,https://api.spotify.com/v1/audio-analysis/2DM24vOHKlLRaAcyCqw2tU,165418,4,FML.,spotify:track:2DM24vOHKlLRaAcyCqw2tU,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
6,0.696,0.663,9,-5.662,1,0.108,0.0273,0.0,0.461,0.423,175.075,audio_features,5hC7h0yWVMkxhLbNXCscBR,spotify:track:5hC7h0yWVMkxhLbNXCscBR,https://api.spotify.com/v1/tracks/5hC7h0yWVMkxhLbNXCscBR,https://api.spotify.com/v1/audio-analysis/5hC7h0yWVMkxhLbNXCscBR,174549,4,ROXANNE - Remix,spotify:track:5hC7h0yWVMkxhLbNXCscBR,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
7,0.624,0.624,6,-5.656,0,0.154,0.0871,0.0,0.438,0.518,116.733,audio_features,5xyTxLbw34gXUQck6xVazT,spotify:track:5xyTxLbw34gXUQck6xVazT,https://api.spotify.com/v1/tracks/5xyTxLbw34gXUQck6xVazT,https://api.spotify.com/v1/audio-analysis/5xyTxLbw34gXUQck6xVazT,163636,5,ROXANNE,spotify:track:5xyTxLbw34gXUQck6xVazT,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
8,0.735,0.824,9,-2.121,1,0.0302,0.0443,0.0,0.149,0.544,121.004,audio_features,5fRyoUp0UOyt9OZqwao7tp,spotify:track:5fRyoUp0UOyt9OZqwao7tp,https://api.spotify.com/v1/tracks/5fRyoUp0UOyt9OZqwao7tp,https://api.spotify.com/v1/audio-analysis/5fRyoUp0UOyt9OZqwao7tp,194380,4,FAST,spotify:track:5fRyoUp0UOyt9OZqwao7tp,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
9,0.514,0.712,2,-7.281,1,0.334,0.428,8.77e-06,0.112,0.487,76.393,audio_features,7piU1yHaKMD9PaOPvEymOr,spotify:track:7piU1yHaKMD9PaOPvEymOr,https://api.spotify.com/v1/tracks/7piU1yHaKMD9PaOPvEymOr,https://api.spotify.com/v1/audio-analysis/7piU1yHaKMD9PaOPvEymOr,155893,4,Drinking Problem (feat. 27CLUB),spotify:track:7piU1yHaKMD9PaOPvEymOr,Arizona Zervas,0vRvGUQVUjytro0xpb26bs
