,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.574,0.593,6,-10.667,0,0.0301,0.077,0.696,0.0901,0.77,142.995,audio_features,3g6stYkKlyFByxPy3x4oUM,spotify:track:3g6stYkKlyFByxPy3x4oUM,https://api.spotify.com/v1/tracks/3g6stYkKlyFByxPy3x4oUM,https://api.spotify.com/v1/audio-analysis/3g6stYkKlyFByxPy3x4oUM,115827,4,Here We Go,spotify:track:3g6stYkKlyFByxPy3x4oUM,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
1,0.436,0.901,7,-9.604,0,0.0301,0.000473,0.96,0.391,0.467,142.972,audio_features,0q54YygFMgN9WZ6y8Cjg34,spotify:track:0q54YygFMgN9WZ6y8Cjg34,https://api.spotify.com/v1/tracks/0q54YygFMgN9WZ6y8Cjg34,https://api.spotify.com/v1/audio-analysis/0q54YygFMgN9WZ6y8Cjg34,115853,4,Enough Survival,spotify:track:0q54YygFMgN9WZ6y8Cjg34,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
2,0.442,0.454,4,-14.45,0,0.0388,0.0424,0.845,0.278,0.302,143.119,audio_features,1k67c0l05BVT6z0Uh0kko7,spotify:track:1k67c0l05BVT6z0Uh0kko7,https://api.spotify.com/v1/tracks/1k67c0l05BVT6z0Uh0kko7,https://api.spotify.com/v1/audio-analysis/1k67c0l05BVT6z0Uh0kko7,115827,4,Colorful,spotify:track:1k67c0l05BVT6z0Uh0kko7,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
3,0.553,0.592,11,-11.49,0,0.0321,0.000286,0.489,0.324,0.934,144.937,audio_features,5bNnQdngVnelC8lkHSUj80,spotify:track:5bNnQdngVnelC8lkHSUj80,https://api.spotify.com/v1/tracks/5bNnQdngVnelC8lkHSUj80,https://api.spotify.com/v1/audio-analysis/5bNnQdngVnelC8lkHSUj80,113816,4,Dancing Images,spotify:track:5bNnQdngVnelC8lkHSUj80,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
4,0.571,0.662,10,-9.69,1,0.0292,0.23,0.962,0.387,0.68,142.987,audio_features,4mG2FF6nOKs7xOaKR9zqEq,spotify:track:4mG2FF6nOKs7xOaKR9zqEq,https://api.spotify.com/v1/tracks/4mG2FF6nOKs7xOaKR9zqEq,https://api.spotify.com/v1/audio-analysis/4mG2FF6nOKs7xOaKR9zqEq,115853,4,Black Fantasy,spotify:track:4mG2FF6nOKs7xOaKR9zqEq,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
5,0.844,0.506,11,-11.082,0,0.0453,0.0878,1.65e-05,0.0323,0.515,127.099,audio_features,7cVZP5NpfJswuCO3kvX4zd,spotify:track:7cVZP5NpfJswuCO3kvX4zd,https://api.spotify.com/v1/tracks/7cVZP5NpfJswuCO3kvX4zd,https://api.spotify.com/v1/audio-analysis/7cVZP5NpfJswuCO3kvX4zd,238093,4,Movin' Too Fast - Radio Edit,spotify:track:7cVZP5NpfJswuCO3kvX4zd,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
6,0.844,0.506,11,-11.082,0,0.0453,0.0878,1.65e-05,0.0323,0.515,127.099,audio_features,5lchpesThSFvEMyjRmnimk,spotify:track:5lchpesThSFvEMyjRmnimk,https://api.spotify.com/v1/tracks/5lchpesThSFvEMyjRmnimk,https://api.spotify.com/v1/audio-analysis/5lchpesThSFvEMyjRmnimk,238093,4,Moving Too Fast - Radio Edit,spotify:track:5lchpesThSFvEMyjRmnimk,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
7,0.839,0.623,1,-7.827,1,0.371,0.0133,0.00011,0.078,0.835,129.972,audio_features,2Fc5As3K2ph42URrpHL2lV,spotify:track:2Fc5As3K2ph42URrpHL2lV,https://api.spotify.com/v1/tracks/2Fc5As3K2ph42URrpHL2lV,https://api.spotify.com/v1/audio-analysis/2Fc5As3K2ph42URrpHL2lV,395690,4,Please Don't Turn Me On - Disclosure Remix,spotify:track:2Fc5As3K2ph42URrpHL2lV,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
8,0.844,0.506,11,-11.082,0,0.0453,0.0878,1.65e-05,0.0323,0.515,127.099,audio_features,4UBvCFPWAHOqGGDp2ouISt,spotify:track:4UBvCFPWAHOqGGDp2ouISt,https://api.spotify.com/v1/tracks/4UBvCFPWAHOqGGDp2ouISt,https://api.spotify.com/v1/audio-analysis/4UBvCFPWAHOqGGDp2ouISt,238093,4,Moving Too Fast - Radio Edit,spotify:track:4UBvCFPWAHOqGGDp2ouISt,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
9,0.823,0.46,4,-11.818,0,0.0738,0.0063,0.647,0.155,0.644,126.007,audio_features,4EGHUzjQykh4sXjJz92yZC,spotify:track:4EGHUzjQykh4sXjJz92yZC,https://api.spotify.com/v1/tracks/4EGHUzjQykh4sXjJz92yZC,https://api.spotify.com/v1/audio-analysis/4EGHUzjQykh4sXjJz92yZC,409573,4,Moving Too Fast - Gaudi Mix,spotify:track:4EGHUzjQykh4sXjJz92yZC,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
10,0.79,0.61,7,-7.747,1,0.049,0.00328,0.564,0.0392,0.412,126.989,audio_features,1SGbIhMLwS2xVjYxCSpsNA,spotify:track:1SGbIhMLwS2xVjYxCSpsNA,https://api.spotify.com/v1/tracks/1SGbIhMLwS2xVjYxCSpsNA,https://api.spotify.com/v1/audio-analysis/1SGbIhMLwS2xVjYxCSpsNA,423904,4,Moving Too Fast - Paolo Madzone Zampetti & Dj Hoffmana Rmx,spotify:track:1SGbIhMLwS2xVjYxCSpsNA,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
11,0.843,0.806,0,-9.233,0,0.146,0.0112,0.001,0.0317,0.769,140.045,audio_features,4qdO2oBRSEWCu7sGGegO8z,spotify:track:4qdO2oBRSEWCu7sGGegO8z,https://api.spotify.com/v1/tracks/4qdO2oBRSEWCu7sGGegO8z,https://api.spotify.com/v1/audio-analysis/4qdO2oBRSEWCu7sGGegO8z,307176,4,Moving Too Fast - Jamie Duggan Mix,spotify:track:4qdO2oBRSEWCu7sGGegO8z,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
12,0.771,0.767,11,-5.782,0,0.0939,0.0258,0.000942,0.118,0.89,129.961,audio_features,21SiQ4Nr7MlHAbZJbJBho7,spotify:track:21SiQ4Nr7MlHAbZJbJBho7,https://api.spotify.com/v1/tracks/21SiQ4Nr7MlHAbZJbJBho7,https://api.spotify.com/v1/audio-analysis/21SiQ4Nr7MlHAbZJbJBho7,300960,4,Moving Too Fast - James Lavonz Mix,spotify:track:21SiQ4Nr7MlHAbZJbJBho7,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
13,0.817,0.558,11,-13.533,0,0.116,0.0328,0.0229,0.0965,0.937,125.014,audio_features,2rYZ0nFhqpDhmpBoDFO88l,spotify:track:2rYZ0nFhqpDhmpBoDFO88l,https://api.spotify.com/v1/tracks/2rYZ0nFhqpDhmpBoDFO88l,https://api.spotify.com/v1/audio-analysis/2rYZ0nFhqpDhmpBoDFO88l,352373,4,Moving Too Fast - Power Mix,spotify:track:2rYZ0nFhqpDhmpBoDFO88l,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
14,0.792,0.787,11,-12.704,0,0.0443,0.0219,0.406,0.0373,0.618,125.927,audio_features,7xDDL5sKlooX6LJ03JTCfR,spotify:track:7xDDL5sKlooX6LJ03JTCfR,https://api.spotify.com/v1/tracks/7xDDL5sKlooX6LJ03JTCfR,https://api.spotify.com/v1/audio-analysis/7xDDL5sKlooX6LJ03JTCfR,391827,4,Moving Too Fast - Speed Garage Mix,spotify:track:7xDDL5sKlooX6LJ03JTCfR,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
15,0.779,0.925,11,-3.328,0,0.0418,0.0116,0.056,0.0739,0.841,129.992,audio_features,40rzQuZZgtWjQT7zx2rJUp,spotify:track:40rzQuZZgtWjQT7zx2rJUp,https://api.spotify.com/v1/tracks/40rzQuZZgtWjQT7zx2rJUp,https://api.spotify.com/v1/audio-analysis/40rzQuZZgtWjQT7zx2rJUp,392960,4,Moving Too Fast - Bump & Flex Mix,spotify:track:40rzQuZZgtWjQT7zx2rJUp,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
16,0.801,0.725,2,-14.269,1,0.0437,0.000865,0.522,0.082,0.724,127.101,audio_features,57etSXGiVsX2MI9u9RLPSn,spotify:track:57etSXGiVsX2MI9u9RLPSn,https://api.spotify.com/v1/tracks/57etSXGiVsX2MI9u9RLPSn,https://api.spotify.com/v1/audio-analysis/57etSXGiVsX2MI9u9RLPSn,410893,4,Moving Too Fast - Pussy 2000 Mix,spotify:track:57etSXGiVsX2MI9u9RLPSn,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
17,0.727,0.75,11,-9.652,0,0.0627,0.121,0.000313,0.102,0.708,95.995,audio_features,2uZoCJkxc7hNAPZqCJSTmP,spotify:track:2uZoCJkxc7hNAPZqCJSTmP,https://api.spotify.com/v1/tracks/2uZoCJkxc7hNAPZqCJSTmP,https://api.spotify.com/v1/audio-analysis/2uZoCJkxc7hNAPZqCJSTmP,322520,4,Moving Too Fast - R&B 2000,spotify:track:2uZoCJkxc7hNAPZqCJSTmP,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
18,0.945,0.59,2,-12.827,1,0.0989,0.026,0.0575,0.0954,0.882,131.985,audio_features,3ogKHOUWTNhwcXaSMEBXk1,spotify:track:3ogKHOUWTNhwcXaSMEBXk1,https://api.spotify.com/v1/tracks/3ogKHOUWTNhwcXaSMEBXk1,https://api.spotify.com/v1/audio-analysis/3ogKHOUWTNhwcXaSMEBXk1,214053,4,Moving Too Fast - Back Up Data,spotify:track:3ogKHOUWTNhwcXaSMEBXk1,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
19,0.918,0.694,11,-11.12,0,0.0635,0.173,0.00609,0.0722,0.823,127.205,audio_features,2mvGjvmBcyWKzsyk8rv7c2,spotify:track:2mvGjvmBcyWKzsyk8rv7c2,https://api.spotify.com/v1/tracks/2mvGjvmBcyWKzsyk8rv7c2,https://api.spotify.com/v1/audio-analysis/2mvGjvmBcyWKzsyk8rv7c2,387813,4,Moving Too Fast - Planet Fast Mix,spotify:track:2mvGjvmBcyWKzsyk8rv7c2,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
20,0.837,0.651,11,-13.845,0,0.0658,0.113,1.15e-05,0.343,0.65,125.033,audio_features,6JqeRQRTFfBDPDHjQN4RMM,spotify:track:6JqeRQRTFfBDPDHjQN4RMM,https://api.spotify.com/v1/tracks/6JqeRQRTFfBDPDHjQN4RMM,https://api.spotify.com/v1/audio-analysis/6JqeRQRTFfBDPDHjQN4RMM,215147,4,Moving Too Fast - DD Mix,spotify:track:6JqeRQRTFfBDPDHjQN4RMM,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
21,0.836,0.767,2,-10.661,1,0.104,0.0396,0.0198,0.193,0.487,125.021,audio_features,3LGTGLQjTYCI0L94HqPDOC,spotify:track:3LGTGLQjTYCI0L94HqPDOC,https://api.spotify.com/v1/tracks/3LGTGLQjTYCI0L94HqPDOC,https://api.spotify.com/v1/audio-analysis/3LGTGLQjTYCI0L94HqPDOC,311240,4,Moving Too Fast - Umby Mix,spotify:track:3LGTGLQjTYCI0L94HqPDOC,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
22,0.804,0.898,11,-4.615,0,0.147,0.0253,0.000151,0.0334,0.924,137.966,audio_features,6vWLnv3uQ6SGkA52mwL50L,spotify:track:6vWLnv3uQ6SGkA52mwL50L,https://api.spotify.com/v1/tracks/6vWLnv3uQ6SGkA52mwL50L,https://api.spotify.com/v1/audio-analysis/6vWLnv3uQ6SGkA52mwL50L,262804,4,Moving Too Fast - Danny Bond Remix,spotify:track:6vWLnv3uQ6SGkA52mwL50L,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
23,0.801,0.62,11,-10.689,0,0.0603,0.0328,0.00618,0.126,0.71,110.047,audio_features,41a4cg3ujSfEt63VgoANmS,spotify:track:41a4cg3ujSfEt63VgoANmS,https://api.spotify.com/v1/tracks/41a4cg3ujSfEt63VgoANmS,https://api.spotify.com/v1/audio-analysis/41a4cg3ujSfEt63VgoANmS,324760,4,Moving Too Fast - Original Funk,spotify:track:41a4cg3ujSfEt63VgoANmS,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
24,0.799,0.489,11,-12.675,0,0.0776,0.000216,0.622,0.0924,0.802,127.223,audio_features,5U8A7qvvTCbjdm5iz0QoqW,spotify:track:5U8A7qvvTCbjdm5iz0QoqW,https://api.spotify.com/v1/tracks/5U8A7qvvTCbjdm5iz0QoqW,https://api.spotify.com/v1/audio-analysis/5U8A7qvvTCbjdm5iz0QoqW,250653,4,Moving Too Fast - Instrumental,spotify:track:5U8A7qvvTCbjdm5iz0QoqW,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT
