,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.56,0.881,6,-4.967,1,0.0359,0.015,9.42e-06,0.335,0.792,115.962,audio_features,23Q7PvHDBsfGPcCrWBT6cx,spotify:track:23Q7PvHDBsfGPcCrWBT6cx,https://api.spotify.com/v1/tracks/23Q7PvHDBsfGPcCrWBT6cx,https://api.spotify.com/v1/audio-analysis/23Q7PvHDBsfGPcCrWBT6cx,177567,4,Travelin' Kind,spotify:track:23Q7PvHDBsfGPcCrWBT6cx,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
1,0.538,0.869,8,-5.369,1,0.044,0.0637,0.0,0.0775,0.522,143.984,audio_features,0F7Kxrd27Q1jYhnKVoWnUa,spotify:track:0F7Kxrd27Q1jYhnKVoWnUa,https://api.spotify.com/v1/tracks/0F7Kxrd27Q1jYhnKVoWnUa,https://api.spotify.com/v1/audio-analysis/0F7Kxrd27Q1jYhnKVoWnUa,157290,4,Your Momma Still Does,spotify:track:0F7Kxrd27Q1jYhnKVoWnUa,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
2,0.592,0.771,9,-5.228,1,0.0294,0.0814,0.0,0.299,0.564,110.018,audio_features,0votGstTXWs1WN0i7w8IAU,spotify:track:0votGstTXWs1WN0i7w8IAU,https://api.spotify.com/v1/tracks/0votGstTXWs1WN0i7w8IAU,https://api.spotify.com/v1/audio-analysis/0votGstTXWs1WN0i7w8IAU,202001,4,Leavin' You Again,spotify:track:0votGstTXWs1WN0i7w8IAU,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
3,0.556,0.726,10,-5.054,1,0.0312,0.139,0.0,0.106,0.441,142.107,audio_features,7aRVF1U72PPCTJiSX2vRpd,spotify:track:7aRVF1U72PPCTJiSX2vRpd,https://api.spotify.com/v1/tracks/7aRVF1U72PPCTJiSX2vRpd,https://api.spotify.com/v1/audio-analysis/7aRVF1U72PPCTJiSX2vRpd,201322,4,Make It Past Georgia,spotify:track:7aRVF1U72PPCTJiSX2vRpd,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
4,0.548,0.908,11,-4.915,1,0.0391,0.0564,0.0,0.226,0.721,135.954,audio_features,1fhcmYUEcCqegHVhb9daiG,spotify:track:1fhcmYUEcCqegHVhb9daiG,https://api.spotify.com/v1/tracks/1fhcmYUEcCqegHVhb9daiG,https://api.spotify.com/v1/audio-analysis/1fhcmYUEcCqegHVhb9daiG,202332,4,Last 20 Dollars,spotify:track:1fhcmYUEcCqegHVhb9daiG,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
5,0.281,0.484,4,-5.697,1,0.0371,0.301,0.0,0.113,0.325,117.827,audio_features,51PuIBYfGsXVFmnsv70Vr3,spotify:track:51PuIBYfGsXVFmnsv70Vr3,https://api.spotify.com/v1/tracks/51PuIBYfGsXVFmnsv70Vr3,https://api.spotify.com/v1/audio-analysis/51PuIBYfGsXVFmnsv70Vr3,270826,3,Highway Like Me (feat. Marcus King),spotify:track:51PuIBYfGsXVFmnsv70Vr3,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
6,0.352,0.773,0,-4.906,1,0.0391,0.0283,0.0,0.0984,0.512,207.611,audio_features,29ObHY2U10ZMKo66MzDxPN,spotify:track:29ObHY2U10ZMKo66MzDxPN,https://api.spotify.com/v1/tracks/29ObHY2U10ZMKo66MzDxPN,https://api.spotify.com/v1/audio-analysis/29ObHY2U10ZMKo66MzDxPN,187771,4,Mimosas In The Morning,spotify:track:29ObHY2U10ZMKo66MzDxPN,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
7,0.545,0.622,8,-5.178,0,0.0282,0.267,0.000417,0.336,0.378,119.971,audio_features,5gcjt9FWRYk18ZBJ10hdJ6,spotify:track:5gcjt9FWRYk18ZBJ10hdJ6,https://api.spotify.com/v1/tracks/5gcjt9FWRYk18ZBJ10hdJ6,https://api.spotify.com/v1/audio-analysis/5gcjt9FWRYk18ZBJ10hdJ6,237264,4,Day By Day,spotify:track:5gcjt9FWRYk18ZBJ10hdJ6,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
8,0.474,0.783,1,-5.361,0,0.0342,0.295,0.0,0.271,0.436,147.871,audio_features,72SbmBINcmCDxlYbFf5R62,spotify:track:72SbmBINcmCDxlYbFf5R62,https://api.spotify.com/v1/tracks/72SbmBINcmCDxlYbFf5R62,https://api.spotify.com/v1/audio-analysis/72SbmBINcmCDxlYbFf5R62,202724,4,Letcha Fly,spotify:track:72SbmBINcmCDxlYbFf5R62,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
9,0.487,0.68,8,-5.204,1,0.0321,0.118,0.0,0.123,0.324,128.051,audio_features,5FtSAXHLkgWzunrtIzJiXa,spotify:track:5FtSAXHLkgWzunrtIzJiXa,https://api.spotify.com/v1/tracks/5FtSAXHLkgWzunrtIzJiXa,https://api.spotify.com/v1/audio-analysis/5FtSAXHLkgWzunrtIzJiXa,208507,4,Come Down,spotify:track:5FtSAXHLkgWzunrtIzJiXa,Ashland Craft,5C5yczYHPeBi5PrwxfksLP
