,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.765,0.536,2,-5.879,1,0.0665,0.102,0.00235,0.155,0.284,124.007,audio_features,1XZb7nnlJWh3BWW7RhNtRu,spotify:track:1XZb7nnlJWh3BWW7RhNtRu,https://api.spotify.com/v1/tracks/1XZb7nnlJWh3BWW7RhNtRu,https://api.spotify.com/v1/audio-analysis/1XZb7nnlJWh3BWW7RhNtRu,210968,4,Hypnotic - DJ Ironik Remix,spotify:track:1XZb7nnlJWh3BWW7RhNtRu,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
1,0.651,0.873,9,-5.545,0,0.028,0.00117,0.00174,0.215,0.567,125.025,audio_features,0h5aHVvnyOH30SJoad2vag,spotify:track:0h5aHVvnyOH30SJoad2vag,https://api.spotify.com/v1/tracks/0h5aHVvnyOH30SJoad2vag,https://api.spotify.com/v1/audio-analysis/0h5aHVvnyOH30SJoad2vag,175680,4,Hypnotic - blklght Remix,spotify:track:0h5aHVvnyOH30SJoad2vag,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
2,0.689,0.808,9,-5.923,0,0.0346,0.000347,0.0272,0.0254,0.584,125.006,audio_features,5S9bj2YLJEiXngrtS8IzFb,spotify:track:5S9bj2YLJEiXngrtS8IzFb,https://api.spotify.com/v1/tracks/5S9bj2YLJEiXngrtS8IzFb,https://api.spotify.com/v1/audio-analysis/5S9bj2YLJEiXngrtS8IzFb,236235,4,Hypnotic - blklght Extended Remix,spotify:track:5S9bj2YLJEiXngrtS8IzFb,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
3,0.374,0.719,5,-8.859,0,0.0656,0.0958,0.00932,0.0791,0.0716,123.945,audio_features,4l1RwicqMZG6oCzYvzWZav,spotify:track:4l1RwicqMZG6oCzYvzWZav,https://api.spotify.com/v1/tracks/4l1RwicqMZG6oCzYvzWZav,https://api.spotify.com/v1/audio-analysis/4l1RwicqMZG6oCzYvzWZav,181935,4,Hypnotic - Kilanova Remix,spotify:track:4l1RwicqMZG6oCzYvzWZav,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
4,0.841,0.647,7,-5.687,1,0.0374,0.0327,0.0002,0.126,0.541,120.529,audio_features,246H2lLDeTXmZM8XMtz8XO,spotify:track:246H2lLDeTXmZM8XMtz8XO,https://api.spotify.com/v1/tracks/246H2lLDeTXmZM8XMtz8XO,https://api.spotify.com/v1/audio-analysis/246H2lLDeTXmZM8XMtz8XO,178217,4,Hypnotic - Kamer Hip Hop Remix,spotify:track:246H2lLDeTXmZM8XMtz8XO,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
5,0.606,0.846,7,-8.738,0,0.0817,0.00647,0.00969,0.0675,0.722,123.971,audio_features,2liSOrv29VTrF8BnyiOiEN,spotify:track:2liSOrv29VTrF8BnyiOiEN,https://api.spotify.com/v1/tracks/2liSOrv29VTrF8BnyiOiEN,https://api.spotify.com/v1/audio-analysis/2liSOrv29VTrF8BnyiOiEN,235703,4,Hypnotic - Progressive Remix,spotify:track:2liSOrv29VTrF8BnyiOiEN,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
6,0.711,0.821,0,-3.03,1,0.0521,0.167,0.0624,0.296,0.221,133.985,audio_features,2qgND7WHLkrb1AS0KFrJ4y,spotify:track:2qgND7WHLkrb1AS0KFrJ4y,https://api.spotify.com/v1/tracks/2qgND7WHLkrb1AS0KFrJ4y,https://api.spotify.com/v1/audio-analysis/2qgND7WHLkrb1AS0KFrJ4y,218467,4,Riot (feat. Nina Sky),spotify:track:2qgND7WHLkrb1AS0KFrJ4y,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
7,0.703,0.754,10,-2.126,1,0.065,0.362,1.01e-06,0.165,0.354,159.921,audio_features,03l1Oxum2Hof8RfIeJJJCW,spotify:track:03l1Oxum2Hof8RfIeJJJCW,https://api.spotify.com/v1/tracks/03l1Oxum2Hof8RfIeJJJCW,https://api.spotify.com/v1/audio-analysis/03l1Oxum2Hof8RfIeJJJCW,197200,4,Skylar Diggins,spotify:track:03l1Oxum2Hof8RfIeJJJCW,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
8,0.696,0.824,1,-5.886,0,0.277,0.058,0.0,0.107,0.379,124.025,audio_features,7wNF1aii1xTNkgUlm8lc4l,spotify:track:7wNF1aii1xTNkgUlm8lc4l,https://api.spotify.com/v1/tracks/7wNF1aii1xTNkgUlm8lc4l,https://api.spotify.com/v1/audio-analysis/7wNF1aii1xTNkgUlm8lc4l,164067,4,Big Talk (feat. Rick Ross),spotify:track:7wNF1aii1xTNkgUlm8lc4l,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
9,0.828,0.798,9,-7.093,1,0.166,0.257,3.05e-05,0.299,0.283,139.996,audio_features,2uFZvDbq6bxVuWjbC5WGAj,spotify:track:2uFZvDbq6bxVuWjbC5WGAj,https://api.spotify.com/v1/tracks/2uFZvDbq6bxVuWjbC5WGAj,https://api.spotify.com/v1/audio-analysis/2uFZvDbq6bxVuWjbC5WGAj,164093,4,Can't Do It Like Me,spotify:track:2uFZvDbq6bxVuWjbC5WGAj,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I
