,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.559,0.641,0,-7.655,1,0.0378,0.173,0.00354,0.0965,0.355,74.294,audio_features,4nPjlKryZ9OS3wdQYewhS5,spotify:track:4nPjlKryZ9OS3wdQYewhS5,https://api.spotify.com/v1/tracks/4nPjlKryZ9OS3wdQYewhS5,https://api.spotify.com/v1/audio-analysis/4nPjlKryZ9OS3wdQYewhS5,231701,4,Happen To Me,spotify:track:4nPjlKryZ9OS3wdQYewhS5,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
1,0.778,0.601,2,-7.626,1,0.0422,0.0715,0.0197,0.123,0.874,141.962,audio_features,2h1pysjswUCyF96jjHffk9,spotify:track:2h1pysjswUCyF96jjHffk9,https://api.spotify.com/v1/tracks/2h1pysjswUCyF96jjHffk9,https://api.spotify.com/v1/audio-analysis/2h1pysjswUCyF96jjHffk9,244979,4,Same Effect,spotify:track:2h1pysjswUCyF96jjHffk9,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
2,0.61,0.917,7,-4.288,0,0.0441,0.0341,0.00159,0.128,0.44,142.978,audio_features,3cdHlC49mpIfyhynnyXIO5,spotify:track:3cdHlC49mpIfyhynnyXIO5,https://api.spotify.com/v1/tracks/3cdHlC49mpIfyhynnyXIO5,https://api.spotify.com/v1/audio-analysis/3cdHlC49mpIfyhynnyXIO5,213610,4,Sheesh (feat. Grimes),spotify:track:3cdHlC49mpIfyhynnyXIO5,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
3,0.861,0.62,7,-4.73,1,0.0552,0.305,4.99e-05,0.125,0.824,128.972,audio_features,2jUaJxe16n1wcbR2yzEF6P,spotify:track:2jUaJxe16n1wcbR2yzEF6P,https://api.spotify.com/v1/tracks/2jUaJxe16n1wcbR2yzEF6P,https://api.spotify.com/v1/audio-analysis/2jUaJxe16n1wcbR2yzEF6P,223488,4,Supalonely (feat. Gus Dapperton),spotify:track:2jUaJxe16n1wcbR2yzEF6P,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
4,0.836,0.687,7,-4.855,1,0.0487,0.052,0.00437,0.0716,0.679,124.029,audio_features,6by2bMg5jaHURxXhcY99hQ,spotify:track:6by2bMg5jaHURxXhcY99hQ,https://api.spotify.com/v1/tracks/6by2bMg5jaHURxXhcY99hQ,https://api.spotify.com/v1/audio-analysis/6by2bMg5jaHURxXhcY99hQ,180357,4,Snail,spotify:track:6by2bMg5jaHURxXhcY99hQ,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
5,0.826,0.544,1,-6.091,1,0.0709,0.251,2.73e-06,0.107,0.81,122.997,audio_features,13YceywPGFZCIiFN5oyMPz,spotify:track:13YceywPGFZCIiFN5oyMPz,https://api.spotify.com/v1/tracks/13YceywPGFZCIiFN5oyMPz,https://api.spotify.com/v1/audio-analysis/13YceywPGFZCIiFN5oyMPz,231898,4,Plain (feat. Lily Allen & Flo Milli),spotify:track:13YceywPGFZCIiFN5oyMPz,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
6,0.916,0.788,11,-3.656,1,0.0575,0.00497,1.73e-05,0.21,0.968,119.063,audio_features,0hwwIaWzXWeRLtGJ458gHu,spotify:track:0hwwIaWzXWeRLtGJ458gHu,https://api.spotify.com/v1/tracks/0hwwIaWzXWeRLtGJ458gHu,https://api.spotify.com/v1/audio-analysis/0hwwIaWzXWeRLtGJ458gHu,168737,4,Kool,spotify:track:0hwwIaWzXWeRLtGJ458gHu,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
7,0.652,0.621,0,-4.954,0,0.0283,0.0984,0.00142,0.0778,0.813,99.01,audio_features,1DOMesJ7CQqJy7pgzghCS4,spotify:track:1DOMesJ7CQqJy7pgzghCS4,https://api.spotify.com/v1/tracks/1DOMesJ7CQqJy7pgzghCS4,https://api.spotify.com/v1/audio-analysis/1DOMesJ7CQqJy7pgzghCS4,187171,4,Winter (feat. Mallrat),spotify:track:1DOMesJ7CQqJy7pgzghCS4,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
8,0.743,0.359,2,-8.316,0,0.0268,0.435,0.00155,0.105,0.452,110.018,audio_features,0CT0h50teLJ4SIkMQ6dDhg,spotify:track:0CT0h50teLJ4SIkMQ6dDhg,https://api.spotify.com/v1/tracks/0CT0h50teLJ4SIkMQ6dDhg,https://api.spotify.com/v1/audio-analysis/0CT0h50teLJ4SIkMQ6dDhg,198125,4,A Little While,spotify:track:0CT0h50teLJ4SIkMQ6dDhg,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
9,0.84,0.624,9,-4.925,0,0.136,0.0155,0.0,0.051,0.472,89.052,audio_features,2Qg785iZXTiejkPc8XJUfH,spotify:track:2Qg785iZXTiejkPc8XJUfH,https://api.spotify.com/v1/tracks/2Qg785iZXTiejkPc8XJUfH,https://api.spotify.com/v1/audio-analysis/2Qg785iZXTiejkPc8XJUfH,221865,4,Night Garden (feat. Kenny Beats & Bakar),spotify:track:2Qg785iZXTiejkPc8XJUfH,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
10,0.841,0.523,9,-8.617,0,0.034,0.0721,0.0494,0.132,0.481,113.017,audio_features,4UbDt337jO61za8Up1HbLz,spotify:track:4UbDt337jO61za8Up1HbLz,https://api.spotify.com/v1/tracks/4UbDt337jO61za8Up1HbLz,https://api.spotify.com/v1/audio-analysis/4UbDt337jO61za8Up1HbLz,188367,4,All The Time (feat. Muroki),spotify:track:4UbDt337jO61za8Up1HbLz,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
11,0.68,0.683,2,-7.098,1,0.0634,0.499,0.0607,0.0786,0.807,157.08,audio_features,5cQvCj6Yk7tz9VKTt1yUiW,spotify:track:5cQvCj6Yk7tz9VKTt1yUiW,https://api.spotify.com/v1/tracks/5cQvCj6Yk7tz9VKTt1yUiW,https://api.spotify.com/v1/audio-analysis/5cQvCj6Yk7tz9VKTt1yUiW,182336,4,If I Get To Meet You,spotify:track:5cQvCj6Yk7tz9VKTt1yUiW,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4
