,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.906,0.495,0,-8.394,0,0.0723,0.358,9.11e-05,0.31,0.55,109.973,audio_features,6Zg0exwQPo5VGLdOVKgo7b,spotify:track:6Zg0exwQPo5VGLdOVKgo7b,https://api.spotify.com/v1/tracks/6Zg0exwQPo5VGLdOVKgo7b,https://api.spotify.com/v1/audio-analysis/6Zg0exwQPo5VGLdOVKgo7b,157019,4,Altalene (feat. BROWN & GRAY),spotify:track:6Zg0exwQPo5VGLdOVKgo7b,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
1,0.504,0.746,6,-4.018,1,0.029,0.323,3.93e-06,0.115,0.596,92.955,audio_features,6zuVzhogxotQnXIxr2wLE5,spotify:track:6zuVzhogxotQnXIxr2wLE5,https://api.spotify.com/v1/tracks/6zuVzhogxotQnXIxr2wLE5,https://api.spotify.com/v1/audio-analysis/6zuVzhogxotQnXIxr2wLE5,180026,4,First Light,spotify:track:6zuVzhogxotQnXIxr2wLE5,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
2,0.443,0.288,6,-10.394,0,0.064,0.869,0.0,0.0992,0.349,80.166,audio_features,56OvF2Dr8JXmtmLkPzra8T,spotify:track:56OvF2Dr8JXmtmLkPzra8T,https://api.spotify.com/v1/tracks/56OvF2Dr8JXmtmLkPzra8T,https://api.spotify.com/v1/audio-analysis/56OvF2Dr8JXmtmLkPzra8T,201850,4,Last to Know - Acoustic,spotify:track:56OvF2Dr8JXmtmLkPzra8T,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
3,0.777,0.435,1,-9.503,1,0.0294,0.615,0.0,0.0897,0.82,125.987,audio_features,1TxQU6v12TVZVQ47iDeRXX,spotify:track:1TxQU6v12TVZVQ47iDeRXX,https://api.spotify.com/v1/tracks/1TxQU6v12TVZVQ47iDeRXX,https://api.spotify.com/v1/audio-analysis/1TxQU6v12TVZVQ47iDeRXX,186833,4,Top Down - Acoustic,spotify:track:1TxQU6v12TVZVQ47iDeRXX,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
4,0.574,0.537,2,-6.08,1,0.0332,0.337,0.000101,0.0977,0.413,175.818,audio_features,3m9Vn8jFAfv1TWTRMsoUHz,spotify:track:3m9Vn8jFAfv1TWTRMsoUHz,https://api.spotify.com/v1/tracks/3m9Vn8jFAfv1TWTRMsoUHz,https://api.spotify.com/v1/audio-analysis/3m9Vn8jFAfv1TWTRMsoUHz,157044,4,You Didn't Have To,spotify:track:3m9Vn8jFAfv1TWTRMsoUHz,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
5,0.667,0.52,0,-8.183,1,0.0306,0.105,0.0,0.112,0.147,105.038,audio_features,0MFu8pac3GHjZiZNyOPSrJ,spotify:track:0MFu8pac3GHjZiZNyOPSrJ,https://api.spotify.com/v1/tracks/0MFu8pac3GHjZiZNyOPSrJ,https://api.spotify.com/v1/audio-analysis/0MFu8pac3GHjZiZNyOPSrJ,186458,4,Make You Mine,spotify:track:0MFu8pac3GHjZiZNyOPSrJ,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
6,0.868,0.665,0,-4.869,1,0.0607,0.045,0.0,0.298,0.658,101.011,audio_features,5eERcK9mjDl79GAC0npUYF,spotify:track:5eERcK9mjDl79GAC0npUYF,https://api.spotify.com/v1/tracks/5eERcK9mjDl79GAC0npUYF,https://api.spotify.com/v1/audio-analysis/5eERcK9mjDl79GAC0npUYF,193000,4,So Low (Call Me Up),spotify:track:5eERcK9mjDl79GAC0npUYF,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
7,0.648,0.247,1,-9.625,1,0.0309,0.885,0.0,0.139,0.665,94.985,audio_features,1Z3RGwhzJ9DAksH2n2thv8,spotify:track:1Z3RGwhzJ9DAksH2n2thv8,https://api.spotify.com/v1/tracks/1Z3RGwhzJ9DAksH2n2thv8,https://api.spotify.com/v1/audio-analysis/1Z3RGwhzJ9DAksH2n2thv8,139286,4,Takeaway,spotify:track:1Z3RGwhzJ9DAksH2n2thv8,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
8,0.676,0.806,2,-4.068,1,0.0268,0.021,0.0,0.0918,0.721,95.01,audio_features,3pXKQkKsSfExZbDJs84kRD,spotify:track:3pXKQkKsSfExZbDJs84kRD,https://api.spotify.com/v1/tracks/3pXKQkKsSfExZbDJs84kRD,https://api.spotify.com/v1/audio-analysis/3pXKQkKsSfExZbDJs84kRD,181206,4,USA,spotify:track:3pXKQkKsSfExZbDJs84kRD,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
9,0.61,0.673,10,-5.353,1,0.0455,0.348,0.0,0.139,0.347,77.503,audio_features,1gzjRvnhmoYGWLGa3HrUrD,spotify:track:1gzjRvnhmoYGWLGa3HrUrD,https://api.spotify.com/v1/tracks/1gzjRvnhmoYGWLGa3HrUrD,https://api.spotify.com/v1/audio-analysis/1gzjRvnhmoYGWLGa3HrUrD,181851,4,Last to Know,spotify:track:1gzjRvnhmoYGWLGa3HrUrD,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
10,0.572,0.243,5,-10.604,1,0.0715,0.92,0.0,0.243,0.495,45.861,audio_features,331vQmjU5VcEh7XatEx0Iy,spotify:track:331vQmjU5VcEh7XatEx0Iy,https://api.spotify.com/v1/tracks/331vQmjU5VcEh7XatEx0Iy,https://api.spotify.com/v1/audio-analysis/331vQmjU5VcEh7XatEx0Iy,72660,3,Burning Man,spotify:track:331vQmjU5VcEh7XatEx0Iy,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
11,0.574,0.332,0,-8.054,1,0.035,0.952,1.54e-05,0.163,0.344,117.238,audio_features,7tlaB9PYvXRlxH0vUqw8ro,spotify:track:7tlaB9PYvXRlxH0vUqw8ro,https://api.spotify.com/v1/tracks/7tlaB9PYvXRlxH0vUqw8ro,https://api.spotify.com/v1/audio-analysis/7tlaB9PYvXRlxH0vUqw8ro,92936,5,My Girl,spotify:track:7tlaB9PYvXRlxH0vUqw8ro,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
12,0.644,0.33,1,-6.691,1,0.0427,0.936,0.0,0.223,0.532,86.909,audio_features,6UF3KMptsKtQ5MoDTxYHCg,spotify:track:6UF3KMptsKtQ5MoDTxYHCg,https://api.spotify.com/v1/tracks/6UF3KMptsKtQ5MoDTxYHCg,https://api.spotify.com/v1/audio-analysis/6UF3KMptsKtQ5MoDTxYHCg,74525,4,Love Someone,spotify:track:6UF3KMptsKtQ5MoDTxYHCg,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
13,0.388,0.203,7,-8.899,0,0.0744,0.961,0.0,0.124,0.249,195.286,audio_features,4qxae32Q0GMht05lShmG4u,spotify:track:4qxae32Q0GMht05lShmG4u,https://api.spotify.com/v1/tracks/4qxae32Q0GMht05lShmG4u,https://api.spotify.com/v1/audio-analysis/4qxae32Q0GMht05lShmG4u,126339,3,Simple,spotify:track:4qxae32Q0GMht05lShmG4u,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
14,0.668,0.407,8,-6.54,0,0.0262,0.548,5.98e-06,0.111,0.568,101.96,audio_features,53oKgvGoRTFyAkeBQ6JTqg,spotify:track:53oKgvGoRTFyAkeBQ6JTqg,https://api.spotify.com/v1/tracks/53oKgvGoRTFyAkeBQ6JTqg,https://api.spotify.com/v1/audio-analysis/53oKgvGoRTFyAkeBQ6JTqg,170624,4,It's Not Christmas,spotify:track:53oKgvGoRTFyAkeBQ6JTqg,BROWN & GRAY,5uVK02OMlf0TvVe7iNHaGN
