,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.666,0.669,5,-7.474,1,0.0464,0.374,0.189,0.11,0.298,100.011,audio_features,0nMwcep8TzjPqokMJ19t2z,spotify:track:0nMwcep8TzjPqokMJ19t2z,https://api.spotify.com/v1/tracks/0nMwcep8TzjPqokMJ19t2z,https://api.spotify.com/v1/audio-analysis/0nMwcep8TzjPqokMJ19t2z,242236,4,Drastic Measures - Single Edit,spotify:track:0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek
1,0.693,0.628,5,-7.537,1,0.0454,0.344,0.44,0.101,0.289,100.006,audio_features,5OskFqru5Q5oD090g5kYDt,spotify:track:5OskFqru5Q5oD090g5kYDt,https://api.spotify.com/v1/tracks/5OskFqru5Q5oD090g5kYDt,https://api.spotify.com/v1/audio-analysis/5OskFqru5Q5oD090g5kYDt,285367,4,Drastic Measures,spotify:track:5OskFqru5Q5oD090g5kYDt,Bayonne,6BbqU3r1G2mwkRIfIbkCek
2,0.485,0.634,3,-7.94,1,0.0349,0.677,0.917,0.114,0.0799,135.998,audio_features,5m3LULyYc9RDCtibDoIh0n,spotify:track:5m3LULyYc9RDCtibDoIh0n,https://api.spotify.com/v1/tracks/5m3LULyYc9RDCtibDoIh0n,https://api.spotify.com/v1/audio-analysis/5m3LULyYc9RDCtibDoIh0n,393021,4,Intro,spotify:track:5m3LULyYc9RDCtibDoIh0n,Bayonne,6BbqU3r1G2mwkRIfIbkCek
3,0.529,0.858,8,-7.233,1,0.031,0.173,0.0818,0.283,0.613,158.65,audio_features,4SJrYCJbejxwjXJB6VLIB8,spotify:track:4SJrYCJbejxwjXJB6VLIB8,https://api.spotify.com/v1/tracks/4SJrYCJbejxwjXJB6VLIB8,https://api.spotify.com/v1/audio-analysis/4SJrYCJbejxwjXJB6VLIB8,249839,3,Appeals,spotify:track:4SJrYCJbejxwjXJB6VLIB8,Bayonne,6BbqU3r1G2mwkRIfIbkCek
4,0.533,0.765,10,-8.498,0,0.0411,0.572,0.51,0.127,0.258,130.386,audio_features,25aY9vwZA69zNQoPPqEKhS,spotify:track:25aY9vwZA69zNQoPPqEKhS,https://api.spotify.com/v1/tracks/25aY9vwZA69zNQoPPqEKhS,https://api.spotify.com/v1/audio-analysis/25aY9vwZA69zNQoPPqEKhS,282583,4,Spectrolite,spotify:track:25aY9vwZA69zNQoPPqEKhS,Bayonne,6BbqU3r1G2mwkRIfIbkCek
5,0.434,0.855,2,-9.862,0,0.0364,0.822,0.914,0.109,0.826,108.34,audio_features,3b0rQss7A17M0anaRSg1xi,spotify:track:3b0rQss7A17M0anaRSg1xi,https://api.spotify.com/v1/tracks/3b0rQss7A17M0anaRSg1xi,https://api.spotify.com/v1/audio-analysis/3b0rQss7A17M0anaRSg1xi,236588,4,Marim,spotify:track:3b0rQss7A17M0anaRSg1xi,Bayonne,6BbqU3r1G2mwkRIfIbkCek
6,0.527,0.731,2,-7.214,0,0.0443,0.781,0.802,0.176,0.156,111.385,audio_features,4qm4zIGscSiiyQGjY5V0vA,spotify:track:4qm4zIGscSiiyQGjY5V0vA,https://api.spotify.com/v1/tracks/4qm4zIGscSiiyQGjY5V0vA,https://api.spotify.com/v1/audio-analysis/4qm4zIGscSiiyQGjY5V0vA,390159,4,Waves,spotify:track:4qm4zIGscSiiyQGjY5V0vA,Bayonne,6BbqU3r1G2mwkRIfIbkCek
7,0.405,0.625,2,-8.836,1,0.0324,0.901,0.906,0.75,0.562,82.46,audio_features,1X4YN3TORasayIFvJNvrdb,spotify:track:1X4YN3TORasayIFvJNvrdb,https://api.spotify.com/v1/tracks/1X4YN3TORasayIFvJNvrdb,https://api.spotify.com/v1/audio-analysis/1X4YN3TORasayIFvJNvrdb,282260,3,Steps,spotify:track:1X4YN3TORasayIFvJNvrdb,Bayonne,6BbqU3r1G2mwkRIfIbkCek
8,0.488,0.662,2,-8.391,1,0.0402,0.847,0.818,0.0926,0.0702,127.029,audio_features,4UtZs5I3R2INnLZO3JttE6,spotify:track:4UtZs5I3R2INnLZO3JttE6,https://api.spotify.com/v1/tracks/4UtZs5I3R2INnLZO3JttE6,https://api.spotify.com/v1/audio-analysis/4UtZs5I3R2INnLZO3JttE6,384541,4,Lates,spotify:track:4UtZs5I3R2INnLZO3JttE6,Bayonne,6BbqU3r1G2mwkRIfIbkCek
9,0.572,0.608,0,-8.132,1,0.0283,0.458,0.888,0.113,0.521,147.06,audio_features,6X275jJ8hzgExHlMVkxI3W,spotify:track:6X275jJ8hzgExHlMVkxI3W,https://api.spotify.com/v1/tracks/6X275jJ8hzgExHlMVkxI3W,https://api.spotify.com/v1/audio-analysis/6X275jJ8hzgExHlMVkxI3W,355413,4,Omar,spotify:track:6X275jJ8hzgExHlMVkxI3W,Bayonne,6BbqU3r1G2mwkRIfIbkCek
10,0.509,0.695,3,-8.452,1,0.0373,0.669,0.56,0.361,0.289,144.999,audio_features,3fr4SV9m9GSVWhsp97I4Ky,spotify:track:3fr4SV9m9GSVWhsp97I4Ky,https://api.spotify.com/v1/tracks/3fr4SV9m9GSVWhsp97I4Ky,https://api.spotify.com/v1/audio-analysis/3fr4SV9m9GSVWhsp97I4Ky,312303,4,Hammond - Bonus Track,spotify:track:3fr4SV9m9GSVWhsp97I4Ky,Bayonne,6BbqU3r1G2mwkRIfIbkCek
11,0.705,0.637,7,-6.999,0,0.0327,0.534,4.71e-06,0.0931,0.91,136.508,audio_features,183TIHmLrtIKIcDToTCMyg,spotify:track:183TIHmLrtIKIcDToTCMyg,https://api.spotify.com/v1/tracks/183TIHmLrtIKIcDToTCMyg,https://api.spotify.com/v1/audio-analysis/183TIHmLrtIKIcDToTCMyg,281843,4,Sincere - Bonus Track,spotify:track:183TIHmLrtIKIcDToTCMyg,Bayonne,6BbqU3r1G2mwkRIfIbkCek
12,0.63,0.385,6,-12.207,1,0.0343,0.802,2.5e-05,0.086,0.507,136.95,audio_features,3MwBUob1NJKuPmjMyGsnIX,spotify:track:3MwBUob1NJKuPmjMyGsnIX,https://api.spotify.com/v1/tracks/3MwBUob1NJKuPmjMyGsnIX,https://api.spotify.com/v1/audio-analysis/3MwBUob1NJKuPmjMyGsnIX,244209,4,I Can Dream - Bayonne Remix,spotify:track:3MwBUob1NJKuPmjMyGsnIX,Bayonne,6BbqU3r1G2mwkRIfIbkCek
13,0.645,0.364,6,-13.815,1,0.0292,0.821,0.77,0.0834,0.474,136.932,audio_features,6jtiuCnNPLmtvdmMOB3VGh,spotify:track:6jtiuCnNPLmtvdmMOB3VGh,https://api.spotify.com/v1/tracks/6jtiuCnNPLmtvdmMOB3VGh,https://api.spotify.com/v1/audio-analysis/6jtiuCnNPLmtvdmMOB3VGh,244209,4,I Can Dream - Bayonne Remix (Instrumental),spotify:track:6jtiuCnNPLmtvdmMOB3VGh,Bayonne,6BbqU3r1G2mwkRIfIbkCek
