,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.442,0.852,3,-6.504,0,0.0377,0.169,0.89,0.203,0.151,126.098,audio_features,4mLMabNijyaIvn7xuYe5kw,spotify:track:4mLMabNijyaIvn7xuYe5kw,https://api.spotify.com/v1/tracks/4mLMabNijyaIvn7xuYe5kw,https://api.spotify.com/v1/audio-analysis/4mLMabNijyaIvn7xuYe5kw,204373,4,Dark Spring,spotify:track:4mLMabNijyaIvn7xuYe5kw,Beach House,56ZTgzPBDge0OvCGgMO3OY
1,0.601,0.399,3,-10.12,1,0.0246,0.258,0.653,0.107,0.297,99.732,audio_features,6HXe3URy02HY3OLjfVrnQZ,spotify:track:6HXe3URy02HY3OLjfVrnQZ,https://api.spotify.com/v1/tracks/6HXe3URy02HY3OLjfVrnQZ,https://api.spotify.com/v1/audio-analysis/6HXe3URy02HY3OLjfVrnQZ,204467,4,Pay No Mind,spotify:track:6HXe3URy02HY3OLjfVrnQZ,Beach House,56ZTgzPBDge0OvCGgMO3OY
2,0.465,0.814,0,-7.925,1,0.0301,0.456,0.975,0.233,0.496,148.425,audio_features,26CfdVmYf0hNvP6SJXF0vQ,spotify:track:26CfdVmYf0hNvP6SJXF0vQ,https://api.spotify.com/v1/tracks/26CfdVmYf0hNvP6SJXF0vQ,https://api.spotify.com/v1/audio-analysis/26CfdVmYf0hNvP6SJXF0vQ,244947,4,Lemon Glow,spotify:track:26CfdVmYf0hNvP6SJXF0vQ,Beach House,56ZTgzPBDge0OvCGgMO3OY
3,0.111,0.575,10,-9.274,1,0.032,0.891,0.787,0.115,0.115,80.581,audio_features,1GOxgEjLFG8LnYUTgNVcC7,spotify:track:1GOxgEjLFG8LnYUTgNVcC7,https://api.spotify.com/v1/tracks/1GOxgEjLFG8LnYUTgNVcC7,https://api.spotify.com/v1/audio-analysis/1GOxgEjLFG8LnYUTgNVcC7,264747,4,L'Inconnue,spotify:track:1GOxgEjLFG8LnYUTgNVcC7,Beach House,56ZTgzPBDge0OvCGgMO3OY
4,0.434,0.724,0,-6.851,0,0.0258,0.26,0.784,0.178,0.205,105.896,audio_features,579f7KQP5rpiiugsVuSuoQ,spotify:track:579f7KQP5rpiiugsVuSuoQ,https://api.spotify.com/v1/tracks/579f7KQP5rpiiugsVuSuoQ,https://api.spotify.com/v1/audio-analysis/579f7KQP5rpiiugsVuSuoQ,239307,4,Drunk In L.A.,spotify:track:579f7KQP5rpiiugsVuSuoQ,Beach House,56ZTgzPBDge0OvCGgMO3OY
5,0.173,0.802,5,-6.62,1,0.0514,0.01,0.96,0.101,0.162,111.003,audio_features,7658n55fOdy8zGGWBv6o6e,spotify:track:7658n55fOdy8zGGWBv6o6e,https://api.spotify.com/v1/tracks/7658n55fOdy8zGGWBv6o6e,https://api.spotify.com/v1/audio-analysis/7658n55fOdy8zGGWBv6o6e,265373,4,Dive,spotify:track:7658n55fOdy8zGGWBv6o6e,Beach House,56ZTgzPBDge0OvCGgMO3OY
6,0.407,0.55,0,-10.253,1,0.0291,0.336,0.892,0.111,0.296,77.466,audio_features,4SmSTiwpdvt9dRYfpNmLyk,spotify:track:4SmSTiwpdvt9dRYfpNmLyk,https://api.spotify.com/v1/tracks/4SmSTiwpdvt9dRYfpNmLyk,https://api.spotify.com/v1/audio-analysis/4SmSTiwpdvt9dRYfpNmLyk,251160,4,Black Car,spotify:track:4SmSTiwpdvt9dRYfpNmLyk,Beach House,56ZTgzPBDge0OvCGgMO3OY
7,0.393,0.484,9,-8.997,1,0.0298,0.299,0.685,0.0878,0.197,132.672,audio_features,0BSjgyOS5rQN4mk96123AC,spotify:track:0BSjgyOS5rQN4mk96123AC,https://api.spotify.com/v1/tracks/0BSjgyOS5rQN4mk96123AC,https://api.spotify.com/v1/audio-analysis/0BSjgyOS5rQN4mk96123AC,249253,4,Lose Your Smile,spotify:track:0BSjgyOS5rQN4mk96123AC,Beach House,56ZTgzPBDge0OvCGgMO3OY
8,0.393,0.75,0,-7.239,1,0.0269,0.14,0.125,0.212,0.648,164.268,audio_features,4QRBGP3AQman3WwmvDICqP,spotify:track:4QRBGP3AQman3WwmvDICqP,https://api.spotify.com/v1/tracks/4QRBGP3AQman3WwmvDICqP,https://api.spotify.com/v1/audio-analysis/4QRBGP3AQman3WwmvDICqP,254867,4,Woo,spotify:track:4QRBGP3AQman3WwmvDICqP,Beach House,56ZTgzPBDge0OvCGgMO3OY
9,0.359,0.661,10,-7.617,1,0.0349,0.353,0.92,0.49,0.0913,70.007,audio_features,0wOxLaJT2I1VKDxQtvXX52,spotify:track:0wOxLaJT2I1VKDxQtvXX52,https://api.spotify.com/v1/tracks/0wOxLaJT2I1VKDxQtvXX52,https://api.spotify.com/v1/audio-analysis/0wOxLaJT2I1VKDxQtvXX52,231360,4,Girl of the Year,spotify:track:0wOxLaJT2I1VKDxQtvXX52,Beach House,56ZTgzPBDge0OvCGgMO3OY
10,0.153,0.469,0,-9.681,1,0.0296,0.729,0.638,0.106,0.0858,88.209,audio_features,2CiGJncS1udY3S0SHIvUUD,spotify:track:2CiGJncS1udY3S0SHIvUUD,https://api.spotify.com/v1/tracks/2CiGJncS1udY3S0SHIvUUD,https://api.spotify.com/v1/audio-analysis/2CiGJncS1udY3S0SHIvUUD,419640,4,Last Ride,spotify:track:2CiGJncS1udY3S0SHIvUUD,Beach House,56ZTgzPBDge0OvCGgMO3OY
