,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.73,0.732,9,-4.454,1,0.0664,0.0821,5.85e-06,0.353,0.593,98.02,audio_features,2YehfN7W0d3NoZpS2gYaXJ,spotify:track:2YehfN7W0d3NoZpS2gYaXJ,https://api.spotify.com/v1/tracks/2YehfN7W0d3NoZpS2gYaXJ,https://api.spotify.com/v1/audio-analysis/2YehfN7W0d3NoZpS2gYaXJ,190267,4,I Got You,spotify:track:2YehfN7W0d3NoZpS2gYaXJ,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
1,0.728,0.79,7,-2.363,0,0.0764,0.296,0.0,0.141,0.771,123.974,audio_features,5oLyhTCzMmnN0GuSx0jOWB,spotify:track:5oLyhTCzMmnN0GuSx0jOWB,https://api.spotify.com/v1/tracks/5oLyhTCzMmnN0GuSx0jOWB,https://api.spotify.com/v1/audio-analysis/5oLyhTCzMmnN0GuSx0jOWB,214373,4,Last Time,spotify:track:5oLyhTCzMmnN0GuSx0jOWB,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
2,0.715,0.816,1,-3.909,1,0.0448,0.0287,0.0,0.14,0.531,121.995,audio_features,2OjeWbAhD07PML8amCfPUk,spotify:track:2OjeWbAhD07PML8amCfPUk,https://api.spotify.com/v1/tracks/2OjeWbAhD07PML8amCfPUk,https://api.spotify.com/v1/audio-analysis/2OjeWbAhD07PML8amCfPUk,199667,4,Make It Hard To Love You,spotify:track:2OjeWbAhD07PML8amCfPUk,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
3,0.691,0.859,7,-3.267,1,0.0416,0.0678,0.0,0.0974,0.277,124.013,audio_features,6eVL18PUCb5CULpXiEkKHO,spotify:track:6eVL18PUCb5CULpXiEkKHO,https://api.spotify.com/v1/tracks/6eVL18PUCb5CULpXiEkKHO,https://api.spotify.com/v1/audio-analysis/6eVL18PUCb5CULpXiEkKHO,198493,4,Better Off Without You (feat. Shift K3Y),spotify:track:6eVL18PUCb5CULpXiEkKHO,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
4,0.627,0.864,8,-3.114,1,0.0385,0.0695,0.0,0.0887,0.521,123.795,audio_features,5bxgUX5j0ddUFPwOu63wsS,spotify:track:5bxgUX5j0ddUFPwOu63wsS,https://api.spotify.com/v1/tracks/5bxgUX5j0ddUFPwOu63wsS,https://api.spotify.com/v1/audio-analysis/5bxgUX5j0ddUFPwOu63wsS,161387,4,Remember (and David Guetta),spotify:track:5bxgUX5j0ddUFPwOu63wsS,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
5,0.332,0.35,7,-6.255,1,0.0319,0.895,0.0,0.216,0.267,165.262,audio_features,5YLK4Pbf3mZJZhSvPcgUOF,spotify:track:5YLK4Pbf3mZJZhSvPcgUOF,https://api.spotify.com/v1/tracks/5YLK4Pbf3mZJZhSvPcgUOF,https://api.spotify.com/v1/audio-analysis/5YLK4Pbf3mZJZhSvPcgUOF,183453,4,Perfect People,spotify:track:5YLK4Pbf3mZJZhSvPcgUOF,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
6,0.695,0.778,7,-5.582,0,0.0457,0.0186,2.35e-05,0.295,0.466,124.047,audio_features,3jA5GPuriyFsRYVxlZQJba,spotify:track:3jA5GPuriyFsRYVxlZQJba,https://api.spotify.com/v1/tracks/3jA5GPuriyFsRYVxlZQJba,https://api.spotify.com/v1/audio-analysis/3jA5GPuriyFsRYVxlZQJba,148960,4,My Heart Goes (La Di Da) (feat. Topic),spotify:track:3jA5GPuriyFsRYVxlZQJba,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
7,0.824,0.752,0,-5.215,0,0.0417,0.0385,3.21e-06,0.0821,0.836,130.004,audio_features,70Bif5yhM7Bff2K4kJgfoz,spotify:track:70Bif5yhM7Bff2K4kJgfoz,https://api.spotify.com/v1/tracks/70Bif5yhM7Bff2K4kJgfoz,https://api.spotify.com/v1/audio-analysis/70Bif5yhM7Bff2K4kJgfoz,195893,4,Could Be My Somebody (feat. S1mba),spotify:track:70Bif5yhM7Bff2K4kJgfoz,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
8,0.639,0.849,8,-2.541,0,0.122,0.0928,0.0,0.106,0.825,148.117,audio_features,56UdemC9WdvrMVwVJANumi,spotify:track:56UdemC9WdvrMVwVJANumi,https://api.spotify.com/v1/tracks/56UdemC9WdvrMVwVJANumi,https://api.spotify.com/v1/audio-analysis/56UdemC9WdvrMVwVJANumi,197720,4,Business (with Ella Eyre),spotify:track:56UdemC9WdvrMVwVJANumi,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
9,0.592,0.84,7,-5.76,1,0.0391,0.0538,0.0193,0.0878,0.239,156.937,audio_features,4N6rAm5hzyTT4vt81HJVmB,spotify:track:4N6rAm5hzyTT4vt81HJVmB,https://api.spotify.com/v1/tracks/4N6rAm5hzyTT4vt81HJVmB,https://api.spotify.com/v1/audio-analysis/4N6rAm5hzyTT4vt81HJVmB,124200,4,Waiting Not Looking,spotify:track:4N6rAm5hzyTT4vt81HJVmB,Becky Hill,4EPJlUEBy49EX1wuFOvtjK
