,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.276,0.467,5,-8.827,1,0.0436,0.86,0.277,0.118,0.282,192.093,audio_features,6eSNeBkMUAcKJgs2yiZoEb,spotify:track:6eSNeBkMUAcKJgs2yiZoEb,https://api.spotify.com/v1/tracks/6eSNeBkMUAcKJgs2yiZoEb,https://api.spotify.com/v1/audio-analysis/6eSNeBkMUAcKJgs2yiZoEb,239320,4,Follies Fixture,spotify:track:6eSNeBkMUAcKJgs2yiZoEb,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
1,0.677,0.466,7,-8.514,1,0.0274,0.505,0.125,0.1,0.54,136.009,audio_features,19Z0f8sEwSRkUO42GBsZIW,spotify:track:19Z0f8sEwSRkUO42GBsZIW,https://api.spotify.com/v1/tracks/19Z0f8sEwSRkUO42GBsZIW,https://api.spotify.com/v1/audio-analysis/19Z0f8sEwSRkUO42GBsZIW,316653,4,What A Day,spotify:track:19Z0f8sEwSRkUO42GBsZIW,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
2,0.618,0.876,7,-7.539,0,0.0434,0.284,0.714,0.0552,0.814,175.944,audio_features,4zNfeVub9vFU2e2M92PVIk,spotify:track:4zNfeVub9vFU2e2M92PVIk,https://api.spotify.com/v1/tracks/4zNfeVub9vFU2e2M92PVIk,https://api.spotify.com/v1/audio-analysis/4zNfeVub9vFU2e2M92PVIk,224320,4,Crowhurst's Meme,spotify:track:4zNfeVub9vFU2e2M92PVIk,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
3,0.483,0.394,0,-8.5,1,0.0343,0.979,0.588,0.144,0.615,82.258,audio_features,2WZRYeZAZpwArIFQ348NSA,spotify:track:2WZRYeZAZpwArIFQ348NSA,https://api.spotify.com/v1/tracks/2WZRYeZAZpwArIFQ348NSA,https://api.spotify.com/v1/audio-analysis/2WZRYeZAZpwArIFQ348NSA,169293,3,Finders Keepers,spotify:track:2WZRYeZAZpwArIFQ348NSA,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
4,0.581,0.674,2,-6.14,0,0.0434,0.513,2.07e-05,0.157,0.373,184.034,audio_features,3FBisbTYZcpmPPAjnXE7w9,spotify:track:3FBisbTYZcpmPPAjnXE7w9,https://api.spotify.com/v1/tracks/3FBisbTYZcpmPPAjnXE7w9,https://api.spotify.com/v1/audio-analysis/3FBisbTYZcpmPPAjnXE7w9,258693,4,Far Out,spotify:track:3FBisbTYZcpmPPAjnXE7w9,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
5,0.576,0.238,0,-9.089,1,0.0457,0.929,0.0244,0.27,0.381,98.15,audio_features,3a2PR9xITzp6NU7tBJfi2T,spotify:track:3a2PR9xITzp6NU7tBJfi2T,https://api.spotify.com/v1/tracks/3a2PR9xITzp6NU7tBJfi2T,https://api.spotify.com/v1/audio-analysis/3a2PR9xITzp6NU7tBJfi2T,151240,4,Rookery,spotify:track:3a2PR9xITzp6NU7tBJfi2T,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
6,0.602,0.687,10,-6.696,1,0.0253,0.109,0.0205,0.104,0.475,94.503,audio_features,2aGG9BShdwQmX6cl4b4xhI,spotify:track:2aGG9BShdwQmX6cl4b4xhI,https://api.spotify.com/v1/tracks/2aGG9BShdwQmX6cl4b4xhI,https://api.spotify.com/v1/audio-analysis/2aGG9BShdwQmX6cl4b4xhI,265133,3,You Have Your Way,spotify:track:2aGG9BShdwQmX6cl4b4xhI,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
7,0.606,0.735,0,-7.844,0,0.0671,0.663,0.317,0.0792,0.257,143.871,audio_features,0p52ci6UUflXG2atbpynFR,spotify:track:0p52ci6UUflXG2atbpynFR,https://api.spotify.com/v1/tracks/0p52ci6UUflXG2atbpynFR,https://api.spotify.com/v1/audio-analysis/0p52ci6UUflXG2atbpynFR,257120,1,Sage That She Was Burning,spotify:track:0p52ci6UUflXG2atbpynFR,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
8,0.586,0.684,2,-7.282,0,0.0366,0.217,0.0972,0.0842,0.83,168.868,audio_features,4WkXkSKdcUgvBTNJenI7h1,spotify:track:4WkXkSKdcUgvBTNJenI7h1,https://api.spotify.com/v1/tracks/4WkXkSKdcUgvBTNJenI7h1,https://api.spotify.com/v1/audio-analysis/4WkXkSKdcUgvBTNJenI7h1,299840,4,Sorry Kid,spotify:track:4WkXkSKdcUgvBTNJenI7h1,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
9,0.531,0.827,0,-6.061,1,0.0577,0.508,0.632,0.318,0.285,81.197,audio_features,16tmWx16i5LUM5KSTzLW88,spotify:track:16tmWx16i5LUM5KSTzLW88,https://api.spotify.com/v1/tracks/16tmWx16i5LUM5KSTzLW88,https://api.spotify.com/v1/audio-analysis/16tmWx16i5LUM5KSTzLW88,220960,4,Unfurling,spotify:track:16tmWx16i5LUM5KSTzLW88,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
10,0.6,0.833,10,-8.216,1,0.0634,0.614,0.119,0.102,0.882,175.96,audio_features,72nilGXsydMFfYGW43mZ8y,spotify:track:72nilGXsydMFfYGW43mZ8y,https://api.spotify.com/v1/tracks/72nilGXsydMFfYGW43mZ8y,https://api.spotify.com/v1/audio-analysis/72nilGXsydMFfYGW43mZ8y,261747,4,Metaphysical Cantations,spotify:track:72nilGXsydMFfYGW43mZ8y,Ben Howard,5schNIzWdI9gJ1QRK8SBnc
