,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.814,0.778,11,-3.33,0,0.115,0.0368,0.0,0.635,0.933,125.966,audio_features,4PLuCa10ULsd3t9bGV7MH5,spotify:track:4PLuCa10ULsd3t9bGV7MH5,https://api.spotify.com/v1/tracks/4PLuCa10ULsd3t9bGV7MH5,https://api.spotify.com/v1/audio-analysis/4PLuCa10ULsd3t9bGV7MH5,132027,4,Cool Kids,spotify:track:4PLuCa10ULsd3t9bGV7MH5,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
1,0.883,0.713,9,-4.684,1,0.307,0.0125,0.0,0.45,0.855,89.025,audio_features,7F5gNYuAM0edxeLb3PJpXv,spotify:track:7F5gNYuAM0edxeLb3PJpXv,https://api.spotify.com/v1/tracks/7F5gNYuAM0edxeLb3PJpXv,https://api.spotify.com/v1/audio-analysis/7F5gNYuAM0edxeLb3PJpXv,108800,4,Bad Day,spotify:track:7F5gNYuAM0edxeLb3PJpXv,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
2,0.713,0.871,1,-4.022,1,0.174,0.112,0.0,0.151,0.895,76.492,audio_features,2mgl4jPQ7hhbs9XEx9GiUL,spotify:track:2mgl4jPQ7hhbs9XEx9GiUL,https://api.spotify.com/v1/tracks/2mgl4jPQ7hhbs9XEx9GiUL,https://api.spotify.com/v1/audio-analysis/2mgl4jPQ7hhbs9XEx9GiUL,130980,4,Insomniac,spotify:track:2mgl4jPQ7hhbs9XEx9GiUL,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
3,0.699,0.815,1,-5.91,1,0.18,0.111,0.0,0.102,0.891,76.468,audio_features,5YMXPyqkFFfzQmpkQuKA8h,spotify:track:5YMXPyqkFFfzQmpkQuKA8h,https://api.spotify.com/v1/tracks/5YMXPyqkFFfzQmpkQuKA8h,https://api.spotify.com/v1/audio-analysis/5YMXPyqkFFfzQmpkQuKA8h,143529,4,Real Life Sux,spotify:track:5YMXPyqkFFfzQmpkQuKA8h,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
4,0.669,0.648,5,-4.66,1,0.067,0.34,0.0,0.314,0.616,80.974,audio_features,58NmSCBpdaswec4Lmejsci,spotify:track:58NmSCBpdaswec4Lmejsci,https://api.spotify.com/v1/tracks/58NmSCBpdaswec4Lmejsci,https://api.spotify.com/v1/audio-analysis/58NmSCBpdaswec4Lmejsci,161747,4,Nightstand,spotify:track:58NmSCBpdaswec4Lmejsci,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
5,0.734,0.695,1,-4.834,0,0.5,0.0115,0.0,0.486,0.894,178.097,audio_features,0qugsXSQ9xnhrteQtWdByY,spotify:track:0qugsXSQ9xnhrteQtWdByY,https://api.spotify.com/v1/tracks/0qugsXSQ9xnhrteQtWdByY,https://api.spotify.com/v1/audio-analysis/0qugsXSQ9xnhrteQtWdByY,108792,4,Bad Day,spotify:track:0qugsXSQ9xnhrteQtWdByY,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
6,0.713,0.871,1,-4.022,1,0.174,0.112,0.0,0.151,0.895,76.492,audio_features,6Da9g4wbgrTu5tO0kkCBG1,spotify:track:6Da9g4wbgrTu5tO0kkCBG1,https://api.spotify.com/v1/tracks/6Da9g4wbgrTu5tO0kkCBG1,https://api.spotify.com/v1/audio-analysis/6Da9g4wbgrTu5tO0kkCBG1,130980,4,Insomniac,spotify:track:6Da9g4wbgrTu5tO0kkCBG1,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
7,0.704,0.809,1,-5.854,1,0.174,0.123,0.0,0.0993,0.902,76.501,audio_features,53fWo6JBXV02Beql790z7V,spotify:track:53fWo6JBXV02Beql790z7V,https://api.spotify.com/v1/tracks/53fWo6JBXV02Beql790z7V,https://api.spotify.com/v1/audio-analysis/53fWo6JBXV02Beql790z7V,143529,4,Real Life Sux,spotify:track:53fWo6JBXV02Beql790z7V,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
8,0.713,0.871,1,-4.022,1,0.174,0.112,0.0,0.151,0.895,76.492,audio_features,5TdbSCRdrZDC8yK19l7fou,spotify:track:5TdbSCRdrZDC8yK19l7fou,https://api.spotify.com/v1/tracks/5TdbSCRdrZDC8yK19l7fou,https://api.spotify.com/v1/audio-analysis/5TdbSCRdrZDC8yK19l7fou,130980,4,Insomniac,spotify:track:5TdbSCRdrZDC8yK19l7fou,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
9,0.699,0.815,1,-5.91,1,0.18,0.111,0.0,0.102,0.891,76.468,audio_features,5vddPg2RoRtqLwg3Pz3aI6,spotify:track:5vddPg2RoRtqLwg3Pz3aI6,https://api.spotify.com/v1/tracks/5vddPg2RoRtqLwg3Pz3aI6,https://api.spotify.com/v1/audio-analysis/5vddPg2RoRtqLwg3Pz3aI6,143529,4,Real Life Sux,spotify:track:5vddPg2RoRtqLwg3Pz3aI6,Justus Bennetts,4PcesEvU9iICf7dwNt5B3l
