,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.661,0.519,8,-7.409,1,0.0733,0.00534,0.869,0.101,0.0371,174.05,audio_features,12q0Hn2A6WHg6isKNDE0h8,spotify:track:12q0Hn2A6WHg6isKNDE0h8,https://api.spotify.com/v1/tracks/12q0Hn2A6WHg6isKNDE0h8,https://api.spotify.com/v1/audio-analysis/12q0Hn2A6WHg6isKNDE0h8,271063,4,All About,spotify:track:12q0Hn2A6WHg6isKNDE0h8,Bert H,2oykKN89xs1VZCtAB1rRsi
1,0.514,0.755,10,-8.807,0,0.0442,0.00121,0.848,0.149,0.202,174.014,audio_features,3okNgciHjXSnj9hwFVpPdW,spotify:track:3okNgciHjXSnj9hwFVpPdW,https://api.spotify.com/v1/tracks/3okNgciHjXSnj9hwFVpPdW,https://api.spotify.com/v1/audio-analysis/3okNgciHjXSnj9hwFVpPdW,335727,4,Tides - The Vanguard Project Remix,spotify:track:3okNgciHjXSnj9hwFVpPdW,Bert H,2oykKN89xs1VZCtAB1rRsi
2,0.51,0.624,1,-6.727,0,0.0397,0.000322,0.812,0.1,0.04,173.988,audio_features,44Iqrl4VSyFFWJgsvWOTOw,spotify:track:44Iqrl4VSyFFWJgsvWOTOw,https://api.spotify.com/v1/tracks/44Iqrl4VSyFFWJgsvWOTOw,https://api.spotify.com/v1/audio-analysis/44Iqrl4VSyFFWJgsvWOTOw,267952,4,Aurora,spotify:track:44Iqrl4VSyFFWJgsvWOTOw,Bert H,2oykKN89xs1VZCtAB1rRsi
3,0.596,0.871,5,-5.838,0,0.0582,0.000683,0.78,0.0513,0.717,173.988,audio_features,3oAvKaxt5aUwu6uTcJHoIS,spotify:track:3oAvKaxt5aUwu6uTcJHoIS,https://api.spotify.com/v1/tracks/3oAvKaxt5aUwu6uTcJHoIS,https://api.spotify.com/v1/audio-analysis/3oAvKaxt5aUwu6uTcJHoIS,331755,4,Love Like This,spotify:track:3oAvKaxt5aUwu6uTcJHoIS,Bert H,2oykKN89xs1VZCtAB1rRsi
4,0.556,0.78,2,-7.079,0,0.0653,0.000212,0.891,0.181,0.284,175.023,audio_features,5Dp9sZ7TSK9zSjl7ckKmqv,spotify:track:5Dp9sZ7TSK9zSjl7ckKmqv,https://api.spotify.com/v1/tracks/5Dp9sZ7TSK9zSjl7ckKmqv,https://api.spotify.com/v1/audio-analysis/5Dp9sZ7TSK9zSjl7ckKmqv,362082,4,Without You,spotify:track:5Dp9sZ7TSK9zSjl7ckKmqv,Bert H,2oykKN89xs1VZCtAB1rRsi
5,0.568,0.903,7,-6.464,1,0.0769,0.0147,0.711,0.358,0.572,175.05,audio_features,3aBb3ZUevNkNiavwwUuUP4,spotify:track:3aBb3ZUevNkNiavwwUuUP4,https://api.spotify.com/v1/tracks/3aBb3ZUevNkNiavwwUuUP4,https://api.spotify.com/v1/audio-analysis/3aBb3ZUevNkNiavwwUuUP4,341582,4,Still Near,spotify:track:3aBb3ZUevNkNiavwwUuUP4,Bert H,2oykKN89xs1VZCtAB1rRsi
6,0.589,0.881,10,-6.955,0,0.0476,0.00184,0.726,0.0865,0.242,173.985,audio_features,5wMxozzs58LcKdW3viZT8e,spotify:track:5wMxozzs58LcKdW3viZT8e,https://api.spotify.com/v1/tracks/5wMxozzs58LcKdW3viZT8e,https://api.spotify.com/v1/audio-analysis/5wMxozzs58LcKdW3viZT8e,272014,4,Pecheneg,spotify:track:5wMxozzs58LcKdW3viZT8e,Bert H,2oykKN89xs1VZCtAB1rRsi
7,0.616,0.596,6,-6.706,1,0.0571,0.00498,0.668,0.106,0.21,174.036,audio_features,1yRSOLZNevD2fIoyXA6byQ,spotify:track:1yRSOLZNevD2fIoyXA6byQ,https://api.spotify.com/v1/tracks/1yRSOLZNevD2fIoyXA6byQ,https://api.spotify.com/v1/audio-analysis/1yRSOLZNevD2fIoyXA6byQ,289298,4,My Way,spotify:track:1yRSOLZNevD2fIoyXA6byQ,Bert H,2oykKN89xs1VZCtAB1rRsi
8,0.527,0.81,1,-7.104,0,0.0406,0.000566,0.71,0.085,0.33,173.973,audio_features,3SKKQCwgzi7BMB6GgMkAPl,spotify:track:3SKKQCwgzi7BMB6GgMkAPl,https://api.spotify.com/v1/tracks/3SKKQCwgzi7BMB6GgMkAPl,https://api.spotify.com/v1/audio-analysis/3SKKQCwgzi7BMB6GgMkAPl,315034,4,Look At Me,spotify:track:3SKKQCwgzi7BMB6GgMkAPl,Bert H,2oykKN89xs1VZCtAB1rRsi
9,0.581,0.738,6,-9.239,0,0.0484,0.000584,0.928,0.0732,0.197,174.022,audio_features,0DyA9cR3JMPIZCAqFohpyK,spotify:track:0DyA9cR3JMPIZCAqFohpyK,https://api.spotify.com/v1/tracks/0DyA9cR3JMPIZCAqFohpyK,https://api.spotify.com/v1/audio-analysis/0DyA9cR3JMPIZCAqFohpyK,380690,4,Escape - Seba Remix,spotify:track:0DyA9cR3JMPIZCAqFohpyK,Bert H,2oykKN89xs1VZCtAB1rRsi
