,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.629,0.957,9,-4.938,0,0.0494,0.141,0.0433,0.222,0.805,131.369,audio_features,4NYc24RPXtyKr9RVwlSMmF,spotify:track:4NYc24RPXtyKr9RVwlSMmF,https://api.spotify.com/v1/tracks/4NYc24RPXtyKr9RVwlSMmF,https://api.spotify.com/v1/audio-analysis/4NYc24RPXtyKr9RVwlSMmF,284960,4,I'm Telling You Now,spotify:track:4NYc24RPXtyKr9RVwlSMmF,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
1,0.657,0.811,4,-4.971,0,0.101,0.0911,5.11e-06,0.0765,0.832,106.32,audio_features,1HDTih3fXzZtD3E0qq14Fo,spotify:track:1HDTih3fXzZtD3E0qq14Fo,https://api.spotify.com/v1/tracks/1HDTih3fXzZtD3E0qq14Fo,https://api.spotify.com/v1/audio-analysis/1HDTih3fXzZtD3E0qq14Fo,265400,4,Child of the Man,spotify:track:1HDTih3fXzZtD3E0qq14Fo,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
2,0.558,0.747,7,-6.128,1,0.0846,0.69,0.0,0.0674,0.77,88.954,audio_features,6W3GGooGJWxAHUu02cIz6d,spotify:track:6W3GGooGJWxAHUu02cIz6d,https://api.spotify.com/v1/tracks/6W3GGooGJWxAHUu02cIz6d,https://api.spotify.com/v1/audio-analysis/6W3GGooGJWxAHUu02cIz6d,229587,4,You're Just What I Need,spotify:track:6W3GGooGJWxAHUu02cIz6d,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
3,0.46,0.491,0,-6.48,1,0.0297,0.266,0.0,0.0906,0.305,137.036,audio_features,107I5mL8jWXCQ3emwcdYMf,spotify:track:107I5mL8jWXCQ3emwcdYMf,https://api.spotify.com/v1/tracks/107I5mL8jWXCQ3emwcdYMf,https://api.spotify.com/v1/audio-analysis/107I5mL8jWXCQ3emwcdYMf,349173,3,My Love Is,spotify:track:107I5mL8jWXCQ3emwcdYMf,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
4,0.604,0.865,10,-5.041,0,0.14,0.0839,0.0,0.0937,0.697,134.778,audio_features,4W3aoubQ8RV7x8QJbhuWGg,spotify:track:4W3aoubQ8RV7x8QJbhuWGg,https://api.spotify.com/v1/tracks/4W3aoubQ8RV7x8QJbhuWGg,https://api.spotify.com/v1/audio-analysis/4W3aoubQ8RV7x8QJbhuWGg,316667,4,Open the Door to Your Heart / Love Train,spotify:track:4W3aoubQ8RV7x8QJbhuWGg,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
5,0.566,0.918,0,-4.913,1,0.0839,0.287,0.0,0.0907,0.709,125.982,audio_features,1skRcqR4UUQgQvnVFnnteD,spotify:track:1skRcqR4UUQgQvnVFnnteD,https://api.spotify.com/v1/tracks/1skRcqR4UUQgQvnVFnnteD,https://api.spotify.com/v1/audio-analysis/1skRcqR4UUQgQvnVFnnteD,240147,4,I Believe It's Love,spotify:track:1skRcqR4UUQgQvnVFnnteD,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
6,0.612,0.565,0,-6.022,1,0.0404,0.523,0.0,0.569,0.599,139.638,audio_features,0VJtSNohx37IUschIdMPid,spotify:track:0VJtSNohx37IUschIdMPid,https://api.spotify.com/v1/tracks/0VJtSNohx37IUschIdMPid,https://api.spotify.com/v1/audio-analysis/0VJtSNohx37IUschIdMPid,294053,4,Thank You for the Many Things You've Done,spotify:track:0VJtSNohx37IUschIdMPid,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
7,0.689,0.982,0,-5.072,1,0.0498,0.246,0.000164,0.189,0.829,135.4,audio_features,6yQ2dmljPDxbA66dPSQRmQ,spotify:track:6yQ2dmljPDxbA66dPSQRmQ,https://api.spotify.com/v1/tracks/6yQ2dmljPDxbA66dPSQRmQ,https://api.spotify.com/v1/audio-analysis/6yQ2dmljPDxbA66dPSQRmQ,372787,4,Listen to the Music (Dance),spotify:track:6yQ2dmljPDxbA66dPSQRmQ,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
8,0.575,0.918,8,-6.706,1,0.0927,0.0602,0.00154,0.628,0.575,122.395,audio_features,1v9OFgX5ejUIAjuQ4BsYIg,spotify:track:1v9OFgX5ejUIAjuQ4BsYIg,https://api.spotify.com/v1/tracks/1v9OFgX5ejUIAjuQ4BsYIg,https://api.spotify.com/v1/audio-analysis/1v9OFgX5ejUIAjuQ4BsYIg,276333,4,Open The Door To Your Heart,spotify:track:1v9OFgX5ejUIAjuQ4BsYIg,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
9,0.582,0.498,5,-8.397,1,0.0715,0.603,0.000578,0.0499,0.881,151.141,audio_features,3xCqfBd9qzuIfkLRXtvio4,spotify:track:3xCqfBd9qzuIfkLRXtvio4,https://api.spotify.com/v1/tracks/3xCqfBd9qzuIfkLRXtvio4,https://api.spotify.com/v1/audio-analysis/3xCqfBd9qzuIfkLRXtvio4,258787,4,Do Right Girl,spotify:track:3xCqfBd9qzuIfkLRXtvio4,Betty Wright,0PDqlUGugF5Jt6DZyATvfz
