,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.461,0.663,10,-7.059,0,0.0504,0.453,0.000348,0.148,0.363,96.079,audio_features,0lbrPmd4R5bSeJvh6x8sIj,spotify:track:0lbrPmd4R5bSeJvh6x8sIj,https://api.spotify.com/v1/tracks/0lbrPmd4R5bSeJvh6x8sIj,https://api.spotify.com/v1/audio-analysis/0lbrPmd4R5bSeJvh6x8sIj,233427,4,La Vita,spotify:track:0lbrPmd4R5bSeJvh6x8sIj,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
1,0.525,0.394,7,-13.538,1,0.0336,0.884,0.644,0.107,0.495,123.997,audio_features,3prdYdkc4utLEd1ASuuObJ,spotify:track:3prdYdkc4utLEd1ASuuObJ,https://api.spotify.com/v1/tracks/3prdYdkc4utLEd1ASuuObJ,https://api.spotify.com/v1/audio-analysis/3prdYdkc4utLEd1ASuuObJ,429560,3,Ever New,spotify:track:3prdYdkc4utLEd1ASuuObJ,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
2,0.475,0.25,2,-12.281,1,0.0349,0.864,1.51e-06,0.0984,0.0745,113.565,audio_features,6diOJMVDZNZNiuitiGNWl7,spotify:track:6diOJMVDZNZNiuitiGNWl7,https://api.spotify.com/v1/tracks/6diOJMVDZNZNiuitiGNWl7,https://api.spotify.com/v1/audio-analysis/6diOJMVDZNZNiuitiGNWl7,344067,4,Colour of Anyhow - CBC Q Live Version,spotify:track:6diOJMVDZNZNiuitiGNWl7,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
3,0.464,0.563,8,-9.674,1,0.209,0.898,0.00168,0.693,0.182,104.111,audio_features,6CK1wZtbD1PfXsKtZgsyZz,spotify:track:6CK1wZtbD1PfXsKtZgsyZz,https://api.spotify.com/v1/tracks/6CK1wZtbD1PfXsKtZgsyZz,https://api.spotify.com/v1/audio-analysis/6CK1wZtbD1PfXsKtZgsyZz,405773,4,Deep River - Live At Le Guess Who?,spotify:track:6CK1wZtbD1PfXsKtZgsyZz,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
4,0.32,0.771,2,-5.692,0,0.0606,0.798,3.25e-05,0.122,0.353,87.66,audio_features,684jihi007hJBxz9QToFQI,spotify:track:684jihi007hJBxz9QToFQI,https://api.spotify.com/v1/tracks/684jihi007hJBxz9QToFQI,https://api.spotify.com/v1/audio-analysis/684jihi007hJBxz9QToFQI,177267,4,Don't Despair,spotify:track:684jihi007hJBxz9QToFQI,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
5,0.256,0.378,2,-10.018,1,0.0325,0.775,0.00677,0.135,0.186,124.253,audio_features,1cbJLPUJeD0UForXederoE,spotify:track:1cbJLPUJeD0UForXederoE,https://api.spotify.com/v1/tracks/1cbJLPUJeD0UForXederoE,https://api.spotify.com/v1/audio-analysis/1cbJLPUJeD0UForXederoE,277027,3,Durocher,spotify:track:1cbJLPUJeD0UForXederoE,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
6,0.074,0.192,2,-15.313,0,0.0355,0.729,0.817,0.111,0.145,71.563,audio_features,4bnbhD2ipp5YyfifeHwh5D,spotify:track:4bnbhD2ipp5YyfifeHwh5D,https://api.spotify.com/v1/tracks/4bnbhD2ipp5YyfifeHwh5D,https://api.spotify.com/v1/audio-analysis/4bnbhD2ipp5YyfifeHwh5D,252427,5,River Dreams,spotify:track:4bnbhD2ipp5YyfifeHwh5D,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
7,0.476,0.824,1,-6.098,1,0.0389,0.17,7.36e-06,0.127,0.786,89.81,audio_features,6PneSmDUWFFHd8svOqp6Qo,spotify:track:6PneSmDUWFFHd8svOqp6Qo,https://api.spotify.com/v1/tracks/6PneSmDUWFFHd8svOqp6Qo,https://api.spotify.com/v1/audio-analysis/6PneSmDUWFFHd8svOqp6Qo,225053,4,This Side of Grace,spotify:track:6PneSmDUWFFHd8svOqp6Qo,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
8,0.748,0.282,5,-12.114,0,0.189,0.721,0.864,0.0962,0.173,151.061,audio_features,4Gc3gOqPkVT0rFFjqklJ7W,spotify:track:4Gc3gOqPkVT0rFFjqklJ7W,https://api.spotify.com/v1/tracks/4Gc3gOqPkVT0rFFjqklJ7W,https://api.spotify.com/v1/audio-analysis/4Gc3gOqPkVT0rFFjqklJ7W,440173,4,Sunset Village,spotify:track:4Gc3gOqPkVT0rFFjqklJ7W,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
9,0.776,0.848,7,-6.348,1,0.0777,0.648,0.00318,0.137,0.921,120.134,audio_features,1w8JWfZkJZAcK2n0QUjNdA,spotify:track:1w8JWfZkJZAcK2n0QUjNdA,https://api.spotify.com/v1/tracks/1w8JWfZkJZAcK2n0QUjNdA,https://api.spotify.com/v1/audio-analysis/1w8JWfZkJZAcK2n0QUjNdA,258280,4,In the Image,spotify:track:1w8JWfZkJZAcK2n0QUjNdA,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
10,0.582,0.726,0,-7.474,1,0.0658,0.505,0.000219,0.0787,0.548,98.264,audio_features,3XDw69YAQ6CCNNsH2sjiHo,spotify:track:3XDw69YAQ6CCNNsH2sjiHo,https://api.spotify.com/v1/tracks/3XDw69YAQ6CCNNsH2sjiHo,https://api.spotify.com/v1/audio-analysis/3XDw69YAQ6CCNNsH2sjiHo,436027,4,A Little Talk,spotify:track:3XDw69YAQ6CCNNsH2sjiHo,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
11,0.507,0.748,6,-6.937,1,0.144,0.627,0.0,0.551,0.797,141.797,audio_features,7p5kashN3ZooMYQOPdIOr2,spotify:track:7p5kashN3ZooMYQOPdIOr2,https://api.spotify.com/v1/tracks/7p5kashN3ZooMYQOPdIOr2,https://api.spotify.com/v1/audio-analysis/7p5kashN3ZooMYQOPdIOr2,249373,4,Montreal Main (The Buddha In The Palm) - Bonus Track,spotify:track:7p5kashN3ZooMYQOPdIOr2,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
12,0.487,0.707,7,-6.835,1,0.0522,0.398,0.574,0.168,0.482,120.507,audio_features,28LNGe4djsWVeUvGxdALrl,spotify:track:28LNGe4djsWVeUvGxdALrl,https://api.spotify.com/v1/tracks/28LNGe4djsWVeUvGxdALrl,https://api.spotify.com/v1/audio-analysis/28LNGe4djsWVeUvGxdALrl,583572,4,Erzili - Bonus Track,spotify:track:28LNGe4djsWVeUvGxdALrl,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
13,0.383,0.346,2,-15.691,1,0.041,0.895,0.00429,0.688,0.173,111.404,audio_features,3JPFGKWJivHgZi9ScR0vYf,spotify:track:3JPFGKWJivHgZi9ScR0vYf,https://api.spotify.com/v1/tracks/3JPFGKWJivHgZi9ScR0vYf,https://api.spotify.com/v1/audio-analysis/3JPFGKWJivHgZi9ScR0vYf,355240,4,Colour of Anyhow - Live at Le Guess Who?,spotify:track:3JPFGKWJivHgZi9ScR0vYf,Beverly Glenn-Copeland,2bN5hXtWZXEIfnHO34eXfe
