,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.834,0.922,9,-4.006,0,0.0833,0.000532,0.182,0.289,0.775,123.027,audio_features,0dFKeiAqnUlyezHPdflj8n,spotify:track:0dFKeiAqnUlyezHPdflj8n,https://api.spotify.com/v1/tracks/0dFKeiAqnUlyezHPdflj8n,https://api.spotify.com/v1/audio-analysis/0dFKeiAqnUlyezHPdflj8n,215610,4,Good Catch - Black Caviar Remix,spotify:track:0dFKeiAqnUlyezHPdflj8n,Black Caviar,1wqW0IQWC7V7jktcjVHID6
1,0.805,0.889,4,-6.402,0,0.0661,0.00154,0.178,0.0515,0.944,128.039,audio_features,0aImqoSegIewvO67JpSjVP,spotify:track:0aImqoSegIewvO67JpSjVP,https://api.spotify.com/v1/tracks/0aImqoSegIewvO67JpSjVP,https://api.spotify.com/v1/audio-analysis/0aImqoSegIewvO67JpSjVP,226746,4,Thrill Seeker,spotify:track:0aImqoSegIewvO67JpSjVP,Black Caviar,1wqW0IQWC7V7jktcjVHID6
2,0.763,0.84,11,-3.823,0,0.0678,0.0144,0.337,0.281,0.745,117.971,audio_features,5IKGO7Lr3Wkn6Pn1fJtNqV,spotify:track:5IKGO7Lr3Wkn6Pn1fJtNqV,https://api.spotify.com/v1/tracks/5IKGO7Lr3Wkn6Pn1fJtNqV,https://api.spotify.com/v1/audio-analysis/5IKGO7Lr3Wkn6Pn1fJtNqV,222772,4,Money Money,spotify:track:5IKGO7Lr3Wkn6Pn1fJtNqV,Black Caviar,1wqW0IQWC7V7jktcjVHID6
3,0.843,0.746,11,-4.678,0,0.0653,0.00261,0.577,0.0218,0.584,118.007,audio_features,5DbYYG7pQhPlsX0IrOQ6BE,spotify:track:5DbYYG7pQhPlsX0IrOQ6BE,https://api.spotify.com/v1/tracks/5DbYYG7pQhPlsX0IrOQ6BE,https://api.spotify.com/v1/audio-analysis/5DbYYG7pQhPlsX0IrOQ6BE,334576,4,Money Money - Extended Mix,spotify:track:5DbYYG7pQhPlsX0IrOQ6BE,Black Caviar,1wqW0IQWC7V7jktcjVHID6
4,0.692,0.965,7,-3.881,1,0.0628,0.0128,0.00304,0.231,0.537,124.984,audio_features,2MM79wjh1xhRlL8FFv1KkV,spotify:track:2MM79wjh1xhRlL8FFv1KkV,https://api.spotify.com/v1/tracks/2MM79wjh1xhRlL8FFv1KkV,https://api.spotify.com/v1/audio-analysis/2MM79wjh1xhRlL8FFv1KkV,230333,4,Tamed,spotify:track:2MM79wjh1xhRlL8FFv1KkV,Black Caviar,1wqW0IQWC7V7jktcjVHID6
5,0.762,0.988,7,-4.398,1,0.0635,0.00647,0.0382,0.283,0.778,124.999,audio_features,03xHWIruqjlMThvqWor0uU,spotify:track:03xHWIruqjlMThvqWor0uU,https://api.spotify.com/v1/tracks/03xHWIruqjlMThvqWor0uU,https://api.spotify.com/v1/audio-analysis/03xHWIruqjlMThvqWor0uU,369200,4,Tamed - Extended Mix,spotify:track:03xHWIruqjlMThvqWor0uU,Black Caviar,1wqW0IQWC7V7jktcjVHID6
6,0.809,0.871,6,-4.432,1,0.0514,0.000259,0.277,0.0719,0.637,122.012,audio_features,2yBTcEYoW6jD1I1xosjcHd,spotify:track:2yBTcEYoW6jD1I1xosjcHd,https://api.spotify.com/v1/tracks/2yBTcEYoW6jD1I1xosjcHd,https://api.spotify.com/v1/audio-analysis/2yBTcEYoW6jD1I1xosjcHd,167459,4,Wolf,spotify:track:2yBTcEYoW6jD1I1xosjcHd,Black Caviar,1wqW0IQWC7V7jktcjVHID6
7,0.703,0.807,10,-3.868,0,0.0442,0.0133,0.054,0.107,0.891,124.998,audio_features,4io9MiYDQS1aN8AiMoo8Lt,spotify:track:4io9MiYDQS1aN8AiMoo8Lt,https://api.spotify.com/v1/tracks/4io9MiYDQS1aN8AiMoo8Lt,https://api.spotify.com/v1/audio-analysis/4io9MiYDQS1aN8AiMoo8Lt,184320,4,DUMB - Black Caviar Remix,spotify:track:4io9MiYDQS1aN8AiMoo8Lt,Black Caviar,1wqW0IQWC7V7jktcjVHID6
8,0.765,0.847,1,-4.27,0,0.09,0.000763,0.00952,0.072,0.751,121.999,audio_features,2G6Wyt9i4k1SqbWc1j0OFf,spotify:track:2G6Wyt9i4k1SqbWc1j0OFf,https://api.spotify.com/v1/tracks/2G6Wyt9i4k1SqbWc1j0OFf,https://api.spotify.com/v1/audio-analysis/2G6Wyt9i4k1SqbWc1j0OFf,206803,4,Collect Check (feat. EMIDA),spotify:track:2G6Wyt9i4k1SqbWc1j0OFf,Black Caviar,1wqW0IQWC7V7jktcjVHID6
9,0.694,0.836,1,-3.238,1,0.0639,0.00358,0.0,0.186,0.744,109.844,audio_features,5Ho0rIfjda2TvUEW37DmNT,spotify:track:5Ho0rIfjda2TvUEW37DmNT,https://api.spotify.com/v1/tracks/5Ho0rIfjda2TvUEW37DmNT,https://api.spotify.com/v1/audio-analysis/5Ho0rIfjda2TvUEW37DmNT,182182,4,Hispanoamericano,spotify:track:5Ho0rIfjda2TvUEW37DmNT,Black Caviar,1wqW0IQWC7V7jktcjVHID6
10,0.673,0.786,11,-5.569,0,0.0346,0.00816,0.791,0.334,0.804,122.983,audio_features,31ZNmbMUBfltg3zd5Vj2MS,spotify:track:31ZNmbMUBfltg3zd5Vj2MS,https://api.spotify.com/v1/tracks/31ZNmbMUBfltg3zd5Vj2MS,https://api.spotify.com/v1/audio-analysis/31ZNmbMUBfltg3zd5Vj2MS,168801,4,Money Money - MistaJam Dub,spotify:track:31ZNmbMUBfltg3zd5Vj2MS,Black Caviar,1wqW0IQWC7V7jktcjVHID6
11,0.696,0.888,11,-5.372,0,0.0437,0.00687,0.882,0.0542,0.927,122.978,audio_features,4AbwePsxDsfXuwNptRJA9u,spotify:track:4AbwePsxDsfXuwNptRJA9u,https://api.spotify.com/v1/tracks/4AbwePsxDsfXuwNptRJA9u,https://api.spotify.com/v1/audio-analysis/4AbwePsxDsfXuwNptRJA9u,323926,4,Money Money - MistaJam Extended Dub,spotify:track:4AbwePsxDsfXuwNptRJA9u,Black Caviar,1wqW0IQWC7V7jktcjVHID6
12,0.763,0.84,11,-3.823,0,0.0678,0.0144,0.337,0.281,0.745,117.971,audio_features,0qzhLq3eFPm74PgTLvtvnU,spotify:track:0qzhLq3eFPm74PgTLvtvnU,https://api.spotify.com/v1/tracks/0qzhLq3eFPm74PgTLvtvnU,https://api.spotify.com/v1/audio-analysis/0qzhLq3eFPm74PgTLvtvnU,222772,4,Money Money,spotify:track:0qzhLq3eFPm74PgTLvtvnU,Black Caviar,1wqW0IQWC7V7jktcjVHID6
13,0.772,0.721,6,-5.754,0,0.072,0.000584,0.00606,0.091,0.675,124.997,audio_features,4rqV7Gm5MApwJyHqmEl10o,spotify:track:4rqV7Gm5MApwJyHqmEl10o,https://api.spotify.com/v1/tracks/4rqV7Gm5MApwJyHqmEl10o,https://api.spotify.com/v1/audio-analysis/4rqV7Gm5MApwJyHqmEl10o,204000,4,Bohemian Like You (feat. Alle The Dreamer),spotify:track:4rqV7Gm5MApwJyHqmEl10o,Black Caviar,1wqW0IQWC7V7jktcjVHID6
14,0.905,0.823,11,-5.8,0,0.0766,0.000162,0.000397,0.178,0.381,115.005,audio_features,2pywVnjX5DPELmL2OqNQLD,spotify:track:2pywVnjX5DPELmL2OqNQLD,https://api.spotify.com/v1/tracks/2pywVnjX5DPELmL2OqNQLD,https://api.spotify.com/v1/audio-analysis/2pywVnjX5DPELmL2OqNQLD,175304,4,Been That Ill,spotify:track:2pywVnjX5DPELmL2OqNQLD,Black Caviar,1wqW0IQWC7V7jktcjVHID6
15,0.782,0.857,1,-3.016,1,0.0508,0.00108,7.84e-05,0.248,0.385,118.047,audio_features,0U1cnQ2Ujmllf1Nont2LzZ,spotify:track:0U1cnQ2Ujmllf1Nont2LzZ,https://api.spotify.com/v1/tracks/0U1cnQ2Ujmllf1Nont2LzZ,https://api.spotify.com/v1/audio-analysis/0U1cnQ2Ujmllf1Nont2LzZ,175042,4,Own My Own Masters,spotify:track:0U1cnQ2Ujmllf1Nont2LzZ,Black Caviar,1wqW0IQWC7V7jktcjVHID6
16,0.801,0.964,7,-4.221,1,0.0598,0.0018,0.219,0.0525,0.582,112.987,audio_features,1aRdjgi8exaSAl3dtZMDIq,spotify:track:1aRdjgi8exaSAl3dtZMDIq,https://api.spotify.com/v1/tracks/1aRdjgi8exaSAl3dtZMDIq,https://api.spotify.com/v1/audio-analysis/1aRdjgi8exaSAl3dtZMDIq,191150,4,U Nasty,spotify:track:1aRdjgi8exaSAl3dtZMDIq,Black Caviar,1wqW0IQWC7V7jktcjVHID6
17,0.936,0.84,10,-7.735,0,0.117,0.23,0.479,0.0983,0.686,112.017,audio_features,1sSMts4Ytl89Pl0EEDLHDy,spotify:track:1sSMts4Ytl89Pl0EEDLHDy,https://api.spotify.com/v1/tracks/1sSMts4Ytl89Pl0EEDLHDy,https://api.spotify.com/v1/audio-analysis/1sSMts4Ytl89Pl0EEDLHDy,162857,4,Thicc,spotify:track:1sSMts4Ytl89Pl0EEDLHDy,Black Caviar,1wqW0IQWC7V7jktcjVHID6
18,0.801,0.964,7,-4.221,1,0.0598,0.0018,0.219,0.0525,0.582,112.987,audio_features,7bsxDwNl5lYXOWU5U3jvQw,spotify:track:7bsxDwNl5lYXOWU5U3jvQw,https://api.spotify.com/v1/tracks/7bsxDwNl5lYXOWU5U3jvQw,https://api.spotify.com/v1/audio-analysis/7bsxDwNl5lYXOWU5U3jvQw,191150,4,U Nasty,spotify:track:7bsxDwNl5lYXOWU5U3jvQw,Black Caviar,1wqW0IQWC7V7jktcjVHID6
19,0.808,0.903,1,-5.252,1,0.156,0.00949,0.00697,0.128,0.698,126.011,audio_features,5rSAOw2iycIKsWiJaMBPr9,spotify:track:5rSAOw2iycIKsWiJaMBPr9,https://api.spotify.com/v1/tracks/5rSAOw2iycIKsWiJaMBPr9,https://api.spotify.com/v1/audio-analysis/5rSAOw2iycIKsWiJaMBPr9,186667,4,I'm Still Hot - Black Caviar Remix,spotify:track:5rSAOw2iycIKsWiJaMBPr9,Black Caviar,1wqW0IQWC7V7jktcjVHID6
20,0.905,0.823,11,-5.8,0,0.0766,0.000162,0.000397,0.178,0.381,115.005,audio_features,0ksOXKdoU7tm5maWw2Oe2T,spotify:track:0ksOXKdoU7tm5maWw2Oe2T,https://api.spotify.com/v1/tracks/0ksOXKdoU7tm5maWw2Oe2T,https://api.spotify.com/v1/audio-analysis/0ksOXKdoU7tm5maWw2Oe2T,175304,4,Been That Ill,spotify:track:0ksOXKdoU7tm5maWw2Oe2T,Black Caviar,1wqW0IQWC7V7jktcjVHID6
21,0.7,0.854,11,-5.027,0,0.0355,0.022,0.16,0.33,0.841,123.038,audio_features,0PVEmezhlFRlWxEZENLaB7,spotify:track:0PVEmezhlFRlWxEZENLaB7,https://api.spotify.com/v1/tracks/0PVEmezhlFRlWxEZENLaB7,https://api.spotify.com/v1/audio-analysis/0PVEmezhlFRlWxEZENLaB7,168801,4,Money Money - MistaJam Remix,spotify:track:0PVEmezhlFRlWxEZENLaB7,Black Caviar,1wqW0IQWC7V7jktcjVHID6
22,0.738,0.884,11,-5.171,0,0.0507,0.0148,0.483,0.062,0.937,122.997,audio_features,2WIEAxPTMthGxdVsGTJZJ3,spotify:track:2WIEAxPTMthGxdVsGTJZJ3,https://api.spotify.com/v1/tracks/2WIEAxPTMthGxdVsGTJZJ3,https://api.spotify.com/v1/audio-analysis/2WIEAxPTMthGxdVsGTJZJ3,323926,4,Money Money - MistaJam Extended Remix,spotify:track:2WIEAxPTMthGxdVsGTJZJ3,Black Caviar,1wqW0IQWC7V7jktcjVHID6
