,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.551,0.941,4,-3.793,1,0.0683,0.00179,0.0,0.066,0.744,90.039,audio_features,0Lavu1rppGgXfiK27cAMyU,spotify:track:0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/tracks/0Lavu1rppGgXfiK27cAMyU,https://api.spotify.com/v1/audio-analysis/0Lavu1rppGgXfiK27cAMyU,228267,4,Minimum Wage,spotify:track:0Lavu1rppGgXfiK27cAMyU,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
1,0.574,0.745,5,-5.16,0,0.0244,0.00517,0.0,0.137,0.569,99.037,audio_features,6aMfjO5aEiFFKn2UTtQRUd,spotify:track:6aMfjO5aEiFFKn2UTtQRUd,https://api.spotify.com/v1/tracks/6aMfjO5aEiFFKn2UTtQRUd,https://api.spotify.com/v1/audio-analysis/6aMfjO5aEiFFKn2UTtQRUd,169667,4,Body Language (feat. The Swon Brothers),spotify:track:6aMfjO5aEiFFKn2UTtQRUd,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
2,0.606,0.737,8,-5.745,1,0.0321,0.134,0.0,0.057,0.65,82.966,audio_features,6LVzOLJkzG3C4hLNOdaBry,spotify:track:6LVzOLJkzG3C4hLNOdaBry,https://api.spotify.com/v1/tracks/6LVzOLJkzG3C4hLNOdaBry,https://api.spotify.com/v1/audio-analysis/6LVzOLJkzG3C4hLNOdaBry,171027,4,Happy Anywhere (feat. Gwen Stefani),spotify:track:6LVzOLJkzG3C4hLNOdaBry,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
3,0.661,0.815,9,-5.281,0,0.0312,0.0536,0.0,0.222,0.836,139.997,audio_features,6HOPEo2JNf4Y6rwaJ5JUnm,spotify:track:6HOPEo2JNf4Y6rwaJ5JUnm,https://api.spotify.com/v1/tracks/6HOPEo2JNf4Y6rwaJ5JUnm,https://api.spotify.com/v1/audio-analysis/6HOPEo2JNf4Y6rwaJ5JUnm,230093,4,Now I Don't,spotify:track:6HOPEo2JNf4Y6rwaJ5JUnm,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
4,0.655,0.837,3,-4.795,1,0.0299,0.0296,0.0311,0.309,0.611,113.992,audio_features,3V0Ka41etO5ai8DdArqdm8,spotify:track:3V0Ka41etO5ai8DdArqdm8,https://api.spotify.com/v1/tracks/3V0Ka41etO5ai8DdArqdm8,https://api.spotify.com/v1/audio-analysis/3V0Ka41etO5ai8DdArqdm8,220413,4,Monday Mornin' Missin' You,spotify:track:3V0Ka41etO5ai8DdArqdm8,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
5,0.553,0.908,7,-4.45,1,0.0598,0.171,0.0,0.202,0.856,167.92,audio_features,4gdGuthBRGV7ASCG0OsdnP,spotify:track:4gdGuthBRGV7ASCG0OsdnP,https://api.spotify.com/v1/tracks/4gdGuthBRGV7ASCG0OsdnP,https://api.spotify.com/v1/audio-analysis/4gdGuthBRGV7ASCG0OsdnP,179413,4,Corn,spotify:track:4gdGuthBRGV7ASCG0OsdnP,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
6,0.551,0.9,9,-4.803,1,0.0688,0.0267,0.0,0.114,0.84,173.954,audio_features,6gyJynmS7USWB1oANU1uly,spotify:track:6gyJynmS7USWB1oANU1uly,https://api.spotify.com/v1/tracks/6gyJynmS7USWB1oANU1uly,https://api.spotify.com/v1/audio-analysis/6gyJynmS7USWB1oANU1uly,161640,4,Makin' It Up As You Go,spotify:track:6gyJynmS7USWB1oANU1uly,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
7,0.763,0.695,1,-5.684,1,0.0283,0.102,1.11e-06,0.238,0.743,111.989,audio_features,65uV8hK8veR1VAEXszVqM3,spotify:track:65uV8hK8veR1VAEXszVqM3,https://api.spotify.com/v1/tracks/65uV8hK8veR1VAEXszVqM3,https://api.spotify.com/v1/audio-analysis/65uV8hK8veR1VAEXszVqM3,161040,4,Whatcha Doin' Tomorrow,spotify:track:65uV8hK8veR1VAEXszVqM3,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
8,0.569,0.922,8,-4.469,1,0.0473,0.0971,0.0,0.109,0.682,90.032,audio_features,1lFj6IyIGDvIthIl9YXRh2,spotify:track:1lFj6IyIGDvIthIl9YXRh2,https://api.spotify.com/v1/tracks/1lFj6IyIGDvIthIl9YXRh2,https://api.spotify.com/v1/audio-analysis/1lFj6IyIGDvIthIl9YXRh2,164173,4,The Girl Can't Help It,spotify:track:1lFj6IyIGDvIthIl9YXRh2,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
9,0.548,0.798,0,-4.235,1,0.0293,0.437,0.0,0.119,0.773,81.022,audio_features,2qKMXJx3TtlIpHpBIH9165,spotify:track:2qKMXJx3TtlIpHpBIH9165,https://api.spotify.com/v1/tracks/2qKMXJx3TtlIpHpBIH9165,https://api.spotify.com/v1/audio-analysis/2qKMXJx3TtlIpHpBIH9165,175053,4,The Flow,spotify:track:2qKMXJx3TtlIpHpBIH9165,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
10,0.734,0.848,9,-4.589,1,0.0305,0.0894,5.07e-05,0.121,0.925,110.997,audio_features,6oZrn2qd1aYnPfwflgygtH,spotify:track:6oZrn2qd1aYnPfwflgygtH,https://api.spotify.com/v1/tracks/6oZrn2qd1aYnPfwflgygtH,https://api.spotify.com/v1/audio-analysis/6oZrn2qd1aYnPfwflgygtH,225240,4,Neon Time,spotify:track:6oZrn2qd1aYnPfwflgygtH,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
11,0.605,0.361,3,-8.165,1,0.0395,0.83,5.18e-05,0.088,0.178,151.601,audio_features,3EsyKI6EDxpxKMGtQCMYnS,spotify:track:3EsyKI6EDxpxKMGtQCMYnS,https://api.spotify.com/v1/tracks/3EsyKI6EDxpxKMGtQCMYnS,https://api.spotify.com/v1/audio-analysis/3EsyKI6EDxpxKMGtQCMYnS,216827,4,Bible Verses,spotify:track:3EsyKI6EDxpxKMGtQCMYnS,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
12,0.536,0.754,10,-5.102,1,0.0399,0.0597,4.92e-06,0.118,0.212,139.988,audio_features,4TCeFZNjGNQIpCuZmJkkE2,spotify:track:4TCeFZNjGNQIpCuZmJkkE2,https://api.spotify.com/v1/tracks/4TCeFZNjGNQIpCuZmJkkE2,https://api.spotify.com/v1/audio-analysis/4TCeFZNjGNQIpCuZmJkkE2,204800,4,God's Country,spotify:track:4TCeFZNjGNQIpCuZmJkkE2,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
13,0.547,0.829,2,-6.156,1,0.0484,0.085,1.67e-05,0.132,0.53,75.966,audio_features,02jGo2FGICuwh0WnFSiLuG,spotify:track:02jGo2FGICuwh0WnFSiLuG,https://api.spotify.com/v1/tracks/02jGo2FGICuwh0WnFSiLuG,https://api.spotify.com/v1/audio-analysis/02jGo2FGICuwh0WnFSiLuG,208373,4,Hell Right (feat. Trace Adkins),spotify:track:02jGo2FGICuwh0WnFSiLuG,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
14,0.463,0.653,0,-5.515,1,0.0273,0.111,0.000136,0.172,0.233,143.912,audio_features,5M8goiFYynmNxhueYW6grR,spotify:track:5M8goiFYynmNxhueYW6grR,https://api.spotify.com/v1/tracks/5M8goiFYynmNxhueYW6grR,https://api.spotify.com/v1/audio-analysis/5M8goiFYynmNxhueYW6grR,194867,4,Nobody But You (Duet with Gwen Stefani),spotify:track:5M8goiFYynmNxhueYW6grR,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
15,0.612,0.673,1,-6.817,0,0.0297,0.345,7.59e-06,0.109,0.498,130.028,audio_features,54OyGgExbt4NYv3WzdMsot,spotify:track:54OyGgExbt4NYv3WzdMsot,https://api.spotify.com/v1/tracks/54OyGgExbt4NYv3WzdMsot,https://api.spotify.com/v1/audio-analysis/54OyGgExbt4NYv3WzdMsot,221667,4,Came Here to Forget,spotify:track:54OyGgExbt4NYv3WzdMsot,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
16,0.62,0.692,3,-5.943,1,0.0309,0.318,1.07e-05,0.082,0.688,148.987,audio_features,5Wz4pQ08mczUMZTb4JLq0B,spotify:track:5Wz4pQ08mczUMZTb4JLq0B,https://api.spotify.com/v1/tracks/5Wz4pQ08mczUMZTb4JLq0B,https://api.spotify.com/v1/audio-analysis/5Wz4pQ08mczUMZTb4JLq0B,192027,4,She's Got a Way with Words,spotify:track:5Wz4pQ08mczUMZTb4JLq0B,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
17,0.549,0.891,0,-4.632,1,0.0383,0.0132,0.0,0.11,0.809,163.969,audio_features,0ODX5aqq2yfXPhFuoqimWZ,spotify:track:0ODX5aqq2yfXPhFuoqimWZ,https://api.spotify.com/v1/tracks/0ODX5aqq2yfXPhFuoqimWZ,https://api.spotify.com/v1/audio-analysis/0ODX5aqq2yfXPhFuoqimWZ,191133,4,A Guy with a Girl,spotify:track:0ODX5aqq2yfXPhFuoqimWZ,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
18,0.525,0.744,2,-5.429,1,0.0382,0.0458,3e-06,0.105,0.515,155.896,audio_features,10ekD39lGMp29mzPlDgVqM,spotify:track:10ekD39lGMp29mzPlDgVqM,https://api.spotify.com/v1/tracks/10ekD39lGMp29mzPlDgVqM,https://api.spotify.com/v1/audio-analysis/10ekD39lGMp29mzPlDgVqM,216640,4,Every Time I Hear That Song,spotify:track:10ekD39lGMp29mzPlDgVqM,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
19,0.475,0.857,4,-5.862,1,0.093,0.183,5.38e-06,0.223,0.741,168.036,audio_features,3Q7AWxwM1ccLmx3B7uBr8a,spotify:track:3Q7AWxwM1ccLmx3B7uBr8a,https://api.spotify.com/v1/tracks/3Q7AWxwM1ccLmx3B7uBr8a,https://api.spotify.com/v1/audio-analysis/3Q7AWxwM1ccLmx3B7uBr8a,183507,4,I'll Name the Dogs,spotify:track:3Q7AWxwM1ccLmx3B7uBr8a,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
20,0.559,0.58,10,-8.076,1,0.0281,0.549,0.00197,0.101,0.389,80.993,audio_features,59MEbeyeEoKWSIEw7DL0mg,spotify:track:59MEbeyeEoKWSIEw7DL0mg,https://api.spotify.com/v1/tracks/59MEbeyeEoKWSIEw7DL0mg,https://api.spotify.com/v1/audio-analysis/59MEbeyeEoKWSIEw7DL0mg,218053,4,I Lived It,spotify:track:59MEbeyeEoKWSIEw7DL0mg,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
21,0.622,0.719,11,-7.02,0,0.0285,0.29,2.45e-06,0.0993,0.279,111.053,audio_features,5u2JDYpWE1uN3oKEmqxGNe,spotify:track:5u2JDYpWE1uN3oKEmqxGNe,https://api.spotify.com/v1/tracks/5u2JDYpWE1uN3oKEmqxGNe,https://api.spotify.com/v1/audio-analysis/5u2JDYpWE1uN3oKEmqxGNe,289560,4,Turnin' Me On,spotify:track:5u2JDYpWE1uN3oKEmqxGNe,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
22,0.49,0.834,4,-5.653,1,0.0338,0.0106,0.0,0.2,0.676,152.063,audio_features,0sbgUEoNKHzfzreg2Rx6aR,spotify:track:0sbgUEoNKHzfzreg2Rx6aR,https://api.spotify.com/v1/tracks/0sbgUEoNKHzfzreg2Rx6aR,https://api.spotify.com/v1/audio-analysis/0sbgUEoNKHzfzreg2Rx6aR,200160,4,Jesus Got a Tight Grip,spotify:track:0sbgUEoNKHzfzreg2Rx6aR,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
23,0.495,0.728,9,-6.601,1,0.0316,0.00156,2.35e-06,0.694,0.613,88.882,audio_features,6jPbF8jopvW1PsBhSG3pfP,spotify:track:6jPbF8jopvW1PsBhSG3pfP,https://api.spotify.com/v1/tracks/6jPbF8jopvW1PsBhSG3pfP,https://api.spotify.com/v1/audio-analysis/6jPbF8jopvW1PsBhSG3pfP,264787,4,Tequila Sheila,spotify:track:6jPbF8jopvW1PsBhSG3pfP,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
24,0.348,0.87,4,-5.86,1,0.137,0.171,4.4e-06,0.202,0.763,83.392,audio_features,609qKv3KPAbdtp0LQH2buA,spotify:track:609qKv3KPAbdtp0LQH2buA,https://api.spotify.com/v1/tracks/609qKv3KPAbdtp0LQH2buA,https://api.spotify.com/v1/audio-analysis/609qKv3KPAbdtp0LQH2buA,183640,4,I'll Name the Dogs,spotify:track:609qKv3KPAbdtp0LQH2buA,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
25,0.577,0.758,0,-5.511,1,0.0271,0.0539,0.0,0.324,0.821,196.021,audio_features,6ZHwpFj4FNNqyOnvNrQ8Nl,spotify:track:6ZHwpFj4FNNqyOnvNrQ8Nl,https://api.spotify.com/v1/tracks/6ZHwpFj4FNNqyOnvNrQ8Nl,https://api.spotify.com/v1/audio-analysis/6ZHwpFj4FNNqyOnvNrQ8Nl,188387,4,At the House,spotify:track:6ZHwpFj4FNNqyOnvNrQ8Nl,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
26,0.666,0.744,11,-6.345,1,0.0548,0.133,0.000399,0.102,0.689,75.013,audio_features,6mDn30SclMbluJa9THeUFV,spotify:track:6mDn30SclMbluJa9THeUFV,https://api.spotify.com/v1/tracks/6mDn30SclMbluJa9THeUFV,https://api.spotify.com/v1/audio-analysis/6mDn30SclMbluJa9THeUFV,175973,4,Beside You Babe,spotify:track:6mDn30SclMbluJa9THeUFV,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
27,0.586,0.679,7,-5.632,1,0.0279,0.0649,0.0,0.108,0.365,76.009,audio_features,6JSUNXHhkK4lJw80b27tSr,spotify:track:6JSUNXHhkK4lJw80b27tSr,https://api.spotify.com/v1/tracks/6JSUNXHhkK4lJw80b27tSr,https://api.spotify.com/v1/audio-analysis/6JSUNXHhkK4lJw80b27tSr,206693,4,Why Me,spotify:track:6JSUNXHhkK4lJw80b27tSr,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
28,0.772,0.81,0,-6.01,1,0.0381,0.173,0.0,0.205,0.752,86.987,audio_features,0k13K6b1jcpqfeaR5Tk1rt,spotify:track:0k13K6b1jcpqfeaR5Tk1rt,https://api.spotify.com/v1/tracks/0k13K6b1jcpqfeaR5Tk1rt,https://api.spotify.com/v1/audio-analysis/0k13K6b1jcpqfeaR5Tk1rt,209400,4,Money,spotify:track:0k13K6b1jcpqfeaR5Tk1rt,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
29,0.628,0.708,11,-7.045,0,0.0287,0.309,1.32e-06,0.109,0.276,111.047,audio_features,02Df1JGm5Sjh2GmRAl5ClR,spotify:track:02Df1JGm5Sjh2GmRAl5ClR,https://api.spotify.com/v1/tracks/02Df1JGm5Sjh2GmRAl5ClR,https://api.spotify.com/v1/audio-analysis/02Df1JGm5Sjh2GmRAl5ClR,288573,4,Turnin' Me On,spotify:track:02Df1JGm5Sjh2GmRAl5ClR,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
30,0.566,0.628,11,-7.951,1,0.0368,0.172,5.78e-05,0.119,0.339,77.971,audio_features,6lyiuw1uQcSkBn1ZgQm8vM,spotify:track:6lyiuw1uQcSkBn1ZgQm8vM,https://api.spotify.com/v1/tracks/6lyiuw1uQcSkBn1ZgQm8vM,https://api.spotify.com/v1/audio-analysis/6lyiuw1uQcSkBn1ZgQm8vM,228920,4,The Wave,spotify:track:6lyiuw1uQcSkBn1ZgQm8vM,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
31,0.574,0.632,3,-6.793,1,0.0278,0.203,0.0014,0.0957,0.327,131.982,audio_features,4h6PC1APveUCIcoj4e2Niu,spotify:track:4h6PC1APveUCIcoj4e2Niu,https://api.spotify.com/v1/tracks/4h6PC1APveUCIcoj4e2Niu,https://api.spotify.com/v1/audio-analysis/4h6PC1APveUCIcoj4e2Niu,191640,4,Got the T-Shirt,spotify:track:4h6PC1APveUCIcoj4e2Niu,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
32,0.712,0.641,7,-6.95,1,0.0248,0.0985,1.82e-05,0.112,0.763,99.942,audio_features,0pC3LbmoRyCz4aZGpt4FSy,spotify:track:0pC3LbmoRyCz4aZGpt4FSy,https://api.spotify.com/v1/tracks/0pC3LbmoRyCz4aZGpt4FSy,https://api.spotify.com/v1/audio-analysis/0pC3LbmoRyCz4aZGpt4FSy,241787,4,Hangover Due,spotify:track:0pC3LbmoRyCz4aZGpt4FSy,Blake Shelton,1UTPBmNbXNTittyMJrNkvw
