,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.404,0.715,4,-11.877,1,0.0554,0.0359,3.67e-05,0.965,0.826,108.911,audio_features,5ucy1Ruf0cYCxEnYsz11TN,spotify:track:5ucy1Ruf0cYCxEnYsz11TN,https://api.spotify.com/v1/tracks/5ucy1Ruf0cYCxEnYsz11TN,https://api.spotify.com/v1/audio-analysis/5ucy1Ruf0cYCxEnYsz11TN,519885,4,"Tide Is High - Live from Havana, 2019",spotify:track:5ucy1Ruf0cYCxEnYsz11TN,Blondie,4tpUmLEVLCGFr93o8hFFIB
1,0.482,0.645,2,-11.023,1,0.0413,0.000209,0.0,0.985,0.332,119.897,audio_features,49PhWJaB9gNODAR9aGtByh,spotify:track:49PhWJaB9gNODAR9aGtByh,https://api.spotify.com/v1/tracks/49PhWJaB9gNODAR9aGtByh,https://api.spotify.com/v1/audio-analysis/49PhWJaB9gNODAR9aGtByh,311682,4,"Long Time - Live from Havana, 2019",spotify:track:49PhWJaB9gNODAR9aGtByh,Blondie,4tpUmLEVLCGFr93o8hFFIB
2,0.603,0.723,8,-11.454,1,0.0309,0.00957,1.98e-05,0.742,0.488,117.427,audio_features,3l3pnHv5qjgpb6kRu5fgKu,spotify:track:3l3pnHv5qjgpb6kRu5fgKu,https://api.spotify.com/v1/tracks/3l3pnHv5qjgpb6kRu5fgKu,https://api.spotify.com/v1/audio-analysis/3l3pnHv5qjgpb6kRu5fgKu,241211,4,"Wipe Off My Sweat - Live from Havana, 2019",spotify:track:3l3pnHv5qjgpb6kRu5fgKu,Blondie,4tpUmLEVLCGFr93o8hFFIB
3,0.473,0.747,2,-10.184,1,0.0499,0.000221,3.4e-05,0.965,0.259,114.054,audio_features,1hhyy301x1YoaLYCtbsXu7,spotify:track:1hhyy301x1YoaLYCtbsXu7,https://api.spotify.com/v1/tracks/1hhyy301x1YoaLYCtbsXu7,https://api.spotify.com/v1/audio-analysis/1hhyy301x1YoaLYCtbsXu7,452908,4,"Heart of Glass - Live from Havana, 2019",spotify:track:1hhyy301x1YoaLYCtbsXu7,Blondie,4tpUmLEVLCGFr93o8hFFIB
4,0.341,0.836,9,-10.044,1,0.0495,0.000123,1.39e-05,0.988,0.409,107.005,audio_features,3Y0C6qpMj9WXfnAtWcgQsq,spotify:track:3Y0C6qpMj9WXfnAtWcgQsq,https://api.spotify.com/v1/tracks/3Y0C6qpMj9WXfnAtWcgQsq,https://api.spotify.com/v1/audio-analysis/3Y0C6qpMj9WXfnAtWcgQsq,593109,4,"Rapture - Live from Havana, 2019",spotify:track:3Y0C6qpMj9WXfnAtWcgQsq,Blondie,4tpUmLEVLCGFr93o8hFFIB
5,0.188,0.784,0,-9.699,1,0.0618,0.000172,6.64e-06,0.669,0.148,163.083,audio_features,3y1y9k8bDCbmvHUpfGFKRJ,spotify:track:3y1y9k8bDCbmvHUpfGFKRJ,https://api.spotify.com/v1/tracks/3y1y9k8bDCbmvHUpfGFKRJ,https://api.spotify.com/v1/audio-analysis/3y1y9k8bDCbmvHUpfGFKRJ,253887,4,"Dreaming - Live from Havana, 2019",spotify:track:3y1y9k8bDCbmvHUpfGFKRJ,Blondie,4tpUmLEVLCGFr93o8hFFIB
6,0.181,0.802,9,-10.466,1,0.0613,0.0412,0.0055,0.531,0.468,129.495,audio_features,0ANbq1M5cKfe2So3bi3czo,spotify:track:0ANbq1M5cKfe2So3bi3czo,https://api.spotify.com/v1/tracks/0ANbq1M5cKfe2So3bi3czo,https://api.spotify.com/v1/audio-analysis/0ANbq1M5cKfe2So3bi3czo,180086,3,In The Sun,spotify:track:0ANbq1M5cKfe2So3bi3czo,Blondie,4tpUmLEVLCGFr93o8hFFIB
7,0.211,0.807,6,-9.872,1,0.0596,0.0972,0.000192,0.99,0.501,98.821,audio_features,6VUZriKYsH47aVbYfdS1Ba,spotify:track:6VUZriKYsH47aVbYfdS1Ba,https://api.spotify.com/v1/tracks/6VUZriKYsH47aVbYfdS1Ba,https://api.spotify.com/v1/audio-analysis/6VUZriKYsH47aVbYfdS1Ba,220976,4,11:59,spotify:track:6VUZriKYsH47aVbYfdS1Ba,Blondie,4tpUmLEVLCGFr93o8hFFIB
8,0.17,0.766,6,-10.313,0,0.0563,0.341,0.000161,0.799,0.508,146.785,audio_features,2C57FBAQduUtMzVQNDVUVG,spotify:track:2C57FBAQduUtMzVQNDVUVG,https://api.spotify.com/v1/tracks/2C57FBAQduUtMzVQNDVUVG,https://api.spotify.com/v1/audio-analysis/2C57FBAQduUtMzVQNDVUVG,187966,4,You Look Good In Blue,spotify:track:2C57FBAQduUtMzVQNDVUVG,Blondie,4tpUmLEVLCGFr93o8hFFIB
9,0.176,0.902,7,-9.696,1,0.0616,0.0838,0.0518,0.991,0.331,77.875,audio_features,04MX1d1kwFgupzSBF32uUy,spotify:track:04MX1d1kwFgupzSBF32uUy,https://api.spotify.com/v1/tracks/04MX1d1kwFgupzSBF32uUy,https://api.spotify.com/v1/audio-analysis/04MX1d1kwFgupzSBF32uUy,271033,4,Pretty Baby,spotify:track:04MX1d1kwFgupzSBF32uUy,Blondie,4tpUmLEVLCGFr93o8hFFIB
10,0.418,0.73,2,-11.104,1,0.0948,0.075,0.0756,0.947,0.383,118.3,audio_features,7cN7xAu99M9c2yE1vrBtPF,spotify:track:7cN7xAu99M9c2yE1vrBtPF,https://api.spotify.com/v1/tracks/7cN7xAu99M9c2yE1vrBtPF,https://api.spotify.com/v1/audio-analysis/7cN7xAu99M9c2yE1vrBtPF,397926,4,Heart Of Glass,spotify:track:7cN7xAu99M9c2yE1vrBtPF,Blondie,4tpUmLEVLCGFr93o8hFFIB
11,0.286,0.966,11,-9.756,0,0.0843,0.0509,0.0684,0.427,0.2,102.504,audio_features,63qk2MPCqJgT3UDvMtDMRA,spotify:track:63qk2MPCqJgT3UDvMtDMRA,https://api.spotify.com/v1/tracks/63qk2MPCqJgT3UDvMtDMRA,https://api.spotify.com/v1/audio-analysis/63qk2MPCqJgT3UDvMtDMRA,332148,4,Man Overboard,spotify:track:63qk2MPCqJgT3UDvMtDMRA,Blondie,4tpUmLEVLCGFr93o8hFFIB
12,0.123,0.954,6,-10.223,0,0.123,0.285,0.00374,0.962,0.295,173.312,audio_features,7DHCbXuyeGnoGRGCrSRYRT,spotify:track:7DHCbXuyeGnoGRGCrSRYRT,https://api.spotify.com/v1/tracks/7DHCbXuyeGnoGRGCrSRYRT,https://api.spotify.com/v1/audio-analysis/7DHCbXuyeGnoGRGCrSRYRT,393825,4,One Way Or Another,spotify:track:7DHCbXuyeGnoGRGCrSRYRT,Blondie,4tpUmLEVLCGFr93o8hFFIB
13,0.434,0.975,5,-3.367,1,0.155,0.000142,0.0,0.305,0.174,149.17,audio_features,6hdSNAiwhc0lHCs4LQtk2n,spotify:track:6hdSNAiwhc0lHCs4LQtk2n,https://api.spotify.com/v1/tracks/6hdSNAiwhc0lHCs4LQtk2n,https://api.spotify.com/v1/audio-analysis/6hdSNAiwhc0lHCs4LQtk2n,174640,4,Doom or Destiny,spotify:track:6hdSNAiwhc0lHCs4LQtk2n,Blondie,4tpUmLEVLCGFr93o8hFFIB
14,0.522,0.807,11,-4.505,0,0.0339,0.000117,0.0,0.201,0.442,119.941,audio_features,2ugSAWatjCmL6dgvAKcZrn,spotify:track:2ugSAWatjCmL6dgvAKcZrn,https://api.spotify.com/v1/tracks/2ugSAWatjCmL6dgvAKcZrn,https://api.spotify.com/v1/audio-analysis/2ugSAWatjCmL6dgvAKcZrn,275053,4,Long Time,spotify:track:2ugSAWatjCmL6dgvAKcZrn,Blondie,4tpUmLEVLCGFr93o8hFFIB
15,0.412,0.895,4,-3.52,1,0.0636,0.000131,0.0,0.101,0.313,123.883,audio_features,1ssGNcB3gVAXxFOaTcj0nE,spotify:track:1ssGNcB3gVAXxFOaTcj0nE,https://api.spotify.com/v1/tracks/1ssGNcB3gVAXxFOaTcj0nE,https://api.spotify.com/v1/audio-analysis/1ssGNcB3gVAXxFOaTcj0nE,246587,4,Already Naked,spotify:track:1ssGNcB3gVAXxFOaTcj0nE,Blondie,4tpUmLEVLCGFr93o8hFFIB
16,0.545,0.916,5,-3.507,0,0.0348,0.000357,0.0,0.0818,0.782,120.015,audio_features,7sEVKrakaGrSvzHIQhWOTI,spotify:track:7sEVKrakaGrSvzHIQhWOTI,https://api.spotify.com/v1/tracks/7sEVKrakaGrSvzHIQhWOTI,https://api.spotify.com/v1/audio-analysis/7sEVKrakaGrSvzHIQhWOTI,259493,4,Fun,spotify:track:7sEVKrakaGrSvzHIQhWOTI,Blondie,4tpUmLEVLCGFr93o8hFFIB
17,0.41,0.922,0,-3.389,1,0.041,0.000701,0.0,0.171,0.46,147.981,audio_features,41PHo0AdcXLo45p50lgvf3,spotify:track:41PHo0AdcXLo45p50lgvf3,https://api.spotify.com/v1/tracks/41PHo0AdcXLo45p50lgvf3,https://api.spotify.com/v1/audio-analysis/41PHo0AdcXLo45p50lgvf3,209280,4,My Monster,spotify:track:41PHo0AdcXLo45p50lgvf3,Blondie,4tpUmLEVLCGFr93o8hFFIB
18,0.536,0.877,11,-4.078,1,0.0426,0.000155,2.44e-05,0.173,0.533,130.022,audio_features,6XaTwM6s2IXD6btpRLVN2Z,spotify:track:6XaTwM6s2IXD6btpRLVN2Z,https://api.spotify.com/v1/tracks/6XaTwM6s2IXD6btpRLVN2Z,https://api.spotify.com/v1/audio-analysis/6XaTwM6s2IXD6btpRLVN2Z,238720,4,Best Day Ever,spotify:track:6XaTwM6s2IXD6btpRLVN2Z,Blondie,4tpUmLEVLCGFr93o8hFFIB
19,0.455,0.953,0,-3.89,1,0.122,0.00497,0.0,0.161,0.418,161.844,audio_features,2KlqtN25qB3zXsSEclZgo0,spotify:track:2KlqtN25qB3zXsSEclZgo0,https://api.spotify.com/v1/tracks/2KlqtN25qB3zXsSEclZgo0,https://api.spotify.com/v1/audio-analysis/2KlqtN25qB3zXsSEclZgo0,227893,4,Gravity,spotify:track:2KlqtN25qB3zXsSEclZgo0,Blondie,4tpUmLEVLCGFr93o8hFFIB
