,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.913,0.692,1,-9.344,0,0.188,0.131,0.0472,0.141,0.337,94.008,audio_features,1gHUbyZLa2Rm4zq7z0cooj,spotify:track:1gHUbyZLa2Rm4zq7z0cooj,https://api.spotify.com/v1/tracks/1gHUbyZLa2Rm4zq7z0cooj,https://api.spotify.com/v1/audio-analysis/1gHUbyZLa2Rm4zq7z0cooj,138072,4,Raubüberfall,spotify:track:1gHUbyZLa2Rm4zq7z0cooj,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
1,0.73,0.651,8,-8.148,1,0.28,0.139,0.0496,0.151,0.301,95.966,audio_features,6s6sBOHq1t7XkFfaFy5tUv,spotify:track:6s6sBOHq1t7XkFfaFy5tUv,https://api.spotify.com/v1/tracks/6s6sBOHq1t7XkFfaFy5tUv,https://api.spotify.com/v1/audio-analysis/6s6sBOHq1t7XkFfaFy5tUv,152700,4,Finger voller Ringe,spotify:track:6s6sBOHq1t7XkFfaFy5tUv,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
2,0.82,0.707,10,-8.266,0,0.0873,0.185,0.203,0.123,0.154,100.508,audio_features,2Ea7VOn6GUJLLjgVtjNyTx,spotify:track:2Ea7VOn6GUJLLjgVtjNyTx,https://api.spotify.com/v1/tracks/2Ea7VOn6GUJLLjgVtjNyTx,https://api.spotify.com/v1/audio-analysis/2Ea7VOn6GUJLLjgVtjNyTx,154735,4,NIEMALS UNTER 1000,spotify:track:2Ea7VOn6GUJLLjgVtjNyTx,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
3,0.868,0.644,8,-7.851,0,0.288,0.0628,4.93e-05,0.109,0.329,133.052,audio_features,4YQ5QVxzK7H1ZngFKubAL5,spotify:track:4YQ5QVxzK7H1ZngFKubAL5,https://api.spotify.com/v1/tracks/4YQ5QVxzK7H1ZngFKubAL5,https://api.spotify.com/v1/audio-analysis/4YQ5QVxzK7H1ZngFKubAL5,176155,4,Schlaganfall,spotify:track:4YQ5QVxzK7H1ZngFKubAL5,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
4,0.734,0.531,8,-8.998,1,0.243,0.355,0.117,0.135,0.245,162.95,audio_features,5U3yLAFhbsibsvyQ6Nceoq,spotify:track:5U3yLAFhbsibsvyQ6Nceoq,https://api.spotify.com/v1/tracks/5U3yLAFhbsibsvyQ6Nceoq,https://api.spotify.com/v1/audio-analysis/5U3yLAFhbsibsvyQ6Nceoq,153529,4,Banana Clip,spotify:track:5U3yLAFhbsibsvyQ6Nceoq,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
5,0.758,0.621,10,-9.243,0,0.119,0.0829,0.316,0.0979,0.462,163.978,audio_features,6zXo9ZXwbQk3xeBYeoY14x,spotify:track:6zXo9ZXwbQk3xeBYeoY14x,https://api.spotify.com/v1/tracks/6zXo9ZXwbQk3xeBYeoY14x,https://api.spotify.com/v1/audio-analysis/6zXo9ZXwbQk3xeBYeoY14x,164102,4,Smartphone im See,spotify:track:6zXo9ZXwbQk3xeBYeoY14x,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
6,0.714,0.779,9,-7.48,0,0.258,0.347,0.000668,0.428,0.65,179.963,audio_features,37uQTo3Ie2oYQt04RxIiJI,spotify:track:37uQTo3Ie2oYQt04RxIiJI,https://api.spotify.com/v1/tracks/37uQTo3Ie2oYQt04RxIiJI,https://api.spotify.com/v1/audio-analysis/37uQTo3Ie2oYQt04RxIiJI,173970,4,Single Wohnung Anthem,spotify:track:37uQTo3Ie2oYQt04RxIiJI,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
7,0.845,0.518,7,-9.125,1,0.079,0.0807,0.15,0.157,0.165,120.029,audio_features,78WQ1lnUo81Wa9icMwnP4O,spotify:track:78WQ1lnUo81Wa9icMwnP4O,https://api.spotify.com/v1/tracks/78WQ1lnUo81Wa9icMwnP4O,https://api.spotify.com/v1/audio-analysis/78WQ1lnUo81Wa9icMwnP4O,176400,4,Jetski,spotify:track:78WQ1lnUo81Wa9icMwnP4O,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
8,0.831,0.539,1,-8.72,1,0.156,0.0677,0.0396,0.118,0.184,102.12,audio_features,0f3FqkBQ1gKyB09Jmv13AS,spotify:track:0f3FqkBQ1gKyB09Jmv13AS,https://api.spotify.com/v1/tracks/0f3FqkBQ1gKyB09Jmv13AS,https://api.spotify.com/v1/audio-analysis/0f3FqkBQ1gKyB09Jmv13AS,191587,4,Gold in der Fresse,spotify:track:0f3FqkBQ1gKyB09Jmv13AS,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
9,0.719,0.842,10,-7.488,0,0.15,0.0142,0.0161,0.195,0.0891,84.895,audio_features,6EM2VPMSvg2yJBDE9IedBG,spotify:track:6EM2VPMSvg2yJBDE9IedBG,https://api.spotify.com/v1/tracks/6EM2VPMSvg2yJBDE9IedBG,https://api.spotify.com/v1/audio-analysis/6EM2VPMSvg2yJBDE9IedBG,126856,4,Keep It Real,spotify:track:6EM2VPMSvg2yJBDE9IedBG,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
10,0.81,0.517,10,-8.851,0,0.323,0.122,0.00351,0.112,0.33,179.091,audio_features,6UtMYO6BPcCEWseveyYxcx,spotify:track:6UtMYO6BPcCEWseveyYxcx,https://api.spotify.com/v1/tracks/6UtMYO6BPcCEWseveyYxcx,https://api.spotify.com/v1/audio-analysis/6UtMYO6BPcCEWseveyYxcx,145204,4,Playsi,spotify:track:6UtMYO6BPcCEWseveyYxcx,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
11,0.771,0.553,9,-7.488,0,0.164,0.418,0.00017,0.145,0.861,172.068,audio_features,7LPdcyNlYLu5yEx3ipEQIJ,spotify:track:7LPdcyNlYLu5yEx3ipEQIJ,https://api.spotify.com/v1/tracks/7LPdcyNlYLu5yEx3ipEQIJ,https://api.spotify.com/v1/audio-analysis/7LPdcyNlYLu5yEx3ipEQIJ,145316,4,Bubble Gum,spotify:track:7LPdcyNlYLu5yEx3ipEQIJ,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
12,0.658,0.624,1,-9.155,0,0.0915,0.171,0.00588,0.116,0.314,181.942,audio_features,5eu4Lxm5TlI0tKSTTDWJAT,spotify:track:5eu4Lxm5TlI0tKSTTDWJAT,https://api.spotify.com/v1/tracks/5eu4Lxm5TlI0tKSTTDWJAT,https://api.spotify.com/v1/audio-analysis/5eu4Lxm5TlI0tKSTTDWJAT,168991,4,Angeklagt,spotify:track:5eu4Lxm5TlI0tKSTTDWJAT,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
13,0.835,0.507,8,-10.749,1,0.244,0.321,0.0117,0.133,0.288,123.006,audio_features,7kSJYMFNxCMh1K9GtrMAIj,spotify:track:7kSJYMFNxCMh1K9GtrMAIj,https://api.spotify.com/v1/tracks/7kSJYMFNxCMh1K9GtrMAIj,https://api.spotify.com/v1/audio-analysis/7kSJYMFNxCMh1K9GtrMAIj,172107,4,Handschuhfach,spotify:track:7kSJYMFNxCMh1K9GtrMAIj,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
14,0.697,0.414,10,-8.67,1,0.408,0.369,4.13e-05,0.107,0.407,130.232,audio_features,2cMOccdzRqwVuQOyxLR42W,spotify:track:2cMOccdzRqwVuQOyxLR42W,https://api.spotify.com/v1/tracks/2cMOccdzRqwVuQOyxLR42W,https://api.spotify.com/v1/audio-analysis/2cMOccdzRqwVuQOyxLR42W,151245,5,Wild Wild West,spotify:track:2cMOccdzRqwVuQOyxLR42W,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
15,0.804,0.606,7,-9.045,1,0.242,0.137,0.245,0.111,0.247,99.024,audio_features,0atjNG0rNW2m6zPaiK4Co7,spotify:track:0atjNG0rNW2m6zPaiK4Co7,https://api.spotify.com/v1/tracks/0atjNG0rNW2m6zPaiK4Co7,https://api.spotify.com/v1/audio-analysis/0atjNG0rNW2m6zPaiK4Co7,149028,4,Roadrunner,spotify:track:0atjNG0rNW2m6zPaiK4Co7,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
16,0.712,0.577,11,-8.709,0,0.246,0.141,0.0432,0.112,0.379,92.174,audio_features,6zQvlSyUvZkaDb15K2RpvO,spotify:track:6zQvlSyUvZkaDb15K2RpvO,https://api.spotify.com/v1/tracks/6zQvlSyUvZkaDb15K2RpvO,https://api.spotify.com/v1/audio-analysis/6zQvlSyUvZkaDb15K2RpvO,161939,4,Gierig,spotify:track:6zQvlSyUvZkaDb15K2RpvO,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
17,0.581,0.454,1,-7.896,1,0.125,0.458,0.147,0.124,0.216,129.343,audio_features,0VHGT45cMj6VlT9na7qA3E,spotify:track:0VHGT45cMj6VlT9na7qA3E,https://api.spotify.com/v1/tracks/0VHGT45cMj6VlT9na7qA3E,https://api.spotify.com/v1/audio-analysis/0VHGT45cMj6VlT9na7qA3E,151328,5,Panik,spotify:track:0VHGT45cMj6VlT9na7qA3E,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
18,0.882,0.526,10,-8.553,0,0.237,0.118,0.484,0.0835,0.182,109.075,audio_features,7idxewQZ24F0gQy2EWE6Ug,spotify:track:7idxewQZ24F0gQy2EWE6Ug,https://api.spotify.com/v1/tracks/7idxewQZ24F0gQy2EWE6Ug,https://api.spotify.com/v1/audio-analysis/7idxewQZ24F0gQy2EWE6Ug,180950,4,Tilidin Weg,spotify:track:7idxewQZ24F0gQy2EWE6Ug,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
19,0.686,0.504,9,-8.762,1,0.471,0.0345,0.000323,0.466,0.309,92.92,audio_features,37GfXTkS4ghjzgZsXb3UDV,spotify:track:37GfXTkS4ghjzgZsXb3UDV,https://api.spotify.com/v1/tracks/37GfXTkS4ghjzgZsXb3UDV,https://api.spotify.com/v1/audio-analysis/37GfXTkS4ghjzgZsXb3UDV,209562,4,Big Body Benz,spotify:track:37GfXTkS4ghjzgZsXb3UDV,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
20,0.774,0.814,10,-6.145,0,0.0584,0.204,0.456,0.118,0.254,109.019,audio_features,4aZfvvgfoSfmSZpfwQYzC0,spotify:track:4aZfvvgfoSfmSZpfwQYzC0,https://api.spotify.com/v1/tracks/4aZfvvgfoSfmSZpfwQYzC0,https://api.spotify.com/v1/audio-analysis/4aZfvvgfoSfmSZpfwQYzC0,185330,4,Ihr Hobby,spotify:track:4aZfvvgfoSfmSZpfwQYzC0,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
21,0.817,0.468,1,-10.945,1,0.287,0.233,0.0894,0.0905,0.237,104.875,audio_features,0y8mJFmm4ogCHnfe0oTuT6,spotify:track:0y8mJFmm4ogCHnfe0oTuT6,https://api.spotify.com/v1/tracks/0y8mJFmm4ogCHnfe0oTuT6,https://api.spotify.com/v1/audio-analysis/0y8mJFmm4ogCHnfe0oTuT6,182931,4,Fuckst mich nur ab,spotify:track:0y8mJFmm4ogCHnfe0oTuT6,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6
