,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.776,0.391,7,-10.728,1,0.066,0.000225,0.878,0.0838,0.207,125.009,audio_features,0SZJbUem4kIL6vr4yRV9jK,spotify:track:0SZJbUem4kIL6vr4yRV9jK,https://api.spotify.com/v1/tracks/0SZJbUem4kIL6vr4yRV9jK,https://api.spotify.com/v1/audio-analysis/0SZJbUem4kIL6vr4yRV9jK,531840,4,Spicy,spotify:track:0SZJbUem4kIL6vr4yRV9jK,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
1,0.927,0.379,7,-12.24,1,0.0883,5.19e-05,0.35,0.0555,0.229,125.005,audio_features,5KkMYoFu2gHbpUzTJCSvJv,spotify:track:5KkMYoFu2gHbpUzTJCSvJv,https://api.spotify.com/v1/tracks/5KkMYoFu2gHbpUzTJCSvJv,https://api.spotify.com/v1/audio-analysis/5KkMYoFu2gHbpUzTJCSvJv,393600,4,House Music,spotify:track:5KkMYoFu2gHbpUzTJCSvJv,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
2,0.868,0.534,0,-11.522,1,0.221,0.0148,0.694,0.109,0.224,125.031,audio_features,6OzWFD6H4kJU9gScYmeKi4,spotify:track:6OzWFD6H4kJU9gScYmeKi4,https://api.spotify.com/v1/tracks/6OzWFD6H4kJU9gScYmeKi4,https://api.spotify.com/v1/audio-analysis/6OzWFD6H4kJU9gScYmeKi4,491520,4,Take A Ride,spotify:track:6OzWFD6H4kJU9gScYmeKi4,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
3,0.755,0.592,7,-12.636,1,0.0557,0.00362,0.899,0.111,0.239,124.984,audio_features,0CZSpSDgVP5OoRGckOPUwx,spotify:track:0CZSpSDgVP5OoRGckOPUwx,https://api.spotify.com/v1/tracks/0CZSpSDgVP5OoRGckOPUwx,https://api.spotify.com/v1/audio-analysis/0CZSpSDgVP5OoRGckOPUwx,474240,4,Twisted Reality,spotify:track:0CZSpSDgVP5OoRGckOPUwx,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
4,0.798,0.402,2,-10.47,1,0.0911,0.000619,0.889,0.112,0.13,125.006,audio_features,1jAw5VYWL9dXiJV53Weco5,spotify:track:1jAw5VYWL9dXiJV53Weco5,https://api.spotify.com/v1/tracks/1jAw5VYWL9dXiJV53Weco5,https://api.spotify.com/v1/audio-analysis/1jAw5VYWL9dXiJV53Weco5,466560,4,Never Stop Dancing,spotify:track:1jAw5VYWL9dXiJV53Weco5,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
5,0.724,0.565,5,-9.921,1,0.0458,0.00017,0.899,0.0947,0.278,124.988,audio_features,63faB49UoIVhXIETw0tyEI,spotify:track:63faB49UoIVhXIETw0tyEI,https://api.spotify.com/v1/tracks/63faB49UoIVhXIETw0tyEI,https://api.spotify.com/v1/audio-analysis/63faB49UoIVhXIETw0tyEI,474240,4,Afterlife,spotify:track:63faB49UoIVhXIETw0tyEI,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
6,0.807,0.471,7,-11.327,1,0.114,0.00111,0.875,0.0954,0.159,125.005,audio_features,22gy6K7sdAOqqYFMItp1Wl,spotify:track:22gy6K7sdAOqqYFMItp1Wl,https://api.spotify.com/v1/tracks/22gy6K7sdAOqqYFMItp1Wl,https://api.spotify.com/v1/audio-analysis/22gy6K7sdAOqqYFMItp1Wl,412800,4,Hold Your Speakers,spotify:track:22gy6K7sdAOqqYFMItp1Wl,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
7,0.764,0.878,6,-9.948,0,0.0499,0.00106,0.825,0.113,0.0394,124.999,audio_features,68WxGIe0KpkEMqqNwgcSnX,spotify:track:68WxGIe0KpkEMqqNwgcSnX,https://api.spotify.com/v1/tracks/68WxGIe0KpkEMqqNwgcSnX,https://api.spotify.com/v1/audio-analysis/68WxGIe0KpkEMqqNwgcSnX,516480,4,State Of Mind,spotify:track:68WxGIe0KpkEMqqNwgcSnX,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
8,0.783,0.448,9,-11.997,1,0.0789,0.0011,0.878,0.101,0.113,125.016,audio_features,6OPVK5Wsy3Aaart27ZuPlC,spotify:track:6OPVK5Wsy3Aaart27ZuPlC,https://api.spotify.com/v1/tracks/6OPVK5Wsy3Aaart27ZuPlC,https://api.spotify.com/v1/audio-analysis/6OPVK5Wsy3Aaart27ZuPlC,455040,4,Falcon,spotify:track:6OPVK5Wsy3Aaart27ZuPlC,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
9,0.845,0.546,7,-10.62,1,0.0564,0.00244,0.89,0.114,0.206,125.021,audio_features,2L8yvzS6SVaxLnT0ZKMZj0,spotify:track:2L8yvzS6SVaxLnT0ZKMZj0,https://api.spotify.com/v1/tracks/2L8yvzS6SVaxLnT0ZKMZj0,https://api.spotify.com/v1/audio-analysis/2L8yvzS6SVaxLnT0ZKMZj0,493440,4,Underworld,spotify:track:2L8yvzS6SVaxLnT0ZKMZj0,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy
