,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.542,0.265,11,-14.321,1,0.0338,0.976,0.902,0.217,0.334,100.054,audio_features,6GNEzXKsWF9pptSiZV9K35,spotify:track:6GNEzXKsWF9pptSiZV9K35,https://api.spotify.com/v1/tracks/6GNEzXKsWF9pptSiZV9K35,https://api.spotify.com/v1/audio-analysis/6GNEzXKsWF9pptSiZV9K35,292182,4,Ohio (Come Back to Texas),spotify:track:6GNEzXKsWF9pptSiZV9K35,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
1,0.276,0.309,9,-12.798,1,0.0368,0.97,0.88,0.116,0.313,133.942,audio_features,1bZV8p5ezZ0YlOmRBgWIZG,spotify:track:1bZV8p5ezZ0YlOmRBgWIZG,https://api.spotify.com/v1/tracks/1bZV8p5ezZ0YlOmRBgWIZG,https://api.spotify.com/v1/audio-analysis/1bZV8p5ezZ0YlOmRBgWIZG,262536,4,Emily,spotify:track:1bZV8p5ezZ0YlOmRBgWIZG,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
2,0.346,0.258,11,-13.358,1,0.0349,0.984,0.921,0.114,0.149,150.043,audio_features,47UESGqcS9RtorznacpNMI,spotify:track:47UESGqcS9RtorznacpNMI,https://api.spotify.com/v1/tracks/47UESGqcS9RtorznacpNMI,https://api.spotify.com/v1/audio-analysis/47UESGqcS9RtorznacpNMI,227573,3,Almost,spotify:track:47UESGqcS9RtorznacpNMI,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
3,0.557,0.253,9,-12.702,1,0.0312,0.793,0.978,0.11,0.184,111.993,audio_features,4cswDKNNBOmQienD2oM1Ec,spotify:track:4cswDKNNBOmQienD2oM1Ec,https://api.spotify.com/v1/tracks/4cswDKNNBOmQienD2oM1Ec,https://api.spotify.com/v1/audio-analysis/4cswDKNNBOmQienD2oM1Ec,239836,4,The Bitch Song,spotify:track:4cswDKNNBOmQienD2oM1Ec,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
4,0.437,0.216,7,-16.117,1,0.0452,0.993,0.919,0.145,0.437,177.49,audio_features,3RbrOf9of1MFIL4A62NYyE,spotify:track:3RbrOf9of1MFIL4A62NYyE,https://api.spotify.com/v1/tracks/3RbrOf9of1MFIL4A62NYyE,https://api.spotify.com/v1/audio-analysis/3RbrOf9of1MFIL4A62NYyE,220847,4,My Wena,spotify:track:3RbrOf9of1MFIL4A62NYyE,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
5,0.372,0.238,9,-12.363,1,0.0382,0.949,0.95,0.0813,0.55,119.988,audio_features,6ZvuuMJ2e7Y3ylOTpZIcTc,spotify:track:6ZvuuMJ2e7Y3ylOTpZIcTc,https://api.spotify.com/v1/tracks/6ZvuuMJ2e7Y3ylOTpZIcTc,https://api.spotify.com/v1/audio-analysis/6ZvuuMJ2e7Y3ylOTpZIcTc,205928,4,High School Never Ends,spotify:track:6ZvuuMJ2e7Y3ylOTpZIcTc,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
6,0.654,0.206,2,-16.188,1,0.0484,0.993,0.945,0.109,0.469,139.861,audio_features,7BJr6QYBhTEFPITpNOzCl7,spotify:track:7BJr6QYBhTEFPITpNOzCl7,https://api.spotify.com/v1/tracks/7BJr6QYBhTEFPITpNOzCl7,https://api.spotify.com/v1/audio-analysis/7BJr6QYBhTEFPITpNOzCl7,224900,4,When We Die,spotify:track:7BJr6QYBhTEFPITpNOzCl7,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
7,0.552,0.16,4,-14.052,1,0.059,0.989,0.934,0.117,0.359,116.849,audio_features,7dnnV0KaVjSumS8d6kgbrk,spotify:track:7dnnV0KaVjSumS8d6kgbrk,https://api.spotify.com/v1/tracks/7dnnV0KaVjSumS8d6kgbrk,https://api.spotify.com/v1/audio-analysis/7dnnV0KaVjSumS8d6kgbrk,180605,3,Punk Rock 101,spotify:track:7dnnV0KaVjSumS8d6kgbrk,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
8,0.546,0.268,2,-12.553,1,0.0317,0.969,0.921,0.125,0.608,107.964,audio_features,5bKl84PrQPjjgS5r5K68Eq,spotify:track:5bKl84PrQPjjgS5r5K68Eq,https://api.spotify.com/v1/tracks/5bKl84PrQPjjgS5r5K68Eq,https://api.spotify.com/v1/audio-analysis/5bKl84PrQPjjgS5r5K68Eq,224924,4,Girl All the Bad Guys Want,spotify:track:5bKl84PrQPjjgS5r5K68Eq,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
9,0.42,0.311,7,-11.877,1,0.0324,0.955,0.87,0.108,0.27,80.85,audio_features,1rXxt2xbPrtANMrX2cBJLq,spotify:track:1rXxt2xbPrtANMrX2cBJLq,https://api.spotify.com/v1/tracks/1rXxt2xbPrtANMrX2cBJLq,https://api.spotify.com/v1/audio-analysis/1rXxt2xbPrtANMrX2cBJLq,186524,4,Belgium,spotify:track:1rXxt2xbPrtANMrX2cBJLq,Bowling For Soup,5ND0mGcL9SKSjWIjPd0xIb
