,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.542,0.897,7,-6.355,1,0.0348,0.0301,0.797,0.238,0.28,100.739,audio_features,1NnkdKHgWa3acNf4CQYysp,spotify:track:1NnkdKHgWa3acNf4CQYysp,https://api.spotify.com/v1/tracks/1NnkdKHgWa3acNf4CQYysp,https://api.spotify.com/v1/audio-analysis/1NnkdKHgWa3acNf4CQYysp,260101,4,Close,spotify:track:1NnkdKHgWa3acNf4CQYysp,Boys Noize,62k5LKMhymqlDNo2DWOvvv
1,0.646,0.722,11,-6.92,1,0.0281,0.234,0.0626,0.11,0.0928,111.003,audio_features,42Sb4YIvHGp7Wy0WFC50j1,spotify:track:42Sb4YIvHGp7Wy0WFC50j1,https://api.spotify.com/v1/tracks/42Sb4YIvHGp7Wy0WFC50j1,https://api.spotify.com/v1/audio-analysis/42Sb4YIvHGp7Wy0WFC50j1,248648,4,Love & Validation,spotify:track:42Sb4YIvHGp7Wy0WFC50j1,Boys Noize,62k5LKMhymqlDNo2DWOvvv
2,0.651,0.967,7,-5.38,1,0.109,0.115,0.0173,0.127,0.293,93.169,audio_features,3mzYBrMNigCWsEB1xHCrqM,spotify:track:3mzYBrMNigCWsEB1xHCrqM,https://api.spotify.com/v1/tracks/3mzYBrMNigCWsEB1xHCrqM,https://api.spotify.com/v1/audio-analysis/3mzYBrMNigCWsEB1xHCrqM,228006,4,Girl Crush (feat. Rico Nasty),spotify:track:3mzYBrMNigCWsEB1xHCrqM,Boys Noize,62k5LKMhymqlDNo2DWOvvv
3,0.571,0.924,10,-4.683,1,0.128,0.451,0.891,0.307,0.0783,194.043,audio_features,6MXugsCGgTXlg7xfGg59YW,spotify:track:6MXugsCGgTXlg7xfGg59YW,https://api.spotify.com/v1/tracks/6MXugsCGgTXlg7xfGg59YW,https://api.spotify.com/v1/audio-analysis/6MXugsCGgTXlg7xfGg59YW,204310,4,Greenpoint,spotify:track:6MXugsCGgTXlg7xfGg59YW,Boys Noize,62k5LKMhymqlDNo2DWOvvv
4,0.66,0.793,1,-6.041,1,0.0428,0.0267,0.199,0.108,0.254,105.988,audio_features,5YJHVSOEFjEA9TyaOX9f4F,spotify:track:5YJHVSOEFjEA9TyaOX9f4F,https://api.spotify.com/v1/tracks/5YJHVSOEFjEA9TyaOX9f4F,https://api.spotify.com/v1/audio-analysis/5YJHVSOEFjEA9TyaOX9f4F,232070,4,Polarity (feat. Ghost Culture),spotify:track:5YJHVSOEFjEA9TyaOX9f4F,Boys Noize,62k5LKMhymqlDNo2DWOvvv
5,0.791,0.904,1,-5.192,1,0.0476,0.000208,0.871,0.0489,0.759,112.001,audio_features,2R1T2CPMJ4fiFtrrzy7JaN,spotify:track:2R1T2CPMJ4fiFtrrzy7JaN,https://api.spotify.com/v1/tracks/2R1T2CPMJ4fiFtrrzy7JaN,https://api.spotify.com/v1/audio-analysis/2R1T2CPMJ4fiFtrrzy7JaN,223215,4,XYXY,spotify:track:2R1T2CPMJ4fiFtrrzy7JaN,Boys Noize,62k5LKMhymqlDNo2DWOvvv
6,0.739,0.705,1,-6.061,0,0.0265,0.0568,0.00293,0.139,0.354,127.983,audio_features,5hNFfeQ392AT5uwrtaiXat,spotify:track:5hNFfeQ392AT5uwrtaiXat,https://api.spotify.com/v1/tracks/5hNFfeQ392AT5uwrtaiXat,https://api.spotify.com/v1/audio-analysis/5hNFfeQ392AT5uwrtaiXat,212844,4,Affection,spotify:track:5hNFfeQ392AT5uwrtaiXat,Boys Noize,62k5LKMhymqlDNo2DWOvvv
7,0.808,0.867,6,-5.757,1,0.0516,0.00038,0.575,0.0473,0.795,124.979,audio_features,7hA0L7JFPUPEgEs6ML4ftg,spotify:track:7hA0L7JFPUPEgEs6ML4ftg,https://api.spotify.com/v1/tracks/7hA0L7JFPUPEgEs6ML4ftg,https://api.spotify.com/v1/audio-analysis/7hA0L7JFPUPEgEs6ML4ftg,189120,4,All I Want (feat. Jake Shears),spotify:track:7hA0L7JFPUPEgEs6ML4ftg,Boys Noize,62k5LKMhymqlDNo2DWOvvv
8,0.761,0.84,10,-4.698,0,0.0391,0.00649,0.85,0.621,0.394,129.985,audio_features,4VUNNr8ZHnVjBndJdRR2Lf,spotify:track:4VUNNr8ZHnVjBndJdRR2Lf,https://api.spotify.com/v1/tracks/4VUNNr8ZHnVjBndJdRR2Lf,https://api.spotify.com/v1/audio-analysis/4VUNNr8ZHnVjBndJdRR2Lf,226006,4,Detune,spotify:track:4VUNNr8ZHnVjBndJdRR2Lf,Boys Noize,62k5LKMhymqlDNo2DWOvvv
9,0.623,0.92,6,-5.938,0,0.08,0.00748,0.16,0.141,0.0573,140.705,audio_features,1Toa08t6ycpINMKTpZL0Cb,spotify:track:1Toa08t6ycpINMKTpZL0Cb,https://api.spotify.com/v1/tracks/1Toa08t6ycpINMKTpZL0Cb,https://api.spotify.com/v1/audio-analysis/1Toa08t6ycpINMKTpZL0Cb,251780,4,IU (feat. Corbin),spotify:track:1Toa08t6ycpINMKTpZL0Cb,Boys Noize,62k5LKMhymqlDNo2DWOvvv
10,0.784,0.926,2,-7.382,1,0.0674,0.0582,0.839,0.271,0.228,131.981,audio_features,5SOY9dK0HOLDZTCUBE68eW,spotify:track:5SOY9dK0HOLDZTCUBE68eW,https://api.spotify.com/v1/tracks/5SOY9dK0HOLDZTCUBE68eW,https://api.spotify.com/v1/audio-analysis/5SOY9dK0HOLDZTCUBE68eW,285372,4,Xpress Yourself,spotify:track:5SOY9dK0HOLDZTCUBE68eW,Boys Noize,62k5LKMhymqlDNo2DWOvvv
11,0.83,0.819,10,-8.284,0,0.0473,0.000694,8.79e-05,0.126,0.202,130.014,audio_features,58kCAp8x3wZ54GFLkub4xU,spotify:track:58kCAp8x3wZ54GFLkub4xU,https://api.spotify.com/v1/tracks/58kCAp8x3wZ54GFLkub4xU,https://api.spotify.com/v1/audio-analysis/58kCAp8x3wZ54GFLkub4xU,287958,3,Sperm,spotify:track:58kCAp8x3wZ54GFLkub4xU,Boys Noize,62k5LKMhymqlDNo2DWOvvv
12,0.622,0.896,2,-6.425,1,0.0395,0.00131,0.62,0.137,0.0394,129.951,audio_features,1kJ9KwoUgtsWOGoby9yzbu,spotify:track:1kJ9KwoUgtsWOGoby9yzbu,https://api.spotify.com/v1/tracks/1kJ9KwoUgtsWOGoby9yzbu,https://api.spotify.com/v1/audio-analysis/1kJ9KwoUgtsWOGoby9yzbu,228959,4,Nude (feat. Tommy Cash),spotify:track:1kJ9KwoUgtsWOGoby9yzbu,Boys Noize,62k5LKMhymqlDNo2DWOvvv
13,0.434,0.586,8,-7.469,1,0.0298,0.154,5.28e-06,0.112,0.0771,139.996,audio_features,2KZDVmRrant0dncCGSH4Hu,spotify:track:2KZDVmRrant0dncCGSH4Hu,https://api.spotify.com/v1/tracks/2KZDVmRrant0dncCGSH4Hu,https://api.spotify.com/v1/audio-analysis/2KZDVmRrant0dncCGSH4Hu,223659,4,Ride Or Die (feat. Chilly Gonzales),spotify:track:2KZDVmRrant0dncCGSH4Hu,Boys Noize,62k5LKMhymqlDNo2DWOvvv
14,0.296,0.396,2,-10.442,1,0.0362,0.225,0.201,0.174,0.0451,74.957,audio_features,6026Wsm689KYuDGvWyNt46,spotify:track:6026Wsm689KYuDGvWyNt46,https://api.spotify.com/v1/tracks/6026Wsm689KYuDGvWyNt46,https://api.spotify.com/v1/audio-analysis/6026Wsm689KYuDGvWyNt46,208700,4,Act 9 (feat. Vinson),spotify:track:6026Wsm689KYuDGvWyNt46,Boys Noize,62k5LKMhymqlDNo2DWOvvv
15,0.717,0.941,7,-8.239,1,0.0627,0.0278,0.904,0.166,0.101,126.028,audio_features,12AFrwqJibb2Y0N710O43w,spotify:track:12AFrwqJibb2Y0N710O43w,https://api.spotify.com/v1/tracks/12AFrwqJibb2Y0N710O43w,https://api.spotify.com/v1/audio-analysis/12AFrwqJibb2Y0N710O43w,198068,4,Distort Me,spotify:track:12AFrwqJibb2Y0N710O43w,Boys Noize,62k5LKMhymqlDNo2DWOvvv
16,0.805,0.949,6,-8.76,1,0.0389,0.00448,0.851,0.0928,0.963,128.01,audio_features,2KHWN4JHxToxe7kVrmY1xs,spotify:track:2KHWN4JHxToxe7kVrmY1xs,https://api.spotify.com/v1/tracks/2KHWN4JHxToxe7kVrmY1xs,https://api.spotify.com/v1/audio-analysis/2KHWN4JHxToxe7kVrmY1xs,258744,4,S&H Disco,spotify:track:2KHWN4JHxToxe7kVrmY1xs,Boys Noize,62k5LKMhymqlDNo2DWOvvv
17,0.595,0.932,2,-8.387,1,0.0481,0.583,0.755,0.151,0.192,98.748,audio_features,1mpZXYoIVsWbzzArRUTGkc,spotify:track:1mpZXYoIVsWbzzArRUTGkc,https://api.spotify.com/v1/tracks/1mpZXYoIVsWbzzArRUTGkc,https://api.spotify.com/v1/audio-analysis/1mpZXYoIVsWbzzArRUTGkc,194539,4,Das Alter,spotify:track:1mpZXYoIVsWbzzArRUTGkc,Boys Noize,62k5LKMhymqlDNo2DWOvvv
18,0.552,0.829,1,-6.359,1,0.0451,0.00641,0.653,0.0817,0.0357,124.762,audio_features,5ZdzGOe92NIYnZGlhQn3Xh,spotify:track:5ZdzGOe92NIYnZGlhQn3Xh,https://api.spotify.com/v1/tracks/5ZdzGOe92NIYnZGlhQn3Xh,https://api.spotify.com/v1/audio-analysis/5ZdzGOe92NIYnZGlhQn3Xh,390343,4,Nightmehr,spotify:track:5ZdzGOe92NIYnZGlhQn3Xh,Boys Noize,62k5LKMhymqlDNo2DWOvvv
19,0.732,0.992,4,-5.433,0,0.0518,0.000145,0.751,0.123,0.0435,123.007,audio_features,62de0B300ZFkfjx5QheyXP,spotify:track:62de0B300ZFkfjx5QheyXP,https://api.spotify.com/v1/tracks/62de0B300ZFkfjx5QheyXP,https://api.spotify.com/v1/audio-analysis/62de0B300ZFkfjx5QheyXP,251220,4,Loaded,spotify:track:62de0B300ZFkfjx5QheyXP,Boys Noize,62k5LKMhymqlDNo2DWOvvv
20,0.797,0.986,6,-7.156,1,0.0472,0.00352,0.894,0.119,0.892,132.001,audio_features,2iRA8Hro58IIgSLHlDZRyA,spotify:track:2iRA8Hro58IIgSLHlDZRyA,https://api.spotify.com/v1/tracks/2iRA8Hro58IIgSLHlDZRyA,https://api.spotify.com/v1/audio-analysis/2iRA8Hro58IIgSLHlDZRyA,276350,4,Digitvl,spotify:track:2iRA8Hro58IIgSLHlDZRyA,Boys Noize,62k5LKMhymqlDNo2DWOvvv
21,0.765,0.57,3,-8.885,0,0.0579,0.0224,0.887,0.112,0.239,127.135,audio_features,0FnOBPK9q0gEDnzYABTG1m,spotify:track:0FnOBPK9q0gEDnzYABTG1m,https://api.spotify.com/v1/tracks/0FnOBPK9q0gEDnzYABTG1m,https://api.spotify.com/v1/audio-analysis/0FnOBPK9q0gEDnzYABTG1m,334107,4,Purgatory,spotify:track:0FnOBPK9q0gEDnzYABTG1m,Boys Noize,62k5LKMhymqlDNo2DWOvvv
22,0.782,0.869,9,-5.811,1,0.0983,0.0306,0.877,0.0906,0.922,141.998,audio_features,7i5jR1yZhLGUFD25ONMcbg,spotify:track:7i5jR1yZhLGUFD25ONMcbg,https://api.spotify.com/v1/tracks/7i5jR1yZhLGUFD25ONMcbg,https://api.spotify.com/v1/audio-analysis/7i5jR1yZhLGUFD25ONMcbg,189966,4,L.I.P.,spotify:track:7i5jR1yZhLGUFD25ONMcbg,Boys Noize,62k5LKMhymqlDNo2DWOvvv
23,0.679,0.856,7,-6.035,1,0.0539,0.0105,0.028,0.646,0.241,107.001,audio_features,3bY3cy5r1ALCTHSHGasSlO,spotify:track:3bY3cy5r1ALCTHSHGasSlO,https://api.spotify.com/v1/tracks/3bY3cy5r1ALCTHSHGasSlO,https://api.spotify.com/v1/audio-analysis/3bY3cy5r1ALCTHSHGasSlO,257947,4,Overthrow - Club Version,spotify:track:3bY3cy5r1ALCTHSHGasSlO,Boys Noize,62k5LKMhymqlDNo2DWOvvv
24,0.757,0.926,2,-5.247,1,0.0896,0.039,0.47,0.0785,0.392,104.005,audio_features,2wfbYrATlvxVUOMRgW7C3X,spotify:track:2wfbYrATlvxVUOMRgW7C3X,https://api.spotify.com/v1/tracks/2wfbYrATlvxVUOMRgW7C3X,https://api.spotify.com/v1/audio-analysis/2wfbYrATlvxVUOMRgW7C3X,224973,4,Rock the Bells - GILA Remix,spotify:track:2wfbYrATlvxVUOMRgW7C3X,Boys Noize,62k5LKMhymqlDNo2DWOvvv
25,0.805,0.515,2,-10.967,1,0.0747,5.17e-05,0.798,0.0625,0.271,120.005,audio_features,5tXNxgBNK6EDwMjeR6Sw3k,spotify:track:5tXNxgBNK6EDwMjeR6Sw3k,https://api.spotify.com/v1/tracks/5tXNxgBNK6EDwMjeR6Sw3k,https://api.spotify.com/v1/audio-analysis/5tXNxgBNK6EDwMjeR6Sw3k,388013,4,Euphoria - Amato Remix,spotify:track:5tXNxgBNK6EDwMjeR6Sw3k,Boys Noize,62k5LKMhymqlDNo2DWOvvv
26,0.718,0.653,1,-9.021,1,0.0305,0.535,0.879,0.172,0.473,125.013,audio_features,0tKdOiOZxk1l9RreEo42gv,spotify:track:0tKdOiOZxk1l9RreEo42gv,https://api.spotify.com/v1/tracks/0tKdOiOZxk1l9RreEo42gv,https://api.spotify.com/v1/audio-analysis/0tKdOiOZxk1l9RreEo42gv,367173,4,Starchild - Tensnake Remix,spotify:track:0tKdOiOZxk1l9RreEo42gv,Boys Noize,62k5LKMhymqlDNo2DWOvvv
27,0.611,0.931,4,-4.892,0,0.042,1.13e-05,0.818,0.0599,0.482,128.004,audio_features,7zwDWEwBnLfkk9hAHfrkGA,spotify:track:7zwDWEwBnLfkk9hAHfrkGA,https://api.spotify.com/v1/tracks/7zwDWEwBnLfkk9hAHfrkGA,https://api.spotify.com/v1/audio-analysis/7zwDWEwBnLfkk9hAHfrkGA,350733,4,Midnight - Raito Remix,spotify:track:7zwDWEwBnLfkk9hAHfrkGA,Boys Noize,62k5LKMhymqlDNo2DWOvvv
28,0.736,0.962,1,-7.213,1,0.0469,0.00105,0.833,0.148,0.0382,130.0,audio_features,3KxEudOEZKaQmpxuzN06Oc,spotify:track:3KxEudOEZKaQmpxuzN06Oc,https://api.spotify.com/v1/tracks/3KxEudOEZKaQmpxuzN06Oc,https://api.spotify.com/v1/audio-analysis/3KxEudOEZKaQmpxuzN06Oc,384947,4,Hardkotzen - Jensen Interceptor Remix,spotify:track:3KxEudOEZKaQmpxuzN06Oc,Boys Noize,62k5LKMhymqlDNo2DWOvvv
29,0.803,0.657,5,-6.551,0,0.0389,5.97e-05,0.525,0.0944,0.375,126.013,audio_features,50GiNOlMAbYjzx41Z5gN5R,spotify:track:50GiNOlMAbYjzx41Z5gN5R,https://api.spotify.com/v1/tracks/50GiNOlMAbYjzx41Z5gN5R,https://api.spotify.com/v1/audio-analysis/50GiNOlMAbYjzx41Z5gN5R,324293,4,Birthday - Chambray Remix,spotify:track:50GiNOlMAbYjzx41Z5gN5R,Boys Noize,62k5LKMhymqlDNo2DWOvvv
30,0.803,0.736,11,-6.114,0,0.0501,0.00248,0.0753,0.0851,0.458,123.979,audio_features,4J6PpsImPgRg4lMj5wdgYp,spotify:track:4J6PpsImPgRg4lMj5wdgYp,https://api.spotify.com/v1/tracks/4J6PpsImPgRg4lMj5wdgYp,https://api.spotify.com/v1/audio-analysis/4J6PpsImPgRg4lMj5wdgYp,311907,4,Overthrow - Boys Noize 303 Overdub,spotify:track:4J6PpsImPgRg4lMj5wdgYp,Boys Noize,62k5LKMhymqlDNo2DWOvvv
31,0.634,0.96,11,-5.847,0,0.0473,9.72e-05,0.559,0.279,0.0516,127.99,audio_features,2wjpX0WvDBaGByh7dDjVKV,spotify:track:2wjpX0WvDBaGByh7dDjVKV,https://api.spotify.com/v1/tracks/2wjpX0WvDBaGByh7dDjVKV,https://api.spotify.com/v1/audio-analysis/2wjpX0WvDBaGByh7dDjVKV,215920,4,Mayday - Club Version,spotify:track:2wjpX0WvDBaGByh7dDjVKV,Boys Noize,62k5LKMhymqlDNo2DWOvvv
