,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.832,0.39,4,-13.48,1,0.0373,0.84,0.586,0.105,0.852,103.998,audio_features,3byQ7BQe08LoUMCt5yT5N0,spotify:track:3byQ7BQe08LoUMCt5yT5N0,https://api.spotify.com/v1/tracks/3byQ7BQe08LoUMCt5yT5N0,https://api.spotify.com/v1/audio-analysis/3byQ7BQe08LoUMCt5yT5N0,229833,4,The Same Procedure,spotify:track:3byQ7BQe08LoUMCt5yT5N0,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
1,0.707,0.555,0,-10.192,1,0.0249,0.536,0.669,0.258,0.771,109.995,audio_features,2wwUOo5f63YEXY9folRZQu,spotify:track:2wwUOo5f63YEXY9folRZQu,https://api.spotify.com/v1/tracks/2wwUOo5f63YEXY9folRZQu,https://api.spotify.com/v1/audio-analysis/2wwUOo5f63YEXY9folRZQu,292867,4,Best Western,spotify:track:2wwUOo5f63YEXY9folRZQu,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
2,0.67,0.66,1,-7.172,0,0.0286,0.108,0.00717,0.297,0.723,133.992,audio_features,5WzOhEJhmQNpHQRKLq9itQ,spotify:track:5WzOhEJhmQNpHQRKLq9itQ,https://api.spotify.com/v1/tracks/5WzOhEJhmQNpHQRKLq9itQ,https://api.spotify.com/v1/audio-analysis/5WzOhEJhmQNpHQRKLq9itQ,193000,4,Crying at the Soundcheck,spotify:track:5WzOhEJhmQNpHQRKLq9itQ,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
3,0.59,0.36,8,-11.502,1,0.0412,0.795,0.0092,0.104,0.739,200.133,audio_features,4va1mP2U6g9PA9rESFzeRS,spotify:track:4va1mP2U6g9PA9rESFzeRS,https://api.spotify.com/v1/tracks/4va1mP2U6g9PA9rESFzeRS,https://api.spotify.com/v1/audio-analysis/4va1mP2U6g9PA9rESFzeRS,201333,3,Life Might Be a Deep Fake,spotify:track:4va1mP2U6g9PA9rESFzeRS,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
4,0.765,0.7,0,-7.267,1,0.0286,0.196,0.106,0.252,0.972,127.988,audio_features,03vIhuGU9qNLoC43PHvi3O,spotify:track:03vIhuGU9qNLoC43PHvi3O,https://api.spotify.com/v1/tracks/03vIhuGU9qNLoC43PHvi3O,https://api.spotify.com/v1/audio-analysis/03vIhuGU9qNLoC43PHvi3O,195167,3,Virtual Reality,spotify:track:03vIhuGU9qNLoC43PHvi3O,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
5,0.659,0.436,7,-11.873,0,0.028,0.553,0.297,0.143,0.632,129.968,audio_features,5g4PpenP9VKGiRoD1qGO2N,spotify:track:5g4PpenP9VKGiRoD1qGO2N,https://api.spotify.com/v1/tracks/5g4PpenP9VKGiRoD1qGO2N,https://api.spotify.com/v1/audio-analysis/5g4PpenP9VKGiRoD1qGO2N,372400,4,Sad Songs,spotify:track:5g4PpenP9VKGiRoD1qGO2N,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
6,0.583,0.443,1,-11.605,1,0.0382,0.469,0.744,0.103,0.211,147.993,audio_features,0zGSkz271pJyptqak9dW0p,spotify:track:0zGSkz271pJyptqak9dW0p,https://api.spotify.com/v1/tracks/0zGSkz271pJyptqak9dW0p,https://api.spotify.com/v1/audio-analysis/0zGSkz271pJyptqak9dW0p,213331,4,Get over You (Soon),spotify:track:0zGSkz271pJyptqak9dW0p,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
7,0.527,0.477,2,-12.734,0,0.0272,0.412,0.85,0.233,0.311,129.975,audio_features,0ZaIrK4HfJluZzDEeAYDdT,spotify:track:0ZaIrK4HfJluZzDEeAYDdT,https://api.spotify.com/v1/tracks/0ZaIrK4HfJluZzDEeAYDdT,https://api.spotify.com/v1/audio-analysis/0ZaIrK4HfJluZzDEeAYDdT,222135,4,I Could See Myself,spotify:track:0ZaIrK4HfJluZzDEeAYDdT,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
8,0.518,0.428,4,-11.259,1,0.0339,0.398,0.415,0.357,0.445,106.153,audio_features,1kkjOpMdKuH0e0RnpTp3xA,spotify:track:1kkjOpMdKuH0e0RnpTp3xA,https://api.spotify.com/v1/tracks/1kkjOpMdKuH0e0RnpTp3xA,https://api.spotify.com/v1/audio-analysis/1kkjOpMdKuH0e0RnpTp3xA,301400,4,The Load Out,spotify:track:1kkjOpMdKuH0e0RnpTp3xA,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
9,0.662,0.26,6,-14.674,1,0.0297,0.948,0.0126,0.0915,0.403,119.908,audio_features,2NdMyvE7hZktaJdrq9kMdy,spotify:track:2NdMyvE7hZktaJdrq9kMdy,https://api.spotify.com/v1/tracks/2NdMyvE7hZktaJdrq9kMdy,https://api.spotify.com/v1/audio-analysis/2NdMyvE7hZktaJdrq9kMdy,168067,4,Not Coming Home,spotify:track:2NdMyvE7hZktaJdrq9kMdy,Burkini Beach,3W3aK0g7m33Zt2KXpD6Lvt
