,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.877,0.905,5,-5.246,0,0.0374,0.115,0.866,0.12,0.244,126.984,audio_features,0bz5ZlTAaZdRQvtTfvTm6n,spotify:track:0bz5ZlTAaZdRQvtTfvTm6n,https://api.spotify.com/v1/tracks/0bz5ZlTAaZdRQvtTfvTm6n,https://api.spotify.com/v1/audio-analysis/0bz5ZlTAaZdRQvtTfvTm6n,307725,4,Losing It,spotify:track:0bz5ZlTAaZdRQvtTfvTm6n,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
1,0.886,0.555,7,-8.641,0,0.0557,0.288,0.0256,0.129,0.855,122.024,audio_features,1GeS67D5dZInyYe7Ctlc1L,spotify:track:1GeS67D5dZInyYe7Ctlc1L,https://api.spotify.com/v1/tracks/1GeS67D5dZInyYe7Ctlc1L,https://api.spotify.com/v1/audio-analysis/1GeS67D5dZInyYe7Ctlc1L,329016,4,Take Me Closer,spotify:track:1GeS67D5dZInyYe7Ctlc1L,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
2,0.86,0.607,6,-7.402,1,0.263,0.297,0.000422,0.0638,0.65,116.01,audio_features,5AEYzNoMrEgoEf7pDXiyD3,spotify:track:5AEYzNoMrEgoEf7pDXiyD3,https://api.spotify.com/v1/tracks/5AEYzNoMrEgoEf7pDXiyD3,https://api.spotify.com/v1/audio-analysis/5AEYzNoMrEgoEf7pDXiyD3,206897,4,Sanctuary,spotify:track:5AEYzNoMrEgoEf7pDXiyD3,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
3,0.972,0.64,10,-6.608,1,0.131,0.717,0.000182,0.18,0.725,122.027,audio_features,2vaWHqQ9dQzwZRg56Ei5wT,spotify:track:2vaWHqQ9dQzwZRg56Ei5wT,https://api.spotify.com/v1/tracks/2vaWHqQ9dQzwZRg56Ei5wT,https://api.spotify.com/v1/audio-analysis/2vaWHqQ9dQzwZRg56Ei5wT,228197,4,Best Friend,spotify:track:2vaWHqQ9dQzwZRg56Ei5wT,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
4,0.827,0.417,1,-9.335,0,0.0619,0.801,0.802,0.0617,0.569,82.0,audio_features,4zat9ICEiofS4XAixdwWtq,spotify:track:4zat9ICEiofS4XAixdwWtq,https://api.spotify.com/v1/tracks/4zat9ICEiofS4XAixdwWtq,https://api.spotify.com/v1/audio-analysis/4zat9ICEiofS4XAixdwWtq,195457,4,Moontriangle,spotify:track:4zat9ICEiofS4XAixdwWtq,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
5,0.798,0.874,1,-6.562,1,0.119,0.139,0.56,0.14,0.69,119.003,audio_features,0zMawPCMZMVTr3yEgV7Zex,spotify:track:0zMawPCMZMVTr3yEgV7Zex,https://api.spotify.com/v1/tracks/0zMawPCMZMVTr3yEgV7Zex,https://api.spotify.com/v1/audio-analysis/0zMawPCMZMVTr3yEgV7Zex,294958,4,Open Your Eyes,spotify:track:0zMawPCMZMVTr3yEgV7Zex,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
6,0.902,0.889,10,-6.811,0,0.0537,0.00332,0.031,0.0934,0.762,114.999,audio_features,05m5wuYwhl0WQepzKWmCP0,spotify:track:05m5wuYwhl0WQepzKWmCP0,https://api.spotify.com/v1/tracks/05m5wuYwhl0WQepzKWmCP0,https://api.spotify.com/v1/audio-analysis/05m5wuYwhl0WQepzKWmCP0,205043,4,Alright,spotify:track:05m5wuYwhl0WQepzKWmCP0,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
7,0.825,0.666,5,-5.056,1,0.104,0.216,0.00917,0.129,0.628,122.02,audio_features,36hxRyN4xX09yRDDVS7BJ3,spotify:track:36hxRyN4xX09yRDDVS7BJ3,https://api.spotify.com/v1/tracks/36hxRyN4xX09yRDDVS7BJ3,https://api.spotify.com/v1/audio-analysis/36hxRyN4xX09yRDDVS7BJ3,254700,4,Ooeeooeeoo,spotify:track:36hxRyN4xX09yRDDVS7BJ3,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
8,0.622,0.775,8,-6.48,1,0.0284,0.757,0.74,0.105,0.238,110.957,audio_features,5A7P00BlribWQHDcg2pK2M,spotify:track:5A7P00BlribWQHDcg2pK2M,https://api.spotify.com/v1/tracks/5A7P00BlribWQHDcg2pK2M,https://api.spotify.com/v1/audio-analysis/5A7P00BlribWQHDcg2pK2M,110100,4,Blood Moon Outro,spotify:track:5A7P00BlribWQHDcg2pK2M,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
9,0.686,0.573,4,-6.881,0,0.0371,0.219,0.699,0.217,0.129,111.003,audio_features,1XoUcpHiYxVfPJyFwbWo0j,spotify:track:1XoUcpHiYxVfPJyFwbWo0j,https://api.spotify.com/v1/tracks/1XoUcpHiYxVfPJyFwbWo0j,https://api.spotify.com/v1/audio-analysis/1XoUcpHiYxVfPJyFwbWo0j,317838,4,Simultaneous,spotify:track:1XoUcpHiYxVfPJyFwbWo0j,CAPYAC,5QP5fl1l4e9NmKmkMUOTF5
