,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.868,0.864,5,-6.829,0,0.14,0.0182,0.0105,0.0683,0.895,128.033,audio_features,1zRlOlZIzzRH0qXnOEHKvd,spotify:track:1zRlOlZIzzRH0qXnOEHKvd,https://api.spotify.com/v1/tracks/1zRlOlZIzzRH0qXnOEHKvd,https://api.spotify.com/v1/audio-analysis/1zRlOlZIzzRH0qXnOEHKvd,226875,4,Lost Inside of Love,spotify:track:1zRlOlZIzzRH0qXnOEHKvd,CHANEY,2dUjApyXX9UqIsFGzoHyhX
1,0.879,0.624,7,-6.133,1,0.0931,0.00453,0.000606,0.0769,0.962,128.009,audio_features,7kM0o3uMhUOkqxBck35QT4,spotify:track:7kM0o3uMhUOkqxBck35QT4,https://api.spotify.com/v1/tracks/7kM0o3uMhUOkqxBck35QT4,https://api.spotify.com/v1/audio-analysis/7kM0o3uMhUOkqxBck35QT4,196408,4,Movin On,spotify:track:7kM0o3uMhUOkqxBck35QT4,CHANEY,2dUjApyXX9UqIsFGzoHyhX
2,0.574,0.955,9,-5.379,0,0.327,0.0368,0.0109,0.256,0.255,127.893,audio_features,6D3lpP7SO5coAJONxPwRRV,spotify:track:6D3lpP7SO5coAJONxPwRRV,https://api.spotify.com/v1/tracks/6D3lpP7SO5coAJONxPwRRV,https://api.spotify.com/v1/audio-analysis/6D3lpP7SO5coAJONxPwRRV,200625,4,Need You (Higher),spotify:track:6D3lpP7SO5coAJONxPwRRV,CHANEY,2dUjApyXX9UqIsFGzoHyhX
3,0.671,0.868,9,-6.077,0,0.0734,0.00382,0.212,0.128,0.24,127.999,audio_features,5kjnOFnaYzbBiEPANO1j4u,spotify:track:5kjnOFnaYzbBiEPANO1j4u,https://api.spotify.com/v1/tracks/5kjnOFnaYzbBiEPANO1j4u,https://api.spotify.com/v1/audio-analysis/5kjnOFnaYzbBiEPANO1j4u,349219,4,Need You (Higher) - Extended Mix,spotify:track:5kjnOFnaYzbBiEPANO1j4u,CHANEY,2dUjApyXX9UqIsFGzoHyhX
4,0.727,0.728,1,-7.172,0,0.075,0.133,0.00338,0.156,0.909,128.003,audio_features,0VK1hVi9Zk1Tdh0znonSg4,spotify:track:0VK1hVi9Zk1Tdh0znonSg4,https://api.spotify.com/v1/tracks/0VK1hVi9Zk1Tdh0znonSg4,https://api.spotify.com/v1/audio-analysis/0VK1hVi9Zk1Tdh0znonSg4,199687,4,To the Rhythm,spotify:track:0VK1hVi9Zk1Tdh0znonSg4,CHANEY,2dUjApyXX9UqIsFGzoHyhX
5,0.789,0.671,8,-8.302,0,0.0752,0.00832,0.0537,0.0944,0.82,128.008,audio_features,1ejZ9nClNndNAgaUyOn1T8,spotify:track:1ejZ9nClNndNAgaUyOn1T8,https://api.spotify.com/v1/tracks/1ejZ9nClNndNAgaUyOn1T8,https://api.spotify.com/v1/audio-analysis/1ejZ9nClNndNAgaUyOn1T8,376797,4,To the Rhythm - Extended Mix,spotify:track:1ejZ9nClNndNAgaUyOn1T8,CHANEY,2dUjApyXX9UqIsFGzoHyhX
6,0.767,0.855,8,-6.809,1,0.262,0.00461,0.000182,0.187,0.653,126.018,audio_features,6Wf8KozdP5cnCh9n5l13fX,spotify:track:6Wf8KozdP5cnCh9n5l13fX,https://api.spotify.com/v1/tracks/6Wf8KozdP5cnCh9n5l13fX,https://api.spotify.com/v1/audio-analysis/6Wf8KozdP5cnCh9n5l13fX,213333,4,Back To Me - VIP Edit,spotify:track:6Wf8KozdP5cnCh9n5l13fX,CHANEY,2dUjApyXX9UqIsFGzoHyhX
7,0.665,0.928,1,-4.707,1,0.137,0.00353,0.0011,0.435,0.715,126.022,audio_features,32njLz0B0JPRaNsp9ggmT9,spotify:track:32njLz0B0JPRaNsp9ggmT9,https://api.spotify.com/v1/tracks/32njLz0B0JPRaNsp9ggmT9,https://api.spotify.com/v1/audio-analysis/32njLz0B0JPRaNsp9ggmT9,144762,4,Back To Me,spotify:track:32njLz0B0JPRaNsp9ggmT9,CHANEY,2dUjApyXX9UqIsFGzoHyhX
8,0.778,0.83,8,-5.855,0,0.0392,0.0368,0.000937,0.0973,0.735,125.013,audio_features,4tJekXINC962iaZ0NHrnZ6,spotify:track:4tJekXINC962iaZ0NHrnZ6,https://api.spotify.com/v1/tracks/4tJekXINC962iaZ0NHrnZ6,https://api.spotify.com/v1/audio-analysis/4tJekXINC962iaZ0NHrnZ6,187500,3,Always Come Back,spotify:track:4tJekXINC962iaZ0NHrnZ6,CHANEY,2dUjApyXX9UqIsFGzoHyhX
9,0.665,0.928,1,-4.707,1,0.137,0.00353,0.0011,0.435,0.715,126.022,audio_features,10Tr484jdKxRC4IXHDdwnM,spotify:track:10Tr484jdKxRC4IXHDdwnM,https://api.spotify.com/v1/tracks/10Tr484jdKxRC4IXHDdwnM,https://api.spotify.com/v1/audio-analysis/10Tr484jdKxRC4IXHDdwnM,144762,4,Back To Me,spotify:track:10Tr484jdKxRC4IXHDdwnM,CHANEY,2dUjApyXX9UqIsFGzoHyhX
