,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.442,0.668,5,-7.488,1,0.0498,0.0143,0.000282,0.105,0.255,122.853,audio_features,0bklGCD9W4VC4hDoHoD9xD,spotify:track:0bklGCD9W4VC4hDoHoD9xD,https://api.spotify.com/v1/tracks/0bklGCD9W4VC4hDoHoD9xD,https://api.spotify.com/v1/audio-analysis/0bklGCD9W4VC4hDoHoD9xD,304675,4,Asking For A Friend,spotify:track:0bklGCD9W4VC4hDoHoD9xD,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
1,0.574,0.625,7,-6.249,1,0.0304,0.0366,0.000243,0.114,0.281,126.923,audio_features,3OF7o8yyqFNZFy54vzunHm,spotify:track:3OF7o8yyqFNZFy54vzunHm,https://api.spotify.com/v1/tracks/3OF7o8yyqFNZFy54vzunHm,https://api.spotify.com/v1/audio-analysis/3OF7o8yyqFNZFy54vzunHm,189385,4,He Said She Said,spotify:track:3OF7o8yyqFNZFy54vzunHm,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
2,0.525,0.888,8,-5.74,1,0.0456,0.000462,0.137,0.231,0.424,101.009,audio_features,3IBWplRx0Ery3vAJqEqfDN,spotify:track:3IBWplRx0Ery3vAJqEqfDN,https://api.spotify.com/v1/tracks/3IBWplRx0Ery3vAJqEqfDN,https://api.spotify.com/v1/audio-analysis/3IBWplRx0Ery3vAJqEqfDN,248148,4,California,spotify:track:3IBWplRx0Ery3vAJqEqfDN,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
3,0.199,0.905,9,-4.628,1,0.0886,0.33,0.00315,0.128,0.37,159.8,audio_features,1HVMjldxvDEnIwUuc4UVfP,spotify:track:1HVMjldxvDEnIwUuc4UVfP,https://api.spotify.com/v1/tracks/1HVMjldxvDEnIwUuc4UVfP,https://api.spotify.com/v1/audio-analysis/1HVMjldxvDEnIwUuc4UVfP,319984,5,Violent Delights,spotify:track:1HVMjldxvDEnIwUuc4UVfP,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
4,0.266,0.82,11,-6.498,0,0.0509,0.0141,0.102,0.153,0.291,86.489,audio_features,4XAQao6UEFfD7ls9fE8qW7,spotify:track:4XAQao6UEFfD7ls9fE8qW7,https://api.spotify.com/v1/tracks/4XAQao6UEFfD7ls9fE8qW7,https://api.spotify.com/v1/audio-analysis/4XAQao6UEFfD7ls9fE8qW7,331011,4,How Not To Drown (feat. Robert Smith),spotify:track:4XAQao6UEFfD7ls9fE8qW7,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
5,0.498,0.826,2,-5.558,0,0.0432,0.00293,3.61e-06,0.565,0.633,92.868,audio_features,75JviMkDB9vyGc3q2RtXB0,spotify:track:75JviMkDB9vyGc3q2RtXB0,https://api.spotify.com/v1/tracks/75JviMkDB9vyGc3q2RtXB0,https://api.spotify.com/v1/audio-analysis/75JviMkDB9vyGc3q2RtXB0,269640,4,Final Girl,spotify:track:75JviMkDB9vyGc3q2RtXB0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
6,0.452,0.798,8,-6.25,1,0.0582,0.00334,0.00167,0.215,0.32,173.997,audio_features,7ad2V0z9AzlcP82gDHibkh,spotify:track:7ad2V0z9AzlcP82gDHibkh,https://api.spotify.com/v1/tracks/7ad2V0z9AzlcP82gDHibkh,https://api.spotify.com/v1/audio-analysis/7ad2V0z9AzlcP82gDHibkh,199456,4,Good Girls,spotify:track:7ad2V0z9AzlcP82gDHibkh,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
7,0.593,0.819,1,-5.946,0,0.0364,0.00208,5.88e-06,0.0803,0.723,99.992,audio_features,4yfaEWCU4p1wCIYGK9Qgwa,spotify:track:4yfaEWCU4p1wCIYGK9Qgwa,https://api.spotify.com/v1/tracks/4yfaEWCU4p1wCIYGK9Qgwa,https://api.spotify.com/v1/audio-analysis/4yfaEWCU4p1wCIYGK9Qgwa,224602,4,Lullabies,spotify:track:4yfaEWCU4p1wCIYGK9Qgwa,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
8,0.527,0.801,4,-5.96,0,0.0332,0.0044,0.487,0.342,0.528,136.981,audio_features,27Fhlyk0JKW877FMFOJ5Hl,spotify:track:27Fhlyk0JKW877FMFOJ5Hl,https://api.spotify.com/v1/tracks/27Fhlyk0JKW877FMFOJ5Hl,https://api.spotify.com/v1/audio-analysis/27Fhlyk0JKW877FMFOJ5Hl,273831,4,Nightmares,spotify:track:27Fhlyk0JKW877FMFOJ5Hl,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
9,0.676,0.737,0,-8.086,1,0.035,0.0115,0.00577,0.138,0.383,119.981,audio_features,3AqS7rx6w2dXNfkjgfSzz0,spotify:track:3AqS7rx6w2dXNfkjgfSzz0,https://api.spotify.com/v1/tracks/3AqS7rx6w2dXNfkjgfSzz0,https://api.spotify.com/v1/audio-analysis/3AqS7rx6w2dXNfkjgfSzz0,211988,4,Better If You Don't,spotify:track:3AqS7rx6w2dXNfkjgfSzz0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
10,0.475,0.849,6,-6.682,0,0.0435,0.0541,0.229,0.122,0.638,92.892,audio_features,6zsGY0IY1CoNeIQXNY1SUf,spotify:track:6zsGY0IY1CoNeIQXNY1SUf,https://api.spotify.com/v1/tracks/6zsGY0IY1CoNeIQXNY1SUf,https://api.spotify.com/v1/audio-analysis/6zsGY0IY1CoNeIQXNY1SUf,200717,4,Killer,spotify:track:6zsGY0IY1CoNeIQXNY1SUf,CHVRCHES,3CjlHNtplJyTf9npxaPl5w
