,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.701,0.689,11,-5.182,1,0.0471,0.463,0.419,0.166,0.709,102.91,audio_features,0Jq7lotJVDHAvNfef6ehcJ,spotify:track:0Jq7lotJVDHAvNfef6ehcJ,https://api.spotify.com/v1/tracks/0Jq7lotJVDHAvNfef6ehcJ,https://api.spotify.com/v1/audio-analysis/0Jq7lotJVDHAvNfef6ehcJ,145040,4,Felony,spotify:track:0Jq7lotJVDHAvNfef6ehcJ,CKay,048LktY5zMnakWq7PTtFrz
1,0.708,0.575,11,-6.969,0,0.101,0.729,0.0147,0.258,0.327,101.866,audio_features,6ihMcz4thRLj5KH8uFwOdw,spotify:track:6ihMcz4thRLj5KH8uFwOdw,https://api.spotify.com/v1/tracks/6ihMcz4thRLj5KH8uFwOdw,https://api.spotify.com/v1/audio-analysis/6ihMcz4thRLj5KH8uFwOdw,122347,4,Show My Side (feat. Amaarae),spotify:track:6ihMcz4thRLj5KH8uFwOdw,CKay,048LktY5zMnakWq7PTtFrz
2,0.638,0.642,0,-5.554,0,0.0411,0.525,0.155,0.111,0.53,94.02,audio_features,3IKW5FVGMa3a45ZNHc6jxy,spotify:track:3IKW5FVGMa3a45ZNHc6jxy,https://api.spotify.com/v1/tracks/3IKW5FVGMa3a45ZNHc6jxy,https://api.spotify.com/v1/audio-analysis/3IKW5FVGMa3a45ZNHc6jxy,176320,4,Jeje de Whine,spotify:track:3IKW5FVGMa3a45ZNHc6jxy,CKay,048LktY5zMnakWq7PTtFrz
3,0.735,0.746,8,-5.595,0,0.0898,0.304,0.000617,0.117,0.498,92.993,audio_features,5Kea5JCuEz3TOGbWTu1PgO,spotify:track:5Kea5JCuEz3TOGbWTu1PgO,https://api.spotify.com/v1/tracks/5Kea5JCuEz3TOGbWTu1PgO,https://api.spotify.com/v1/audio-analysis/5Kea5JCuEz3TOGbWTu1PgO,183867,4,Isabella,spotify:track:5Kea5JCuEz3TOGbWTu1PgO,CKay,048LktY5zMnakWq7PTtFrz
4,0.712,0.603,0,-10.137,1,0.121,0.597,0.125,0.115,0.424,89.987,audio_features,55Rnsl2V2IjPf7wiwCyEFq,spotify:track:55Rnsl2V2IjPf7wiwCyEFq,https://api.spotify.com/v1/tracks/55Rnsl2V2IjPf7wiwCyEFq,https://api.spotify.com/v1/audio-analysis/55Rnsl2V2IjPf7wiwCyEFq,173333,4,Skoin Skoin (feat. Bianca Costa),spotify:track:55Rnsl2V2IjPf7wiwCyEFq,CKay,048LktY5zMnakWq7PTtFrz
5,0.563,0.62,10,-5.851,1,0.0578,0.69,0.000369,0.144,0.358,88.232,audio_features,69n4ie3SRkt4uPYG3RYFOl,spotify:track:69n4ie3SRkt4uPYG3RYFOl,https://api.spotify.com/v1/tracks/69n4ie3SRkt4uPYG3RYFOl,https://api.spotify.com/v1/audio-analysis/69n4ie3SRkt4uPYG3RYFOl,208372,4,Mezebu (feat. Oxlade & KiDi),spotify:track:69n4ie3SRkt4uPYG3RYFOl,CKay,048LktY5zMnakWq7PTtFrz
6,0.713,0.829,2,-8.239,1,0.0427,0.645,0.658,0.128,0.352,108.011,audio_features,0qO1vvKmRvBVH60KsfS8Gh,spotify:track:0qO1vvKmRvBVH60KsfS8Gh,https://api.spotify.com/v1/tracks/0qO1vvKmRvBVH60KsfS8Gh,https://api.spotify.com/v1/audio-analysis/0qO1vvKmRvBVH60KsfS8Gh,173333,4,Kiss Me Like You Miss Me,spotify:track:0qO1vvKmRvBVH60KsfS8Gh,CKay,048LktY5zMnakWq7PTtFrz
7,0.54,0.573,10,-7.02,1,0.166,0.546,0.00018,0.264,0.472,119.558,audio_features,4RAuM2qWLBDrNtzfz3bBKs,spotify:track:4RAuM2qWLBDrNtzfz3bBKs,https://api.spotify.com/v1/tracks/4RAuM2qWLBDrNtzfz3bBKs,https://api.spotify.com/v1/audio-analysis/4RAuM2qWLBDrNtzfz3bBKs,211293,5,dtf,spotify:track:4RAuM2qWLBDrNtzfz3bBKs,CKay,048LktY5zMnakWq7PTtFrz
8,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4,love nwantiti (ah ah ah),spotify:track:2Xr1dTzJee307rmrkt8c0g,CKay,048LktY5zMnakWq7PTtFrz
9,0.829,0.774,2,-4.789,0,0.0716,0.44,0.000619,0.149,0.74,109.999,audio_features,0X5yARwJLSCTFhuJTSXvFU,spotify:track:0X5yARwJLSCTFhuJTSXvFU,https://api.spotify.com/v1/tracks/0X5yARwJLSCTFhuJTSXvFU,https://api.spotify.com/v1/audio-analysis/0X5yARwJLSCTFhuJTSXvFU,159813,4,kalakuta,spotify:track:0X5yARwJLSCTFhuJTSXvFU,CKay,048LktY5zMnakWq7PTtFrz
10,0.797,0.796,0,-4.017,1,0.151,0.41,3.75e-05,0.0929,0.432,116.129,audio_features,1aFnU8fcGS9EHUh36DJ8Ml,spotify:track:1aFnU8fcGS9EHUh36DJ8Ml,https://api.spotify.com/v1/tracks/1aFnU8fcGS9EHUh36DJ8Ml,https://api.spotify.com/v1/audio-analysis/1aFnU8fcGS9EHUh36DJ8Ml,152067,4,way (feat. DJ Lambo),spotify:track:1aFnU8fcGS9EHUh36DJ8Ml,CKay,048LktY5zMnakWq7PTtFrz
11,0.854,0.767,2,-2.048,0,0.0634,0.525,6.19e-05,0.101,0.542,115.027,audio_features,4zuktTe9xqPyVutmY2a0ug,spotify:track:4zuktTe9xqPyVutmY2a0ug,https://api.spotify.com/v1/tracks/4zuktTe9xqPyVutmY2a0ug,https://api.spotify.com/v1/audio-analysis/4zuktTe9xqPyVutmY2a0ug,186773,4,ski ski,spotify:track:4zuktTe9xqPyVutmY2a0ug,CKay,048LktY5zMnakWq7PTtFrz
12,0.757,0.662,6,-6.032,0,0.055,0.572,0.000233,0.125,0.501,95.96,audio_features,3eUi4fK8AxqpuAt086XBUv,spotify:track:3eUi4fK8AxqpuAt086XBUv,https://api.spotify.com/v1/tracks/3eUi4fK8AxqpuAt086XBUv,https://api.spotify.com/v1/audio-analysis/3eUi4fK8AxqpuAt086XBUv,172653,4,oliver kahn (feat. Boj),spotify:track:3eUi4fK8AxqpuAt086XBUv,CKay,048LktY5zMnakWq7PTtFrz
13,0.811,0.826,9,-3.634,0,0.0845,0.541,1.91e-05,0.354,0.803,130.11,audio_features,0Ek3ppyjyEUD5z4qfXLaxc,spotify:track:0Ek3ppyjyEUD5z4qfXLaxc,https://api.spotify.com/v1/tracks/0Ek3ppyjyEUD5z4qfXLaxc,https://api.spotify.com/v1/audio-analysis/0Ek3ppyjyEUD5z4qfXLaxc,171813,4,like to party (feat. Blaqbonez),spotify:track:0Ek3ppyjyEUD5z4qfXLaxc,CKay,048LktY5zMnakWq7PTtFrz
14,0.567,0.756,4,-3.559,0,0.284,0.18,0.0,0.359,0.626,208.2,audio_features,17JuQJJwiZz8xLExCOf59u,spotify:track:17JuQJJwiZz8xLExCOf59u,https://api.spotify.com/v1/tracks/17JuQJJwiZz8xLExCOf59u,https://api.spotify.com/v1/audio-analysis/17JuQJJwiZz8xLExCOf59u,199027,4,beeni (feat. Barry Jhay),spotify:track:17JuQJJwiZz8xLExCOf59u,CKay,048LktY5zMnakWq7PTtFrz
15,0.861,0.661,2,-6.587,0,0.0834,0.129,0.00208,0.107,0.677,92.027,audio_features,6XPPB2eOwBid6EbveTmVYe,spotify:track:6XPPB2eOwBid6EbveTmVYe,https://api.spotify.com/v1/tracks/6XPPB2eOwBid6EbveTmVYe,https://api.spotify.com/v1/audio-analysis/6XPPB2eOwBid6EbveTmVYe,200870,4,Shakara,spotify:track:6XPPB2eOwBid6EbveTmVYe,CKay,048LktY5zMnakWq7PTtFrz
16,0.803,0.737,8,-5.197,1,0.0564,0.153,0.00279,0.0721,0.574,93.018,audio_features,6dBHYk55g9oS03fznp1wUS,spotify:track:6dBHYk55g9oS03fznp1wUS,https://api.spotify.com/v1/tracks/6dBHYk55g9oS03fznp1wUS,https://api.spotify.com/v1/audio-analysis/6dBHYk55g9oS03fznp1wUS,139355,4,love nwantiti - DITVAK Remix,spotify:track:6dBHYk55g9oS03fznp1wUS,CKay,048LktY5zMnakWq7PTtFrz
17,0.769,0.661,5,-6.028,0,0.0744,0.507,0.00195,0.157,0.548,93.005,audio_features,3epO5ppMtvp3wTdDXepwYY,spotify:track:3epO5ppMtvp3wTdDXepwYY,https://api.spotify.com/v1/tracks/3epO5ppMtvp3wTdDXepwYY,https://api.spotify.com/v1/audio-analysis/3epO5ppMtvp3wTdDXepwYY,186999,4,love nwantiti (feat. Pronto & Eunique) - German Remix,spotify:track:3epO5ppMtvp3wTdDXepwYY,CKay,048LktY5zMnakWq7PTtFrz
18,0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,audio_features,4gvrJnKCKIPiacNsWVQwEU,spotify:track:4gvrJnKCKIPiacNsWVQwEU,https://api.spotify.com/v1/tracks/4gvrJnKCKIPiacNsWVQwEU,https://api.spotify.com/v1/audio-analysis/4gvrJnKCKIPiacNsWVQwEU,188369,3,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,spotify:track:4gvrJnKCKIPiacNsWVQwEU,CKay,048LktY5zMnakWq7PTtFrz
19,0.713,0.829,2,-8.239,1,0.0427,0.645,0.658,0.128,0.352,108.011,audio_features,6PePQiHS7OdJWRu4mFs6ve,spotify:track:6PePQiHS7OdJWRu4mFs6ve,https://api.spotify.com/v1/tracks/6PePQiHS7OdJWRu4mFs6ve,https://api.spotify.com/v1/audio-analysis/6PePQiHS7OdJWRu4mFs6ve,173333,4,Kiss Me Like You Miss Me,spotify:track:6PePQiHS7OdJWRu4mFs6ve,CKay,048LktY5zMnakWq7PTtFrz
20,0.749,0.762,2,-8.994,1,0.0676,0.754,0.15,0.117,0.428,108.002,audio_features,3eXQMP4bg32fQZoYdhKI7Z,spotify:track:3eXQMP4bg32fQZoYdhKI7Z,https://api.spotify.com/v1/tracks/3eXQMP4bg32fQZoYdhKI7Z,https://api.spotify.com/v1/audio-analysis/3eXQMP4bg32fQZoYdhKI7Z,173335,4,Kiss Me Like You Miss Me (feat. Nahaze) - Remix,spotify:track:3eXQMP4bg32fQZoYdhKI7Z,CKay,048LktY5zMnakWq7PTtFrz
21,0.798,0.585,5,-4.812,0,0.185,0.0942,1.04e-05,0.104,0.678,105.916,audio_features,3o8vUanSyKX0VqqrrzSO9d,spotify:track:3o8vUanSyKX0VqqrrzSO9d,https://api.spotify.com/v1/tracks/3o8vUanSyKX0VqqrrzSO9d,https://api.spotify.com/v1/audio-analysis/3o8vUanSyKX0VqqrrzSO9d,145162,4,Boyoduskid Love,spotify:track:3o8vUanSyKX0VqqrrzSO9d,CKay,048LktY5zMnakWq7PTtFrz
22,0.701,0.689,11,-5.182,1,0.0471,0.463,0.419,0.166,0.709,102.91,audio_features,5GFm1OmVhA9xNy2ZbH8yWq,spotify:track:5GFm1OmVhA9xNy2ZbH8yWq,https://api.spotify.com/v1/tracks/5GFm1OmVhA9xNy2ZbH8yWq,https://api.spotify.com/v1/audio-analysis/5GFm1OmVhA9xNy2ZbH8yWq,145040,4,Felony,spotify:track:5GFm1OmVhA9xNy2ZbH8yWq,CKay,048LktY5zMnakWq7PTtFrz
