,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.082,0.279,0,-10.469,0,0.0444,0.0883,0.857,0.855,0.0346,169.4,audio_features,1fv2WstwejdncVyM2KgQOj,spotify:track:1fv2WstwejdncVyM2KgQOj,https://api.spotify.com/v1/tracks/1fv2WstwejdncVyM2KgQOj,https://api.spotify.com/v1/audio-analysis/1fv2WstwejdncVyM2KgQOj,150387,4,Intro - Red Bull Symphonic,spotify:track:1fv2WstwejdncVyM2KgQOj,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
1,0.224,0.874,0,-5.525,0,0.0878,0.0607,0.939,0.858,0.267,80.142,audio_features,6ZzH9pkHS4cop8KnsJ6QXR,spotify:track:6ZzH9pkHS4cop8KnsJ6QXR,https://api.spotify.com/v1/tracks/6ZzH9pkHS4cop8KnsJ6QXR,https://api.spotify.com/v1/audio-analysis/6ZzH9pkHS4cop8KnsJ6QXR,109716,4,Ember - Red Bull Symphonic,spotify:track:6ZzH9pkHS4cop8KnsJ6QXR,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
2,0.234,0.736,5,-4.773,0,0.037,0.191,0.00678,0.598,0.234,86.589,audio_features,5vK7v6UnzjRsHYrUST8aI0,spotify:track:5vK7v6UnzjRsHYrUST8aI0,https://api.spotify.com/v1/tracks/5vK7v6UnzjRsHYrUST8aI0,https://api.spotify.com/v1/audio-analysis/5vK7v6UnzjRsHYrUST8aI0,285275,4,If I Could - Red Bull Symphonic,spotify:track:5vK7v6UnzjRsHYrUST8aI0,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
3,0.393,0.81,0,-6.03,0,0.0483,0.427,0.64,0.43,0.418,65.7,audio_features,728LfiNdYnJTztsP8ofLE1,spotify:track:728LfiNdYnJTztsP8ofLE1,https://api.spotify.com/v1/tracks/728LfiNdYnJTztsP8ofLE1,https://api.spotify.com/v1/audio-analysis/728LfiNdYnJTztsP8ofLE1,175550,3,All Night - Red Bull Symphonic,spotify:track:728LfiNdYnJTztsP8ofLE1,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
4,0.395,0.841,0,-4.819,0,0.0418,0.039,0.0948,0.672,0.0421,87.62,audio_features,7oo2wT4ibeCm8NIFGBDLXM,spotify:track:7oo2wT4ibeCm8NIFGBDLXM,https://api.spotify.com/v1/tracks/7oo2wT4ibeCm8NIFGBDLXM,https://api.spotify.com/v1/audio-analysis/7oo2wT4ibeCm8NIFGBDLXM,219432,4,Move Around - Red Bull Symphonic,spotify:track:7oo2wT4ibeCm8NIFGBDLXM,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
5,0.415,0.976,10,-6.739,0,0.453,0.104,0.84,0.908,0.128,174.861,audio_features,1QVh2o80i44O4FHL1rMqF8,spotify:track:1QVh2o80i44O4FHL1rMqF8,https://api.spotify.com/v1/tracks/1QVh2o80i44O4FHL1rMqF8,https://api.spotify.com/v1/audio-analysis/1QVh2o80i44O4FHL1rMqF8,290747,4,Witchdoctor - Red Bull Symphonic,spotify:track:1QVh2o80i44O4FHL1rMqF8,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
6,0.428,0.791,1,-6.569,1,0.0624,0.219,0.0034,0.659,0.0942,87.404,audio_features,5dOOKwANVxrBsHvQ1676Xb,spotify:track:5dOOKwANVxrBsHvQ1676Xb,https://api.spotify.com/v1/tracks/5dOOKwANVxrBsHvQ1676Xb,https://api.spotify.com/v1/audio-analysis/5dOOKwANVxrBsHvQ1676Xb,186505,4,Set It Off - Red Bull Symphonic,spotify:track:5dOOKwANVxrBsHvQ1676Xb,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
7,0.422,0.894,5,-6.211,0,0.0384,0.0364,0.00375,0.319,0.0755,131.248,audio_features,4GcjMeVge7HmvAAMRLrVJO,spotify:track:4GcjMeVge7HmvAAMRLrVJO,https://api.spotify.com/v1/tracks/4GcjMeVge7HmvAAMRLrVJO,https://api.spotify.com/v1/audio-analysis/4GcjMeVge7HmvAAMRLrVJO,219410,3,Numbers (Camo & Krooked Remix) - Red Bull Symphonic,spotify:track:4GcjMeVge7HmvAAMRLrVJO,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
8,0.273,0.713,7,-7.684,0,0.031,0.013,0.66,0.542,0.108,131.201,audio_features,1dbj1DAVU32p55gt9lM9iK,spotify:track:1dbj1DAVU32p55gt9lM9iK,https://api.spotify.com/v1/tracks/1dbj1DAVU32p55gt9lM9iK,https://api.spotify.com/v1/audio-analysis/1dbj1DAVU32p55gt9lM9iK,309047,4,Passion - Red Bull Symphonic,spotify:track:1dbj1DAVU32p55gt9lM9iK,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
9,0.184,0.632,7,-7.734,0,0.0327,0.00139,0.75,0.706,0.134,85.798,audio_features,1dAxmevSFKxUMFF0RDwhjP,spotify:track:1dAxmevSFKxUMFF0RDwhjP,https://api.spotify.com/v1/tracks/1dAxmevSFKxUMFF0RDwhjP,https://api.spotify.com/v1/audio-analysis/1dAxmevSFKxUMFF0RDwhjP,131670,4,Turn Up (The Music) - Red Bull Symphonic,spotify:track:1dAxmevSFKxUMFF0RDwhjP,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
10,0.205,0.656,7,-6.203,0,0.0374,0.00271,0.825,0.944,0.0348,174.932,audio_features,009mlkLI3ZIb4xlMttyAE0,spotify:track:009mlkLI3ZIb4xlMttyAE0,https://api.spotify.com/v1/tracks/009mlkLI3ZIb4xlMttyAE0,https://api.spotify.com/v1/audio-analysis/009mlkLI3ZIb4xlMttyAE0,194676,4,Faith - Red Bull Symphonic,spotify:track:009mlkLI3ZIb4xlMttyAE0,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
11,0.32,0.463,2,-6.681,0,0.0285,0.579,0.532,0.493,0.0388,87.41,audio_features,6J8SUba8bSuuykaTuZLJng,spotify:track:6J8SUba8bSuuykaTuZLJng,https://api.spotify.com/v1/tracks/6J8SUba8bSuuykaTuZLJng,https://api.spotify.com/v1/audio-analysis/6J8SUba8bSuuykaTuZLJng,219525,4,Black Or White - Red Bull Symphonic,spotify:track:6J8SUba8bSuuykaTuZLJng,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
12,0.492,0.699,2,-4.95,0,0.0301,0.329,0.0563,0.582,0.33,87.462,audio_features,1E91oQ65awU6ggem3crpTd,spotify:track:1E91oQ65awU6ggem3crpTd,https://api.spotify.com/v1/tracks/1E91oQ65awU6ggem3crpTd,https://api.spotify.com/v1/audio-analysis/1E91oQ65awU6ggem3crpTd,241338,4,"Good Times, Bad Times - Red Bull Symphonic",spotify:track:1E91oQ65awU6ggem3crpTd,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
13,0.341,0.896,9,-5.237,0,0.041,0.0506,0.286,0.898,0.345,87.487,audio_features,4Bk76LbSP3NtaQk192fgaV,spotify:track:4Bk76LbSP3NtaQk192fgaV,https://api.spotify.com/v1/tracks/4Bk76LbSP3NtaQk192fgaV,https://api.spotify.com/v1/audio-analysis/4Bk76LbSP3NtaQk192fgaV,109726,4,Climax - Red Bull Symphonic,spotify:track:4Bk76LbSP3NtaQk192fgaV,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
14,0.403,0.935,9,-4.663,0,0.0531,0.00878,0.00847,0.256,0.228,87.568,audio_features,53EUDZdglrKjFnhbcQJF8o,spotify:track:53EUDZdglrKjFnhbcQJF8o,https://api.spotify.com/v1/tracks/53EUDZdglrKjFnhbcQJF8o,https://api.spotify.com/v1/audio-analysis/53EUDZdglrKjFnhbcQJF8o,153592,4,Kallisto - Red Bull Symphonic,spotify:track:53EUDZdglrKjFnhbcQJF8o,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
15,0.412,0.547,8,-8.383,0,0.0295,0.581,0.836,0.129,0.214,87.6,audio_features,1tfrhO1NVUUAIxydmKobAx,spotify:track:1tfrhO1NVUUAIxydmKobAx,https://api.spotify.com/v1/tracks/1tfrhO1NVUUAIxydmKobAx,https://api.spotify.com/v1/audio-analysis/1tfrhO1NVUUAIxydmKobAx,21837,4,Interlude - Red Bull Symphonic,spotify:track:1tfrhO1NVUUAIxydmKobAx,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
16,0.419,0.761,8,-6.458,0,0.0357,0.0135,0.0478,0.631,0.104,87.385,audio_features,5KzwKE51pZ3CYLnoLryXk8,spotify:track:5KzwKE51pZ3CYLnoLryXk8,https://api.spotify.com/v1/tracks/5KzwKE51pZ3CYLnoLryXk8,https://api.spotify.com/v1/audio-analysis/5KzwKE51pZ3CYLnoLryXk8,252449,4,Honesty - Red Bull Symphonic,spotify:track:5KzwKE51pZ3CYLnoLryXk8,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
17,0.247,0.937,9,-3.975,0,0.0914,0.0948,0.789,0.721,0.135,175.189,audio_features,3nBq9pF7Qt7AlFHAbx8Neb,spotify:track:3nBq9pF7Qt7AlFHAbx8Neb,https://api.spotify.com/v1/tracks/3nBq9pF7Qt7AlFHAbx8Neb,https://api.spotify.com/v1/audio-analysis/3nBq9pF7Qt7AlFHAbx8Neb,197424,4,Watch It Burn - Red Bull Symphonic,spotify:track:3nBq9pF7Qt7AlFHAbx8Neb,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
18,0.264,0.974,5,-7.183,0,0.139,0.0506,0.888,0.432,0.0885,87.415,audio_features,3BgjFSzcHH20LUmkpXXXAp,spotify:track:3BgjFSzcHH20LUmkpXXXAp,https://api.spotify.com/v1/tracks/3BgjFSzcHH20LUmkpXXXAp,https://api.spotify.com/v1/audio-analysis/3BgjFSzcHH20LUmkpXXXAp,329163,4,Loa - Red Bull Symphonic,spotify:track:3BgjFSzcHH20LUmkpXXXAp,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
19,0.14,0.909,0,-5.198,0,0.0629,0.0544,0.648,0.79,0.12,174.374,audio_features,5BwdtmP8AS9Eo1jGXTtbtj,spotify:track:5BwdtmP8AS9Eo1jGXTtbtj,https://api.spotify.com/v1/tracks/5BwdtmP8AS9Eo1jGXTtbtj,https://api.spotify.com/v1/audio-analysis/5BwdtmP8AS9Eo1jGXTtbtj,101073,4,Aurora - Red Bull Symphonic,spotify:track:5BwdtmP8AS9Eo1jGXTtbtj,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
20,0.495,0.894,5,-4.848,0,0.28,0.604,0.000145,0.883,0.266,128.109,audio_features,1CQhCoge9kTqdN6bfY4R8H,spotify:track:1CQhCoge9kTqdN6bfY4R8H,https://api.spotify.com/v1/tracks/1CQhCoge9kTqdN6bfY4R8H,https://api.spotify.com/v1/audio-analysis/1CQhCoge9kTqdN6bfY4R8H,291320,4,Loving You Is Easy - Red Bull Symphonic,spotify:track:1CQhCoge9kTqdN6bfY4R8H,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
21,0.0721,0.62,5,-7.109,1,0.0381,0.0381,0.929,0.881,0.0654,180.159,audio_features,2zLE1WlqIDgmi8bPyh0tfv,spotify:track:2zLE1WlqIDgmi8bPyh0tfv,https://api.spotify.com/v1/tracks/2zLE1WlqIDgmi8bPyh0tfv,https://api.spotify.com/v1/audio-analysis/2zLE1WlqIDgmi8bPyh0tfv,442600,4,Atlas - Red Bull Symphonic,spotify:track:2zLE1WlqIDgmi8bPyh0tfv,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
22,0.471,0.961,1,-0.316,1,0.0682,0.0424,0.0205,0.274,0.265,173.951,audio_features,0fgAk9XxXI7ayA9IXDGzFg,spotify:track:0fgAk9XxXI7ayA9IXDGzFg,https://api.spotify.com/v1/tracks/0fgAk9XxXI7ayA9IXDGzFg,https://api.spotify.com/v1/audio-analysis/0fgAk9XxXI7ayA9IXDGzFg,253772,4,Broken Pieces (feat. Nihils) - Culture Shock Remix,spotify:track:0fgAk9XxXI7ayA9IXDGzFg,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
23,0.543,0.942,5,-0.947,0,0.0713,0.0114,0.906,0.1,0.0393,174.84,audio_features,44sm5DXqT0xH5F4RCwfUqQ,spotify:track:44sm5DXqT0xH5F4RCwfUqQ,https://api.spotify.com/v1/tracks/44sm5DXqT0xH5F4RCwfUqQ,https://api.spotify.com/v1/audio-analysis/44sm5DXqT0xH5F4RCwfUqQ,308182,4,Ember - Noisia Remix,spotify:track:44sm5DXqT0xH5F4RCwfUqQ,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
24,0.603,0.76,8,-4.2,1,0.0472,0.0222,0.0266,0.0693,0.308,173.983,audio_features,5y1RnSwezFUKIBT2GFywu7,spotify:track:5y1RnSwezFUKIBT2GFywu7,https://api.spotify.com/v1/tracks/5y1RnSwezFUKIBT2GFywu7,https://api.spotify.com/v1/audio-analysis/5y1RnSwezFUKIBT2GFywu7,270345,4,Slow Down (feat. ROBB) - Fred V & Grafix Remix,spotify:track:5y1RnSwezFUKIBT2GFywu7,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
25,0.432,0.909,1,-3.835,1,0.0451,0.000733,0.216,0.083,0.0586,129.368,audio_features,4pokjWikvyRr41vwbcsLbB,spotify:track:4pokjWikvyRr41vwbcsLbB,https://api.spotify.com/v1/tracks/4pokjWikvyRr41vwbcsLbB,https://api.spotify.com/v1/audio-analysis/4pokjWikvyRr41vwbcsLbB,299384,3,If I Could (feat. Joe Killington) - SpectraSoul Remix,spotify:track:4pokjWikvyRr41vwbcsLbB,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
26,0.451,0.866,8,-5.5,1,0.341,0.149,0.231,0.13,0.096,174.113,audio_features,1SgRz27RpBS5VKq1c30roJ,spotify:track:1SgRz27RpBS5VKq1c30roJ,https://api.spotify.com/v1/tracks/1SgRz27RpBS5VKq1c30roJ,https://api.spotify.com/v1/audio-analysis/1SgRz27RpBS5VKq1c30roJ,274971,4,Witchdoctor - IAMU Remix,spotify:track:1SgRz27RpBS5VKq1c30roJ,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
27,0.645,0.689,0,-4.995,1,0.0863,0.00833,0.0905,0.12,0.0729,174.958,audio_features,0bhRroouFZ25OrNUcnKTMS,spotify:track:0bhRroouFZ25OrNUcnKTMS,https://api.spotify.com/v1/tracks/0bhRroouFZ25OrNUcnKTMS,https://api.spotify.com/v1/audio-analysis/0bhRroouFZ25OrNUcnKTMS,296229,4,Good Times Bad Times - Document One Remix,spotify:track:0bhRroouFZ25OrNUcnKTMS,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
28,0.621,0.808,4,-3.659,0,0.0333,0.0744,0.453,0.103,0.0373,87.507,audio_features,6AVLVa4XOK7BirHN2WCfRk,spotify:track:6AVLVa4XOK7BirHN2WCfRk,https://api.spotify.com/v1/tracks/6AVLVa4XOK7BirHN2WCfRk,https://api.spotify.com/v1/audio-analysis/6AVLVa4XOK7BirHN2WCfRk,335314,4,Heat of the Moment - Bensley Remix,spotify:track:6AVLVa4XOK7BirHN2WCfRk,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
29,0.59,0.743,1,-3.468,1,0.189,0.00558,0.00217,0.155,0.609,174.945,audio_features,4TO4ql2lb4yeXoAXZbsiY8,spotify:track:4TO4ql2lb4yeXoAXZbsiY8,https://api.spotify.com/v1/tracks/4TO4ql2lb4yeXoAXZbsiY8,https://api.spotify.com/v1/audio-analysis/4TO4ql2lb4yeXoAXZbsiY8,299143,4,Honesty - Dossa & Locuzzed Remix,spotify:track:4TO4ql2lb4yeXoAXZbsiY8,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
30,0.484,0.915,9,-3.941,0,0.0542,0.00662,0.888,0.0827,0.162,174.013,audio_features,5sVsBWmflmOSbZbfI4MRjy,spotify:track:5sVsBWmflmOSbZbfI4MRjy,https://api.spotify.com/v1/tracks/5sVsBWmflmOSbZbfI4MRjy,https://api.spotify.com/v1/audio-analysis/5sVsBWmflmOSbZbfI4MRjy,296914,4,"Tagtraum - GLXY, Satl & Malaky Remix",spotify:track:5sVsBWmflmOSbZbfI4MRjy,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
31,0.623,0.486,2,-4.929,0,0.168,0.291,0.0758,0.106,0.182,174.991,audio_features,0OocSSFtFKZZTlYuyuvon6,spotify:track:0OocSSFtFKZZTlYuyuvon6,https://api.spotify.com/v1/tracks/0OocSSFtFKZZTlYuyuvon6,https://api.spotify.com/v1/audio-analysis/0OocSSFtFKZZTlYuyuvon6,219771,4,Dissolve Me (feat. klei) - Frederic Robinson Remix,spotify:track:0OocSSFtFKZZTlYuyuvon6,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
32,0.481,0.857,9,-3.208,1,0.31,0.00597,0.0869,0.0933,0.233,174.948,audio_features,125aratPP5Xo7xdDIf1qfv,spotify:track:125aratPP5Xo7xdDIf1qfv,https://api.spotify.com/v1/tracks/125aratPP5Xo7xdDIf1qfv,https://api.spotify.com/v1/audio-analysis/125aratPP5Xo7xdDIf1qfv,249600,4,Mandala - Malux Remix,spotify:track:125aratPP5Xo7xdDIf1qfv,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
33,0.729,0.841,10,-1.665,1,0.0703,0.00372,0.124,0.112,0.335,87.505,audio_features,6ykYNtNKtXxvj36FL1sYPu,spotify:track:6ykYNtNKtXxvj36FL1sYPu,https://api.spotify.com/v1/tracks/6ykYNtNKtXxvj36FL1sYPu,https://api.spotify.com/v1/audio-analysis/6ykYNtNKtXxvj36FL1sYPu,288574,4,Last of the Tribe - Break Remix,spotify:track:6ykYNtNKtXxvj36FL1sYPu,Camo & Krooked,2N8IPNZTiNo3nj4mreOlHU
