,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.538,0.808,4,-5.973,1,0.0314,0.0362,0.00867,0.0745,0.103,120.05,audio_features,6H36ZwHt8Qaq5uru7nj7IK,spotify:track:6H36ZwHt8Qaq5uru7nj7IK,https://api.spotify.com/v1/tracks/6H36ZwHt8Qaq5uru7nj7IK,https://api.spotify.com/v1/audio-analysis/6H36ZwHt8Qaq5uru7nj7IK,340000,4,Weightlifters,spotify:track:6H36ZwHt8Qaq5uru7nj7IK,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
1,0.766,0.465,8,-8.252,1,0.0346,0.0686,0.0445,0.109,0.662,134.992,audio_features,4WdVHE3fPUyu5McHAhM3RV,spotify:track:4WdVHE3fPUyu5McHAhM3RV,https://api.spotify.com/v1/tracks/4WdVHE3fPUyu5McHAhM3RV,https://api.spotify.com/v1/audio-analysis/4WdVHE3fPUyu5McHAhM3RV,309333,4,Can't Cool Me Down,spotify:track:4WdVHE3fPUyu5McHAhM3RV,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
2,0.665,0.545,9,-7.208,0,0.0332,0.0136,0.000161,0.226,0.584,114.995,audio_features,0eyQSNrnZ7vKs1q0bQlN8O,spotify:track:0eyQSNrnZ7vKs1q0bQlN8O,https://api.spotify.com/v1/tracks/0eyQSNrnZ7vKs1q0bQlN8O,https://api.spotify.com/v1/audio-analysis/0eyQSNrnZ7vKs1q0bQlN8O,261130,4,Deadlines (Hostile),spotify:track:0eyQSNrnZ7vKs1q0bQlN8O,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
3,0.691,0.726,11,-6.33,0,0.0578,0.0316,0.00138,0.483,0.901,119.009,audio_features,7qwiyFyXDTp7aqxboN4bqO,spotify:track:7qwiyFyXDTp7aqxboN4bqO,https://api.spotify.com/v1/tracks/7qwiyFyXDTp7aqxboN4bqO,https://api.spotify.com/v1/audio-analysis/7qwiyFyXDTp7aqxboN4bqO,202689,4,Hollywood,spotify:track:7qwiyFyXDTp7aqxboN4bqO,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
4,0.413,0.866,9,-7.182,0,0.0613,0.00246,0.209,0.552,0.263,166.003,audio_features,440MsxXh6V8cYY3rdFcFXv,spotify:track:440MsxXh6V8cYY3rdFcFXv,https://api.spotify.com/v1/tracks/440MsxXh6V8cYY3rdFcFXv,https://api.spotify.com/v1/audio-analysis/440MsxXh6V8cYY3rdFcFXv,168434,4,Hymn - Remix,spotify:track:440MsxXh6V8cYY3rdFcFXv,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
5,0.647,0.743,4,-9.204,1,0.0539,0.0138,0.0359,0.534,0.549,160.169,audio_features,0UbelM7oOQHQR9xs934wj8,spotify:track:0UbelM7oOQHQR9xs934wj8,https://api.spotify.com/v1/tracks/0UbelM7oOQHQR9xs934wj8,https://api.spotify.com/v1/audio-analysis/0UbelM7oOQHQR9xs934wj8,207750,4,Martin,spotify:track:0UbelM7oOQHQR9xs934wj8,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
6,0.621,0.54,2,-8.055,1,0.0663,0.00516,0.000712,0.161,0.0398,114.982,audio_features,2mQNBBeUUjzkEyQFibqePn,spotify:track:2mQNBBeUUjzkEyQFibqePn,https://api.spotify.com/v1/tracks/2mQNBBeUUjzkEyQFibqePn,https://api.spotify.com/v1/audio-analysis/2mQNBBeUUjzkEyQFibqePn,351652,4,Deadlines (Thoughtful),spotify:track:2mQNBBeUUjzkEyQFibqePn,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
7,0.423,0.182,4,-12.595,0,0.0482,0.893,0.000548,0.109,0.225,176.574,audio_features,3wIil0LubG3XjDiJB3gfGX,spotify:track:3wIil0LubG3XjDiJB3gfGX,https://api.spotify.com/v1/tracks/3wIil0LubG3XjDiJB3gfGX,https://api.spotify.com/v1/audio-analysis/3wIil0LubG3XjDiJB3gfGX,94818,1,What's With You Lately,spotify:track:3wIil0LubG3XjDiJB3gfGX,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
8,0.643,0.723,0,-6.675,1,0.0409,0.198,0.000511,0.393,0.5,120.016,audio_features,1vf60wbiDrRssSLmWG68je,spotify:track:1vf60wbiDrRssSLmWG68je,https://api.spotify.com/v1/tracks/1vf60wbiDrRssSLmWG68je,https://api.spotify.com/v1/audio-analysis/1vf60wbiDrRssSLmWG68je,293000,4,Life Worth Missing,spotify:track:1vf60wbiDrRssSLmWG68je,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
9,0.684,0.711,9,-6.476,1,0.0263,0.013,0.24,0.0619,0.477,144.016,audio_features,4aLVleE09ZRl720qy9yHIp,spotify:track:4aLVleE09ZRl720qy9yHIp,https://api.spotify.com/v1/tracks/4aLVleE09ZRl720qy9yHIp,https://api.spotify.com/v1/audio-analysis/4aLVleE09ZRl720qy9yHIp,453750,4,There Must Be More Than Blood,spotify:track:4aLVleE09ZRl720qy9yHIp,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
