,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.611,0.713,1,-11.028,1,0.0346,0.0319,0.0129,0.0783,0.423,129.57,audio_features,32tZacH8pN5SuUwV2jpICp,spotify:track:32tZacH8pN5SuUwV2jpICp,https://api.spotify.com/v1/tracks/32tZacH8pN5SuUwV2jpICp,https://api.spotify.com/v1/audio-analysis/32tZacH8pN5SuUwV2jpICp,244946,4,Never Come Back - Koreless Remix,spotify:track:32tZacH8pN5SuUwV2jpICp,Caribou,4aEnNH9PuU1HF3TsZTru54
1,0.752,0.956,11,-8.797,1,0.0408,0.617,0.866,0.105,0.451,127.983,audio_features,2D3AppSYwUd353Pn3p0kAK,spotify:track:2D3AppSYwUd353Pn3p0kAK,https://api.spotify.com/v1/tracks/2D3AppSYwUd353Pn3p0kAK,https://api.spotify.com/v1/audio-analysis/2D3AppSYwUd353Pn3p0kAK,465938,4,Never Come Back - Four Tet Remix,spotify:track:2D3AppSYwUd353Pn3p0kAK,Caribou,4aEnNH9PuU1HF3TsZTru54
2,0.655,0.56,2,-10.737,1,0.0362,0.0238,0.234,0.0886,0.152,96.98,audio_features,0YhG32bygGHeErBEQxPz1c,spotify:track:0YhG32bygGHeErBEQxPz1c,https://api.spotify.com/v1/tracks/0YhG32bygGHeErBEQxPz1c,https://api.spotify.com/v1/audio-analysis/0YhG32bygGHeErBEQxPz1c,191449,4,Home - Toro y Moi Remix,spotify:track:0YhG32bygGHeErBEQxPz1c,Caribou,4aEnNH9PuU1HF3TsZTru54
3,0.735,0.601,7,-6.78,0,0.0468,0.00814,0.916,0.104,0.451,132.0,audio_features,47f4fguWOXZr0K3yNbiQKx,spotify:track:47f4fguWOXZr0K3yNbiQKx,https://api.spotify.com/v1/tracks/47f4fguWOXZr0K3yNbiQKx,https://api.spotify.com/v1/audio-analysis/47f4fguWOXZr0K3yNbiQKx,237586,4,Sunny's Time - Logic1000 Remix,spotify:track:47f4fguWOXZr0K3yNbiQKx,Caribou,4aEnNH9PuU1HF3TsZTru54
4,0.781,0.234,4,-12.511,0,0.0541,0.0284,0.888,0.077,0.196,124.997,audio_features,6JkSBhaQHRgOsClW5IPc0V,spotify:track:6JkSBhaQHRgOsClW5IPc0V,https://api.spotify.com/v1/tracks/6JkSBhaQHRgOsClW5IPc0V,https://api.spotify.com/v1/audio-analysis/6JkSBhaQHRgOsClW5IPc0V,423309,4,Sister - Floating Points Remix,spotify:track:6JkSBhaQHRgOsClW5IPc0V,Caribou,4aEnNH9PuU1HF3TsZTru54
5,0.792,0.74,0,-10.369,1,0.0593,0.0225,0.907,0.0647,0.743,135.01,audio_features,7I78ZEtRsy7Pvofoag4f1T,spotify:track:7I78ZEtRsy7Pvofoag4f1T,https://api.spotify.com/v1/tracks/7I78ZEtRsy7Pvofoag4f1T,https://api.spotify.com/v1/audio-analysis/7I78ZEtRsy7Pvofoag4f1T,313002,4,Ravi - Shanti Celeste Remix,spotify:track:7I78ZEtRsy7Pvofoag4f1T,Caribou,4aEnNH9PuU1HF3TsZTru54
6,0.71,0.363,7,-11.675,0,0.0472,0.715,0.0395,0.115,0.418,125.976,audio_features,7J3YaqJb1NpMmZBrNoepTr,spotify:track:7J3YaqJb1NpMmZBrNoepTr,https://api.spotify.com/v1/tracks/7J3YaqJb1NpMmZBrNoepTr,https://api.spotify.com/v1/audio-analysis/7J3YaqJb1NpMmZBrNoepTr,171514,4,You and I - Jessy Lanza Mix,spotify:track:7J3YaqJb1NpMmZBrNoepTr,Caribou,4aEnNH9PuU1HF3TsZTru54
7,0.738,0.718,8,-8.677,0,0.0897,0.0286,0.859,0.121,0.971,149.987,audio_features,0YyElNtvouXCHUKX5j1WJz,spotify:track:0YyElNtvouXCHUKX5j1WJz,https://api.spotify.com/v1/tracks/0YyElNtvouXCHUKX5j1WJz,https://api.spotify.com/v1/audio-analysis/0YyElNtvouXCHUKX5j1WJz,681038,4,Sunny's Time - Prince Nifty Saddle Up Mix,spotify:track:0YyElNtvouXCHUKX5j1WJz,Caribou,4aEnNH9PuU1HF3TsZTru54
8,0.772,0.736,6,-12.299,1,0.0911,0.00111,0.883,0.0867,0.355,129.012,audio_features,0pyg0qFKJv1gArHxwcTxeQ,spotify:track:0pyg0qFKJv1gArHxwcTxeQ,https://api.spotify.com/v1/tracks/0pyg0qFKJv1gArHxwcTxeQ,https://api.spotify.com/v1/audio-analysis/0pyg0qFKJv1gArHxwcTxeQ,530324,4,Never Come Back - Floating Points Remix,spotify:track:0pyg0qFKJv1gArHxwcTxeQ,Caribou,4aEnNH9PuU1HF3TsZTru54
9,0.798,0.537,5,-9.766,1,0.066,0.0403,0.184,0.0891,0.198,127.979,audio_features,4cUnewnK6b7MDSKBbArbtU,spotify:track:4cUnewnK6b7MDSKBbArbtU,https://api.spotify.com/v1/tracks/4cUnewnK6b7MDSKBbArbtU,https://api.spotify.com/v1/audio-analysis/4cUnewnK6b7MDSKBbArbtU,438613,4,Never Come Back - Morgan Geist Remix,spotify:track:4cUnewnK6b7MDSKBbArbtU,Caribou,4aEnNH9PuU1HF3TsZTru54
10,0.716,0.588,4,-8.829,0,0.0728,0.0159,0.843,0.13,0.177,134.98,audio_features,66TDa5eMgYhfu23zeSWgOQ,spotify:track:66TDa5eMgYhfu23zeSWgOQ,https://api.spotify.com/v1/tracks/66TDa5eMgYhfu23zeSWgOQ,https://api.spotify.com/v1/audio-analysis/66TDa5eMgYhfu23zeSWgOQ,362715,4,Sunny's Time - Kareem Ali Remix,spotify:track:66TDa5eMgYhfu23zeSWgOQ,Caribou,4aEnNH9PuU1HF3TsZTru54
11,0.768,0.823,6,-3.598,1,0.0331,0.115,0.736,0.0684,0.354,122.012,audio_features,33WfX1Sqi2gshlhh0lKjIO,spotify:track:33WfX1Sqi2gshlhh0lKjIO,https://api.spotify.com/v1/tracks/33WfX1Sqi2gshlhh0lKjIO,https://api.spotify.com/v1/audio-analysis/33WfX1Sqi2gshlhh0lKjIO,334577,4,Like I Loved You - India Jordan Remix,spotify:track:33WfX1Sqi2gshlhh0lKjIO,Caribou,4aEnNH9PuU1HF3TsZTru54
12,0.49,0.0372,9,-21.201,0,0.0443,0.973,0.112,0.106,0.461,159.771,audio_features,4ybZsBNuE6XcolnJsozpye,spotify:track:4ybZsBNuE6XcolnJsozpye,https://api.spotify.com/v1/tracks/4ybZsBNuE6XcolnJsozpye,https://api.spotify.com/v1/audio-analysis/4ybZsBNuE6XcolnJsozpye,131240,4,Sister,spotify:track:4ybZsBNuE6XcolnJsozpye,Caribou,4aEnNH9PuU1HF3TsZTru54
13,0.733,0.495,9,-8.448,0,0.0321,0.0716,0.124,0.114,0.478,111.911,audio_features,7MHDHfAZbsWpvnFAv91MM9,spotify:track:7MHDHfAZbsWpvnFAv91MM9,https://api.spotify.com/v1/tracks/7MHDHfAZbsWpvnFAv91MM9,https://api.spotify.com/v1/audio-analysis/7MHDHfAZbsWpvnFAv91MM9,243947,4,You and I,spotify:track:7MHDHfAZbsWpvnFAv91MM9,Caribou,4aEnNH9PuU1HF3TsZTru54
14,0.506,0.388,3,-12.93,0,0.0332,0.918,0.656,0.227,0.305,149.898,audio_features,6Q66K6GmX8emVB4qxN8vHh,spotify:track:6Q66K6GmX8emVB4qxN8vHh,https://api.spotify.com/v1/tracks/6Q66K6GmX8emVB4qxN8vHh,https://api.spotify.com/v1/audio-analysis/6Q66K6GmX8emVB4qxN8vHh,169613,4,Sunny's Time,spotify:track:6Q66K6GmX8emVB4qxN8vHh,Caribou,4aEnNH9PuU1HF3TsZTru54
15,0.583,0.796,1,-7.546,1,0.0324,0.225,0.0822,0.145,0.161,92.044,audio_features,60ccl1BZklMngoGlPlACAJ,spotify:track:60ccl1BZklMngoGlPlACAJ,https://api.spotify.com/v1/tracks/60ccl1BZklMngoGlPlACAJ,https://api.spotify.com/v1/audio-analysis/60ccl1BZklMngoGlPlACAJ,217667,4,New Jade,spotify:track:60ccl1BZklMngoGlPlACAJ,Caribou,4aEnNH9PuU1HF3TsZTru54
