,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.523,0.145,9,-11.341,1,0.0311,0.399,0.00013,0.128,0.132,133.084,audio_features,6MNM6xQaKCjEnDhJq0qpdL,spotify:track:6MNM6xQaKCjEnDhJq0qpdL,https://api.spotify.com/v1/tracks/6MNM6xQaKCjEnDhJq0qpdL,https://api.spotify.com/v1/audio-analysis/6MNM6xQaKCjEnDhJq0qpdL,100712,4,Personal Best,spotify:track:6MNM6xQaKCjEnDhJq0qpdL,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
1,0.783,0.701,1,-5.883,0,0.0433,0.202,0.0169,0.175,0.683,102.99,audio_features,1j2XjYCBNbNUzg6Jahqwgi,spotify:track:1j2XjYCBNbNUzg6Jahqwgi,https://api.spotify.com/v1/tracks/1j2XjYCBNbNUzg6Jahqwgi,https://api.spotify.com/v1/audio-analysis/1j2XjYCBNbNUzg6Jahqwgi,189020,4,Ride Or Cry,spotify:track:1j2XjYCBNbNUzg6Jahqwgi,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
2,0.754,0.592,1,-8.01,1,0.0405,0.357,0.00856,0.111,0.444,91.043,audio_features,1BQjxRxw3r2OdXNLsvVlMv,spotify:track:1BQjxRxw3r2OdXNLsvVlMv,https://api.spotify.com/v1/tracks/1BQjxRxw3r2OdXNLsvVlMv,https://api.spotify.com/v1/audio-analysis/1BQjxRxw3r2OdXNLsvVlMv,200314,4,Life Of The Party,spotify:track:1BQjxRxw3r2OdXNLsvVlMv,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
3,0.541,0.211,5,-10.297,1,0.0441,0.883,0.0,0.151,0.311,129.859,audio_features,2mSnqDfDp2YokSIj5pNu3X,spotify:track:2mSnqDfDp2YokSIj5pNu3X,https://api.spotify.com/v1/tracks/2mSnqDfDp2YokSIj5pNu3X,https://api.spotify.com/v1/audio-analysis/2mSnqDfDp2YokSIj5pNu3X,159281,4,Perfect Stranger,spotify:track:2mSnqDfDp2YokSIj5pNu3X,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
4,0.741,0.496,2,-7.563,1,0.0793,0.135,0.0,0.145,0.234,108.992,audio_features,3BC0Mc3hR2B4rtt2YDgrbY,spotify:track:3BC0Mc3hR2B4rtt2YDgrbY,https://api.spotify.com/v1/tracks/3BC0Mc3hR2B4rtt2YDgrbY,https://api.spotify.com/v1/audio-analysis/3BC0Mc3hR2B4rtt2YDgrbY,237293,4,Low Brow,spotify:track:3BC0Mc3hR2B4rtt2YDgrbY,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
5,0.493,0.606,7,-6.807,1,0.114,0.046,0.000128,0.485,0.68,81.958,audio_features,69qTmGUnsoQj76ZqAPVyOm,spotify:track:69qTmGUnsoQj76ZqAPVyOm,https://api.spotify.com/v1/tracks/69qTmGUnsoQj76ZqAPVyOm,https://api.spotify.com/v1/audio-analysis/69qTmGUnsoQj76ZqAPVyOm,196767,4,Pitch Dark,spotify:track:69qTmGUnsoQj76ZqAPVyOm,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
6,0.735,0.557,6,-9.607,0,0.0333,0.517,0.00434,0.243,0.101,109.97,audio_features,3fkN9dNklZcVtX5nMk9fuU,spotify:track:3fkN9dNklZcVtX5nMk9fuU,https://api.spotify.com/v1/tracks/3fkN9dNklZcVtX5nMk9fuU,https://api.spotify.com/v1/audio-analysis/3fkN9dNklZcVtX5nMk9fuU,163737,4,Colour Sum,spotify:track:3fkN9dNklZcVtX5nMk9fuU,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
7,0.763,0.524,0,-7.725,1,0.0759,0.0249,0.000137,0.117,0.411,93.998,audio_features,6UJUkIobRl4M2EIxOLZVti,spotify:track:6UJUkIobRl4M2EIxOLZVti,https://api.spotify.com/v1/tracks/6UJUkIobRl4M2EIxOLZVti,https://api.spotify.com/v1/audio-analysis/6UJUkIobRl4M2EIxOLZVti,253330,4,Laugh It Off,spotify:track:6UJUkIobRl4M2EIxOLZVti,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
8,0.824,0.551,8,-7.648,1,0.0506,0.0498,0.0,0.25,0.521,105.032,audio_features,2tLg9vwbX7MKVBONkEwiXn,spotify:track:2tLg9vwbX7MKVBONkEwiXn,https://api.spotify.com/v1/tracks/2tLg9vwbX7MKVBONkEwiXn,https://api.spotify.com/v1/audio-analysis/2tLg9vwbX7MKVBONkEwiXn,179518,4,Over Sensitive,spotify:track:2tLg9vwbX7MKVBONkEwiXn,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
9,0.579,0.551,1,-8.788,1,0.107,0.239,0.0,0.1,0.37,167.941,audio_features,0BT8zypCPuKUD7Fj3u9prV,spotify:track:0BT8zypCPuKUD7Fj3u9prV,https://api.spotify.com/v1/tracks/0BT8zypCPuKUD7Fj3u9prV,https://api.spotify.com/v1/audio-analysis/0BT8zypCPuKUD7Fj3u9prV,182168,4,High Beam,spotify:track:0BT8zypCPuKUD7Fj3u9prV,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
10,0.735,0.553,2,-8.414,1,0.0498,0.0579,2.71e-06,0.105,0.564,120.037,audio_features,0sUoC2419y4QU6X8xwiTCs,spotify:track:0sUoC2419y4QU6X8xwiTCs,https://api.spotify.com/v1/tracks/0sUoC2419y4QU6X8xwiTCs,https://api.spotify.com/v1/audio-analysis/0sUoC2419y4QU6X8xwiTCs,198462,4,Speedboat,spotify:track:0sUoC2419y4QU6X8xwiTCs,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
11,0.45,0.741,2,-4.947,1,0.0575,0.207,0.000143,0.441,0.573,169.785,audio_features,5LoprmhnMQUx2zADuFEfHy,spotify:track:5LoprmhnMQUx2zADuFEfHy,https://api.spotify.com/v1/tracks/5LoprmhnMQUx2zADuFEfHy,https://api.spotify.com/v1/audio-analysis/5LoprmhnMQUx2zADuFEfHy,154090,4,Shark Attack,spotify:track:5LoprmhnMQUx2zADuFEfHy,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
12,0.796,0.515,6,-7.397,0,0.0802,0.228,3.82e-06,0.071,0.355,142.005,audio_features,76p3EH8yeY8j69Ip1ma47b,spotify:track:76p3EH8yeY8j69Ip1ma47b,https://api.spotify.com/v1/tracks/76p3EH8yeY8j69Ip1ma47b,https://api.spotify.com/v1/audio-analysis/76p3EH8yeY8j69Ip1ma47b,192624,4,Superfan,spotify:track:76p3EH8yeY8j69Ip1ma47b,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
13,0.672,0.647,1,-6.264,1,0.0314,0.0533,0.0932,0.122,0.237,99.994,audio_features,50pEs4BEQlgoZo6rKHNtEA,spotify:track:50pEs4BEQlgoZo6rKHNtEA,https://api.spotify.com/v1/tracks/50pEs4BEQlgoZo6rKHNtEA,https://api.spotify.com/v1/audio-analysis/50pEs4BEQlgoZo6rKHNtEA,241041,4,Lost (feat. Chelsea Jade),spotify:track:50pEs4BEQlgoZo6rKHNtEA,Chelsea Jade,5K0BVchFxmuKBw7DojGSQO
