,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.529,0.275,8,-15.807,1,0.266,0.59,0.878,0.392,0.635,174.158,audio_features,5lWKsVTr0P6wLG7tGaZLq9,spotify:track:5lWKsVTr0P6wLG7tGaZLq9,https://api.spotify.com/v1/tracks/5lWKsVTr0P6wLG7tGaZLq9,https://api.spotify.com/v1/audio-analysis/5lWKsVTr0P6wLG7tGaZLq9,79720,4,Intro,spotify:track:5lWKsVTr0P6wLG7tGaZLq9,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
1,0.781,0.677,11,-5.325,1,0.249,0.0288,0.0,0.277,0.688,89.974,audio_features,29AZvDjw8RGS1zwZEgayHO,spotify:track:29AZvDjw8RGS1zwZEgayHO,https://api.spotify.com/v1/tracks/29AZvDjw8RGS1zwZEgayHO,https://api.spotify.com/v1/audio-analysis/29AZvDjw8RGS1zwZEgayHO,178200,4,Breakfast,spotify:track:29AZvDjw8RGS1zwZEgayHO,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
2,0.646,0.878,2,-4.34,1,0.0545,0.00418,0.0,0.343,0.668,152.022,audio_features,1AZtgoxW5j0yPGJ3yW2AaR,spotify:track:1AZtgoxW5j0yPGJ3yW2AaR,https://api.spotify.com/v1/tracks/1AZtgoxW5j0yPGJ3yW2AaR,https://api.spotify.com/v1/audio-analysis/1AZtgoxW5j0yPGJ3yW2AaR,168267,4,Handclaps & Guitars,spotify:track:1AZtgoxW5j0yPGJ3yW2AaR,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
3,0.687,0.847,2,-4.153,1,0.225,0.00373,0.0,0.163,0.667,92.947,audio_features,65dUryfFLzvqQgXLntnQF8,spotify:track:65dUryfFLzvqQgXLntnQF8,https://api.spotify.com/v1/tracks/65dUryfFLzvqQgXLntnQF8,https://api.spotify.com/v1/audio-analysis/65dUryfFLzvqQgXLntnQF8,195907,4,Mind Your Manners (feat. Icona Pop),spotify:track:65dUryfFLzvqQgXLntnQF8,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
4,0.714,0.881,1,-4.27,1,0.144,0.169,0.0,0.0559,0.827,94.982,audio_features,2RmNKhu48t5dW1IRnhqLgP,spotify:track:2RmNKhu48t5dW1IRnhqLgP,https://api.spotify.com/v1/tracks/2RmNKhu48t5dW1IRnhqLgP,https://api.spotify.com/v1/audio-analysis/2RmNKhu48t5dW1IRnhqLgP,223027,4,Ray Charles,spotify:track:2RmNKhu48t5dW1IRnhqLgP,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
5,0.739,0.82,10,-7.436,0,0.251,0.325,0.0,0.104,0.397,87.919,audio_features,5zVdgloDZIr4vRRZAaxnIG,spotify:track:5zVdgloDZIr4vRRZAaxnIG,https://api.spotify.com/v1/tracks/5zVdgloDZIr4vRRZAaxnIG,https://api.spotify.com/v1/audio-analysis/5zVdgloDZIr4vRRZAaxnIG,221373,4,Does She Love Me?,spotify:track:5zVdgloDZIr4vRRZAaxnIG,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
6,0.421,0.802,1,-8.055,0,0.413,0.0108,0.0,0.0893,0.281,88.224,audio_features,5Vz1uLIFIeg1cRnipIuBow,spotify:track:5Vz1uLIFIeg1cRnipIuBow,https://api.spotify.com/v1/tracks/5Vz1uLIFIeg1cRnipIuBow,https://api.spotify.com/v1/audio-analysis/5Vz1uLIFIeg1cRnipIuBow,242733,4,Run It Back (feat. Shirazi),spotify:track:5Vz1uLIFIeg1cRnipIuBow,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
7,0.621,0.822,7,-7.223,1,0.661,0.068,0.0,0.23,0.489,87.734,audio_features,3TY9CRolTgJY2eO7mJg2xr,spotify:track:3TY9CRolTgJY2eO7mJg2xr,https://api.spotify.com/v1/tracks/3TY9CRolTgJY2eO7mJg2xr,https://api.spotify.com/v1/audio-analysis/3TY9CRolTgJY2eO7mJg2xr,192413,4,Out 2 Space (feat. Gordon Voidwell),spotify:track:3TY9CRolTgJY2eO7mJg2xr,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
8,0.59,0.657,10,-6.558,0,0.252,0.00198,2.77e-06,0.118,0.503,99.953,audio_features,1v2T8uHv6pAaKNHEBghMVN,spotify:track:1v2T8uHv6pAaKNHEBghMVN,https://api.spotify.com/v1/tracks/1v2T8uHv6pAaKNHEBghMVN,https://api.spotify.com/v1/audio-analysis/1v2T8uHv6pAaKNHEBghMVN,183760,4,Whatever We Want,spotify:track:1v2T8uHv6pAaKNHEBghMVN,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
9,0.368,0.179,0,-15.914,1,0.0441,0.995,0.93,0.109,0.103,57.511,audio_features,3EVIxULwaaGbL8WJDIjhlF,spotify:track:3EVIxULwaaGbL8WJDIjhlF,https://api.spotify.com/v1/tracks/3EVIxULwaaGbL8WJDIjhlF,https://api.spotify.com/v1/audio-analysis/3EVIxULwaaGbL8WJDIjhlF,43427,5,Interlude,spotify:track:3EVIxULwaaGbL8WJDIjhlF,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
10,0.805,0.768,5,-4.888,1,0.302,0.513,0.0,0.0726,0.447,86.01,audio_features,5qyDeuAAzyiDDhJm60nf8o,spotify:track:5qyDeuAAzyiDDhJm60nf8o,https://api.spotify.com/v1/tracks/5qyDeuAAzyiDDhJm60nf8o,https://api.spotify.com/v1/audio-analysis/5qyDeuAAzyiDDhJm60nf8o,251640,4,Talking to Myself,spotify:track:5qyDeuAAzyiDDhJm60nf8o,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
11,0.615,0.84,0,-4.933,1,0.117,0.0053,0.0,0.512,0.823,90.993,audio_features,7gx26v9l7rSYkda05SG58E,spotify:track:7gx26v9l7rSYkda05SG58E,https://api.spotify.com/v1/tracks/7gx26v9l7rSYkda05SG58E,https://api.spotify.com/v1/audio-analysis/7gx26v9l7rSYkda05SG58E,195493,4,Happening,spotify:track:7gx26v9l7rSYkda05SG58E,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
12,0.6,0.575,0,-6.658,1,0.306,0.00845,0.0,0.0441,0.704,165.985,audio_features,6YW0Pk0zQxIBKFsFpkaWh3,spotify:track:6YW0Pk0zQxIBKFsFpkaWh3,https://api.spotify.com/v1/tracks/6YW0Pk0zQxIBKFsFpkaWh3,https://api.spotify.com/v1/audio-analysis/6YW0Pk0zQxIBKFsFpkaWh3,222093,4,Baby Roulette,spotify:track:6YW0Pk0zQxIBKFsFpkaWh3,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
13,0.617,0.9,1,-5.751,1,0.316,0.085,0.0,0.35,0.496,87.797,audio_features,108q1TujRllwCfGpqXsJnW,spotify:track:108q1TujRllwCfGpqXsJnW,https://api.spotify.com/v1/tracks/108q1TujRllwCfGpqXsJnW,https://api.spotify.com/v1/audio-analysis/108q1TujRllwCfGpqXsJnW,199907,4,4th Quarter,spotify:track:108q1TujRllwCfGpqXsJnW,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
14,0.756,0.766,11,-7.448,0,0.112,0.0444,0.0,0.132,0.615,94.999,audio_features,4fmzMxr135mcvD6AGIs1mO,spotify:track:4fmzMxr135mcvD6AGIs1mO,https://api.spotify.com/v1/tracks/4fmzMxr135mcvD6AGIs1mO,https://api.spotify.com/v1/audio-analysis/4fmzMxr135mcvD6AGIs1mO,176947,4,The Good Life,spotify:track:4fmzMxr135mcvD6AGIs1mO,Chiddy Bang,40giwFcTQtv9ezxW8yqxJU
