,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.334,0.44,0,-9.857,1,0.0477,0.749,0.000607,0.236,0.371,81.002,audio_features,4BNqWebyipWrMsupuTmKO9,spotify:track:4BNqWebyipWrMsupuTmKO9,https://api.spotify.com/v1/tracks/4BNqWebyipWrMsupuTmKO9,https://api.spotify.com/v1/audio-analysis/4BNqWebyipWrMsupuTmKO9,215190,4,Drift,spotify:track:4BNqWebyipWrMsupuTmKO9,Choker,5XQRfs0gXs30aWUn1Umves
1,0.415,0.401,7,-10.066,1,0.0621,0.556,1.79e-05,0.362,0.172,102.923,audio_features,3SHfLFtsLu4qjYymz4iYMP,spotify:track:3SHfLFtsLu4qjYymz4iYMP,https://api.spotify.com/v1/tracks/3SHfLFtsLu4qjYymz4iYMP,https://api.spotify.com/v1/audio-analysis/3SHfLFtsLu4qjYymz4iYMP,243692,3,Starfruit LA,spotify:track:3SHfLFtsLu4qjYymz4iYMP,Choker,5XQRfs0gXs30aWUn1Umves
2,0.494,0.888,10,-5.659,0,0.302,0.28,0.0136,0.602,0.155,124.928,audio_features,1LXtIkrfk4goR5TEYN60b9,spotify:track:1LXtIkrfk4goR5TEYN60b9,https://api.spotify.com/v1/tracks/1LXtIkrfk4goR5TEYN60b9,https://api.spotify.com/v1/audio-analysis/1LXtIkrfk4goR5TEYN60b9,185524,4,Starfruit NYC,spotify:track:1LXtIkrfk4goR5TEYN60b9,Choker,5XQRfs0gXs30aWUn1Umves
3,0.163,0.322,11,-22.476,0,0.0443,0.832,0.811,0.111,0.561,129.82,audio_features,2ar7qizACo9QeyaoYMY0zO,spotify:track:2ar7qizACo9QeyaoYMY0zO,https://api.spotify.com/v1/tracks/2ar7qizACo9QeyaoYMY0zO,https://api.spotify.com/v1/audio-analysis/2ar7qizACo9QeyaoYMY0zO,41680,3,Jet Stereo,spotify:track:2ar7qizACo9QeyaoYMY0zO,Choker,5XQRfs0gXs30aWUn1Umves
4,0.599,0.377,0,-9.105,0,0.033,0.859,0.0224,0.21,0.141,119.892,audio_features,1WKr4Sw2yGWUmQkxdvCivr,spotify:track:1WKr4Sw2yGWUmQkxdvCivr,https://api.spotify.com/v1/tracks/1WKr4Sw2yGWUmQkxdvCivr,https://api.spotify.com/v1/audio-analysis/1WKr4Sw2yGWUmQkxdvCivr,170224,4,Windbreaker,spotify:track:1WKr4Sw2yGWUmQkxdvCivr,Choker,5XQRfs0gXs30aWUn1Umves
5,0.566,0.389,1,-9.054,0,0.0367,0.723,0.000304,0.222,0.26,119.983,audio_features,2sjYlOS4LeF11IMBAB4kC8,spotify:track:2sjYlOS4LeF11IMBAB4kC8,https://api.spotify.com/v1/tracks/2sjYlOS4LeF11IMBAB4kC8,https://api.spotify.com/v1/audio-analysis/2sjYlOS4LeF11IMBAB4kC8,392441,4,Rocket,spotify:track:2sjYlOS4LeF11IMBAB4kC8,Choker,5XQRfs0gXs30aWUn1Umves
6,0.411,0.669,0,-8.562,1,0.0452,0.259,0.000578,0.354,0.161,108.286,audio_features,3C52kv4XHZ5EwgjuLyxxGe,spotify:track:3C52kv4XHZ5EwgjuLyxxGe,https://api.spotify.com/v1/tracks/3C52kv4XHZ5EwgjuLyxxGe,https://api.spotify.com/v1/audio-analysis/3C52kv4XHZ5EwgjuLyxxGe,231000,4,Suzuki Peaches,spotify:track:3C52kv4XHZ5EwgjuLyxxGe,Choker,5XQRfs0gXs30aWUn1Umves
7,0.603,0.561,1,-7.568,1,0.214,0.352,1.05e-06,0.117,0.627,86.097,audio_features,0MsRHAh0kBTI0PYtqPFaki,spotify:track:0MsRHAh0kBTI0PYtqPFaki,https://api.spotify.com/v1/tracks/0MsRHAh0kBTI0PYtqPFaki,https://api.spotify.com/v1/audio-analysis/0MsRHAh0kBTI0PYtqPFaki,155638,4,Fuji Unlimited,spotify:track:0MsRHAh0kBTI0PYtqPFaki,Choker,5XQRfs0gXs30aWUn1Umves
8,0.489,0.796,6,-6.985,0,0.307,0.199,3.46e-05,0.384,0.869,76.484,audio_features,7KHr3CkmmdUzhp75pAi1aF,spotify:track:7KHr3CkmmdUzhp75pAi1aF,https://api.spotify.com/v1/tracks/7KHr3CkmmdUzhp75pAi1aF,https://api.spotify.com/v1/audio-analysis/7KHr3CkmmdUzhp75pAi1aF,76862,4,Screw Wave,spotify:track:7KHr3CkmmdUzhp75pAi1aF,Choker,5XQRfs0gXs30aWUn1Umves
9,0.438,0.266,7,-12.863,1,0.0363,0.922,0.000298,0.148,0.116,120.075,audio_features,6OpU3cvY19M2hFxTbLKy5L,spotify:track:6OpU3cvY19M2hFxTbLKy5L,https://api.spotify.com/v1/tracks/6OpU3cvY19M2hFxTbLKy5L,https://api.spotify.com/v1/audio-analysis/6OpU3cvY19M2hFxTbLKy5L,231681,4,Juno,spotify:track:6OpU3cvY19M2hFxTbLKy5L,Choker,5XQRfs0gXs30aWUn1Umves
