,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.817,0.866,11,-4.63,1,0.0543,0.00199,0.177,0.126,0.702,128.009,audio_features,1QPb3sFVfZlcrSHp9skszO,spotify:track:1QPb3sFVfZlcrSHp9skszO,https://api.spotify.com/v1/tracks/1QPb3sFVfZlcrSHp9skszO,https://api.spotify.com/v1/audio-analysis/1QPb3sFVfZlcrSHp9skszO,288750,4,Bad Bitch,spotify:track:1QPb3sFVfZlcrSHp9skszO,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
1,0.828,0.934,11,-4.57,0,0.0475,0.0134,0.0786,0.116,0.782,126.013,audio_features,4ifpL4JeazlBGjvyzWgVzo,spotify:track:4ifpL4JeazlBGjvyzWgVzo,https://api.spotify.com/v1/tracks/4ifpL4JeazlBGjvyzWgVzo,https://api.spotify.com/v1/audio-analysis/4ifpL4JeazlBGjvyzWgVzo,260512,4,Stereotypes,spotify:track:4ifpL4JeazlBGjvyzWgVzo,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
2,0.684,0.864,4,-8.835,0,0.0469,0.103,0.712,0.333,0.362,124.984,audio_features,5lgRGuuvJEfH9YcWpGh41t,spotify:track:5lgRGuuvJEfH9YcWpGh41t,https://api.spotify.com/v1/tracks/5lgRGuuvJEfH9YcWpGh41t,https://api.spotify.com/v1/audio-analysis/5lgRGuuvJEfH9YcWpGh41t,355722,4,Memories Fade,spotify:track:5lgRGuuvJEfH9YcWpGh41t,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
3,0.795,0.981,6,-4.665,1,0.0517,0.00119,0.91,0.0519,0.666,128.0,audio_features,64vBCC1lpjEnF10CkDiDhv,spotify:track:64vBCC1lpjEnF10CkDiDhv,https://api.spotify.com/v1/tracks/64vBCC1lpjEnF10CkDiDhv,https://api.spotify.com/v1/audio-analysis/64vBCC1lpjEnF10CkDiDhv,196406,4,Every Morning,spotify:track:64vBCC1lpjEnF10CkDiDhv,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
4,0.903,0.936,8,-4.947,0,0.0863,0.00761,0.0289,0.0188,0.762,128.0,audio_features,62vKffYC5Bi2RtNMdyqyPu,spotify:track:62vKffYC5Bi2RtNMdyqyPu,https://api.spotify.com/v1/tracks/62vKffYC5Bi2RtNMdyqyPu,https://api.spotify.com/v1/audio-analysis/62vKffYC5Bi2RtNMdyqyPu,217734,4,Work,spotify:track:62vKffYC5Bi2RtNMdyqyPu,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
5,0.787,0.894,4,-6.349,1,0.0853,0.0205,0.007,0.109,0.8,123.995,audio_features,7psQL7z6HubctaHtmtQJcl,spotify:track:7psQL7z6HubctaHtmtQJcl,https://api.spotify.com/v1/tracks/7psQL7z6HubctaHtmtQJcl,https://api.spotify.com/v1/audio-analysis/7psQL7z6HubctaHtmtQJcl,294500,4,Here Kitty,spotify:track:7psQL7z6HubctaHtmtQJcl,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
6,0.853,0.748,1,-8.491,0,0.0869,0.0587,0.81,0.152,0.674,117.994,audio_features,3a7gHGyvQBp4KzllWyD91n,spotify:track:3a7gHGyvQBp4KzllWyD91n,https://api.spotify.com/v1/tracks/3a7gHGyvQBp4KzllWyD91n,https://api.spotify.com/v1/audio-analysis/3a7gHGyvQBp4KzllWyD91n,292881,4,I Don't Care,spotify:track:3a7gHGyvQBp4KzllWyD91n,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
7,0.98,0.906,11,-5.771,1,0.211,0.226,9.19e-05,0.72,0.852,125.008,audio_features,0BQPMXNHtCnKHbrzidjIpa,spotify:track:0BQPMXNHtCnKHbrzidjIpa,https://api.spotify.com/v1/tracks/0BQPMXNHtCnKHbrzidjIpa,https://api.spotify.com/v1/audio-analysis/0BQPMXNHtCnKHbrzidjIpa,221790,4,Nuttin Dat,spotify:track:0BQPMXNHtCnKHbrzidjIpa,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
8,0.818,0.88,11,-3.083,0,0.314,0.0484,1.8e-06,0.0557,0.923,88.046,audio_features,0UenWFdnE81DI4OLN7GAP1,spotify:track:0UenWFdnE81DI4OLN7GAP1,https://api.spotify.com/v1/tracks/0UenWFdnE81DI4OLN7GAP1,https://api.spotify.com/v1/audio-analysis/0UenWFdnE81DI4OLN7GAP1,186825,4,Take Me as I Am,spotify:track:0UenWFdnE81DI4OLN7GAP1,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
9,0.725,0.455,4,-10.579,0,0.275,0.302,0.664,0.366,0.288,170.03,audio_features,4NhmGFacxs7OhUJLgocgLf,spotify:track:4NhmGFacxs7OhUJLgocgLf,https://api.spotify.com/v1/tracks/4NhmGFacxs7OhUJLgocgLf,https://api.spotify.com/v1/audio-analysis/4NhmGFacxs7OhUJLgocgLf,143118,4,Doors of Perception - Interlude,spotify:track:4NhmGFacxs7OhUJLgocgLf,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj
