,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.803,0.912,6,-7.493,0,0.0395,0.000509,0.857,0.107,0.0364,127.001,audio_features,208ue7CjSH9oGfsgA5AN06,spotify:track:208ue7CjSH9oGfsgA5AN06,https://api.spotify.com/v1/tracks/208ue7CjSH9oGfsgA5AN06,https://api.spotify.com/v1/audio-analysis/208ue7CjSH9oGfsgA5AN06,434527,4,Wind,spotify:track:208ue7CjSH9oGfsgA5AN06,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
1,0.793,0.924,1,-8.755,1,0.0433,0.00174,0.856,0.108,0.0744,130.004,audio_features,2NCUaxAH85xYknFo8FyiAH,spotify:track:2NCUaxAH85xYknFo8FyiAH,https://api.spotify.com/v1/tracks/2NCUaxAH85xYknFo8FyiAH,https://api.spotify.com/v1/audio-analysis/2NCUaxAH85xYknFo8FyiAH,378231,4,Living In A Vacuum,spotify:track:2NCUaxAH85xYknFo8FyiAH,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
2,0.794,0.951,5,-8.355,1,0.0591,3.71e-05,0.832,0.075,0.0564,124.996,audio_features,437JUdbkbsjkcxiFHfh2rB,spotify:track:437JUdbkbsjkcxiFHfh2rB,https://api.spotify.com/v1/tracks/437JUdbkbsjkcxiFHfh2rB,https://api.spotify.com/v1/audio-analysis/437JUdbkbsjkcxiFHfh2rB,364800,4,Jungle Life,spotify:track:437JUdbkbsjkcxiFHfh2rB,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
3,0.773,0.699,11,-9.559,1,0.0715,0.00677,0.904,0.111,0.0354,128.018,audio_features,2fbCXnkqI6rXxOkEnkn24N,spotify:track:2fbCXnkqI6rXxOkEnkn24N,https://api.spotify.com/v1/tracks/2fbCXnkqI6rXxOkEnkn24N,https://api.spotify.com/v1/audio-analysis/2fbCXnkqI6rXxOkEnkn24N,444492,4,The Runner,spotify:track:2fbCXnkqI6rXxOkEnkn24N,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
4,0.799,0.868,11,-8.699,0,0.0429,0.000753,0.899,0.0901,0.0576,125.002,audio_features,2sFRnvSSVGzexTQ6iN2tjJ,spotify:track:2sFRnvSSVGzexTQ6iN2tjJ,https://api.spotify.com/v1/tracks/2sFRnvSSVGzexTQ6iN2tjJ,https://api.spotify.com/v1/audio-analysis/2sFRnvSSVGzexTQ6iN2tjJ,413666,4,Snake,spotify:track:2sFRnvSSVGzexTQ6iN2tjJ,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
5,0.802,0.809,10,-8.713,0,0.2,0.00714,0.888,0.109,0.0885,126.998,audio_features,1g00cZ8YLp75UjeZcfgW4q,spotify:track:1g00cZ8YLp75UjeZcfgW4q,https://api.spotify.com/v1/tracks/1g00cZ8YLp75UjeZcfgW4q,https://api.spotify.com/v1/audio-analysis/1g00cZ8YLp75UjeZcfgW4q,381260,4,System,spotify:track:1g00cZ8YLp75UjeZcfgW4q,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
6,0.68,0.811,4,-8.934,0,0.0293,0.000363,0.93,0.114,0.279,125.033,audio_features,4YEBRRGsRHxQMYUv6QeXIi,spotify:track:4YEBRRGsRHxQMYUv6QeXIi,https://api.spotify.com/v1/tracks/4YEBRRGsRHxQMYUv6QeXIi,https://api.spotify.com/v1/audio-analysis/4YEBRRGsRHxQMYUv6QeXIi,420480,4,Neon Jungle,spotify:track:4YEBRRGsRHxQMYUv6QeXIi,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
7,0.889,0.709,11,-8.115,0,0.147,0.000795,0.933,0.0745,0.275,126.018,audio_features,6wa6z3PArxpoNtdKNuf32s,spotify:track:6wa6z3PArxpoNtdKNuf32s,https://api.spotify.com/v1/tracks/6wa6z3PArxpoNtdKNuf32s,https://api.spotify.com/v1/audio-analysis/6wa6z3PArxpoNtdKNuf32s,434405,4,Drone Sector,spotify:track:6wa6z3PArxpoNtdKNuf32s,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
8,0.68,0.825,6,-8.53,1,0.0381,0.00199,0.855,0.111,0.205,128.013,audio_features,6JMljqvduyaTaMl6jXyXY1,spotify:track:6JMljqvduyaTaMl6jXyXY1,https://api.spotify.com/v1/tracks/6JMljqvduyaTaMl6jXyXY1,https://api.spotify.com/v1/audio-analysis/6JMljqvduyaTaMl6jXyXY1,353977,4,Endurance,spotify:track:6JMljqvduyaTaMl6jXyXY1,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
9,0.801,0.745,3,-10.168,0,0.0656,0.000218,0.902,0.105,0.354,127.99,audio_features,1M0mIU43JA8bXwytXCwZOK,spotify:track:1M0mIU43JA8bXwytXCwZOK,https://api.spotify.com/v1/tracks/1M0mIU43JA8bXwytXCwZOK,https://api.spotify.com/v1/audio-analysis/1M0mIU43JA8bXwytXCwZOK,352500,4,Jackin,spotify:track:1M0mIU43JA8bXwytXCwZOK,Christian Smith,0Z2EpubIhxnq4B6PV0I8n3
