,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.753,0.675,9,-8.505,1,0.245,0.559,0.00621,0.135,0.491,150.138,audio_features,58mwfsOQFW88CWo7mIBHS1,spotify:track:58mwfsOQFW88CWo7mIBHS1,https://api.spotify.com/v1/tracks/58mwfsOQFW88CWo7mIBHS1,https://api.spotify.com/v1/audio-analysis/58mwfsOQFW88CWo7mIBHS1,70078,4,Want me (OFFICIAL SONG),spotify:track:58mwfsOQFW88CWo7mIBHS1,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
1,0.615,0.537,2,-12.464,1,0.0363,0.151,5.17e-06,0.0965,0.547,140.042,audio_features,1MO09Dyi9y2KLVAoLrtfHn,spotify:track:1MO09Dyi9y2KLVAoLrtfHn,https://api.spotify.com/v1/tracks/1MO09Dyi9y2KLVAoLrtfHn,https://api.spotify.com/v1/audio-analysis/1MO09Dyi9y2KLVAoLrtfHn,100055,4,WIT YO HOE,spotify:track:1MO09Dyi9y2KLVAoLrtfHn,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
2,0.615,0.481,6,-12.592,0,0.18,0.0257,0.0,0.176,0.107,134.942,audio_features,7Mtx13jQzE9Zr14rHO3kOW,spotify:track:7Mtx13jQzE9Zr14rHO3kOW,https://api.spotify.com/v1/tracks/7Mtx13jQzE9Zr14rHO3kOW,https://api.spotify.com/v1/audio-analysis/7Mtx13jQzE9Zr14rHO3kOW,154366,4,TEC,spotify:track:7Mtx13jQzE9Zr14rHO3kOW,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
3,0.512,0.609,2,-12.277,1,0.073,0.00395,0.00137,0.369,0.196,149.959,audio_features,0H2hOoNRWV5mnaZ6Bhy1Uz,spotify:track:0H2hOoNRWV5mnaZ6Bhy1Uz,https://api.spotify.com/v1/tracks/0H2hOoNRWV5mnaZ6Bhy1Uz,https://api.spotify.com/v1/audio-analysis/0H2hOoNRWV5mnaZ6Bhy1Uz,147911,4,#KC,spotify:track:0H2hOoNRWV5mnaZ6Bhy1Uz,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
4,0.801,0.34,1,-10.307,1,0.648,0.014,0.0,0.122,0.45,138.102,audio_features,5WRmMNj0rUVQvA4I1qZFr0,spotify:track:5WRmMNj0rUVQvA4I1qZFr0,https://api.spotify.com/v1/tracks/5WRmMNj0rUVQvA4I1qZFr0,https://api.spotify.com/v1/audio-analysis/5WRmMNj0rUVQvA4I1qZFr0,130055,4,Sugar,spotify:track:5WRmMNj0rUVQvA4I1qZFr0,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
5,0.42,0.364,1,-13.138,1,0.103,0.056,0.0,0.126,0.0702,104.242,audio_features,0Te9AYAaoDGnrxSVGKwd5S,spotify:track:0Te9AYAaoDGnrxSVGKwd5S,https://api.spotify.com/v1/tracks/0Te9AYAaoDGnrxSVGKwd5S,https://api.spotify.com/v1/audio-analysis/0Te9AYAaoDGnrxSVGKwd5S,193980,4,Tecccc!!!! - Slowed+Reverb,spotify:track:0Te9AYAaoDGnrxSVGKwd5S,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
6,0.602,0.699,8,-9.625,1,0.0519,0.587,0.000304,0.205,0.0599,126.161,audio_features,6R4cNiQjo2XVcAEq6KDcZ1,spotify:track:6R4cNiQjo2XVcAEq6KDcZ1,https://api.spotify.com/v1/tracks/6R4cNiQjo2XVcAEq6KDcZ1,https://api.spotify.com/v1/audio-analysis/6R4cNiQjo2XVcAEq6KDcZ1,94366,4,Night C4P - Special Version Slowed,spotify:track:6R4cNiQjo2XVcAEq6KDcZ1,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
7,0.745,0.785,1,-9.435,0,0.346,0.00833,0.0,0.232,0.663,144.873,audio_features,5Xrb1uGHwr7dhdoG9Fzfsc,spotify:track:5Xrb1uGHwr7dhdoG9Fzfsc,https://api.spotify.com/v1/tracks/5Xrb1uGHwr7dhdoG9Fzfsc,https://api.spotify.com/v1/audio-analysis/5Xrb1uGHwr7dhdoG9Fzfsc,83847,4,Foolin Around',spotify:track:5Xrb1uGHwr7dhdoG9Fzfsc,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
8,0.743,0.527,9,-13.683,1,0.325,0.545,0.0453,0.132,0.619,150.019,audio_features,6u3POialPke7w1ZJYU13SY,spotify:track:6u3POialPke7w1ZJYU13SY,https://api.spotify.com/v1/tracks/6u3POialPke7w1ZJYU13SY,https://api.spotify.com/v1/audio-analysis/6u3POialPke7w1ZJYU13SY,69500,4,Want Me,spotify:track:6u3POialPke7w1ZJYU13SY,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
9,0.54,0.101,3,-23.842,0,0.252,0.818,0.00173,0.143,0.283,121.875,audio_features,2NhGiqxZLdNBebtQgqkl8D,spotify:track:2NhGiqxZLdNBebtQgqkl8D,https://api.spotify.com/v1/tracks/2NhGiqxZLdNBebtQgqkl8D,https://api.spotify.com/v1/audio-analysis/2NhGiqxZLdNBebtQgqkl8D,181419,5,Out On My Grind Part 7 Freestyle,spotify:track:2NhGiqxZLdNBebtQgqkl8D,Cl4pers,7J2iS8AJGjC7om2vgBXdDJ
