,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454,122.956,audio_features,72gv4zhNvRVdQA0eOenCal,spotify:track:72gv4zhNvRVdQA0eOenCal,https://api.spotify.com/v1/tracks/72gv4zhNvRVdQA0eOenCal,https://api.spotify.com/v1/audio-analysis/72gv4zhNvRVdQA0eOenCal,212733,4,Symphony (feat. Zara Larsson),spotify:track:72gv4zhNvRVdQA0eOenCal,Clean Bandit,6MDME20pz9RveH9rEXvrOM
1,0.755,0.74,0,-5.354,0,0.04,0.356,1.05e-05,0.0994,0.33,116.946,audio_features,5XWCc9wQes7X5uyYH9h5JR,spotify:track:5XWCc9wQes7X5uyYH9h5JR,https://api.spotify.com/v1/tracks/5XWCc9wQes7X5uyYH9h5JR,https://api.spotify.com/v1/audio-analysis/5XWCc9wQes7X5uyYH9h5JR,205440,4,Baby (feat. MARINA & Luis Fonsi),spotify:track:5XWCc9wQes7X5uyYH9h5JR,Clean Bandit,6MDME20pz9RveH9rEXvrOM
2,0.74,0.622,11,-4.608,0,0.0446,0.0357,4.85e-05,0.356,0.556,104.966,audio_features,3NuK5xMlSlB6K2Qp16zf3h,spotify:track:3NuK5xMlSlB6K2Qp16zf3h,https://api.spotify.com/v1/tracks/3NuK5xMlSlB6K2Qp16zf3h,https://api.spotify.com/v1/audio-analysis/3NuK5xMlSlB6K2Qp16zf3h,222707,4,Solo (feat. Demi Lovato),spotify:track:3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,6MDME20pz9RveH9rEXvrOM
3,0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002,audio_features,2hrUO4drrO63i7FYbCLBl2,spotify:track:2hrUO4drrO63i7FYbCLBl2,https://api.spotify.com/v1/tracks/2hrUO4drrO63i7FYbCLBl2,https://api.spotify.com/v1/audio-analysis/2hrUO4drrO63i7FYbCLBl2,251173,4,Rockabye (feat. Sean Paul & Anne-Marie),spotify:track:2hrUO4drrO63i7FYbCLBl2,Clean Bandit,6MDME20pz9RveH9rEXvrOM
4,0.737,0.714,1,-6.138,0,0.0367,0.225,3.79e-06,0.267,0.608,102.046,audio_features,3WDIhWoRWVcaHdRwMEHkkS,spotify:track:3WDIhWoRWVcaHdRwMEHkkS,https://api.spotify.com/v1/tracks/3WDIhWoRWVcaHdRwMEHkkS,https://api.spotify.com/v1/audio-analysis/3WDIhWoRWVcaHdRwMEHkkS,189973,4,Mama (feat. Ellie Goulding),spotify:track:3WDIhWoRWVcaHdRwMEHkkS,Clean Bandit,6MDME20pz9RveH9rEXvrOM
5,0.638,0.729,5,-5.859,1,0.0405,0.144,3.86e-06,0.257,0.506,75.029,audio_features,1t3HCpt49x27PE1uuy06md,spotify:track:1t3HCpt49x27PE1uuy06md,https://api.spotify.com/v1/tracks/1t3HCpt49x27PE1uuy06md,https://api.spotify.com/v1/audio-analysis/1t3HCpt49x27PE1uuy06md,215080,4,Should've Known Better (feat. Anne-Marie),spotify:track:1t3HCpt49x27PE1uuy06md,Clean Bandit,6MDME20pz9RveH9rEXvrOM
6,0.736,0.71,5,-7.138,0,0.0429,0.0906,6.1e-05,0.216,0.334,105.005,audio_features,7DKSHIR389td3F1MrTOerW,spotify:track:7DKSHIR389td3F1MrTOerW,https://api.spotify.com/v1/tracks/7DKSHIR389td3F1MrTOerW,https://api.spotify.com/v1/audio-analysis/7DKSHIR389td3F1MrTOerW,234547,4,Out at Night (feat. KYLE & Big Boi),spotify:track:7DKSHIR389td3F1MrTOerW,Clean Bandit,6MDME20pz9RveH9rEXvrOM
7,0.607,0.588,10,-6.727,0,0.0858,0.00591,9.05e-06,0.219,0.396,158.016,audio_features,6Vly9VOZmMnHDDambtb32p,spotify:track:6Vly9VOZmMnHDDambtb32p,https://api.spotify.com/v1/tracks/6Vly9VOZmMnHDDambtb32p,https://api.spotify.com/v1/audio-analysis/6Vly9VOZmMnHDDambtb32p,199947,4,Last Goodbye (feat. Tove Styrke & Stefflon Don),spotify:track:6Vly9VOZmMnHDDambtb32p,Clean Bandit,6MDME20pz9RveH9rEXvrOM
8,0.773,0.568,0,-7.71,1,0.0493,0.267,0.0,0.112,0.467,99.975,audio_features,4w1Lnjryh7voWNEfNdj37G,spotify:track:4w1Lnjryh7voWNEfNdj37G,https://api.spotify.com/v1/tracks/4w1Lnjryh7voWNEfNdj37G,https://api.spotify.com/v1/audio-analysis/4w1Lnjryh7voWNEfNdj37G,209133,4,We Were Just Kids (feat. Craig David & Kirsten Joy),spotify:track:4w1Lnjryh7voWNEfNdj37G,Clean Bandit,6MDME20pz9RveH9rEXvrOM
9,0.793,0.624,11,-6.024,0,0.0344,0.0574,2.08e-06,0.208,0.755,100.024,audio_features,0zZE4gBv25outVrHKJgiry,spotify:track:0zZE4gBv25outVrHKJgiry,https://api.spotify.com/v1/tracks/0zZE4gBv25outVrHKJgiry,https://api.spotify.com/v1/audio-analysis/0zZE4gBv25outVrHKJgiry,226040,4,Nowhere (feat. Rita Ora & KYLE),spotify:track:0zZE4gBv25outVrHKJgiry,Clean Bandit,6MDME20pz9RveH9rEXvrOM
10,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.002,audio_features,0Ult84lvFuqNvbyXwyRQ58,spotify:track:0Ult84lvFuqNvbyXwyRQ58,https://api.spotify.com/v1/tracks/0Ult84lvFuqNvbyXwyRQ58,https://api.spotify.com/v1/audio-analysis/0Ult84lvFuqNvbyXwyRQ58,205987,4,I Miss You (feat. Julia Michaels),spotify:track:0Ult84lvFuqNvbyXwyRQ58,Clean Bandit,6MDME20pz9RveH9rEXvrOM
11,0.685,0.746,6,-6.964,1,0.0353,0.00833,0.000154,0.134,0.53,96.006,audio_features,2sXGKXPb0lZq7CXGoSg3U5,spotify:track:2sXGKXPb0lZq7CXGoSg3U5,https://api.spotify.com/v1/tracks/2sXGKXPb0lZq7CXGoSg3U5,https://api.spotify.com/v1/audio-analysis/2sXGKXPb0lZq7CXGoSg3U5,207787,4,In Us I Believe (feat. ALMA),spotify:track:2sXGKXPb0lZq7CXGoSg3U5,Clean Bandit,6MDME20pz9RveH9rEXvrOM
12,0.742,0.769,0,-5.975,1,0.0328,0.0266,0.0,0.317,0.504,92.022,audio_features,7iGYKBPel065LynLZBnaqg,spotify:track:7iGYKBPel065LynLZBnaqg,https://api.spotify.com/v1/tracks/7iGYKBPel065LynLZBnaqg,https://api.spotify.com/v1/audio-analysis/7iGYKBPel065LynLZBnaqg,182880,4,24 Hours (feat. Yasmin Green),spotify:track:7iGYKBPel065LynLZBnaqg,Clean Bandit,6MDME20pz9RveH9rEXvrOM
13,0.723,0.648,11,-6.522,0,0.0426,0.0551,3.61e-05,0.298,0.369,151.035,audio_features,3uYOVV9hpYLk6scE9xvAqt,spotify:track:3uYOVV9hpYLk6scE9xvAqt,https://api.spotify.com/v1/tracks/3uYOVV9hpYLk6scE9xvAqt,https://api.spotify.com/v1/audio-analysis/3uYOVV9hpYLk6scE9xvAqt,220067,4,Playboy Style (feat. Charli XCX & Bhad Bhabie),spotify:track:3uYOVV9hpYLk6scE9xvAqt,Clean Bandit,6MDME20pz9RveH9rEXvrOM
14,0.696,0.741,7,-6.12,0,0.0367,0.00328,8.81e-05,0.129,0.413,110.012,audio_features,3ZkxpOQ1fyA27Lt79y2UVG,spotify:track:3ZkxpOQ1fyA27Lt79y2UVG,https://api.spotify.com/v1/tracks/3ZkxpOQ1fyA27Lt79y2UVG,https://api.spotify.com/v1/audio-analysis/3ZkxpOQ1fyA27Lt79y2UVG,224293,4,Beautiful (feat. DaVido & Love Ssega),spotify:track:3ZkxpOQ1fyA27Lt79y2UVG,Clean Bandit,6MDME20pz9RveH9rEXvrOM
15,0.43,0.741,5,-4.355,0,0.0583,0.0441,0.0,0.117,0.297,130.833,audio_features,4cKyHIo4oIZTLW5MujF9nL,spotify:track:4cKyHIo4oIZTLW5MujF9nL,https://api.spotify.com/v1/tracks/4cKyHIo4oIZTLW5MujF9nL,https://api.spotify.com/v1/audio-analysis/4cKyHIo4oIZTLW5MujF9nL,228067,4,Tears (feat. Louisa Johnson),spotify:track:4cKyHIo4oIZTLW5MujF9nL,Clean Bandit,6MDME20pz9RveH9rEXvrOM
16,0.744,0.843,2,-5.723,1,0.166,0.0462,8.6e-06,0.117,0.725,125.005,audio_features,3Qgp5dLCvUQaZdFcrgvtOU,spotify:track:3Qgp5dLCvUQaZdFcrgvtOU,https://api.spotify.com/v1/tracks/3Qgp5dLCvUQaZdFcrgvtOU,https://api.spotify.com/v1/audio-analysis/3Qgp5dLCvUQaZdFcrgvtOU,230419,4,Mozart's House (feat. Love Ssega),spotify:track:3Qgp5dLCvUQaZdFcrgvtOU,Clean Bandit,6MDME20pz9RveH9rEXvrOM
17,0.715,0.825,0,-5.322,0,0.0348,0.171,5.56e-06,0.0871,0.124,126.962,audio_features,4VbcEfjx56eELhpouxHUiK,spotify:track:4VbcEfjx56eELhpouxHUiK,https://api.spotify.com/v1/tracks/4VbcEfjx56eELhpouxHUiK,https://api.spotify.com/v1/audio-analysis/4VbcEfjx56eELhpouxHUiK,256676,4,Extraordinary (feat. Sharna Bass),spotify:track:4VbcEfjx56eELhpouxHUiK,Clean Bandit,6MDME20pz9RveH9rEXvrOM
