,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.637,0.966,3,-4.758,1,0.0453,0.0108,0.0266,0.106,0.466,125.992,audio_features,20dvAeq2aKv8nVzAQtz9vs,spotify:track:20dvAeq2aKv8nVzAQtz9vs,https://api.spotify.com/v1/tracks/20dvAeq2aKv8nVzAQtz9vs,https://api.spotify.com/v1/audio-analysis/20dvAeq2aKv8nVzAQtz9vs,212382,4,In Your Hands,spotify:track:20dvAeq2aKv8nVzAQtz9vs,CloudNone,49vNfTzZU1nXv2xO34z5RY
1,0.653,0.836,7,-5.777,0,0.0389,0.0079,0.853,0.131,0.0828,127.009,audio_features,2TEd1ztVZ1pKWQiapU1vKw,spotify:track:2TEd1ztVZ1pKWQiapU1vKw,https://api.spotify.com/v1/tracks/2TEd1ztVZ1pKWQiapU1vKw,https://api.spotify.com/v1/audio-analysis/2TEd1ztVZ1pKWQiapU1vKw,258598,4,Pressure,spotify:track:2TEd1ztVZ1pKWQiapU1vKw,CloudNone,49vNfTzZU1nXv2xO34z5RY
2,0.675,0.915,9,-6.596,1,0.0698,0.000228,0.267,0.474,0.0765,128.009,audio_features,5IcMM3mKGPW7VPAFESZLgU,spotify:track:5IcMM3mKGPW7VPAFESZLgU,https://api.spotify.com/v1/tracks/5IcMM3mKGPW7VPAFESZLgU,https://api.spotify.com/v1/audio-analysis/5IcMM3mKGPW7VPAFESZLgU,221250,4,Control,spotify:track:5IcMM3mKGPW7VPAFESZLgU,CloudNone,49vNfTzZU1nXv2xO34z5RY
3,0.711,0.949,0,-5.231,1,0.0442,0.00152,0.284,0.0775,0.621,126.006,audio_features,0mzKHnDbqWUwkaRWgdXUty,spotify:track:0mzKHnDbqWUwkaRWgdXUty,https://api.spotify.com/v1/tracks/0mzKHnDbqWUwkaRWgdXUty,https://api.spotify.com/v1/audio-analysis/0mzKHnDbqWUwkaRWgdXUty,341003,4,In Your Hands - Extended Mix,spotify:track:0mzKHnDbqWUwkaRWgdXUty,CloudNone,49vNfTzZU1nXv2xO34z5RY
4,0.677,0.842,7,-5.455,0,0.0373,0.00924,0.841,0.0975,0.167,127.027,audio_features,3hG3fqkyAXJGs54Rhdshi7,spotify:track:3hG3fqkyAXJGs54Rhdshi7,https://api.spotify.com/v1/tracks/3hG3fqkyAXJGs54Rhdshi7,https://api.spotify.com/v1/audio-analysis/3hG3fqkyAXJGs54Rhdshi7,300402,4,Pressure - Extended Mix,spotify:track:3hG3fqkyAXJGs54Rhdshi7,CloudNone,49vNfTzZU1nXv2xO34z5RY
5,0.752,0.835,9,-7.397,1,0.0607,7.67e-05,0.735,0.0553,0.152,128.011,audio_features,5WfNJK9tBSd3CFj4NNXPam,spotify:track:5WfNJK9tBSd3CFj4NNXPam,https://api.spotify.com/v1/tracks/5WfNJK9tBSd3CFj4NNXPam,https://api.spotify.com/v1/audio-analysis/5WfNJK9tBSd3CFj4NNXPam,333490,4,Control - Extended Mix,spotify:track:5WfNJK9tBSd3CFj4NNXPam,CloudNone,49vNfTzZU1nXv2xO34z5RY
6,0.666,0.672,1,-7.787,0,0.0489,0.121,0.00123,0.0702,0.187,128.005,audio_features,2NJqA0VDpomRl1Wq2NPCS7,spotify:track:2NJqA0VDpomRl1Wq2NPCS7,https://api.spotify.com/v1/tracks/2NJqA0VDpomRl1Wq2NPCS7,https://api.spotify.com/v1/audio-analysis/2NJqA0VDpomRl1Wq2NPCS7,247500,4,Breaking Free - CloudNone Remix,spotify:track:2NJqA0VDpomRl1Wq2NPCS7,CloudNone,49vNfTzZU1nXv2xO34z5RY
7,0.603,0.67,4,-7.839,1,0.0521,0.665,0.0403,0.166,0.213,99.946,audio_features,1Aus6BxJnG9lDg364fe7Nd,spotify:track:1Aus6BxJnG9lDg364fe7Nd,https://api.spotify.com/v1/tracks/1Aus6BxJnG9lDg364fe7Nd,https://api.spotify.com/v1/audio-analysis/1Aus6BxJnG9lDg364fe7Nd,213600,4,Treading Water - CloudNone Remix,spotify:track:1Aus6BxJnG9lDg364fe7Nd,CloudNone,49vNfTzZU1nXv2xO34z5RY
8,0.583,0.561,11,-9.874,0,0.0453,0.273,0.734,0.292,0.228,123.941,audio_features,7eWxBa1mMG6wpDlWikG5ge,spotify:track:7eWxBa1mMG6wpDlWikG5ge,https://api.spotify.com/v1/tracks/7eWxBa1mMG6wpDlWikG5ge,https://api.spotify.com/v1/audio-analysis/7eWxBa1mMG6wpDlWikG5ge,296129,4,Brighton Nights,spotify:track:7eWxBa1mMG6wpDlWikG5ge,CloudNone,49vNfTzZU1nXv2xO34z5RY
9,0.407,0.572,7,-11.917,0,0.142,0.701,0.848,0.11,0.0963,130.181,audio_features,1d526iFslvNx71eF4XBQEp,spotify:track:1d526iFslvNx71eF4XBQEp,https://api.spotify.com/v1/tracks/1d526iFslvNx71eF4XBQEp,https://api.spotify.com/v1/audio-analysis/1d526iFslvNx71eF4XBQEp,249231,4,Wasted,spotify:track:1d526iFslvNx71eF4XBQEp,CloudNone,49vNfTzZU1nXv2xO34z5RY
