,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.578,0.671,4,-7.747,0,0.0269,0.00372,0.0,0.31,0.586,111.73,audio_features,5ayasjDFHlhyM423I7ayW1,spotify:track:5ayasjDFHlhyM423I7ayW1,https://api.spotify.com/v1/tracks/5ayasjDFHlhyM423I7ayW1,https://api.spotify.com/v1/audio-analysis/5ayasjDFHlhyM423I7ayW1,217293,4,Know Who You Are At Every Age - Remastered 2006,spotify:track:5ayasjDFHlhyM423I7ayW1,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
1,0.477,0.593,0,-7.139,1,0.0274,0.155,7.91e-05,0.385,0.456,103.99,audio_features,5alZ2rwdp3uOViMHjxWvMl,spotify:track:5alZ2rwdp3uOViMHjxWvMl,https://api.spotify.com/v1/tracks/5alZ2rwdp3uOViMHjxWvMl,https://api.spotify.com/v1/audio-analysis/5alZ2rwdp3uOViMHjxWvMl,268693,4,Evangeline - Remastered 2006,spotify:track:5alZ2rwdp3uOViMHjxWvMl,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
2,0.44,0.755,4,-5.866,1,0.0319,0.02,0.0,0.091,0.508,94.971,audio_features,15RwduPvIPBUeieiY5vQVj,spotify:track:15RwduPvIPBUeieiY5vQVj,https://api.spotify.com/v1/tracks/15RwduPvIPBUeieiY5vQVj,https://api.spotify.com/v1/audio-analysis/15RwduPvIPBUeieiY5vQVj,233773,4,Bluebeard - Remastered 2006,spotify:track:15RwduPvIPBUeieiY5vQVj,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
3,0.406,0.598,0,-8.328,0,0.03,0.595,0.0112,0.114,0.491,149.918,audio_features,5DqGlfBVM6AmwslZ1Reoai,spotify:track:5DqGlfBVM6AmwslZ1Reoai,https://api.spotify.com/v1/tracks/5DqGlfBVM6AmwslZ1Reoai,https://api.spotify.com/v1/audio-analysis/5DqGlfBVM6AmwslZ1Reoai,268933,3,"Theft, And Wandering Around Lost - Remastered 2006",spotify:track:5DqGlfBVM6AmwslZ1Reoai,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
4,0.706,0.443,5,-9.188,1,0.0305,0.0799,0.000629,0.106,0.389,119.956,audio_features,25xuwX199WRLAXK6p3WPSZ,spotify:track:25xuwX199WRLAXK6p3WPSZ,https://api.spotify.com/v1/tracks/25xuwX199WRLAXK6p3WPSZ,https://api.spotify.com/v1/audio-analysis/25xuwX199WRLAXK6p3WPSZ,277253,4,Oil Of Angels - Remastered 2006,spotify:track:25xuwX199WRLAXK6p3WPSZ,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
5,0.471,0.682,0,-7.105,1,0.0252,0.243,3.53e-06,0.237,0.599,94.943,audio_features,7FIBrEJJ2wDFxf4NPCcsvK,spotify:track:7FIBrEJJ2wDFxf4NPCcsvK,https://api.spotify.com/v1/tracks/7FIBrEJJ2wDFxf4NPCcsvK,https://api.spotify.com/v1/audio-analysis/7FIBrEJJ2wDFxf4NPCcsvK,226520,4,Squeeze-Wax - Remastered 2006,spotify:track:7FIBrEJJ2wDFxf4NPCcsvK,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
6,0.416,0.46,9,-10.112,1,0.0402,0.299,0.00686,0.101,0.58,174.879,audio_features,6vveY3cIEfkLFGfBnZDnwP,spotify:track:6vveY3cIEfkLFGfBnZDnwP,https://api.spotify.com/v1/tracks/6vveY3cIEfkLFGfBnZDnwP,https://api.spotify.com/v1/audio-analysis/6vveY3cIEfkLFGfBnZDnwP,271800,3,My Truth - Remastered 2006,spotify:track:6vveY3cIEfkLFGfBnZDnwP,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
7,0.0621,0.314,6,-11.793,0,0.035,0.438,0.778,0.315,0.0372,64.472,audio_features,7H4YGp89KCK0MHu1KIJPQe,spotify:track:7H4YGp89KCK0MHu1KIJPQe,https://api.spotify.com/v1/tracks/7H4YGp89KCK0MHu1KIJPQe,https://api.spotify.com/v1/audio-analysis/7H4YGp89KCK0MHu1KIJPQe,181053,4,Essence - Remastered 2006,spotify:track:7H4YGp89KCK0MHu1KIJPQe,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
8,0.437,0.7,7,-6.337,1,0.0285,0.0695,2.08e-05,0.242,0.557,95.002,audio_features,56NEvRJZMxL5d0ZkIXzV4D,spotify:track:56NEvRJZMxL5d0ZkIXzV4D,https://api.spotify.com/v1/tracks/56NEvRJZMxL5d0ZkIXzV4D,https://api.spotify.com/v1/audio-analysis/56NEvRJZMxL5d0ZkIXzV4D,217213,4,Summerhead - Remastered 2006,spotify:track:56NEvRJZMxL5d0ZkIXzV4D,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
9,0.29,0.592,0,-7.49,1,0.0327,0.035,0.000205,0.11,0.0715,155.76,audio_features,721MGE6dhsVO9DOlTppBCt,spotify:track:721MGE6dhsVO9DOlTppBCt,https://api.spotify.com/v1/tracks/721MGE6dhsVO9DOlTppBCt,https://api.spotify.com/v1/audio-analysis/721MGE6dhsVO9DOlTppBCt,300893,4,Pur - Remastered 2006,spotify:track:721MGE6dhsVO9DOlTppBCt,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
10,0.423,0.646,7,-8.451,1,0.0304,4.86e-05,0.0,0.346,0.679,134.067,audio_features,7z17xPj7N9xrSssR8rd4M6,spotify:track:7z17xPj7N9xrSssR8rd4M6,https://api.spotify.com/v1/tracks/7z17xPj7N9xrSssR8rd4M6,https://api.spotify.com/v1/audio-analysis/7z17xPj7N9xrSssR8rd4M6,225253,4,Violaine - Remastered 2006,spotify:track:7z17xPj7N9xrSssR8rd4M6,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp
