,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.648,0.883,0,-4.701,1,0.029,0.0603,2.56e-05,0.1,0.701,125.009,audio_features,4qOgUii3C6z4ICqp2jwuuC,spotify:track:4qOgUii3C6z4ICqp2jwuuC,https://api.spotify.com/v1/tracks/4qOgUii3C6z4ICqp2jwuuC,https://api.spotify.com/v1/audio-analysis/4qOgUii3C6z4ICqp2jwuuC,218493,4,All of It,spotify:track:4qOgUii3C6z4ICqp2jwuuC,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
1,0.555,0.896,0,-3.295,1,0.0388,0.00434,0.0,0.145,0.578,114.995,audio_features,0WyFpxYlBCgH1gMXd26OOr,spotify:track:0WyFpxYlBCgH1gMXd26OOr,https://api.spotify.com/v1/tracks/0WyFpxYlBCgH1gMXd26OOr,https://api.spotify.com/v1/audio-analysis/0WyFpxYlBCgH1gMXd26OOr,177067,4,Flatliner (feat. Dierks Bentley),spotify:track:0WyFpxYlBCgH1gMXd26OOr,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
2,0.531,0.746,11,-4.228,1,0.0329,0.0972,0.0,0.102,0.304,139.788,audio_features,38gZVjeaeR3gcnCzziAxBm,spotify:track:38gZVjeaeR3gcnCzziAxBm,https://api.spotify.com/v1/tracks/38gZVjeaeR3gcnCzziAxBm,https://api.spotify.com/v1/audio-analysis/38gZVjeaeR3gcnCzziAxBm,226307,4,Middle of a Memory,spotify:track:38gZVjeaeR3gcnCzziAxBm,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
3,0.457,0.819,9,-3.701,1,0.0379,0.0173,0.0,0.111,0.454,139.993,audio_features,4zlzeOLv2NNgTFb4XAYST5,spotify:track:4zlzeOLv2NNgTFb4XAYST5,https://api.spotify.com/v1/tracks/4zlzeOLv2NNgTFb4XAYST5,https://api.spotify.com/v1/audio-analysis/4zlzeOLv2NNgTFb4XAYST5,203747,4,Broke Down,spotify:track:4zlzeOLv2NNgTFb4XAYST5,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
4,0.531,0.603,6,-5.657,1,0.0251,0.0573,7.96e-06,0.152,0.103,105.0,audio_features,7ghyJKPpwmJWXHUTLs1O1O,spotify:track:7ghyJKPpwmJWXHUTLs1O1O,https://api.spotify.com/v1/tracks/7ghyJKPpwmJWXHUTLs1O1O,https://api.spotify.com/v1/audio-analysis/7ghyJKPpwmJWXHUTLs1O1O,248813,4,Home Game,spotify:track:7ghyJKPpwmJWXHUTLs1O1O,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
5,0.562,0.823,11,-4.732,1,0.0405,0.0328,1.63e-06,0.212,0.376,126.023,audio_features,2icdid0XHQHpN7VVS9NV6y,spotify:track:2icdid0XHQHpN7VVS9NV6y,https://api.spotify.com/v1/tracks/2icdid0XHQHpN7VVS9NV6y,https://api.spotify.com/v1/audio-analysis/2icdid0XHQHpN7VVS9NV6y,194293,4,Up,spotify:track:2icdid0XHQHpN7VVS9NV6y,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
6,0.477,0.909,5,-3.603,1,0.0626,0.0691,0.0,0.216,0.547,75.036,audio_features,4OLsnLI47gYgCKry4ZenKy,spotify:track:4OLsnLI47gYgCKry4ZenKy,https://api.spotify.com/v1/tracks/4OLsnLI47gYgCKry4ZenKy,https://api.spotify.com/v1/audio-analysis/4OLsnLI47gYgCKry4ZenKy,226813,4,Party Wasn't Over,spotify:track:4OLsnLI47gYgCKry4ZenKy,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
7,0.336,0.758,5,-4.187,1,0.0451,0.00275,0.0,0.189,0.236,77.807,audio_features,54EWDYWhs4w6SODnxabuoh,spotify:track:54EWDYWhs4w6SODnxabuoh,https://api.spotify.com/v1/tracks/54EWDYWhs4w6SODnxabuoh,https://api.spotify.com/v1/audio-analysis/54EWDYWhs4w6SODnxabuoh,201867,4,Stay Downtown,spotify:track:54EWDYWhs4w6SODnxabuoh,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
8,0.489,0.641,7,-4.455,1,0.0282,0.0592,0.0,0.0857,0.303,136.095,audio_features,63thx7OANplv4I4BQsanHk,spotify:track:63thx7OANplv4I4BQsanHk,https://api.spotify.com/v1/tracks/63thx7OANplv4I4BQsanHk,https://api.spotify.com/v1/audio-analysis/63thx7OANplv4I4BQsanHk,190173,4,You Should Be Here,spotify:track:63thx7OANplv4I4BQsanHk,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
9,0.518,0.845,6,-5.12,1,0.0446,0.309,0.0,0.0925,0.265,140.049,audio_features,6v8r2ggvFuZeAkBWSK8Cfw,spotify:track:6v8r2ggvFuZeAkBWSK8Cfw,https://api.spotify.com/v1/tracks/6v8r2ggvFuZeAkBWSK8Cfw,https://api.spotify.com/v1/audio-analysis/6v8r2ggvFuZeAkBWSK8Cfw,199573,4,Stars,spotify:track:6v8r2ggvFuZeAkBWSK8Cfw,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
10,0.414,0.753,2,-4.263,1,0.0313,0.0252,0.0,0.309,0.449,153.698,audio_features,2O6BLVmD4xdHyKg4B1ZNeD,spotify:track:2O6BLVmD4xdHyKg4B1ZNeD,https://api.spotify.com/v1/tracks/2O6BLVmD4xdHyKg4B1ZNeD,https://api.spotify.com/v1/audio-analysis/2O6BLVmD4xdHyKg4B1ZNeD,207760,4,Making My Way to You,spotify:track:2O6BLVmD4xdHyKg4B1ZNeD,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
11,0.535,0.852,6,-3.875,1,0.0435,0.00847,0.0,0.342,0.729,114.055,audio_features,60YeBxW36L3j3pWo1t9AqO,spotify:track:60YeBxW36L3j3pWo1t9AqO,https://api.spotify.com/v1/tracks/60YeBxW36L3j3pWo1t9AqO,https://api.spotify.com/v1/audio-analysis/60YeBxW36L3j3pWo1t9AqO,226987,4,No Can Left Behind,spotify:track:60YeBxW36L3j3pWo1t9AqO,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW
