,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.541,0.235,0,-14.506,1,0.4,0.873,2.73e-05,0.0843,0.361,90.832,audio_features,13t1LEWWG0vibLOmtIVX2R,spotify:track:13t1LEWWG0vibLOmtIVX2R,https://api.spotify.com/v1/tracks/13t1LEWWG0vibLOmtIVX2R,https://api.spotify.com/v1/audio-analysis/13t1LEWWG0vibLOmtIVX2R,114493,3,I Think I'm In Love,spotify:track:13t1LEWWG0vibLOmtIVX2R,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
1,0.758,0.586,4,-6.058,0,0.136,0.616,0.000647,0.0982,0.517,124.983,audio_features,4KxvTXIxDllMRuC3vg13Is,spotify:track:4KxvTXIxDllMRuC3vg13Is,https://api.spotify.com/v1/tracks/4KxvTXIxDllMRuC3vg13Is,https://api.spotify.com/v1/audio-analysis/4KxvTXIxDllMRuC3vg13Is,178547,4,Switch Lanes,spotify:track:4KxvTXIxDllMRuC3vg13Is,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
2,0.81,0.41,11,-6.087,0,0.2,0.688,0.0,0.124,0.821,97.918,audio_features,7J7F98kmOqMNwCt72Xm0q1,spotify:track:7J7F98kmOqMNwCt72Xm0q1,https://api.spotify.com/v1/tracks/7J7F98kmOqMNwCt72Xm0q1,https://api.spotify.com/v1/audio-analysis/7J7F98kmOqMNwCt72Xm0q1,188987,4,Floatin',spotify:track:7J7F98kmOqMNwCt72Xm0q1,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
3,0.541,0.623,5,-7.694,1,0.319,0.816,0.00162,0.123,0.722,98.619,audio_features,5mDpfxdckslWk0rhcwQxoV,spotify:track:5mDpfxdckslWk0rhcwQxoV,https://api.spotify.com/v1/tracks/5mDpfxdckslWk0rhcwQxoV,https://api.spotify.com/v1/audio-analysis/5mDpfxdckslWk0rhcwQxoV,207107,4,Blessing,spotify:track:5mDpfxdckslWk0rhcwQxoV,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
4,0.707,0.517,5,-8.567,0,0.0503,0.74,0.0,0.108,0.659,135.956,audio_features,2HPtG5noEjo691VZw77hWx,spotify:track:2HPtG5noEjo691VZw77hWx,https://api.spotify.com/v1/tracks/2HPtG5noEjo691VZw77hWx,https://api.spotify.com/v1/audio-analysis/2HPtG5noEjo691VZw77hWx,231493,4,Halos,spotify:track:2HPtG5noEjo691VZw77hWx,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
5,0.913,0.27,5,-9.923,1,0.321,0.82,2.7e-06,0.0789,0.781,115.229,audio_features,4jzm5lW3gOltNxgXdcX6fZ,spotify:track:4jzm5lW3gOltNxgXdcX6fZ,https://api.spotify.com/v1/tracks/4jzm5lW3gOltNxgXdcX6fZ,https://api.spotify.com/v1/audio-analysis/4jzm5lW3gOltNxgXdcX6fZ,188960,3,Sabotage,spotify:track:4jzm5lW3gOltNxgXdcX6fZ,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
6,0.602,0.438,0,-7.576,0,0.217,0.343,0.000611,0.403,0.627,100.548,audio_features,4g6eRqWw2ztCPeO7YadyH9,spotify:track:4g6eRqWw2ztCPeO7YadyH9,https://api.spotify.com/v1/tracks/4g6eRqWw2ztCPeO7YadyH9,https://api.spotify.com/v1/audio-analysis/4g6eRqWw2ztCPeO7YadyH9,212853,1,Call You Up,spotify:track:4g6eRqWw2ztCPeO7YadyH9,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
7,0.867,0.561,0,-6.671,1,0.078,0.0436,3.8e-06,0.402,0.833,104.007,audio_features,6Z0VYYq9f7iDDRtPUiShrS,spotify:track:6Z0VYYq9f7iDDRtPUiShrS,https://api.spotify.com/v1/tracks/6Z0VYYq9f7iDDRtPUiShrS,https://api.spotify.com/v1/audio-analysis/6Z0VYYq9f7iDDRtPUiShrS,225760,4,Kind of Freak,spotify:track:6Z0VYYq9f7iDDRtPUiShrS,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
8,0.725,0.472,7,-6.883,1,0.11,0.45,0.00106,0.159,0.457,104.835,audio_features,6FwgXgeoZkzn5iUcppWK3a,spotify:track:6FwgXgeoZkzn5iUcppWK3a,https://api.spotify.com/v1/tracks/6FwgXgeoZkzn5iUcppWK3a,https://api.spotify.com/v1/audio-analysis/6FwgXgeoZkzn5iUcppWK3a,151733,4,Who Knows,spotify:track:6FwgXgeoZkzn5iUcppWK3a,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
9,0.772,0.503,7,-8.945,0,0.293,0.367,0.0,0.159,0.679,117.173,audio_features,3x8a9GlfXoqTTTVApubRJb,spotify:track:3x8a9GlfXoqTTTVApubRJb,https://api.spotify.com/v1/tracks/3x8a9GlfXoqTTTVApubRJb,https://api.spotify.com/v1/audio-analysis/3x8a9GlfXoqTTTVApubRJb,191000,4,Ting On The Side,spotify:track:3x8a9GlfXoqTTTVApubRJb,Cool Company,6lOCVUQbb9wzuZQbZQV9zn
