,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.559,0.749,7,-6.859,1,0.0303,0.00426,5.23e-05,0.0906,0.549,97.02,audio_features,64Kl9EKfbWlUsKK2rGQC3x,spotify:track:64Kl9EKfbWlUsKK2rGQC3x,https://api.spotify.com/v1/tracks/64Kl9EKfbWlUsKK2rGQC3x,https://api.spotify.com/v1/audio-analysis/64Kl9EKfbWlUsKK2rGQC3x,271207,4,Rae Street,spotify:track:64Kl9EKfbWlUsKK2rGQC3x,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
1,0.5,0.729,7,-7.571,1,0.0409,0.0287,0.0763,0.17,0.909,198.305,audio_features,0KVCts6qjIjMyWNg1PAXoZ,spotify:track:0KVCts6qjIjMyWNg1PAXoZ,https://api.spotify.com/v1/tracks/0KVCts6qjIjMyWNg1PAXoZ,https://api.spotify.com/v1/audio-analysis/0KVCts6qjIjMyWNg1PAXoZ,165313,4,Sunfair Sundown,spotify:track:0KVCts6qjIjMyWNg1PAXoZ,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
2,0.649,0.571,7,-8.574,1,0.0262,0.141,0.245,0.104,0.66,123.978,audio_features,1tfwBPbGmVBJQdWOSSG4DJ,spotify:track:1tfwBPbGmVBJQdWOSSG4DJ,https://api.spotify.com/v1/tracks/1tfwBPbGmVBJQdWOSSG4DJ,https://api.spotify.com/v1/audio-analysis/1tfwBPbGmVBJQdWOSSG4DJ,267754,4,Here's the Thing,spotify:track:1tfwBPbGmVBJQdWOSSG4DJ,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
3,0.669,0.705,7,-10.04,1,0.0315,0.149,0.736,0.108,0.265,141.984,audio_features,1i5u9dKeRTiPYPbBX8L8BR,spotify:track:1i5u9dKeRTiPYPbBX8L8BR,https://api.spotify.com/v1/tracks/1i5u9dKeRTiPYPbBX8L8BR,https://api.spotify.com/v1/audio-analysis/1i5u9dKeRTiPYPbBX8L8BR,225633,4,Before You Gotta Go,spotify:track:1i5u9dKeRTiPYPbBX8L8BR,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
4,0.74,0.453,9,-9.541,0,0.0345,5.59e-05,0.624,0.113,0.513,136.02,audio_features,0Q0Sp6AEqSFzSAJ1YsEBDw,spotify:track:0Q0Sp6AEqSFzSAJ1YsEBDw,https://api.spotify.com/v1/tracks/0Q0Sp6AEqSFzSAJ1YsEBDw,https://api.spotify.com/v1/audio-analysis/0Q0Sp6AEqSFzSAJ1YsEBDw,258929,4,Turning Green,spotify:track:0Q0Sp6AEqSFzSAJ1YsEBDw,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
5,0.844,0.711,2,-8.055,1,0.0379,0.145,1.64e-05,0.367,0.969,126.102,audio_features,600End4r0mPq55HVdwhOpL,spotify:track:600End4r0mPq55HVdwhOpL,https://api.spotify.com/v1/tracks/600End4r0mPq55HVdwhOpL,https://api.spotify.com/v1/audio-analysis/600End4r0mPq55HVdwhOpL,110671,4,Take It Day by Day,spotify:track:600End4r0mPq55HVdwhOpL,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
6,0.688,0.668,7,-7.285,1,0.0413,0.0417,0.000714,0.36,0.707,115.984,audio_features,5bmaGmNXxfqvDcQXePmzPS,spotify:track:5bmaGmNXxfqvDcQXePmzPS,https://api.spotify.com/v1/tracks/5bmaGmNXxfqvDcQXePmzPS,https://api.spotify.com/v1/audio-analysis/5bmaGmNXxfqvDcQXePmzPS,217858,4,If I Don't Hear from You Tonight,spotify:track:5bmaGmNXxfqvDcQXePmzPS,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
7,0.496,0.832,8,-6.609,1,0.0382,8.3e-05,0.000663,0.0917,0.681,151.947,audio_features,78DrOVN5pMN6HtuOBzgcqr,spotify:track:78DrOVN5pMN6HtuOBzgcqr,https://api.spotify.com/v1/tracks/78DrOVN5pMN6HtuOBzgcqr,https://api.spotify.com/v1/audio-analysis/78DrOVN5pMN6HtuOBzgcqr,168075,4,Write a List of Things to Look Forward To,spotify:track:78DrOVN5pMN6HtuOBzgcqr,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
8,0.608,0.302,4,-10.97,1,0.0295,0.832,0.0017,0.0889,0.593,182.595,audio_features,0zaQWMYpgIn8ccb04QOzBl,spotify:track:0zaQWMYpgIn8ccb04QOzBl,https://api.spotify.com/v1/tracks/0zaQWMYpgIn8ccb04QOzBl,https://api.spotify.com/v1/audio-analysis/0zaQWMYpgIn8ccb04QOzBl,134633,3,Splendour,spotify:track:0zaQWMYpgIn8ccb04QOzBl,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
9,0.468,0.356,7,-10.343,1,0.0342,0.605,3.36e-05,0.0758,0.723,145.105,audio_features,3WplLZUBxjFOz4EqAeOmaR,spotify:track:3WplLZUBxjFOz4EqAeOmaR,https://api.spotify.com/v1/tracks/3WplLZUBxjFOz4EqAeOmaR,https://api.spotify.com/v1/audio-analysis/3WplLZUBxjFOz4EqAeOmaR,223571,4,Oh the Night,spotify:track:3WplLZUBxjFOz4EqAeOmaR,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
10,0.523,0.612,0,-11.404,1,0.135,0.214,0.000185,0.536,0.392,119.576,audio_features,55qrDXzMvxncr570HP1yFp,spotify:track:55qrDXzMvxncr570HP1yFp,https://api.spotify.com/v1/tracks/55qrDXzMvxncr570HP1yFp,https://api.spotify.com/v1/audio-analysis/55qrDXzMvxncr570HP1yFp,395533,4,Depreston - MTV Unplugged (Live In Melbourne),spotify:track:55qrDXzMvxncr570HP1yFp,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
11,0.485,0.504,2,-10.289,1,0.0481,0.0637,0.000838,0.135,0.227,106.721,audio_features,7ljDdNREodVU8oYfQNj9yh,spotify:track:7ljDdNREodVU8oYfQNj9yh,https://api.spotify.com/v1/tracks/7ljDdNREodVU8oYfQNj9yh,https://api.spotify.com/v1/audio-analysis/7ljDdNREodVU8oYfQNj9yh,398173,4,Sunday Roast - MTV Unplugged (Live In Melbourne),spotify:track:7ljDdNREodVU8oYfQNj9yh,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
12,0.605,0.611,9,-9.954,1,0.0605,0.194,0.00335,0.177,0.396,97.628,audio_features,00hqZwcvKlfxjtLMmdp3ei,spotify:track:00hqZwcvKlfxjtLMmdp3ei,https://api.spotify.com/v1/tracks/00hqZwcvKlfxjtLMmdp3ei,https://api.spotify.com/v1/audio-analysis/00hqZwcvKlfxjtLMmdp3ei,352147,4,Charcoal Lane - MTV Unplugged (Live In Melbourne),spotify:track:00hqZwcvKlfxjtLMmdp3ei,Courtney Barnett,4OOlG5eBXSkSAAEeKjJb5Y
