,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.563,0.713,11,-5.961,0,0.0535,0.0105,0.0,0.16,0.175,119.935,audio_features,6PoR04VZAFYE4xY3MxLuq4,spotify:track:6PoR04VZAFYE4xY3MxLuq4,https://api.spotify.com/v1/tracks/6PoR04VZAFYE4xY3MxLuq4,https://api.spotify.com/v1/audio-analysis/6PoR04VZAFYE4xY3MxLuq4,211787,4,Flying On My Own,spotify:track:6PoR04VZAFYE4xY3MxLuq4,Céline Dion,4S9EykWXhStSc15wEx8QFK
1,0.641,0.553,1,-7.187,0,0.0542,0.0694,0.0,0.166,0.5,135.936,audio_features,0zjaKZG60TLWtuCSUcpmy9,spotify:track:0zjaKZG60TLWtuCSUcpmy9,https://api.spotify.com/v1/tracks/0zjaKZG60TLWtuCSUcpmy9,https://api.spotify.com/v1/audio-analysis/0zjaKZG60TLWtuCSUcpmy9,171080,4,Lovers Never Die,spotify:track:0zjaKZG60TLWtuCSUcpmy9,Céline Dion,4S9EykWXhStSc15wEx8QFK
2,0.657,0.142,11,-10.501,0,0.0359,0.797,0.0,0.117,0.369,88.877,audio_features,3X5LV4eUBqHFsXUg2PaxYU,spotify:track:3X5LV4eUBqHFsXUg2PaxYU,https://api.spotify.com/v1/tracks/3X5LV4eUBqHFsXUg2PaxYU,https://api.spotify.com/v1/audio-analysis/3X5LV4eUBqHFsXUg2PaxYU,231360,4,Falling In Love Again,spotify:track:3X5LV4eUBqHFsXUg2PaxYU,Céline Dion,4S9EykWXhStSc15wEx8QFK
3,0.448,0.495,3,-5.755,0,0.0285,0.339,0.0,0.208,0.158,75.003,audio_features,3RcmQ6DdLqwp38tFsWx0mj,spotify:track:3RcmQ6DdLqwp38tFsWx0mj,https://api.spotify.com/v1/tracks/3RcmQ6DdLqwp38tFsWx0mj,https://api.spotify.com/v1/audio-analysis/3RcmQ6DdLqwp38tFsWx0mj,238813,4,Lying Down,spotify:track:3RcmQ6DdLqwp38tFsWx0mj,Céline Dion,4S9EykWXhStSc15wEx8QFK
4,0.513,0.307,0,-8.029,1,0.0402,0.583,0.0,0.0812,0.218,120.472,audio_features,2mcO8vOAsblrnXUqjUmlWW,spotify:track:2mcO8vOAsblrnXUqjUmlWW,https://api.spotify.com/v1/tracks/2mcO8vOAsblrnXUqjUmlWW,https://api.spotify.com/v1/audio-analysis/2mcO8vOAsblrnXUqjUmlWW,254627,4,Courage,spotify:track:2mcO8vOAsblrnXUqjUmlWW,Céline Dion,4S9EykWXhStSc15wEx8QFK
5,0.703,0.497,10,-8.421,1,0.0523,0.275,0.0,0.0923,0.402,104.989,audio_features,2d6wvZdvJ0bGJ4Olfm1lsp,spotify:track:2d6wvZdvJ0bGJ4Olfm1lsp,https://api.spotify.com/v1/tracks/2d6wvZdvJ0bGJ4Olfm1lsp,https://api.spotify.com/v1/audio-analysis/2d6wvZdvJ0bGJ4Olfm1lsp,239107,4,Imperfections,spotify:track:2d6wvZdvJ0bGJ4Olfm1lsp,Céline Dion,4S9EykWXhStSc15wEx8QFK
6,0.629,0.585,9,-6.348,0,0.0604,0.144,0.000102,0.111,0.327,156.946,audio_features,6kU61vxWjXCb8hxJQm16j7,spotify:track:6kU61vxWjXCb8hxJQm16j7,https://api.spotify.com/v1/tracks/6kU61vxWjXCb8hxJQm16j7,https://api.spotify.com/v1/audio-analysis/6kU61vxWjXCb8hxJQm16j7,181907,4,Change My Mind,spotify:track:6kU61vxWjXCb8hxJQm16j7,Céline Dion,4S9EykWXhStSc15wEx8QFK
7,0.306,0.162,11,-12.671,0,0.0451,0.669,0.0,0.107,0.143,187.985,audio_features,2ngyOpuAkiHKwGokCDZK7b,spotify:track:2ngyOpuAkiHKwGokCDZK7b,https://api.spotify.com/v1/tracks/2ngyOpuAkiHKwGokCDZK7b,https://api.spotify.com/v1/audio-analysis/2ngyOpuAkiHKwGokCDZK7b,212400,4,Say Yes,spotify:track:2ngyOpuAkiHKwGokCDZK7b,Céline Dion,4S9EykWXhStSc15wEx8QFK
8,0.525,0.573,6,-7.726,0,0.35,0.236,0.0,0.105,0.649,78.756,audio_features,7dVNZOaE01cuKYtt6bwshE,spotify:track:7dVNZOaE01cuKYtt6bwshE,https://api.spotify.com/v1/tracks/7dVNZOaE01cuKYtt6bwshE,https://api.spotify.com/v1/audio-analysis/7dVNZOaE01cuKYtt6bwshE,192307,4,Nobody's Watching,spotify:track:7dVNZOaE01cuKYtt6bwshE,Céline Dion,4S9EykWXhStSc15wEx8QFK
9,0.584,0.495,7,-7.24,1,0.0457,0.298,0.0,0.106,0.292,90.052,audio_features,6wCNqhSkqWgnON5pAyWRMM,spotify:track:6wCNqhSkqWgnON5pAyWRMM,https://api.spotify.com/v1/tracks/6wCNqhSkqWgnON5pAyWRMM,https://api.spotify.com/v1/audio-analysis/6wCNqhSkqWgnON5pAyWRMM,229907,4,The Chase,spotify:track:6wCNqhSkqWgnON5pAyWRMM,Céline Dion,4S9EykWXhStSc15wEx8QFK
10,0.422,0.295,4,-10.338,1,0.0333,0.869,0.0,0.104,0.487,137.489,audio_features,5BWl9CnbPAUOi3N5TcgaXe,spotify:track:5BWl9CnbPAUOi3N5TcgaXe,https://api.spotify.com/v1/tracks/5BWl9CnbPAUOi3N5TcgaXe,https://api.spotify.com/v1/audio-analysis/5BWl9CnbPAUOi3N5TcgaXe,174053,4,For The Lover That I Lost,spotify:track:5BWl9CnbPAUOi3N5TcgaXe,Céline Dion,4S9EykWXhStSc15wEx8QFK
11,0.648,0.553,1,-6.495,1,0.0309,0.18,0.0,0.0917,0.485,89.947,audio_features,5x5TmxjilpvdOkdM2JgTeI,spotify:track:5x5TmxjilpvdOkdM2JgTeI,https://api.spotify.com/v1/tracks/5x5TmxjilpvdOkdM2JgTeI,https://api.spotify.com/v1/audio-analysis/5x5TmxjilpvdOkdM2JgTeI,214987,4,Baby,spotify:track:5x5TmxjilpvdOkdM2JgTeI,Céline Dion,4S9EykWXhStSc15wEx8QFK
12,0.637,0.38,7,-7.299,1,0.0466,0.668,0.0,0.11,0.287,75.991,audio_features,1lVy2cnMNUqcg3rC0sljXl,spotify:track:1lVy2cnMNUqcg3rC0sljXl,https://api.spotify.com/v1/tracks/1lVy2cnMNUqcg3rC0sljXl,https://api.spotify.com/v1/audio-analysis/1lVy2cnMNUqcg3rC0sljXl,207013,4,I Will Be Stronger,spotify:track:1lVy2cnMNUqcg3rC0sljXl,Céline Dion,4S9EykWXhStSc15wEx8QFK
13,0.619,0.559,7,-4.883,1,0.0339,0.197,0.0,0.121,0.304,97.031,audio_features,10EKspzFS9IGVjDEoA3ONl,spotify:track:10EKspzFS9IGVjDEoA3ONl,https://api.spotify.com/v1/tracks/10EKspzFS9IGVjDEoA3ONl,https://api.spotify.com/v1/audio-analysis/10EKspzFS9IGVjDEoA3ONl,261867,3,How Did You Get Here,spotify:track:10EKspzFS9IGVjDEoA3ONl,Céline Dion,4S9EykWXhStSc15wEx8QFK
14,0.663,0.547,10,-5.333,1,0.0819,0.0626,0.0,0.297,0.17,85.911,audio_features,0u8yYdOuMq7KyslQ4Chi5z,spotify:track:0u8yYdOuMq7KyslQ4Chi5z,https://api.spotify.com/v1/tracks/0u8yYdOuMq7KyslQ4Chi5z,https://api.spotify.com/v1/audio-analysis/0u8yYdOuMq7KyslQ4Chi5z,198227,4,Look at Us Now,spotify:track:0u8yYdOuMq7KyslQ4Chi5z,Céline Dion,4S9EykWXhStSc15wEx8QFK
