,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.271,0.416,11,-8.38,1,0.0354,0.673,0.862,0.105,0.0607,77.553,audio_features,5Gp3ojhmJvHPutZcGVR8JF,spotify:track:5Gp3ojhmJvHPutZcGVR8JF,https://api.spotify.com/v1/tracks/5Gp3ojhmJvHPutZcGVR8JF,https://api.spotify.com/v1/audio-analysis/5Gp3ojhmJvHPutZcGVR8JF,133474,5,Between Broken,spotify:track:5Gp3ojhmJvHPutZcGVR8JF,Dabin,7lZauDnRoAC3kmaYae2opv
1,0.609,0.639,11,-6.239,1,0.0297,0.0193,6.29e-06,0.0623,0.435,129.976,audio_features,6uWjyVRDBaTnYGleHuQ19Q,spotify:track:6uWjyVRDBaTnYGleHuQ19Q,https://api.spotify.com/v1/tracks/6uWjyVRDBaTnYGleHuQ19Q,https://api.spotify.com/v1/audio-analysis/6uWjyVRDBaTnYGleHuQ19Q,182988,4,When This Is Over,spotify:track:6uWjyVRDBaTnYGleHuQ19Q,Dabin,7lZauDnRoAC3kmaYae2opv
2,0.368,0.754,1,-5.185,1,0.0502,0.00928,0.0,0.256,0.281,169.881,audio_features,4q7jvS0znF9gBVk7WblXnm,spotify:track:4q7jvS0znF9gBVk7WblXnm,https://api.spotify.com/v1/tracks/4q7jvS0znF9gBVk7WblXnm,https://api.spotify.com/v1/audio-analysis/4q7jvS0znF9gBVk7WblXnm,258679,4,Drown,spotify:track:4q7jvS0znF9gBVk7WblXnm,Dabin,7lZauDnRoAC3kmaYae2opv
3,0.541,0.71,7,-4.867,1,0.0349,0.0465,3.6e-06,0.115,0.232,110.914,audio_features,1zTH51dGFgmP4CeNa3cFFr,spotify:track:1zTH51dGFgmP4CeNa3cFFr,https://api.spotify.com/v1/tracks/1zTH51dGFgmP4CeNa3cFFr,https://api.spotify.com/v1/audio-analysis/1zTH51dGFgmP4CeNa3cFFr,196739,4,Again,spotify:track:1zTH51dGFgmP4CeNa3cFFr,Dabin,7lZauDnRoAC3kmaYae2opv
4,0.458,0.67,10,-4.993,1,0.0397,0.025,3.78e-06,0.358,0.107,160.05,audio_features,5LuQvkBG365ue36BMujtSz,spotify:track:5LuQvkBG365ue36BMujtSz,https://api.spotify.com/v1/tracks/5LuQvkBG365ue36BMujtSz,https://api.spotify.com/v1/audio-analysis/5LuQvkBG365ue36BMujtSz,243028,4,Starbright,spotify:track:5LuQvkBG365ue36BMujtSz,Dabin,7lZauDnRoAC3kmaYae2opv
5,0.534,0.513,4,-8.84,1,0.0285,0.54,0.944,0.152,0.152,113.987,audio_features,55FGYIWApGvNbCJ6drGHUm,spotify:track:55FGYIWApGvNbCJ6drGHUm,https://api.spotify.com/v1/tracks/55FGYIWApGvNbCJ6drGHUm,https://api.spotify.com/v1/audio-analysis/55FGYIWApGvNbCJ6drGHUm,178412,3,Komorebi,spotify:track:55FGYIWApGvNbCJ6drGHUm,Dabin,7lZauDnRoAC3kmaYae2opv
6,0.394,0.736,2,-3.817,1,0.0499,0.0243,0.0,0.0617,0.426,139.869,audio_features,50BjPZRMhOrKePHDJKWnoo,spotify:track:50BjPZRMhOrKePHDJKWnoo,https://api.spotify.com/v1/tracks/50BjPZRMhOrKePHDJKWnoo,https://api.spotify.com/v1/audio-analysis/50BjPZRMhOrKePHDJKWnoo,196878,4,Smoke Signals,spotify:track:50BjPZRMhOrKePHDJKWnoo,Dabin,7lZauDnRoAC3kmaYae2opv
7,0.465,0.69,5,-5.171,1,0.0394,0.0515,9.04e-06,0.112,0.284,145.013,audio_features,2hLTRKz5pc8SPWa1dJ7yyi,spotify:track:2hLTRKz5pc8SPWa1dJ7yyi,https://api.spotify.com/v1/tracks/2hLTRKz5pc8SPWa1dJ7yyi,https://api.spotify.com/v1/audio-analysis/2hLTRKz5pc8SPWa1dJ7yyi,217347,4,Holding On,spotify:track:2hLTRKz5pc8SPWa1dJ7yyi,Dabin,7lZauDnRoAC3kmaYae2opv
8,0.639,0.826,0,-4.152,1,0.0345,0.000436,0.00342,0.166,0.425,125.068,audio_features,0jJd45oD8NW2SeIbzHhJDQ,spotify:track:0jJd45oD8NW2SeIbzHhJDQ,https://api.spotify.com/v1/tracks/0jJd45oD8NW2SeIbzHhJDQ,https://api.spotify.com/v1/audio-analysis/0jJd45oD8NW2SeIbzHhJDQ,188628,4,Forever,spotify:track:0jJd45oD8NW2SeIbzHhJDQ,Dabin,7lZauDnRoAC3kmaYae2opv
9,0.336,0.666,2,-4.828,1,0.0478,0.00507,0.0,0.265,0.179,79.834,audio_features,1LuG9m0p2OQ9dO97dYUzIM,spotify:track:1LuG9m0p2OQ9dO97dYUzIM,https://api.spotify.com/v1/tracks/1LuG9m0p2OQ9dO97dYUzIM,https://api.spotify.com/v1/audio-analysis/1LuG9m0p2OQ9dO97dYUzIM,220735,4,Ready,spotify:track:1LuG9m0p2OQ9dO97dYUzIM,Dabin,7lZauDnRoAC3kmaYae2opv
