,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.656,0.882,10,-4.996,0,0.038,0.561,0.0,0.605,0.591,96.005,audio_features,5zlkIzkX2TGfIVI9CFSV8W,spotify:track:5zlkIzkX2TGfIVI9CFSV8W,https://api.spotify.com/v1/tracks/5zlkIzkX2TGfIVI9CFSV8W,https://api.spotify.com/v1/audio-analysis/5zlkIzkX2TGfIVI9CFSV8W,189680,4,Con Calma - Live,spotify:track:5zlkIzkX2TGfIVI9CFSV8W,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
1,0.167,0.985,11,-16.887,1,0.376,0.632,0.413,0.965,0.0,93.871,audio_features,3UJ30CRXiWraY7oPrN2nuf,spotify:track:3UJ30CRXiWraY7oPrN2nuf,https://api.spotify.com/v1/tracks/3UJ30CRXiWraY7oPrN2nuf,https://api.spotify.com/v1/audio-analysis/3UJ30CRXiWraY7oPrN2nuf,16654,5,Interlude - Live,spotify:track:3UJ30CRXiWraY7oPrN2nuf,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
2,0.606,0.865,0,-5.036,1,0.0902,0.612,0.0,0.462,0.69,169.904,audio_features,1HtxUKTUkpIu1agRtI3HPQ,spotify:track:1HtxUKTUkpIu1agRtI3HPQ,https://api.spotify.com/v1/tracks/1HtxUKTUkpIu1agRtI3HPQ,https://api.spotify.com/v1/audio-analysis/1HtxUKTUkpIu1agRtI3HPQ,113181,4,No Quiere Enamorarse - Live,spotify:track:1HtxUKTUkpIu1agRtI3HPQ,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
3,0.659,0.873,11,-6.097,0,0.0579,0.642,0.0,0.902,0.552,100.136,audio_features,5vbxiFIDkyExoIOfjQeL0y,spotify:track:5vbxiFIDkyExoIOfjQeL0y,https://api.spotify.com/v1/tracks/5vbxiFIDkyExoIOfjQeL0y,https://api.spotify.com/v1/audio-analysis/5vbxiFIDkyExoIOfjQeL0y,101549,4,Baila Baila - Live,spotify:track:5vbxiFIDkyExoIOfjQeL0y,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
4,0.336,0.298,11,-15.34,0,0.0582,0.963,0.906,0.165,0.671,95.935,audio_features,0DIqGuCrW4CZQEy7LOWCp1,spotify:track:0DIqGuCrW4CZQEy7LOWCp1,https://api.spotify.com/v1/tracks/0DIqGuCrW4CZQEy7LOWCp1,https://api.spotify.com/v1/audio-analysis/0DIqGuCrW4CZQEy7LOWCp1,75750,4,Despacito Intro - Live,spotify:track:0DIqGuCrW4CZQEy7LOWCp1,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
5,0.594,0.94,2,-4.915,1,0.159,0.485,0.0,0.743,0.757,178.152,audio_features,5tApSum4PkO9m90FwNBBzq,spotify:track:5tApSum4PkO9m90FwNBBzq,https://api.spotify.com/v1/tracks/5tApSum4PkO9m90FwNBBzq,https://api.spotify.com/v1/audio-analysis/5tApSum4PkO9m90FwNBBzq,274058,4,Despacito - Live,spotify:track:5tApSum4PkO9m90FwNBBzq,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
6,0.546,0.853,11,-5.766,1,0.0539,0.355,0.0,0.643,0.478,169.786,audio_features,3FMon34mRowme3grqxv76C,spotify:track:3FMon34mRowme3grqxv76C,https://api.spotify.com/v1/tracks/3FMon34mRowme3grqxv76C,https://api.spotify.com/v1/audio-analysis/3FMon34mRowme3grqxv76C,127031,4,Sola - Live,spotify:track:3FMon34mRowme3grqxv76C,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
7,0.689,0.88,7,-5.033,1,0.0458,0.405,1e-06,0.461,0.576,100.975,audio_features,3dUyoIICmMfarCIdC7iDvf,spotify:track:3dUyoIICmMfarCIdC7iDvf,https://api.spotify.com/v1/tracks/3dUyoIICmMfarCIdC7iDvf,https://api.spotify.com/v1/audio-analysis/3dUyoIICmMfarCIdC7iDvf,185637,4,Adictiva - Live,spotify:track:3dUyoIICmMfarCIdC7iDvf,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
8,0.66,0.842,7,-5.602,1,0.0837,0.149,0.0,0.886,0.499,104.977,audio_features,3xNC2MhyfQZm7nrAAvf0MM,spotify:track:3xNC2MhyfQZm7nrAAvf0MM,https://api.spotify.com/v1/tracks/3xNC2MhyfQZm7nrAAvf0MM,https://api.spotify.com/v1/audio-analysis/3xNC2MhyfQZm7nrAAvf0MM,220435,4,China - Live,spotify:track:3xNC2MhyfQZm7nrAAvf0MM,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
9,0.899,0.618,2,-9.548,1,0.219,0.108,0.932,0.173,0.234,125.01,audio_features,16TblvU3b6Ligq07zrjICf,spotify:track:16TblvU3b6Ligq07zrjICf,https://api.spotify.com/v1/tracks/16TblvU3b6Ligq07zrjICf,https://api.spotify.com/v1/audio-analysis/16TblvU3b6Ligq07zrjICf,61694,4,Limbo Intro - Live,spotify:track:16TblvU3b6Ligq07zrjICf,Daddy Yankee,4VMYDCV2IEDYJArk749S6m
