,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.498,0.784,7,-4.894,1,0.0567,0.0244,4.89e-06,0.158,0.726,106.976,audio_features,6aq8MXPYNe4zysMFUM9r8m,spotify:track:6aq8MXPYNe4zysMFUM9r8m,https://api.spotify.com/v1/tracks/6aq8MXPYNe4zysMFUM9r8m,https://api.spotify.com/v1/audio-analysis/6aq8MXPYNe4zysMFUM9r8m,197600,4,Sun,spotify:track:6aq8MXPYNe4zysMFUM9r8m,Dameer,1rTEkzUiftHqoVMjSucIV6
1,0.577,0.906,11,-5.013,1,0.0415,0.0513,0.000211,0.245,0.877,140.011,audio_features,4wRWhaFMecs57B2ZfCSlvt,spotify:track:4wRWhaFMecs57B2ZfCSlvt,https://api.spotify.com/v1/tracks/4wRWhaFMecs57B2ZfCSlvt,https://api.spotify.com/v1/audio-analysis/4wRWhaFMecs57B2ZfCSlvt,157627,4,Believe,spotify:track:4wRWhaFMecs57B2ZfCSlvt,Dameer,1rTEkzUiftHqoVMjSucIV6
2,0.403,0.635,4,-6.697,1,0.0496,0.421,5.85e-06,0.26,0.387,180.115,audio_features,1KiYPHAWSmlLm4bZqYZB2C,spotify:track:1KiYPHAWSmlLm4bZqYZB2C,https://api.spotify.com/v1/tracks/1KiYPHAWSmlLm4bZqYZB2C,https://api.spotify.com/v1/audio-analysis/1KiYPHAWSmlLm4bZqYZB2C,144587,3,Amar Jaan,spotify:track:1KiYPHAWSmlLm4bZqYZB2C,Dameer,1rTEkzUiftHqoVMjSucIV6
3,0.224,0.459,7,-6.415,1,0.0345,0.414,0.0479,0.115,0.264,86.129,audio_features,63CZ7VXNnUbFIsVAhCQeDO,spotify:track:63CZ7VXNnUbFIsVAhCQeDO,https://api.spotify.com/v1/tracks/63CZ7VXNnUbFIsVAhCQeDO,https://api.spotify.com/v1/audio-analysis/63CZ7VXNnUbFIsVAhCQeDO,287747,4,Keep,spotify:track:63CZ7VXNnUbFIsVAhCQeDO,Dameer,1rTEkzUiftHqoVMjSucIV6
4,0.689,0.833,7,-4.175,1,0.0502,0.104,0.00267,0.0861,0.91,116.014,audio_features,512KrOic5RhnnHYn0F1gBv,spotify:track:512KrOic5RhnnHYn0F1gBv,https://api.spotify.com/v1/tracks/512KrOic5RhnnHYn0F1gBv,https://api.spotify.com/v1/audio-analysis/512KrOic5RhnnHYn0F1gBv,222227,4,Michelle,spotify:track:512KrOic5RhnnHYn0F1gBv,Dameer,1rTEkzUiftHqoVMjSucIV6
5,0.642,0.716,7,-6.258,1,0.0752,0.0917,0.415,0.0741,0.82,107.072,audio_features,0y72vyAZuUYMjEVQUNvLuQ,spotify:track:0y72vyAZuUYMjEVQUNvLuQ,https://api.spotify.com/v1/tracks/0y72vyAZuUYMjEVQUNvLuQ,https://api.spotify.com/v1/audio-analysis/0y72vyAZuUYMjEVQUNvLuQ,212520,4,Air,spotify:track:0y72vyAZuUYMjEVQUNvLuQ,Dameer,1rTEkzUiftHqoVMjSucIV6
6,0.642,0.737,1,-6.646,0,0.0372,0.774,0.029,0.272,0.606,94.038,audio_features,20wIDNlUsmJi5jxG3RILEn,spotify:track:20wIDNlUsmJi5jxG3RILEn,https://api.spotify.com/v1/tracks/20wIDNlUsmJi5jxG3RILEn,https://api.spotify.com/v1/audio-analysis/20wIDNlUsmJi5jxG3RILEn,255853,4,Again,spotify:track:20wIDNlUsmJi5jxG3RILEn,Dameer,1rTEkzUiftHqoVMjSucIV6
7,0.403,0.635,4,-6.697,1,0.0496,0.421,5.85e-06,0.26,0.387,180.115,audio_features,0gz7WZJMD7stkqHupfREFM,spotify:track:0gz7WZJMD7stkqHupfREFM,https://api.spotify.com/v1/tracks/0gz7WZJMD7stkqHupfREFM,https://api.spotify.com/v1/audio-analysis/0gz7WZJMD7stkqHupfREFM,144587,3,Amar Jaan,spotify:track:0gz7WZJMD7stkqHupfREFM,Dameer,1rTEkzUiftHqoVMjSucIV6
8,0.577,0.906,11,-5.013,1,0.0415,0.0513,0.000211,0.245,0.877,140.011,audio_features,3x1TJJJEgVBKwExy00qTkV,spotify:track:3x1TJJJEgVBKwExy00qTkV,https://api.spotify.com/v1/tracks/3x1TJJJEgVBKwExy00qTkV,https://api.spotify.com/v1/audio-analysis/3x1TJJJEgVBKwExy00qTkV,157627,4,Believe,spotify:track:3x1TJJJEgVBKwExy00qTkV,Dameer,1rTEkzUiftHqoVMjSucIV6
9,0.498,0.784,7,-4.894,1,0.0567,0.0244,4.89e-06,0.158,0.726,106.976,audio_features,0EmH8xUjnaEZwhvT3WdOJM,spotify:track:0EmH8xUjnaEZwhvT3WdOJM,https://api.spotify.com/v1/tracks/0EmH8xUjnaEZwhvT3WdOJM,https://api.spotify.com/v1/audio-analysis/0EmH8xUjnaEZwhvT3WdOJM,197600,4,Sun,spotify:track:0EmH8xUjnaEZwhvT3WdOJM,Dameer,1rTEkzUiftHqoVMjSucIV6
