,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.529,0.621,11,-6.018,1,0.0296,0.13,0.0,0.173,0.617,97.189,audio_features,6kTk6AOcnPguvs1nQ4vUWZ,spotify:track:6kTk6AOcnPguvs1nQ4vUWZ,https://api.spotify.com/v1/tracks/6kTk6AOcnPguvs1nQ4vUWZ,https://api.spotify.com/v1/audio-analysis/6kTk6AOcnPguvs1nQ4vUWZ,148907,4,Good Things,spotify:track:6kTk6AOcnPguvs1nQ4vUWZ,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
1,0.59,0.633,2,-5.452,1,0.0328,0.619,0.0,0.157,0.751,179.856,audio_features,0vzSAyinyA619ZbrOaAi04,spotify:track:0vzSAyinyA619ZbrOaAi04,https://api.spotify.com/v1/tracks/0vzSAyinyA619ZbrOaAi04,https://api.spotify.com/v1/audio-analysis/0vzSAyinyA619ZbrOaAi04,162120,4,Steal My Love,spotify:track:0vzSAyinyA619ZbrOaAi04,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
2,0.544,0.572,0,-6.205,1,0.0319,0.118,0.0,0.234,0.52,169.885,audio_features,2xPV95cfbyusygMTxpa3SW,spotify:track:2xPV95cfbyusygMTxpa3SW,https://api.spotify.com/v1/tracks/2xPV95cfbyusygMTxpa3SW,https://api.spotify.com/v1/audio-analysis/2xPV95cfbyusygMTxpa3SW,196253,4,You,spotify:track:2xPV95cfbyusygMTxpa3SW,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
3,0.818,0.433,8,-7.154,1,0.0308,0.273,0.0,0.107,0.712,106.953,audio_features,5yI2ZveWLUD1U5Gb2ABpwO,spotify:track:5yI2ZveWLUD1U5Gb2ABpwO,https://api.spotify.com/v1/tracks/5yI2ZveWLUD1U5Gb2ABpwO,https://api.spotify.com/v1/audio-analysis/5yI2ZveWLUD1U5Gb2ABpwO,144573,4,Body Language,spotify:track:5yI2ZveWLUD1U5Gb2ABpwO,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
4,0.554,0.417,11,-8.175,1,0.0399,0.636,0.0,0.367,0.278,123.996,audio_features,3JXB1YiJIwGkTeGdgYVFWR,spotify:track:3JXB1YiJIwGkTeGdgYVFWR,https://api.spotify.com/v1/tracks/3JXB1YiJIwGkTeGdgYVFWR,https://api.spotify.com/v1/audio-analysis/3JXB1YiJIwGkTeGdgYVFWR,143267,4,Give In To You,spotify:track:3JXB1YiJIwGkTeGdgYVFWR,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
5,0.592,0.715,3,-6.667,1,0.0403,0.228,0.0,0.111,0.64,81.964,audio_features,6k4BQUICZhtVxhK0pHTfkf,spotify:track:6k4BQUICZhtVxhK0pHTfkf,https://api.spotify.com/v1/tracks/6k4BQUICZhtVxhK0pHTfkf,https://api.spotify.com/v1/audio-analysis/6k4BQUICZhtVxhK0pHTfkf,163667,4,Irresponsible,spotify:track:6k4BQUICZhtVxhK0pHTfkf,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
6,0.585,0.621,8,-5.248,1,0.0458,0.35,0.0,0.133,0.773,154.118,audio_features,2gaVsCLd7K1MpQiCXMOBON,spotify:track:2gaVsCLd7K1MpQiCXMOBON,https://api.spotify.com/v1/tracks/2gaVsCLd7K1MpQiCXMOBON,https://api.spotify.com/v1/audio-analysis/2gaVsCLd7K1MpQiCXMOBON,146200,4,Lying,spotify:track:2gaVsCLd7K1MpQiCXMOBON,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
7,0.637,0.778,0,-6.093,1,0.038,0.118,0.0,0.117,0.431,137.076,audio_features,7Gq3ad16imbZocBf7nMTN2,spotify:track:7Gq3ad16imbZocBf7nMTN2,https://api.spotify.com/v1/tracks/7Gq3ad16imbZocBf7nMTN2,https://api.spotify.com/v1/audio-analysis/7Gq3ad16imbZocBf7nMTN2,197693,4,One Direction,spotify:track:7Gq3ad16imbZocBf7nMTN2,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
8,0.547,0.404,0,-6.586,1,0.0279,0.512,0.0,0.125,0.342,134.898,audio_features,2YAEntcShBOrHi2wSKTOZA,spotify:track:2YAEntcShBOrHi2wSKTOZA,https://api.spotify.com/v1/tracks/2YAEntcShBOrHi2wSKTOZA,https://api.spotify.com/v1/audio-analysis/2YAEntcShBOrHi2wSKTOZA,182800,3,Let Me Get Over Her,spotify:track:2YAEntcShBOrHi2wSKTOZA,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
9,0.741,0.499,11,-8.035,1,0.0356,0.23,0.0,0.125,0.692,103.96,audio_features,3oV2RVOmwdWdf9BmGS4Oad,spotify:track:3oV2RVOmwdWdf9BmGS4Oad,https://api.spotify.com/v1/tracks/3oV2RVOmwdWdf9BmGS4Oad,https://api.spotify.com/v1/audio-analysis/3oV2RVOmwdWdf9BmGS4Oad,144760,4,Glad You Exist,spotify:track:3oV2RVOmwdWdf9BmGS4Oad,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T
