,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.825,0.576,11,-13.414,0,0.171,0.19,0.838,0.118,0.362,123.976,audio_features,6Iq7a7HZ6eFpsAVW6Qfohp,spotify:track:6Iq7a7HZ6eFpsAVW6Qfohp,https://api.spotify.com/v1/tracks/6Iq7a7HZ6eFpsAVW6Qfohp,https://api.spotify.com/v1/audio-analysis/6Iq7a7HZ6eFpsAVW6Qfohp,371862,3,Mogeri,spotify:track:6Iq7a7HZ6eFpsAVW6Qfohp,Dan Kye,05YrP00agTrYezUyAsukKf
1,0.852,0.433,0,-11.28,1,0.0637,0.129,0.467,0.108,0.695,122.011,audio_features,2R9lqoximtsPHmnuvj3ptd,spotify:track:2R9lqoximtsPHmnuvj3ptd,https://api.spotify.com/v1/tracks/2R9lqoximtsPHmnuvj3ptd,https://api.spotify.com/v1/audio-analysis/2R9lqoximtsPHmnuvj3ptd,327232,4,Rainbow Road,spotify:track:2R9lqoximtsPHmnuvj3ptd,Dan Kye,05YrP00agTrYezUyAsukKf
2,0.634,0.72,11,-12.364,0,0.0846,0.403,0.509,0.0648,0.334,121.298,audio_features,2v1Xa1yTnMQR8UI6wGvXMH,spotify:track:2v1Xa1yTnMQR8UI6wGvXMH,https://api.spotify.com/v1/tracks/2v1Xa1yTnMQR8UI6wGvXMH,https://api.spotify.com/v1/audio-analysis/2v1Xa1yTnMQR8UI6wGvXMH,331475,4,Sober,spotify:track:2v1Xa1yTnMQR8UI6wGvXMH,Dan Kye,05YrP00agTrYezUyAsukKf
3,0.73,0.639,1,-13.342,0,0.0491,0.382,0.855,0.0779,0.494,120.008,audio_features,55HIPllti4t10hF4JHBe0b,spotify:track:55HIPllti4t10hF4JHBe0b,https://api.spotify.com/v1/tracks/55HIPllti4t10hF4JHBe0b,https://api.spotify.com/v1/audio-analysis/55HIPllti4t10hF4JHBe0b,358239,4,Fever,spotify:track:55HIPllti4t10hF4JHBe0b,Dan Kye,05YrP00agTrYezUyAsukKf
4,0.899,0.763,2,-11.548,1,0.0601,0.262,0.627,0.0869,0.905,122.005,audio_features,3FsbNA7632mDE8gLp4K6oB,spotify:track:3FsbNA7632mDE8gLp4K6oB,https://api.spotify.com/v1/tracks/3FsbNA7632mDE8gLp4K6oB,https://api.spotify.com/v1/audio-analysis/3FsbNA7632mDE8gLp4K6oB,315608,4,Moving,spotify:track:3FsbNA7632mDE8gLp4K6oB,Dan Kye,05YrP00agTrYezUyAsukKf
5,0.749,0.544,6,-10.417,1,0.0541,0.0772,0.181,0.0755,0.895,124.02,audio_features,43B6ybhV5xIH5JRippvh15,spotify:track:43B6ybhV5xIH5JRippvh15,https://api.spotify.com/v1/tracks/43B6ybhV5xIH5JRippvh15,https://api.spotify.com/v1/audio-analysis/43B6ybhV5xIH5JRippvh15,279630,4,Focus - SE Edit,spotify:track:43B6ybhV5xIH5JRippvh15,Dan Kye,05YrP00agTrYezUyAsukKf
6,0.837,0.517,8,-10.839,1,0.0707,0.00977,0.358,0.114,0.548,119.979,audio_features,3hN5cipCofNVspWVkToiQD,spotify:track:3hN5cipCofNVspWVkToiQD,https://api.spotify.com/v1/tracks/3hN5cipCofNVspWVkToiQD,https://api.spotify.com/v1/audio-analysis/3hN5cipCofNVspWVkToiQD,227486,4,Actually,spotify:track:3hN5cipCofNVspWVkToiQD,Dan Kye,05YrP00agTrYezUyAsukKf
7,0.843,0.547,11,-12.016,0,0.047,0.0014,0.838,0.0869,0.832,117.009,audio_features,5zuoUgYPFKBr4CM69SIn99,spotify:track:5zuoUgYPFKBr4CM69SIn99,https://api.spotify.com/v1/tracks/5zuoUgYPFKBr4CM69SIn99,https://api.spotify.com/v1/audio-analysis/5zuoUgYPFKBr4CM69SIn99,337015,4,Raro,spotify:track:5zuoUgYPFKBr4CM69SIn99,Dan Kye,05YrP00agTrYezUyAsukKf
8,0.843,0.547,11,-12.016,0,0.047,0.0014,0.838,0.0869,0.832,117.009,audio_features,5mizEfrREFZ6Mq5qg82r9I,spotify:track:5mizEfrREFZ6Mq5qg82r9I,https://api.spotify.com/v1/tracks/5mizEfrREFZ6Mq5qg82r9I,https://api.spotify.com/v1/audio-analysis/5mizEfrREFZ6Mq5qg82r9I,337015,4,Raro,spotify:track:5mizEfrREFZ6Mq5qg82r9I,Dan Kye,05YrP00agTrYezUyAsukKf
9,0.852,0.433,0,-11.28,1,0.0637,0.129,0.467,0.108,0.695,122.011,audio_features,3ZHjnJSUpdPJ1kgHORgihX,spotify:track:3ZHjnJSUpdPJ1kgHORgihX,https://api.spotify.com/v1/tracks/3ZHjnJSUpdPJ1kgHORgihX,https://api.spotify.com/v1/audio-analysis/3ZHjnJSUpdPJ1kgHORgihX,327232,4,Rainbow Road,spotify:track:3ZHjnJSUpdPJ1kgHORgihX,Dan Kye,05YrP00agTrYezUyAsukKf
10,0.852,0.433,0,-11.28,1,0.0637,0.129,0.467,0.108,0.695,122.011,audio_features,0GRxqwyU4yutHRKTrSHBmR,spotify:track:0GRxqwyU4yutHRKTrSHBmR,https://api.spotify.com/v1/tracks/0GRxqwyU4yutHRKTrSHBmR,https://api.spotify.com/v1/audio-analysis/0GRxqwyU4yutHRKTrSHBmR,327232,4,Rainbow Road,spotify:track:0GRxqwyU4yutHRKTrSHBmR,Dan Kye,05YrP00agTrYezUyAsukKf
11,0.918,0.936,9,-9.537,0,0.0877,0.0283,0.136,0.0282,0.923,120.006,audio_features,7HPoNHUAZaXkMFoKUL8Dah,spotify:track:7HPoNHUAZaXkMFoKUL8Dah,https://api.spotify.com/v1/tracks/7HPoNHUAZaXkMFoKUL8Dah,https://api.spotify.com/v1/audio-analysis/7HPoNHUAZaXkMFoKUL8Dah,275621,4,Change,spotify:track:7HPoNHUAZaXkMFoKUL8Dah,Dan Kye,05YrP00agTrYezUyAsukKf
12,0.799,0.919,10,-9.077,0,0.0592,0.0148,0.134,0.128,0.354,121.994,audio_features,236PobccYYnQURh4WmvHDH,spotify:track:236PobccYYnQURh4WmvHDH,https://api.spotify.com/v1/tracks/236PobccYYnQURh4WmvHDH,https://api.spotify.com/v1/audio-analysis/236PobccYYnQURh4WmvHDH,254584,4,Like You Wanna,spotify:track:236PobccYYnQURh4WmvHDH,Dan Kye,05YrP00agTrYezUyAsukKf
13,0.694,0.587,5,-13.436,1,0.0519,0.274,0.739,0.155,0.711,121.989,audio_features,103sGglhdjfKzDVHFlMoDB,spotify:track:103sGglhdjfKzDVHFlMoDB,https://api.spotify.com/v1/tracks/103sGglhdjfKzDVHFlMoDB,https://api.spotify.com/v1/audio-analysis/103sGglhdjfKzDVHFlMoDB,306225,4,Tolle,spotify:track:103sGglhdjfKzDVHFlMoDB,Dan Kye,05YrP00agTrYezUyAsukKf
14,0.88,0.715,6,-10.107,1,0.148,0.249,0.845,0.0681,0.885,120.666,audio_features,4P1yFIlT4eW5gvaYMlNVZz,spotify:track:4P1yFIlT4eW5gvaYMlNVZz,https://api.spotify.com/v1/tracks/4P1yFIlT4eW5gvaYMlNVZz,https://api.spotify.com/v1/audio-analysis/4P1yFIlT4eW5gvaYMlNVZz,272509,4,iigo,spotify:track:4P1yFIlT4eW5gvaYMlNVZz,Dan Kye,05YrP00agTrYezUyAsukKf
15,0.68,0.719,6,-10.719,1,0.043,0.0379,0.788,0.0839,0.0883,121.006,audio_features,6jhm7KeidwkYSop3tWEpCR,spotify:track:6jhm7KeidwkYSop3tWEpCR,https://api.spotify.com/v1/tracks/6jhm7KeidwkYSop3tWEpCR,https://api.spotify.com/v1/audio-analysis/6jhm7KeidwkYSop3tWEpCR,337653,4,Flicker - Mixed,spotify:track:6jhm7KeidwkYSop3tWEpCR,Dan Kye,05YrP00agTrYezUyAsukKf
16,0.842,0.782,3,-9.692,0,0.128,0.0309,0.504,0.0308,0.749,121.092,audio_features,70ty8QsYOKx9PGCADJSdA3,spotify:track:70ty8QsYOKx9PGCADJSdA3,https://api.spotify.com/v1/tracks/70ty8QsYOKx9PGCADJSdA3,https://api.spotify.com/v1/audio-analysis/70ty8QsYOKx9PGCADJSdA3,253680,4,Boston Common - Mixed,spotify:track:70ty8QsYOKx9PGCADJSdA3,Dan Kye,05YrP00agTrYezUyAsukKf
17,0.606,0.897,2,-9.963,1,0.0399,0.00239,0.942,0.13,0.382,122.882,audio_features,62MG9pET1R6tK2LEhQp0HX,spotify:track:62MG9pET1R6tK2LEhQp0HX,https://api.spotify.com/v1/tracks/62MG9pET1R6tK2LEhQp0HX,https://api.spotify.com/v1/audio-analysis/62MG9pET1R6tK2LEhQp0HX,218680,4,Jacquot (Waters Of Praslin) - Mixed,spotify:track:62MG9pET1R6tK2LEhQp0HX,Dan Kye,05YrP00agTrYezUyAsukKf
18,0.684,0.937,5,-7.571,0,0.0414,0.151,0.886,0.0908,0.522,123.054,audio_features,5X77TGdnwDWETSRNlxkOOZ,spotify:track:5X77TGdnwDWETSRNlxkOOZ,https://api.spotify.com/v1/tracks/5X77TGdnwDWETSRNlxkOOZ,https://api.spotify.com/v1/audio-analysis/5X77TGdnwDWETSRNlxkOOZ,109267,4,Hidden Tropics - Mixed,spotify:track:5X77TGdnwDWETSRNlxkOOZ,Dan Kye,05YrP00agTrYezUyAsukKf
19,0.407,0.786,10,-7.351,0,0.0352,6.36e-05,0.909,0.114,0.298,122.851,audio_features,63SN0vwhCmYBcBSvaHb5td,spotify:track:63SN0vwhCmYBcBSvaHb5td,https://api.spotify.com/v1/tracks/63SN0vwhCmYBcBSvaHb5td,https://api.spotify.com/v1/audio-analysis/63SN0vwhCmYBcBSvaHb5td,191227,4,Nia - Mixed,spotify:track:63SN0vwhCmYBcBSvaHb5td,Dan Kye,05YrP00agTrYezUyAsukKf
20,0.591,0.836,10,-8.424,0,0.0346,0.128,0.919,0.109,0.253,122.971,audio_features,4tUA0XgKiEigUywHbtkdLX,spotify:track:4tUA0XgKiEigUywHbtkdLX,https://api.spotify.com/v1/tracks/4tUA0XgKiEigUywHbtkdLX,https://api.spotify.com/v1/audio-analysis/4tUA0XgKiEigUywHbtkdLX,228293,4,Maia - Mixed,spotify:track:4tUA0XgKiEigUywHbtkdLX,Dan Kye,05YrP00agTrYezUyAsukKf
21,0.744,0.863,1,-9.379,1,0.0634,0.176,0.925,0.105,0.31,123.017,audio_features,2yVvaMeR6fHEJnVDYAtX2R,spotify:track:2yVvaMeR6fHEJnVDYAtX2R,https://api.spotify.com/v1/tracks/2yVvaMeR6fHEJnVDYAtX2R,https://api.spotify.com/v1/audio-analysis/2yVvaMeR6fHEJnVDYAtX2R,277053,4,Cold Harbour - Mixed,spotify:track:2yVvaMeR6fHEJnVDYAtX2R,Dan Kye,05YrP00agTrYezUyAsukKf
22,0.738,0.617,5,-10.284,0,0.0891,0.182,0.927,0.118,0.102,122.958,audio_features,2hktBdwqtF6YKWKiI3IHld,spotify:track:2hktBdwqtF6YKWKiI3IHld,https://api.spotify.com/v1/tracks/2hktBdwqtF6YKWKiI3IHld,https://api.spotify.com/v1/audio-analysis/2hktBdwqtF6YKWKiI3IHld,245733,4,Ibrik - Mixed,spotify:track:2hktBdwqtF6YKWKiI3IHld,Dan Kye,05YrP00agTrYezUyAsukKf
23,0.598,0.542,3,-9.344,1,0.0308,0.252,0.888,0.156,0.155,123.019,audio_features,3ebBvdXiKSm4F7KnlYwIGr,spotify:track:3ebBvdXiKSm4F7KnlYwIGr,https://api.spotify.com/v1/tracks/3ebBvdXiKSm4F7KnlYwIGr,https://api.spotify.com/v1/audio-analysis/3ebBvdXiKSm4F7KnlYwIGr,234267,4,Femenine - Mixed,spotify:track:3ebBvdXiKSm4F7KnlYwIGr,Dan Kye,05YrP00agTrYezUyAsukKf
24,0.794,0.806,10,-8.677,0,0.0499,0.00364,0.869,0.0957,0.475,125.005,audio_features,37uU8o0cTjkpQO5iLRtpin,spotify:track:37uU8o0cTjkpQO5iLRtpin,https://api.spotify.com/v1/tracks/37uU8o0cTjkpQO5iLRtpin,https://api.spotify.com/v1/audio-analysis/37uU8o0cTjkpQO5iLRtpin,161600,4,TKOTN - Mixed,spotify:track:37uU8o0cTjkpQO5iLRtpin,Dan Kye,05YrP00agTrYezUyAsukKf
25,0.659,0.835,1,-7.699,1,0.0325,0.00933,0.82,0.134,0.431,124.999,audio_features,6skQUzz3MsUz2coLt9cNIr,spotify:track:6skQUzz3MsUz2coLt9cNIr,https://api.spotify.com/v1/tracks/6skQUzz3MsUz2coLt9cNIr,https://api.spotify.com/v1/audio-analysis/6skQUzz3MsUz2coLt9cNIr,122893,4,Sacred - Mixed,spotify:track:6skQUzz3MsUz2coLt9cNIr,Dan Kye,05YrP00agTrYezUyAsukKf
26,0.581,0.949,1,-7.981,1,0.0364,0.0279,0.907,0.208,0.18,124.976,audio_features,0O9KJ1I2AVsWV2WVOhH7cn,spotify:track:0O9KJ1I2AVsWV2WVOhH7cn,https://api.spotify.com/v1/tracks/0O9KJ1I2AVsWV2WVOhH7cn,https://api.spotify.com/v1/audio-analysis/0O9KJ1I2AVsWV2WVOhH7cn,180987,4,By Your Side - Mixed,spotify:track:0O9KJ1I2AVsWV2WVOhH7cn,Dan Kye,05YrP00agTrYezUyAsukKf
27,0.512,0.753,1,-7.392,1,0.0633,0.0269,0.722,0.433,0.146,124.98,audio_features,5e0Re9ZTGAdneMANQGnBFv,spotify:track:5e0Re9ZTGAdneMANQGnBFv,https://api.spotify.com/v1/tracks/5e0Re9ZTGAdneMANQGnBFv,https://api.spotify.com/v1/audio-analysis/5e0Re9ZTGAdneMANQGnBFv,168320,4,Buzzard Walk - Mixed,spotify:track:5e0Re9ZTGAdneMANQGnBFv,Dan Kye,05YrP00agTrYezUyAsukKf
28,0.671,0.786,6,-7.889,1,0.053,0.0915,0.000315,0.253,0.926,124.993,audio_features,0z5IvI7mWc0ovidkaqqPGw,spotify:track:0z5IvI7mWc0ovidkaqqPGw,https://api.spotify.com/v1/tracks/0z5IvI7mWc0ovidkaqqPGw,https://api.spotify.com/v1/audio-analysis/0z5IvI7mWc0ovidkaqqPGw,161400,4,Focus - Mixed,spotify:track:0z5IvI7mWc0ovidkaqqPGw,Dan Kye,05YrP00agTrYezUyAsukKf
29,0.786,0.8,11,-7.813,0,0.0538,0.000913,0.924,0.126,0.718,125.03,audio_features,7nJYAX12wBFayluex9EEpd,spotify:track:7nJYAX12wBFayluex9EEpd,https://api.spotify.com/v1/tracks/7nJYAX12wBFayluex9EEpd,https://api.spotify.com/v1/audio-analysis/7nJYAX12wBFayluex9EEpd,107533,4,Roach - Mixed,spotify:track:7nJYAX12wBFayluex9EEpd,Dan Kye,05YrP00agTrYezUyAsukKf
30,0.504,0.82,8,-10.876,1,0.0714,0.000236,0.698,0.324,0.194,125.025,audio_features,4kTnzCEM0ySHMf8nSCqLB5,spotify:track:4kTnzCEM0ySHMf8nSCqLB5,https://api.spotify.com/v1/tracks/4kTnzCEM0ySHMf8nSCqLB5,https://api.spotify.com/v1/audio-analysis/4kTnzCEM0ySHMf8nSCqLB5,153480,4,Perpetrator - Mixed,spotify:track:4kTnzCEM0ySHMf8nSCqLB5,Dan Kye,05YrP00agTrYezUyAsukKf
31,0.533,0.743,10,-12.393,0,0.042,0.0502,0.934,0.592,0.265,125.001,audio_features,5wt8xyRZ2w0FXajMTXb8kZ,spotify:track:5wt8xyRZ2w0FXajMTXb8kZ,https://api.spotify.com/v1/tracks/5wt8xyRZ2w0FXajMTXb8kZ,https://api.spotify.com/v1/audio-analysis/5wt8xyRZ2w0FXajMTXb8kZ,353360,3,Mirapolis (Laurent Garnier Remix) - Mixed,spotify:track:5wt8xyRZ2w0FXajMTXb8kZ,Dan Kye,05YrP00agTrYezUyAsukKf
