,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.534,0.949,1,-2.876,1,0.0609,0.00074,4.13e-06,0.193,0.667,128.042,audio_features,1Dd6dR6s8UHG0wUcdpXJ7P,spotify:track:1Dd6dR6s8UHG0wUcdpXJ7P,https://api.spotify.com/v1/tracks/1Dd6dR6s8UHG0wUcdpXJ7P,https://api.spotify.com/v1/audio-analysis/1Dd6dR6s8UHG0wUcdpXJ7P,261053,4,That's What I'M Talking About,spotify:track:1Dd6dR6s8UHG0wUcdpXJ7P,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
1,0.409,0.951,11,-2.313,1,0.0476,0.00893,0.0,0.121,0.588,90.079,audio_features,2HIeY61KhPkE3DgLgeJWKH,spotify:track:2HIeY61KhPkE3DgLgeJWKH,https://api.spotify.com/v1/tracks/2HIeY61KhPkE3DgLgeJWKH,https://api.spotify.com/v1/audio-analysis/2HIeY61KhPkE3DgLgeJWKH,293280,4,Ghost Of Love,spotify:track:2HIeY61KhPkE3DgLgeJWKH,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
2,0.5,0.859,8,-3.576,0,0.0339,0.00922,2.23e-05,0.839,0.441,95.071,audio_features,6lRe8apBtGL6aBJJkUSIQS,spotify:track:6lRe8apBtGL6aBJJkUSIQS,https://api.spotify.com/v1/tracks/6lRe8apBtGL6aBJJkUSIQS,https://api.spotify.com/v1/audio-analysis/6lRe8apBtGL6aBJJkUSIQS,329413,4,Killin' Love,spotify:track:6lRe8apBtGL6aBJJkUSIQS,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
3,0.479,0.89,1,-2.645,1,0.0409,0.000376,8.25e-06,0.0711,0.783,125.057,audio_features,15BcpACXkQT8kSCrJIWlU5,spotify:track:15BcpACXkQT8kSCrJIWlU5,https://api.spotify.com/v1/tracks/15BcpACXkQT8kSCrJIWlU5,https://api.spotify.com/v1/audio-analysis/15BcpACXkQT8kSCrJIWlU5,261333,4,Hearts On The Highway,spotify:track:15BcpACXkQT8kSCrJIWlU5,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
4,0.434,0.487,3,-6.424,0,0.026,0.256,0.0,0.212,0.447,151.854,audio_features,5mUAnLsD1dEupGdrWMWnad,spotify:track:5mUAnLsD1dEupGdrWMWnad,https://api.spotify.com/v1/tracks/5mUAnLsD1dEupGdrWMWnad,https://api.spotify.com/v1/audio-analysis/5mUAnLsD1dEupGdrWMWnad,244147,3,Fugitive,spotify:track:5mUAnLsD1dEupGdrWMWnad,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
5,0.49,0.932,1,-2.796,1,0.0464,0.00181,1.33e-06,0.057,0.613,127.948,audio_features,58ixU2rFJD4M4nBJ709pkP,spotify:track:58ixU2rFJD4M4nBJ709pkP,https://api.spotify.com/v1/tracks/58ixU2rFJD4M4nBJ709pkP,https://api.spotify.com/v1/audio-analysis/58ixU2rFJD4M4nBJ709pkP,297467,4,Keep On Keepin' On,spotify:track:58ixU2rFJD4M4nBJ709pkP,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
6,0.48,0.904,6,-2.955,1,0.0466,0.000665,0.0,0.0855,0.365,127.985,audio_features,76UdArGjOzkSBUsRGJgyNK,spotify:track:76UdArGjOzkSBUsRGJgyNK,https://api.spotify.com/v1/tracks/76UdArGjOzkSBUsRGJgyNK,https://api.spotify.com/v1/audio-analysis/76UdArGjOzkSBUsRGJgyNK,280093,4,Rocket To Your Heart,spotify:track:76UdArGjOzkSBUsRGJgyNK,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
7,0.419,0.943,3,-1.988,1,0.0475,0.000473,0.0,0.0448,0.522,78.022,audio_features,1XmoN37E3gmUXLLSo1jKZw,spotify:track:1XmoN37E3gmUXLLSo1jKZw,https://api.spotify.com/v1/tracks/1XmoN37E3gmUXLLSo1jKZw,https://api.spotify.com/v1/audio-analysis/1XmoN37E3gmUXLLSo1jKZw,295240,4,F.U.$,spotify:track:1XmoN37E3gmUXLLSo1jKZw,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
8,0.43,0.912,1,-3.481,1,0.0364,0.000133,0.0,0.0441,0.599,90.076,audio_features,4VzbhSzmkr8H3u7JCEDhzd,spotify:track:4VzbhSzmkr8H3u7JCEDhzd,https://api.spotify.com/v1/tracks/4VzbhSzmkr8H3u7JCEDhzd,https://api.spotify.com/v1/audio-analysis/4VzbhSzmkr8H3u7JCEDhzd,282707,4,Beautiful Regret,spotify:track:4VzbhSzmkr8H3u7JCEDhzd,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
9,0.452,0.773,0,-4.327,0,0.029,0.117,2.93e-05,0.245,0.309,84.947,audio_features,1aPhKxqpgblDVwRlrkfUFf,spotify:track:1aPhKxqpgblDVwRlrkfUFf,https://api.spotify.com/v1/tracks/1aPhKxqpgblDVwRlrkfUFf,https://api.spotify.com/v1/audio-analysis/1aPhKxqpgblDVwRlrkfUFf,287253,4,Never Give Up,spotify:track:1aPhKxqpgblDVwRlrkfUFf,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
10,0.559,0.918,11,-3.295,1,0.0676,0.0147,6.07e-06,0.116,0.743,123.985,audio_features,2kmD6F8XgCVQmrmM3kdHzw,spotify:track:2kmD6F8XgCVQmrmM3kdHzw,https://api.spotify.com/v1/tracks/2kmD6F8XgCVQmrmM3kdHzw,https://api.spotify.com/v1/audio-analysis/2kmD6F8XgCVQmrmM3kdHzw,229160,4,Dirty Mind,spotify:track:2kmD6F8XgCVQmrmM3kdHzw,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
11,0.411,0.92,8,-5.5,1,0.0927,0.000444,0.000825,0.351,0.266,122.746,audio_features,5ziGVTIl6nv7xub56wiY2a,spotify:track:5ziGVTIl6nv7xub56wiY2a,https://api.spotify.com/v1/tracks/5ziGVTIl6nv7xub56wiY2a,https://api.spotify.com/v1/audio-analysis/5ziGVTIl6nv7xub56wiY2a,326800,4,Grind,spotify:track:5ziGVTIl6nv7xub56wiY2a,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
12,0.198,0.902,1,-5.439,0,0.0605,0.0161,0.000421,0.0438,0.354,170.162,audio_features,0JKcXbu8flmBqJFFCNRdGZ,spotify:track:0JKcXbu8flmBqJFFCNRdGZ,https://api.spotify.com/v1/tracks/0JKcXbu8flmBqJFFCNRdGZ,https://api.spotify.com/v1/audio-analysis/0JKcXbu8flmBqJFFCNRdGZ,317133,4,When She's Good She's Good (When She's Bad She's Better),spotify:track:0JKcXbu8flmBqJFFCNRdGZ,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
13,0.475,0.867,7,-6.73,1,0.0669,0.000882,1.29e-06,0.254,0.248,105.228,audio_features,4kpj0B1ngxwVfIHzpWhooQ,spotify:track:4kpj0B1ngxwVfIHzpWhooQ,https://api.spotify.com/v1/tracks/4kpj0B1ngxwVfIHzpWhooQ,https://api.spotify.com/v1/audio-analysis/4kpj0B1ngxwVfIHzpWhooQ,247187,4,Six Million Dollar Man,spotify:track:4kpj0B1ngxwVfIHzpWhooQ,Danger Danger,1VaIDrxow5xfLmB9R26JVZ
