,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.733,0.896,9,-6.524,1,0.0518,0.0197,0.00174,0.0916,0.741,125.016,audio_features,6QkfGnerdyOfOqFWsku8qq,spotify:track:6QkfGnerdyOfOqFWsku8qq,https://api.spotify.com/v1/tracks/6QkfGnerdyOfOqFWsku8qq,https://api.spotify.com/v1/audio-analysis/6QkfGnerdyOfOqFWsku8qq,201887,4,Spiritual Thing,spotify:track:6QkfGnerdyOfOqFWsku8qq,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
1,0.743,0.936,6,-6.623,1,0.04,0.0233,0.0107,0.0699,0.742,124.979,audio_features,5TzNwQT14hYk0XWJQVi4pH,spotify:track:5TzNwQT14hYk0XWJQVi4pH,https://api.spotify.com/v1/tracks/5TzNwQT14hYk0XWJQVi4pH,https://api.spotify.com/v1/audio-analysis/5TzNwQT14hYk0XWJQVi4pH,217255,4,This Feeling,spotify:track:5TzNwQT14hYk0XWJQVi4pH,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
2,0.818,0.915,11,-7.201,0,0.0385,0.0407,0.147,0.0702,0.533,124.991,audio_features,7dv8MyXgRtX69ZMg5jTziU,spotify:track:7dv8MyXgRtX69ZMg5jTziU,https://api.spotify.com/v1/tracks/7dv8MyXgRtX69ZMg5jTziU,https://api.spotify.com/v1/audio-analysis/7dv8MyXgRtX69ZMg5jTziU,353990,4,This Feeling - Extended Mix,spotify:track:7dv8MyXgRtX69ZMg5jTziU,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
3,0.753,0.818,2,-7.662,1,0.0524,0.0358,0.308,0.0589,0.84,124.987,audio_features,3TvHwVZulzyggxfayeAMt0,spotify:track:3TvHwVZulzyggxfayeAMt0,https://api.spotify.com/v1/tracks/3TvHwVZulzyggxfayeAMt0,https://api.spotify.com/v1/audio-analysis/3TvHwVZulzyggxfayeAMt0,222534,4,Malfunction - Edit,spotify:track:3TvHwVZulzyggxfayeAMt0,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
4,0.802,0.66,6,-10.152,1,0.0473,0.000967,0.466,0.121,0.695,125.002,audio_features,5JDauhShWpuFAdHC1G4wqU,spotify:track:5JDauhShWpuFAdHC1G4wqU,https://api.spotify.com/v1/tracks/5JDauhShWpuFAdHC1G4wqU,https://api.spotify.com/v1/audio-analysis/5JDauhShWpuFAdHC1G4wqU,369932,4,Hooked on You - Dub Mix,spotify:track:5JDauhShWpuFAdHC1G4wqU,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
5,0.796,0.654,6,-9.901,1,0.0473,0.00105,0.222,0.122,0.67,125.0,audio_features,7hHNdNHii0pzKSYB8Dincd,spotify:track:7hHNdNHii0pzKSYB8Dincd,https://api.spotify.com/v1/tracks/7hHNdNHii0pzKSYB8Dincd,https://api.spotify.com/v1/audio-analysis/7hHNdNHii0pzKSYB8Dincd,370002,4,Hooked on You - Extended Mix,spotify:track:7hHNdNHii0pzKSYB8Dincd,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
6,0.744,0.779,6,-9.21,1,0.0407,0.00493,0.00843,0.0848,0.536,124.991,audio_features,62Y6IN9B08r8wjBvUE503a,spotify:track:62Y6IN9B08r8wjBvUE503a,https://api.spotify.com/v1/tracks/62Y6IN9B08r8wjBvUE503a,https://api.spotify.com/v1/audio-analysis/62Y6IN9B08r8wjBvUE503a,202367,4,Hooked on You - Radio Edit,spotify:track:62Y6IN9B08r8wjBvUE503a,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
7,0.798,0.764,0,-7.68,1,0.0555,0.0311,3.01e-05,0.0999,0.381,121.958,audio_features,1KLrGzIkC5B0rwx2ohGT8g,spotify:track:1KLrGzIkC5B0rwx2ohGT8g,https://api.spotify.com/v1/tracks/1KLrGzIkC5B0rwx2ohGT8g,https://api.spotify.com/v1/audio-analysis/1KLrGzIkC5B0rwx2ohGT8g,135548,4,Have We Met,spotify:track:1KLrGzIkC5B0rwx2ohGT8g,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
8,0.777,0.941,0,-8.09,1,0.0481,0.0102,0.0194,0.076,0.533,124.983,audio_features,2vG3bKpEYqSpzRg92ynBZD,spotify:track:2vG3bKpEYqSpzRg92ynBZD,https://api.spotify.com/v1/tracks/2vG3bKpEYqSpzRg92ynBZD,https://api.spotify.com/v1/audio-analysis/2vG3bKpEYqSpzRg92ynBZD,203668,4,Have We Met - Danny Rhys Remix,spotify:track:2vG3bKpEYqSpzRg92ynBZD,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
9,0.698,0.91,2,-6.449,0,0.0454,0.0867,0.735,0.068,0.88,124.998,audio_features,13CQI6CWFfuUm9NkXpH70z,spotify:track:13CQI6CWFfuUm9NkXpH70z,https://api.spotify.com/v1/tracks/13CQI6CWFfuUm9NkXpH70z,https://api.spotify.com/v1/audio-analysis/13CQI6CWFfuUm9NkXpH70z,202000,4,Top Floor,spotify:track:13CQI6CWFfuUm9NkXpH70z,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
10,0.824,0.846,4,-7.106,1,0.0992,0.00054,0.0124,0.0708,0.903,123.98,audio_features,4HRcMwfLfZLGOrFXT4S979,spotify:track:4HRcMwfLfZLGOrFXT4S979,https://api.spotify.com/v1/tracks/4HRcMwfLfZLGOrFXT4S979,https://api.spotify.com/v1/audio-analysis/4HRcMwfLfZLGOrFXT4S979,225750,4,Damn Good,spotify:track:4HRcMwfLfZLGOrFXT4S979,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
11,0.813,0.73,9,-7.636,1,0.0769,0.000106,0.162,0.0438,0.78,123.994,audio_features,5qD1Ojlr2bJARJcHJwx3qU,spotify:track:5qD1Ojlr2bJARJcHJwx3qU,https://api.spotify.com/v1/tracks/5qD1Ojlr2bJARJcHJwx3qU,https://api.spotify.com/v1/audio-analysis/5qD1Ojlr2bJARJcHJwx3qU,372381,4,Damn Good - Extended Mix,spotify:track:5qD1Ojlr2bJARJcHJwx3qU,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
12,0.657,0.934,0,-6.85,1,0.0468,0.00212,0.659,0.314,0.377,124.985,audio_features,5kZeiDR5MPfk3S1FoBY0K6,spotify:track:5kZeiDR5MPfk3S1FoBY0K6,https://api.spotify.com/v1/tracks/5kZeiDR5MPfk3S1FoBY0K6,https://api.spotify.com/v1/audio-analysis/5kZeiDR5MPfk3S1FoBY0K6,195381,4,In Motion,spotify:track:5kZeiDR5MPfk3S1FoBY0K6,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
13,0.778,0.758,10,-7.356,1,0.0772,0.000728,0.83,0.0356,0.436,124.981,audio_features,41p9oAulkq4eey9dym18Au,spotify:track:41p9oAulkq4eey9dym18Au,https://api.spotify.com/v1/tracks/41p9oAulkq4eey9dym18Au,https://api.spotify.com/v1/audio-analysis/41p9oAulkq4eey9dym18Au,323384,4,In Motion - Extended Mix,spotify:track:41p9oAulkq4eey9dym18Au,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
14,0.675,0.979,7,-5.083,1,0.0578,0.0297,0.00582,0.0613,0.412,123.895,audio_features,4DNDVaeL9bSXIRs8B4Gd4n,spotify:track:4DNDVaeL9bSXIRs8B4Gd4n,https://api.spotify.com/v1/tracks/4DNDVaeL9bSXIRs8B4Gd4n,https://api.spotify.com/v1/audio-analysis/4DNDVaeL9bSXIRs8B4Gd4n,203593,4,Hold Me,spotify:track:4DNDVaeL9bSXIRs8B4Gd4n,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
15,0.763,0.871,5,-6.375,0,0.0628,0.00546,0.118,0.089,0.723,123.991,audio_features,6JjsKhd3dbwzs5Td2NXBPI,spotify:track:6JjsKhd3dbwzs5Td2NXBPI,https://api.spotify.com/v1/tracks/6JjsKhd3dbwzs5Td2NXBPI,https://api.spotify.com/v1/audio-analysis/6JjsKhd3dbwzs5Td2NXBPI,357000,4,Hold Me - Extended Mix,spotify:track:6JjsKhd3dbwzs5Td2NXBPI,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
16,0.641,0.971,5,-5.587,1,0.0568,0.00921,0.68,0.0723,0.64,124.971,audio_features,2vaSLVDSdU7Cljho0peuVq,spotify:track:2vaSLVDSdU7Cljho0peuVq,https://api.spotify.com/v1/tracks/2vaSLVDSdU7Cljho0peuVq,https://api.spotify.com/v1/audio-analysis/2vaSLVDSdU7Cljho0peuVq,225360,4,Feel Good,spotify:track:2vaSLVDSdU7Cljho0peuVq,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
17,0.758,0.909,5,-6.331,1,0.0607,0.00405,0.801,0.0349,0.661,124.985,audio_features,4Ob22zX8wFeRTouu4XpkGn,spotify:track:4Ob22zX8wFeRTouu4XpkGn,https://api.spotify.com/v1/tracks/4Ob22zX8wFeRTouu4XpkGn,https://api.spotify.com/v1/audio-analysis/4Ob22zX8wFeRTouu4XpkGn,402535,4,Feel Good - Extended Mix,spotify:track:4Ob22zX8wFeRTouu4XpkGn,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
18,0.612,0.92,6,-5.719,0,0.0334,0.00241,0.798,0.636,0.611,123.996,audio_features,2588cCOxzPrIFrB8cJ4fV5,spotify:track:2588cCOxzPrIFrB8cJ4fV5,https://api.spotify.com/v1/tracks/2588cCOxzPrIFrB8cJ4fV5,https://api.spotify.com/v1/audio-analysis/2588cCOxzPrIFrB8cJ4fV5,221895,4,Give Me Love,spotify:track:2588cCOxzPrIFrB8cJ4fV5,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
19,0.752,0.84,6,-6.38,0,0.0429,0.000156,0.861,0.236,0.616,123.994,audio_features,6t4qtCbJv6KiFvSLlUT3AX,spotify:track:6t4qtCbJv6KiFvSLlUT3AX,https://api.spotify.com/v1/tracks/6t4qtCbJv6KiFvSLlUT3AX,https://api.spotify.com/v1/audio-analysis/6t4qtCbJv6KiFvSLlUT3AX,406000,4,Give Me Love - Extended Mix,spotify:track:6t4qtCbJv6KiFvSLlUT3AX,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
20,0.758,0.829,7,-8.445,0,0.0511,0.000976,0.111,0.0494,0.581,123.999,audio_features,2CHlYILN9t122zkvldSrFv,spotify:track:2CHlYILN9t122zkvldSrFv,https://api.spotify.com/v1/tracks/2CHlYILN9t122zkvldSrFv,https://api.spotify.com/v1/audio-analysis/2CHlYILN9t122zkvldSrFv,218226,4,Night By Night,spotify:track:2CHlYILN9t122zkvldSrFv,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
21,0.827,0.806,7,-8.868,0,0.063,0.000194,0.482,0.0403,0.449,124.003,audio_features,1nKYobqrMZTsVg4TRQIcfW,spotify:track:1nKYobqrMZTsVg4TRQIcfW,https://api.spotify.com/v1/tracks/1nKYobqrMZTsVg4TRQIcfW,https://api.spotify.com/v1/audio-analysis/1nKYobqrMZTsVg4TRQIcfW,373859,4,Night By Night - Extended Mix,spotify:track:1nKYobqrMZTsVg4TRQIcfW,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
22,0.625,0.963,7,-5.796,1,0.0427,0.00369,0.822,0.0668,0.919,124.011,audio_features,4oex5KYjeiZu2n16sHJzIV,spotify:track:4oex5KYjeiZu2n16sHJzIV,https://api.spotify.com/v1/tracks/4oex5KYjeiZu2n16sHJzIV,https://api.spotify.com/v1/audio-analysis/4oex5KYjeiZu2n16sHJzIV,238375,4,Something Special,spotify:track:4oex5KYjeiZu2n16sHJzIV,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
23,0.744,0.951,7,-6.258,1,0.0595,0.00163,0.876,0.162,0.84,124.011,audio_features,2dS8IqUJ4OrVsF7q6QGFgR,spotify:track:2dS8IqUJ4OrVsF7q6QGFgR,https://api.spotify.com/v1/tracks/2dS8IqUJ4OrVsF7q6QGFgR,https://api.spotify.com/v1/audio-analysis/2dS8IqUJ4OrVsF7q6QGFgR,373375,4,Something Special - Extended Mix,spotify:track:2dS8IqUJ4OrVsF7q6QGFgR,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
24,0.808,0.937,1,-7.409,0,0.0628,0.000619,0.861,0.0871,0.472,125.009,audio_features,6PPAHEzSj0aiXjUooaU9js,spotify:track:6PPAHEzSj0aiXjUooaU9js,https://api.spotify.com/v1/tracks/6PPAHEzSj0aiXjUooaU9js,https://api.spotify.com/v1/audio-analysis/6PPAHEzSj0aiXjUooaU9js,234255,4,Don't Stop - Radio Edit,spotify:track:6PPAHEzSj0aiXjUooaU9js,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
25,0.764,0.95,8,-8.053,1,0.0551,6.23e-05,0.448,0.0991,0.754,125.015,audio_features,2OXmX8KTsK8GtAlTE4dOAZ,spotify:track:2OXmX8KTsK8GtAlTE4dOAZ,https://api.spotify.com/v1/tracks/2OXmX8KTsK8GtAlTE4dOAZ,https://api.spotify.com/v1/audio-analysis/2OXmX8KTsK8GtAlTE4dOAZ,234240,4,Not Afraid - Radio Edit,spotify:track:2OXmX8KTsK8GtAlTE4dOAZ,Danny Rhys,2M6Re1FK8R8PfaKrlpF19S
