,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.711,0.722,11,-6.003,0,0.245,0.0365,0.0,0.267,0.19,125.124,audio_features,7MM8KvYN6B7fVfXIOXQdVG,spotify:track:7MM8KvYN6B7fVfXIOXQdVG,https://api.spotify.com/v1/tracks/7MM8KvYN6B7fVfXIOXQdVG,https://api.spotify.com/v1/audio-analysis/7MM8KvYN6B7fVfXIOXQdVG,138265,4,SPACE,spotify:track:7MM8KvYN6B7fVfXIOXQdVG,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
1,0.733,0.642,0,-5.075,1,0.184,0.383,0.0,0.153,0.207,92.494,audio_features,17wdDzMyfJ69JdNqywkBDb,spotify:track:17wdDzMyfJ69JdNqywkBDb,https://api.spotify.com/v1/tracks/17wdDzMyfJ69JdNqywkBDb,https://api.spotify.com/v1/audio-analysis/17wdDzMyfJ69JdNqywkBDb,145450,4,Nothin New,spotify:track:17wdDzMyfJ69JdNqywkBDb,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
2,0.691,0.601,9,-7.79,1,0.255,0.0385,0.0,0.153,0.291,97.011,audio_features,4bmTHana9zEUuvGMY2v1y4,spotify:track:4bmTHana9zEUuvGMY2v1y4,https://api.spotify.com/v1/tracks/4bmTHana9zEUuvGMY2v1y4,https://api.spotify.com/v1/audio-analysis/4bmTHana9zEUuvGMY2v1y4,158351,4,ROBBIN!,spotify:track:4bmTHana9zEUuvGMY2v1y4,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
3,0.642,0.766,6,-9.048,1,0.428,0.282,0.0,0.388,0.659,133.522,audio_features,0jSuURfyi3uoO1XE3Yipdh,spotify:track:0jSuURfyi3uoO1XE3Yipdh,https://api.spotify.com/v1/tracks/0jSuURfyi3uoO1XE3Yipdh,https://api.spotify.com/v1/audio-analysis/0jSuURfyi3uoO1XE3Yipdh,134400,5,FIRST OFF,spotify:track:0jSuURfyi3uoO1XE3Yipdh,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
4,0.648,0.433,6,-12.146,0,0.183,0.127,0.00149,0.0979,0.164,160.96,audio_features,2hpKqejPdsRIBWFwo433mk,spotify:track:2hpKqejPdsRIBWFwo433mk,https://api.spotify.com/v1/tracks/2hpKqejPdsRIBWFwo433mk,https://api.spotify.com/v1/audio-analysis/2hpKqejPdsRIBWFwo433mk,108236,4,Bandemic,spotify:track:2hpKqejPdsRIBWFwo433mk,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
5,0.742,0.568,4,-9.638,0,0.402,0.154,0.0,0.106,0.487,84.954,audio_features,1OtVTtPbtZ9df8JBxs8Oj4,spotify:track:1OtVTtPbtZ9df8JBxs8Oj4,https://api.spotify.com/v1/tracks/1OtVTtPbtZ9df8JBxs8Oj4,https://api.spotify.com/v1/audio-analysis/1OtVTtPbtZ9df8JBxs8Oj4,204000,4,WHAT I WAS TAUGHT,spotify:track:1OtVTtPbtZ9df8JBxs8Oj4,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
6,0.378,0.624,8,-10.181,0,0.506,0.128,0.0,0.155,0.471,66.455,audio_features,7flNSAmGtvBCQwsQLLDpUP,spotify:track:7flNSAmGtvBCQwsQLLDpUP,https://api.spotify.com/v1/tracks/7flNSAmGtvBCQwsQLLDpUP,https://api.spotify.com/v1/audio-analysis/7flNSAmGtvBCQwsQLLDpUP,144000,3,NASCAR,spotify:track:7flNSAmGtvBCQwsQLLDpUP,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
7,0.602,0.59,5,-10.24,0,0.3,0.709,0.0,0.133,0.499,159.712,audio_features,0vWq5F84ru0KroXnTQImNz,spotify:track:0vWq5F84ru0KroXnTQImNz,https://api.spotify.com/v1/tracks/0vWq5F84ru0KroXnTQImNz,https://api.spotify.com/v1/audio-analysis/0vWq5F84ru0KroXnTQImNz,120000,4,FAKE LOVE,spotify:track:0vWq5F84ru0KroXnTQImNz,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
8,0.794,0.47,1,-8.199,1,0.371,0.0549,0.0,0.123,0.437,85.026,audio_features,2HLXbdLSBgtxOyT2OL72zO,spotify:track:2HLXbdLSBgtxOyT2OL72zO,https://api.spotify.com/v1/tracks/2HLXbdLSBgtxOyT2OL72zO,https://api.spotify.com/v1/audio-analysis/2HLXbdLSBgtxOyT2OL72zO,150103,4,30 CLIP,spotify:track:2HLXbdLSBgtxOyT2OL72zO,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
9,0.725,0.725,2,-4.978,1,0.394,0.23,0.0,0.107,0.556,175.933,audio_features,4KDInaMeOwzPUJLwVXjMU3,spotify:track:4KDInaMeOwzPUJLwVXjMU3,https://api.spotify.com/v1/tracks/4KDInaMeOwzPUJLwVXjMU3,https://api.spotify.com/v1/audio-analysis/4KDInaMeOwzPUJLwVXjMU3,113258,4,GUCCI,spotify:track:4KDInaMeOwzPUJLwVXjMU3,DANYANTE,2fzRAbvdBVeEi0DvfuDZOI
