,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.555,0.961,11,-0.339,1,0.0465,0.000796,0.689,0.524,0.353,175.026,audio_features,3lUdDyEumfkbmkc23Rx4iT,spotify:track:3lUdDyEumfkbmkc23Rx4iT,https://api.spotify.com/v1/tracks/3lUdDyEumfkbmkc23Rx4iT,https://api.spotify.com/v1/audio-analysis/3lUdDyEumfkbmkc23Rx4iT,213000,4,A.I. (Teddy Killerz & Delta Heavy Remix),spotify:track:3lUdDyEumfkbmkc23Rx4iT,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
1,0.525,0.882,9,-1.247,1,0.071,0.0252,0.00106,0.268,0.206,75.133,audio_features,4SD77nb7s5bReSOguo97XO,spotify:track:4SD77nb7s5bReSOguo97XO,https://api.spotify.com/v1/tracks/4SD77nb7s5bReSOguo97XO,https://api.spotify.com/v1/audio-analysis/4SD77nb7s5bReSOguo97XO,198083,4,Revenge (LAXX Remix),spotify:track:4SD77nb7s5bReSOguo97XO,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
2,0.515,0.986,11,-2.134,1,0.204,0.00358,0.00398,0.112,0.708,174.965,audio_features,3R1gXKfGIC7YiGJ6trWcOx,spotify:track:3R1gXKfGIC7YiGJ6trWcOx,https://api.spotify.com/v1/tracks/3R1gXKfGIC7YiGJ6trWcOx,https://api.spotify.com/v1/audio-analysis/3R1gXKfGIC7YiGJ6trWcOx,277000,4,Anarchy (Shock One Remix),spotify:track:3R1gXKfGIC7YiGJ6trWcOx,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
3,0.434,0.918,5,-0.921,1,0.0364,0.000512,0.0141,0.111,0.208,174.015,audio_features,2t7XUThfhkmV8dUrmJiU23,spotify:track:2t7XUThfhkmV8dUrmJiU23,https://api.spotify.com/v1/tracks/2t7XUThfhkmV8dUrmJiU23,https://api.spotify.com/v1/audio-analysis/2t7XUThfhkmV8dUrmJiU23,265172,4,Show Me the Light (feat. Starling) (VIP),spotify:track:2t7XUThfhkmV8dUrmJiU23,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
4,0.453,0.939,9,-3.146,0,0.0626,0.000668,0.00363,0.107,0.154,174.055,audio_features,2iGog1tmy7a5soOv82EbpM,spotify:track:2iGog1tmy7a5soOv82EbpM,https://api.spotify.com/v1/tracks/2iGog1tmy7a5soOv82EbpM,https://api.spotify.com/v1/audio-analysis/2iGog1tmy7a5soOv82EbpM,248000,4,Collide (feat. Rae Hall) (Bensley Remix),spotify:track:2iGog1tmy7a5soOv82EbpM,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
5,0.51,0.908,4,-2.382,0,0.065,0.0119,1.87e-06,0.384,0.246,86.903,audio_features,5WA9GDYioQ5YZ9nMw5btii,spotify:track:5WA9GDYioQ5YZ9nMw5btii,https://api.spotify.com/v1/tracks/5WA9GDYioQ5YZ9nMw5btii,https://api.spotify.com/v1/audio-analysis/5WA9GDYioQ5YZ9nMw5btii,187500,4,Take Me Home (feat. Jem Cooke) (Dirt Monkey Remix),spotify:track:5WA9GDYioQ5YZ9nMw5btii,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
6,0.419,0.993,1,-2.14,1,0.0814,0.000387,0.862,0.152,0.155,173.943,audio_features,1iZid51bk07Hmrb1l7k0jm,spotify:track:1iZid51bk07Hmrb1l7k0jm,https://api.spotify.com/v1/tracks/1iZid51bk07Hmrb1l7k0jm,https://api.spotify.com/v1/audio-analysis/1iZid51bk07Hmrb1l7k0jm,196750,4,Exodus (Prolix Remix),spotify:track:1iZid51bk07Hmrb1l7k0jm,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
7,0.469,0.959,11,-3.543,1,0.184,8.75e-05,0.026,0.293,0.153,174.909,audio_features,4oZUa6MgG31Eip84prS5NI,spotify:track:4oZUa6MgG31Eip84prS5NI,https://api.spotify.com/v1/tracks/4oZUa6MgG31Eip84prS5NI,https://api.spotify.com/v1/audio-analysis/4oZUa6MgG31Eip84prS5NI,246875,4,Revenge (Kanine Remix),spotify:track:4oZUa6MgG31Eip84prS5NI,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
8,0.633,0.831,5,-2.857,0,0.109,0.0161,0.061,0.109,0.161,159.906,audio_features,0e3NiNwnljPspc9rwXheR0,spotify:track:0e3NiNwnljPspc9rwXheR0,https://api.spotify.com/v1/tracks/0e3NiNwnljPspc9rwXheR0,https://api.spotify.com/v1/audio-analysis/0e3NiNwnljPspc9rwXheR0,274500,4,Replicant (Hydraulix Remix),spotify:track:0e3NiNwnljPspc9rwXheR0,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
9,0.37,0.748,5,-5.934,1,0.0723,0.00132,0.027,0.35,0.224,150.044,audio_features,4cXDKQaf5rsS2DhDpOkOss,spotify:track:4cXDKQaf5rsS2DhDpOkOss,https://api.spotify.com/v1/tracks/4cXDKQaf5rsS2DhDpOkOss,https://api.spotify.com/v1/audio-analysis/4cXDKQaf5rsS2DhDpOkOss,202500,4,Show Me the Light (feat. Starling) (GANZ Remix),spotify:track:4cXDKQaf5rsS2DhDpOkOss,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
10,0.4,0.949,6,-2.128,0,0.0699,0.000161,0.693,0.384,0.11,174.007,audio_features,54fohuXf4bBZwpyDDzCOYI,spotify:track:54fohuXf4bBZwpyDDzCOYI,https://api.spotify.com/v1/tracks/54fohuXf4bBZwpyDDzCOYI,https://api.spotify.com/v1/audio-analysis/54fohuXf4bBZwpyDDzCOYI,306750,4,Here with Me (feat. Modestep) (The Prototypes Remix),spotify:track:54fohuXf4bBZwpyDDzCOYI,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
11,0.418,0.893,4,-2.947,0,0.0635,0.00562,0.0,0.0939,0.136,177.956,audio_features,65eHqT5IOK9fzyz7stK2Lz,spotify:track:65eHqT5IOK9fzyz7stK2Lz,https://api.spotify.com/v1/tracks/65eHqT5IOK9fzyz7stK2Lz,https://api.spotify.com/v1/audio-analysis/65eHqT5IOK9fzyz7stK2Lz,234246,4,Take Me Home (feat. Jem Cooke) (Protostar Remix),spotify:track:65eHqT5IOK9fzyz7stK2Lz,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
12,0.601,0.988,0,1.102,1,0.178,0.0125,0.135,0.37,0.369,173.982,audio_features,6bbp6TLJIY1SsOufAtDYHg,spotify:track:6bbp6TLJIY1SsOufAtDYHg,https://api.spotify.com/v1/tracks/6bbp6TLJIY1SsOufAtDYHg,https://api.spotify.com/v1/audio-analysis/6bbp6TLJIY1SsOufAtDYHg,311375,4,Lift You Up (Murdock Remix),spotify:track:6bbp6TLJIY1SsOufAtDYHg,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
13,0.564,0.949,9,-3.0,1,0.302,0.000259,0.637,0.187,0.191,175.004,audio_features,61cz4ZSIhMWN09d4S3eIYQ,spotify:track:61cz4ZSIhMWN09d4S3eIYQ,https://api.spotify.com/v1/tracks/61cz4ZSIhMWN09d4S3eIYQ,https://api.spotify.com/v1/audio-analysis/61cz4ZSIhMWN09d4S3eIYQ,233125,4,Revenge (Reaper Remix),spotify:track:61cz4ZSIhMWN09d4S3eIYQ,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
14,0.387,0.677,2,-2.742,0,0.0835,0.095,1.22e-06,0.283,0.0367,172.086,audio_features,7rkp5QEmM7f7EyU21vePjb,spotify:track:7rkp5QEmM7f7EyU21vePjb,https://api.spotify.com/v1/tracks/7rkp5QEmM7f7EyU21vePjb,https://api.spotify.com/v1/audio-analysis/7rkp5QEmM7f7EyU21vePjb,293500,4,Show Me the Light (feat. Starling) (Annix Remix),spotify:track:7rkp5QEmM7f7EyU21vePjb,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
15,0.414,0.947,1,-1.21,1,0.046,0.000156,0.853,0.13,0.343,174.018,audio_features,7uuOJvmeasjHMf4rtqzJg5,spotify:track:7uuOJvmeasjHMf4rtqzJg5,https://api.spotify.com/v1/tracks/7uuOJvmeasjHMf4rtqzJg5,https://api.spotify.com/v1/audio-analysis/7uuOJvmeasjHMf4rtqzJg5,262750,4,Exodus (Junk Mail Remix),spotify:track:7uuOJvmeasjHMf4rtqzJg5,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
16,0.321,0.934,4,-2.3,1,0.203,0.00278,0.0232,0.314,0.358,149.154,audio_features,30cDEIy6LXVaGkrTMkTEr6,spotify:track:30cDEIy6LXVaGkrTMkTEr6,https://api.spotify.com/v1/tracks/30cDEIy6LXVaGkrTMkTEr6,https://api.spotify.com/v1/audio-analysis/30cDEIy6LXVaGkrTMkTEr6,235000,4,Revenge (Conrank Remix),spotify:track:30cDEIy6LXVaGkrTMkTEr6,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
17,0.514,0.96,1,-1.997,1,0.218,9.64e-06,0.895,0.131,0.0998,171.992,audio_features,7kyApFuVjoCJsmJHR0KIM8,spotify:track:7kyApFuVjoCJsmJHR0KIM8,https://api.spotify.com/v1/tracks/7kyApFuVjoCJsmJHR0KIM8,https://api.spotify.com/v1/audio-analysis/7kyApFuVjoCJsmJHR0KIM8,318625,4,Replicant (Magnetude Remix),spotify:track:7kyApFuVjoCJsmJHR0KIM8,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
18,0.435,0.879,4,-2.545,0,0.0995,0.00397,0.000335,0.12,0.214,177.97,audio_features,1cKjwXrt6Bay1YeOqRMfLz,spotify:track:1cKjwXrt6Bay1YeOqRMfLz,https://api.spotify.com/v1/tracks/1cKjwXrt6Bay1YeOqRMfLz,https://api.spotify.com/v1/audio-analysis/1cKjwXrt6Bay1YeOqRMfLz,203125,4,Take Me Home (feat. Jem Cooke) (DNMO Remix),spotify:track:1cKjwXrt6Bay1YeOqRMfLz,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
19,0.414,0.822,6,-3.29,0,0.043,0.00603,0.000393,0.12,0.19,149.457,audio_features,760leQHjTb0luIHr7hNorW,spotify:track:760leQHjTb0luIHr7hNorW,https://api.spotify.com/v1/tracks/760leQHjTb0luIHr7hNorW,https://api.spotify.com/v1/audio-analysis/760leQHjTb0luIHr7hNorW,274500,4,Here with Me (feat. Modestep) (Clockvice Remix),spotify:track:760leQHjTb0luIHr7hNorW,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
20,0.349,0.957,5,-3.562,0,0.337,0.0236,0.177,0.615,0.0814,147.033,audio_features,2qaQFJLuVS9ZJUbKU669D0,spotify:track:2qaQFJLuVS9ZJUbKU669D0,https://api.spotify.com/v1/tracks/2qaQFJLuVS9ZJUbKU669D0,https://api.spotify.com/v1/audio-analysis/2qaQFJLuVS9ZJUbKU669D0,184500,4,Exodus (Hi I'm Ghost Remix),spotify:track:2qaQFJLuVS9ZJUbKU669D0,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
21,0.635,0.845,2,-5.043,1,0.0539,0.000117,0.647,0.374,0.0976,96.095,audio_features,0CkcZN8uMFHDfsCTVRrcF7,spotify:track:0CkcZN8uMFHDfsCTVRrcF7,https://api.spotify.com/v1/tracks/0CkcZN8uMFHDfsCTVRrcF7,https://api.spotify.com/v1/audio-analysis/0CkcZN8uMFHDfsCTVRrcF7,280000,4,A.I. (WHZLY ReWired),spotify:track:0CkcZN8uMFHDfsCTVRrcF7,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T
