,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.825,0.761,5,-4.188,0,0.0895,0.109,0.00339,0.119,0.881,107.983,audio_features,2GcLFoAHdAWAEinJ0Pczgd,spotify:track:2GcLFoAHdAWAEinJ0Pczgd,https://api.spotify.com/v1/tracks/2GcLFoAHdAWAEinJ0Pczgd,https://api.spotify.com/v1/audio-analysis/2GcLFoAHdAWAEinJ0Pczgd,172627,4,Woman,spotify:track:2GcLFoAHdAWAEinJ0Pczgd,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
1,0.74,0.855,7,-5.762,1,0.18,0.394,0.00284,0.13,0.543,111.103,audio_features,4VILNVZu8Hlvx2f3f75PPR,spotify:track:4VILNVZu8Hlvx2f3f75PPR,https://api.spotify.com/v1/tracks/4VILNVZu8Hlvx2f3f75PPR,https://api.spotify.com/v1/audio-analysis/4VILNVZu8Hlvx2f3f75PPR,223560,4,Naked,spotify:track:4VILNVZu8Hlvx2f3f75PPR,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
2,0.616,0.696,1,-5.883,1,0.0533,0.035,0.000123,0.113,0.579,168.976,audio_features,4Kys7I9XmDHQBnqbBtSNEB,spotify:track:4Kys7I9XmDHQBnqbBtSNEB,https://api.spotify.com/v1/tracks/4Kys7I9XmDHQBnqbBtSNEB,https://api.spotify.com/v1/audio-analysis/4Kys7I9XmDHQBnqbBtSNEB,212947,4,Payday (feat. Young Thug),spotify:track:4Kys7I9XmDHQBnqbBtSNEB,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
3,0.92,0.639,8,-6.095,0,0.204,0.267,0.00012,0.0847,0.732,91.92,audio_features,6TUMzhr0wkwXxsg79G8bRl,spotify:track:6TUMzhr0wkwXxsg79G8bRl,https://api.spotify.com/v1/tracks/6TUMzhr0wkwXxsg79G8bRl,https://api.spotify.com/v1/audio-analysis/6TUMzhr0wkwXxsg79G8bRl,138293,4,Get Into It (Yuh),spotify:track:6TUMzhr0wkwXxsg79G8bRl,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
4,0.652,0.608,1,-6.61,1,0.0635,0.286,0.0,0.0925,0.249,130.016,audio_features,0i9d3F52xW7TIP0hzEzcxu,spotify:track:0i9d3F52xW7TIP0hzEzcxu,https://api.spotify.com/v1/tracks/0i9d3F52xW7TIP0hzEzcxu,https://api.spotify.com/v1/audio-analysis/0i9d3F52xW7TIP0hzEzcxu,210560,4,Need to Know,spotify:track:0i9d3F52xW7TIP0hzEzcxu,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
5,0.605,0.626,5,-5.78,1,0.107,0.221,1.48e-05,0.154,0.454,76.959,audio_features,3Rs3i84uxkG7cSQfoDXkHP,spotify:track:3Rs3i84uxkG7cSQfoDXkHP,https://api.spotify.com/v1/tracks/3Rs3i84uxkG7cSQfoDXkHP,https://api.spotify.com/v1/audio-analysis/3Rs3i84uxkG7cSQfoDXkHP,188893,4,I Don't Do Drugs (feat. Ariana Grande),spotify:track:3Rs3i84uxkG7cSQfoDXkHP,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
6,0.725,0.441,6,-7.034,1,0.0904,0.597,1.34e-06,0.114,0.525,135.047,audio_features,7lS9M5w23LtncUUwYRfBmP,spotify:track:7lS9M5w23LtncUUwYRfBmP,https://api.spotify.com/v1/tracks/7lS9M5w23LtncUUwYRfBmP,https://api.spotify.com/v1/audio-analysis/7lS9M5w23LtncUUwYRfBmP,216853,4,Love To Dream,spotify:track:7lS9M5w23LtncUUwYRfBmP,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
7,0.838,0.617,8,-6.462,1,0.0513,0.0156,0.00205,0.084,0.427,129.01,audio_features,1Owf6hoLy63t9GmYJNV1TD,spotify:track:1Owf6hoLy63t9GmYJNV1TD,https://api.spotify.com/v1/tracks/1Owf6hoLy63t9GmYJNV1TD,https://api.spotify.com/v1/audio-analysis/1Owf6hoLy63t9GmYJNV1TD,186173,4,You Right,spotify:track:1Owf6hoLy63t9GmYJNV1TD,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
8,0.719,0.534,10,-5.126,1,0.0326,0.116,3.24e-05,0.385,0.166,99.024,audio_features,0UuRGAvm6vT898QoLrLWYN,spotify:track:0UuRGAvm6vT898QoLrLWYN,https://api.spotify.com/v1/tracks/0UuRGAvm6vT898QoLrLWYN,https://api.spotify.com/v1/audio-analysis/0UuRGAvm6vT898QoLrLWYN,177373,4,Been Like This,spotify:track:0UuRGAvm6vT898QoLrLWYN,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
9,0.856,0.487,7,-7.912,1,0.0853,0.32,3.07e-05,0.109,0.263,132.995,audio_features,0Z8Q3N2YDb18lifuhz6NQR,spotify:track:0Z8Q3N2YDb18lifuhz6NQR,https://api.spotify.com/v1/tracks/0Z8Q3N2YDb18lifuhz6NQR,https://api.spotify.com/v1/audio-analysis/0Z8Q3N2YDb18lifuhz6NQR,159160,4,Options (feat. JID),spotify:track:0Z8Q3N2YDb18lifuhz6NQR,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
10,0.816,0.66,1,-5.673,0,0.0411,0.185,0.0454,0.142,0.691,143.036,audio_features,6rGzDkRMoizWe8WxhmPEsB,spotify:track:6rGzDkRMoizWe8WxhmPEsB,https://api.spotify.com/v1/tracks/6rGzDkRMoizWe8WxhmPEsB,https://api.spotify.com/v1/audio-analysis/6rGzDkRMoizWe8WxhmPEsB,148253,4,Imagine,spotify:track:6rGzDkRMoizWe8WxhmPEsB,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
11,0.705,0.651,8,-5.996,0,0.222,0.532,4.09e-05,0.0925,0.74,170.001,audio_features,1gGv3ADOpvZXCNs7KkzXeT,spotify:track:1gGv3ADOpvZXCNs7KkzXeT,https://api.spotify.com/v1/tracks/1gGv3ADOpvZXCNs7KkzXeT,https://api.spotify.com/v1/audio-analysis/1gGv3ADOpvZXCNs7KkzXeT,228867,4,Alone,spotify:track:1gGv3ADOpvZXCNs7KkzXeT,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
12,0.777,0.701,8,-3.451,1,0.0293,0.283,0.000191,0.124,0.716,110.978,audio_features,5gYyD0WX61phtQjRmn3n2e,spotify:track:5gYyD0WX61phtQjRmn3n2e,https://api.spotify.com/v1/tracks/5gYyD0WX61phtQjRmn3n2e,https://api.spotify.com/v1/audio-analysis/5gYyD0WX61phtQjRmn3n2e,208667,4,Kiss Me More (feat. SZA),spotify:track:5gYyD0WX61phtQjRmn3n2e,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
13,0.837,0.553,8,-7.335,1,0.0653,0.0175,0.00148,0.127,0.467,129.002,audio_features,5M5gXIH8ehg0XfkhpBgVr4,spotify:track:5M5gXIH8ehg0XfkhpBgVr4,https://api.spotify.com/v1/tracks/5M5gXIH8ehg0XfkhpBgVr4,https://api.spotify.com/v1/audio-analysis/5M5gXIH8ehg0XfkhpBgVr4,246040,4,You Right - Extended,spotify:track:5M5gXIH8ehg0XfkhpBgVr4,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
